&quot;Will you pour your own, please, and
745
593,1676,0
594,1681,0
594,1681,0
592,1698,0
585,1733,0
573,1771,0
558,1821,0
542,1870,0
539,1923,0
513,1953,0
506,1981,0
503,1992,0
504,1993,0
505,1997,0
511,1990,0
522,1968,0
538,1932,1
680,1698,0
680,1693,0
678,1693,0
676,1689,0
671,1703,0
659,1738,0
642,1779,0
626,1836,0
612,1886,0
606,1923,0
605,1942,0
605,1955,0
606,1959,1
778,1891,0
777,1894,0
774,1906,0
764,1941,0
750,1995,0
731,2065,0
716,2144,0
709,2212,0
712,2245,0
718,2258,0
728,2263,0
738,2258,0
750,2239,0
763,2193,0
779,2138,0
798,2084,0
813,2050,0
818,2051,0
815,2070,0
808,2110,0
806,2162,0
811,2211,0
832,2258,0
846,2276,0
858,2273,0
867,2246,0
881,2199,0
895,2133,0
913,2074,0
924,2023,0
924,1995,0
915,1981,0
903,1981,0
892,1979,0
893,1988,0
902,1996,0
914,2014,1
1016,2044,0
1017,2048,0
1017,2056,0
1015,2080,0
1007,2100,0
998,2127,0
991,2167,0
982,2199,0
981,2227,0
981,2227,0
981,2222,0
982,2222,0
985,2207,1
1052,1929,0
1035,1932,0
1032,1928,0
1033,1928,0
1033,1924,0
1036,1924,0
1051,1920,0
1071,1917,0
1077,1913,1
1179,1898,0
1160,1907,0
1156,1931,0
1146,1959,0
1136,2008,0
1123,2076,0
1108,2145,0
1094,2197,0
1085,2229,0
1081,2241,0
1081,2241,0
1083,2237,0
1090,2217,1
1281,1877,0
1281,1877,0
1279,1877,0
1271,1902,0
1256,1936,0
1240,1985,0
1217,2064,0
1195,2149,0
1189,2226,0
1187,2270,0
1179,2282,0
1178,2287,0
1179,2287,0
1181,2278,0
1187,2258,0
1198,2241,0
1216,2228,1
1682,2026,0
1677,2014,0
1677,2014,0
1676,2015,0
1676,2024,0
1670,2046,0
1662,2082,0
1648,2123,0
1635,2169,0
1628,2192,0
1630,2200,0
1638,2206,0
1642,2200,0
1652,2181,0
1677,2153,0
1697,2108,0
1718,2072,0
1732,2051,0
1736,2041,0
1734,2038,0
1734,2041,0
1730,2060,0
1723,2092,0
1709,2139,0
1692,2207,0
1682,2268,0
1683,2305,0
1684,2330,0
1677,2352,0
1669,2371,0
1660,2382,0
1652,2384,0
1654,2388,0
1650,2385,0
1636,2371,0
1623,2358,0
1611,2340,0
1605,2322,0
1609,2300,0
1619,2269,0
1641,2234,1
1855,2052,0
1852,2044,0
1850,2040,0
1848,2041,0
1838,2046,0
1819,2065,0
1797,2096,0
1780,2135,0
1768,2166,0
1773,2185,0
1784,2190,0
1802,2183,0
1824,2163,0
1852,2135,0
1876,2099,0
1892,2070,0
1897,2055,0
1891,2045,0
1884,2039,0
1876,2034,0
1872,2031,1
1973,2017,0
1969,2019,0
1961,2026,0
1950,2045,0
1933,2070,0
1922,2106,0
1911,2136,0
1915,2157,0
1922,2162,0
1934,2162,0
1951,2154,0
1968,2133,0
1993,2108,0
2016,2075,0
2043,2044,0
2061,2017,0
2072,1997,0
2073,1993,0
2073,1993,0
2070,1994,0
2060,2017,0
2046,2046,0
2031,2082,0
2017,2115,0
2014,2134,0
2018,2141,0
2029,2145,0
2043,2138,0
2061,2121,1
2366,2004,0
2360,2002,0
2361,2012,0
2356,2029,0
2350,2058,0
2337,2095,0
2326,2146,0
2309,2184,0
2298,2205,0
2294,2211,0
2294,2211,0
2294,2207,0
2294,2203,0
2295,2174,0
2302,2131,0
2314,2082,0
2331,2037,0
2349,2001,0
2371,1980,0
2398,1966,0
2427,1959,0
2454,1964,0
2470,1971,0
2480,1988,0
2474,2009,0
2460,2034,0
2431,2051,0
2410,2066,0
2396,2076,0
2386,2077,0
2382,2075,0
2379,2067,0
2384,2049,1
2620,1973,0
2607,1969,0
2594,1969,0
2580,1976,0
2557,1990,0
2534,2012,0
2516,2042,0
2511,2066,0
2509,2077,0
2519,2085,0
2536,2082,0
2557,2061,0
2585,2039,0
