onions a bit more, wouldn&apos;t you,
766
1100,4048,0
1098,4041,0
1095,4032,0
1090,4020,0
1084,4012,0
1075,4005,0
1064,3997,0
1052,4000,0
1037,4000,0
1024,4012,0
1015,4028,0
1011,4056,0
1015,4080,0
1025,4109,0
1037,4133,0
1054,4148,0
1074,4152,0
1097,4156,0
1119,4152,0
1135,4140,0
1145,4128,0
1148,4108,0
1146,4092,0
1140,4073,0
1131,4061,0
1119,4048,0
1108,4036,0
1100,4032,0
1094,4036,1
1178,4007,0
1178,4007,0
1178,4007,0
1182,4020,0
1189,4035,0
1197,4055,0
1207,4079,0
1214,4099,0
1220,4114,0
1225,4130,0
1230,4142,0
1233,4146,0
1234,4145,0
1235,4145,0
1237,4137,0
1237,4118,0
1237,4085,0
1245,4061,0
1254,4041,0
1262,4024,0
1270,4016,0
1274,4016,0
1278,4020,0
1283,4032,0
1286,4047,0
1288,4071,0
1291,4091,0
1298,4114,0
1307,4134,0
1319,4145,0
1332,4149,0
1348,4147,0
1365,4138,0
1380,4121,0
1387,4097,0
1390,4073,0
1389,4048,0
1385,4032,0
1382,4024,0
1378,4021,0
1379,4020,0
1380,4021,0
1385,4033,0
1391,4052,0
1397,4075,0
1405,4099,0
1411,4114,0
1419,4138,0
1426,4145,0
1436,4157,0
1444,4160,0
1447,4152,0
1446,4135,1
1409,3971,0
1404,3954,0
1403,3955,0
1401,3955,0
1400,3951,0
1400,3955,0
1400,3955,0
1400,3955,0
1405,3963,1
1582,4056,0
1580,4048,0
1581,4040,0
1578,4032,0
1568,4022,0
1557,4015,0
1542,4012,0
1522,4011,0
1503,4022,0
1483,4032,0
1469,4049,0
1459,4074,0
1457,4094,0
1462,4114,0
1477,4124,0
1495,4135,0
1518,4140,0
1543,4133,0
1567,4131,0
1587,4116,0
1607,4105,0
1620,4087,0
1625,4067,0
1619,4047,0
1609,4032,0
1592,4018,0
1576,4012,0
1566,4017,0
1558,4019,1
1648,3999,0
1645,3995,0
1645,3995,0
1644,3995,0
1645,4007,0
1650,4027,0
1657,4049,0
1664,4077,0
1671,4096,0
1678,4116,0
1683,4126,0
1688,4134,0
1691,4138,0
1693,4138,0
1693,4129,0
1693,4109,0
1693,4081,0
1697,4060,0
1706,4038,0
1719,4020,0
1734,4005,0
1747,4003,0
1757,4001,0
1768,4011,0
1776,4030,0
1779,4054,0
1780,4074,0
1785,4102,0
1788,4121,0
1796,4140,0
1807,4155,0
1824,4167,0
1841,4169,1
1972,3986,0
1966,3979,0
1954,3969,0
1938,3969,0
1914,3970,0
1882,3977,0
1848,3992,0
1821,4006,0
1804,4021,0
1799,4030,0
1805,4036,0
1825,4045,0
1855,4051,0
1887,4058,0
1918,4068,0
1944,4078,0
1962,4090,0
1971,4101,0
1971,4114,0
1964,4123,0
1947,4135,0
1922,4140,0
1897,4150,0
1872,4151,0
1854,4150,0
1843,4147,0
1837,4145,0
1838,4145,0
1842,4140,1
2462,4024,0
2461,4016,0
2463,4007,0
2460,3995,0
2458,3988,0
2449,3978,0
2439,3977,0
2422,3979,0
2403,3981,0
2385,3991,0
2369,4010,0
2360,4030,0
2359,4055,0
2366,4078,0
2376,4097,0
2389,4109,0
2406,4116,0
2426,4117,0
2446,4110,0
2463,4096,0
2474,4079,0
2475,4062,0
2471,4046,0
2466,4036,0
2459,4030,0
2453,4023,0
2451,4024,0
2453,4027,0
2457,4035,0
2465,4053,0
2475,4080,0
2484,4106,0
2495,4131,1
2683,3794,0
2683,3816,0
2689,3848,0
2694,3880,0
2703,3921,0
2712,3955,0
2722,3991,0
2735,4020,0
2749,4048,0
2767,4071,0
2784,4085,0
2806,4098,0
2823,4099,0
2835,4089,0
2846,4080,0
2845,4063,0
2838,4044,0
2825,4023,0
2811,4008,0
2793,3995,0
2775,3990,0
2756,3985,0
2739,3992,0
2729,4005,0
2725,4024,0
2729,4048,0
2740,4070,0
2757,4089,0
2779,4101,1
2901,3984,0
2897,3977,0
2899,3981,0
2896,3978,0
2898,3990,0
2898,4003,0
2902,4024,0
2909,4047,0
2912,4063,0
2921,4080,0
2931,4098,0
2940,4108,0
2946,4114,1
2924,3871,0
2919,3869,0
2917,3865,0
2917,3865,0
2916,3862,1
3034,3846,0
3026,3841,0
3023,3838,0
3025,3841,0
3026,3849,0
3033,3873,0
3036,3899,0
3042,3936,0
3047,3974,0
3050,4009,0
3051,4039,0
3058,4072,0
3063,4097,0
3071,4115,0
3078,4124,0
3083,4131,0
3083,4122,1
3018,4020,0
3017,4021,0
3019,4020,0
3025,4022,0
3042,4026,0
3065,4028,0
3093,4027,0
3125,4023,0
3158,4024,1
3411,3976,0
3414,3979,0
3414,3978,0
3415,3988,0
3416,4005,0
3421,4030,0
3427,4059,0
3428,4077,0
3434,4093,0
3439,4104,0
3443,4105,0
3445,4109,0
3446,4104,0
3448,4089,0
3450,4068,0
3452,4044,0
3463,4023,0
3470,4005,0
3479,3994,0
3484,3992,0
3489,3993,0
3493,4000,0
3497,4016,0
3501,4037,0
3505,4053,0
3510,4065,0
3516,4070,0
3525,4075,0
3532,4070,0
3544,4062,0
3558,4048,0
3568,4028,0
3581,4010,0
3590,4000,0
3600,3998,0
3602,3996,0
3607,3998,0
3612,4005,0
3617,4020,0
3621,4036,0
3624,4053,0
3626,4076,0
3632,4096,0
3640,4115,0
3649,4128,1
3827,4031,0
3819,4012,0
3816,4000,0
3804,3989,0
3790,3984,0
3769,3984,0
3747,3995,0
3725,4010,0
3710,4035,0
3700,4056,0
3701,4080,0
3707,4100,0
3720,4115,0
3739,4122,0
3763,4125,0
3790,4121,0
3812,4106,0
3835,4089,0
3852,4073,0
3857,4055,0
3853,4041,0
3849,4036,0
3841,4031,0
3835,4030,0
3830,4034,1
3901,4027,0
3897,4020,0
3895,4017,0
3891,4015,0
3888,4022,0
3885,4039,0
3884,4064,0
3884,4089,0
3884,4108,0
3887,4121,0
3892,4128,0
3896,4134,0
3895,4130,0
3898,4133,0
3898,4123,0
3896,4104,0
3896,4081,0
3896,4065,0
3896,4056,0
3895,4046,0
3900,4043,0
3905,4039,0
3918,4039,0
3936,4046,0
3963,4056,0
3988,4058,0
4020,4059,0
4049,4056,0
4081,4053,0
4100,4042,0
4116,4034,0
4123,4025,0
4121,4015,0
4107,4001,0
4094,3997,0
4075,3997,0
4050,4000,0
4031,4015,0
4012,4034,0
3994,4053,0
3990,4076,0
3996,4097,0
4011,4110,0
4034,4118,0
4069,4121,1
4270,4123,0
4266,4121,0
4269,4123,0
4270,4123,0
4274,4130,0
4278,4147,0
4277,4174,0
4271,4203,0
4274,4232,0
4273,4248,0
4275,4256,0
4280,4257,0
4285,4254,1
4481,3975,0
4478,3973,0
4477,3974,0
4478,3976,0
4477,3983,0
4476,4000,0
4480,4024,0
4487,4050,0
4495,4074,0
4508,4095,0
4521,4111,0
4534,4120,0
4549,4122,0
4566,4123,0
4576,4115,0
4584,4103,0
4589,4087,0
4591,4065,0
4590,4043,0
4585,4021,0
4583,4006,0
4578,3994,0
4578,3990,0
4574,3988,0
4577,3991,0
4576,4002,0
4584,4027,0
4588,4051,0
4598,4079,0
4606,4104,0
4618,4125,0
4630,4135,0
4649,4140,0
4667,4135,0
4681,4123,0
4692,4102,0
4698,4075,0
4698,4042,0
4694,4012,0
4685,3988,0
4677,3974,0
4667,3962,0
4662,3961,0
4658,3964,0
4658,3975,1
4853,4009,0
4854,4004,0
4852,3994,0
4852,3988,0
4845,3979,0
4834,3973,0
4823,3972,0
4805,3972,0
4783,3977,0
4768,3992,0
4753,4006,0
4743,4027,0
4743,4054,0
4746,4079,0
4754,4099,0
4767,4115,0
4786,4130,0
4807,4137,0
4824,4137,0
4845,4135,0
4860,4125,0
4873,4114,0
4879,4096,0
4878,4075,0
4875,4055,0
4871,4036,0
4864,4020,0
4864,4011,0
4857,4000,1
4933,4004,0
4929,3996,0
4927,3993,0
4931,3995,0
4929,3997,0
4926,4005,0
4925,4023,0
4924,4047,0
4922,4072,0
4927,4099,0
4934,4120,0
4941,4135,0
4953,4147,0
4971,4157,0
4983,4156,0
4997,4153,0
5010,4142,0
5023,4123,0
5032,4103,0
5035,4077,0
5038,4056,0
5038,4039,0
5038,4034,0
5035,4031,0
5033,4032,0
5032,4034,0
5034,4048,0
5039,4068,0
5043,4087,0
5045,4107,0
5052,4128,0
5061,4147,0
5071,4166,0
5078,4176,0
5094,4188,0
5104,4189,0
5117,4188,0
5132,4184,0
5137,4174,0
5140,4164,0
5142,4155,1
5154,4172,0
5155,4171,0
5161,4164,0
5167,4153,0
5176,4138,0
5186,4123,0
5197,4104,0
5206,4079,0
5220,4052,0
5232,4022,0
5245,3991,0
5251,3959,0
5253,3927,0
5258,3904,0
5256,3882,0
5253,3867,0
5246,3856,0
5237,3850,0
5227,3848,0
5217,3854,0
5204,3862,0
5195,3877,0
5189,3896,0
5182,3922,0
5175,3952,0
5174,3989,0
5169,4024,0
5172,4062,0
5178,4096,0
5190,4125,0
5202,4146,0
5229,4164,0
5252,4176,1
5454,4092,0
5455,4085,0
5453,4076,0
5448,4068,0
5442,4063,0
5433,4057,0
5419,4053,0
5402,4053,0
5388,4058,0
5374,4068,0
5358,4080,0
5348,4097,0
5348,4119,0
5354,4143,0
5363,4162,0
5378,4176,0
5392,4184,0
5407,4186,0
5427,4181,0
5451,4173,0
5469,4154,1
5438,3899,0
5431,3913,0
5438,3941,0
5446,3975,0
5455,4014,0
5463,4052,0
5472,4090,0
5479,4126,0
5484,4154,0
5493,4181,0
5501,4200,0
5516,4214,0
5528,4214,1
5549,4051,0
5550,4050,0
5553,4053,0
5553,4058,0
5560,4075,0
5561,4099,0
5564,4126,0
5572,4152,0
5577,4172,0
5576,4184,0
5581,4190,0
5585,4192,0
5588,4188,0
5588,4170,0
5596,4144,0
5606,4114,0
5619,4087,0
5631,4067,0
5641,4061,0
5651,4062,0
5651,4068,0
5657,4086,0
5662,4111,0
5665,4132,0
5669,4152,0
5676,4167,0
5684,4181,0
5696,4194,0
5701,4198,1
5804,3913,0
5803,3914,0
5800,3911,0
5800,3912,0
5800,3912,0
5798,3913,0
5801,3916,0
5798,3916,0
