&quot;I &apos;ve taken you,&quot; she said,
531
904,604,0
959,659,0
958,680,0
953,711,0
952,757,0
950,796,0
953,830,0
953,846,0
957,846,1
1031,663,0
1032,668,0
1028,672,0
1034,692,0
1030,716,0
1030,752,0
1024,795,0
1013,830,0
1011,858,1
1194,624,0
1195,644,0
1192,677,0
1199,729,0
1200,786,0
1194,844,0
1188,905,0
1184,971,0
1180,1040,0
1177,1109,0
1172,1170,0
1173,1221,0
1175,1261,0
1181,1288,0
1181,1293,0
1225,1288,0
1233,1266,1
1404,572,0
1406,575,0
1403,577,0
1389,612,0
1391,644,0
1388,680,0
1382,715,0
1382,752,0
1368,781,1
1479,1099,0
1482,1129,0
1481,1159,0
1487,1192,0
1493,1219,0
1505,1240,0
1527,1257,0
1546,1258,0
1570,1251,0
1588,1235,0
1602,1210,0
1614,1181,0
1626,1152,0
1630,1122,0
1623,1098,0
1608,1083,0
1589,1077,0
1576,1078,0
1566,1085,0
1560,1096,0
1561,1114,0
1566,1130,0
1578,1141,0
1601,1147,0
1635,1146,0
1666,1133,0
1705,1118,0
1739,1099,0
1766,1080,0
1788,1064,0
1794,1049,0
1789,1037,0
1775,1032,0
1756,1037,0
1732,1055,0
1715,1082,0
1705,1114,0
1702,1143,0
1713,1175,0
1730,1201,0
1756,1218,0
1788,1226,0
1816,1221,1
2177,658,0
2160,656,0
2162,663,0
2154,687,0
2155,730,0
2158,784,0
2154,846,0
2142,912,0
2131,982,0
2118,1049,0
2117,1110,0
2107,1155,0
2105,1193,0
2106,1215,0
2106,1220,0
2106,1215,0
2101,1191,0
2096,1156,0
2095,1117,0
2079,1075,0
2062,1047,0
2028,1030,0
2009,1027,0
1994,1031,0
1989,1042,0
1997,1058,0
2012,1071,0
2044,1077,0
2091,1074,0
2147,1064,0
2195,1049,0
2244,1039,0
2270,1031,1
2346,1089,0
2347,1088,0
2351,1088,0
2347,1086,0
2343,1086,0
2326,1090,0
2301,1102,0
2280,1123,0
2262,1150,0
2252,1182,0
2249,1208,0
2256,1226,0
2277,1231,0
2307,1221,0
2343,1196,0
2374,1165,0
2398,1134,1
2268,1019,0
2250,1017,0
2251,1016,0
2261,1014,0
2282,1006,0
2318,996,0
2351,989,0
2373,993,0
2384,1006,0
2386,1031,0
2388,1064,0
2382,1100,0
2373,1140,0
2362,1173,0
2358,1197,0
2366,1213,0
2374,1217,1
2534,669,0
2534,668,0
2530,680,0
2521,716,0
2516,772,0
2507,841,0
2498,912,0
2488,979,0
2482,1044,0
2475,1098,0
2467,1139,0
2469,1164,0
2477,1173,0
2480,1170,0
2487,1151,0
2497,1117,0
2510,1075,0
2532,1032,0
2543,997,0
2560,974,0
2575,963,0
2590,961,0
2606,973,0
2615,998,0
2618,1035,0
2614,1073,0
2615,1112,0
2601,1139,0
2581,1156,0
2567,1163,0
2546,1158,0
2537,1144,0
2539,1126,0
2544,1110,0
2552,1105,0
2565,1107,0
2577,1118,0
2588,1138,0
2596,1170,0
2596,1200,0
2606,1226,0
2619,1243,0
2647,1252,0
2670,1246,0
2702,1227,0
2738,1200,0
2770,1163,0
2794,1122,0
2809,1077,0
2812,1044,0
2803,1028,0
2790,1027,0
2766,1038,0
2748,1065,0
2730,1104,0
2719,1148,0
2724,1194,0
2727,1225,0
2738,1245,0
2762,1252,0
2774,1391,0
2813,1216,0
2840,1187,0
2861,1149,0
2878,1117,0
2887,1101,0
2890,1102,0
2893,1117,0
2890,1146,0
2885,1179,0
2881,1210,0
2884,1230,0
2897,1237,0
2916,1232,0
2940,1212,0
2964,1185,0
2989,1155,0
3002,1130,0
3013,1125,0
3018,1134,0
3021,1155,0
3017,1187,0
3011,1226,0
3019,1260,0
3035,1279,1
3315,1109,0
3316,1119,0
3322,1136,0
3327,1163,0
3334,1187,0
3344,1212,0
3356,1233,0
3370,1243,0
3392,1244,0
3416,1228,0
3452,1206,0
3486,1176,0
3513,1142,0
3535,1109,0
3547,1088,0
3537,1082,0
3526,1090,0
3503,1114,0
3471,1152,0
3434,1199,0
3388,1252,0
3350,1310,0
3319,1370,0
3291,1429,0
3265,1474,0
3255,1505,0
3257,1517,0
3264,1513,0
3284,1496,1
3599,1097,0
3583,1097,0
3572,1103,0
3560,1122,0
3550,1149,0
3535,1177,0
3524,1212,0
3513,1247,0
3513,1275,0
3524,1290,0
3544,1293,0
3580,1283,0
3617,1259,0
3647,1229,0
3665,1194,0
3674,1160,0
3668,1130,0
3650,1109,0
3625,1098,0
3596,1095,0
3568,1101,0
3547,1113,0
3540,1131,0
3542,1146,0
3555,1157,0
3578,1163,0
3619,1161,0
3661,1150,0
3698,1133,0
3733,1116,0
3756,1098,0
3774,1083,0
3785,1076,0
3788,1079,0
3787,1096,0
3776,1126,0
3752,1160,0
3748,1192,0
3747,1215,0
3759,1228,0
3776,1228,0
3806,1218,0
3834,1200,0
3867,1178,0
3889,1155,0
3905,1145,0
3909,1147,0
3921,1160,0
3922,1182,0
3925,1208,0
3926,1228,0
3939,1240,0
3961,1237,1
4292,572,0
4293,567,0
4292,569,0
4292,580,0
4289,601,0
4281,626,0
4265,653,0
4245,680,0
4237,699,1
4379,614,0
4376,613,0
4384,615,0
4386,625,0
4392,638,0
4391,652,0
4384,672,0
4372,692,0
4357,707,1
4739,1121,0
4719,1119,0
4706,1122,0
4684,1126,0
4661,1138,0
4638,1157,0
4616,1176,0
4603,1194,0
4603,1208,0
4613,1219,0
4635,1227,0
4667,1230,0
4705,1230,0
4746,1233,0
4765,1240,0
4775,1249,0
4763,1260,0
4750,1274,0
4725,1289,0
4696,1301,0
4661,1305,0
4632,1304,0
4606,1295,0
4589,1281,0
4582,1264,1
4869,750,0
4864,760,0
4855,790,0
4838,841,0
4821,906,0
4804,970,0
4790,1032,0
4795,1096,0
4789,1150,0
4790,1194,0
4790,1223,0
4803,1238,0
4818,1243,0
4833,1237,0
4852,1224,0
4874,1207,0
4895,1190,0
4914,1181,0
4922,1179,0
4929,1186,0
4929,1201,0
4927,1225,0
4929,1248,0
4932,1264,0
4947,1274,0
4968,1273,0
4995,1261,0
5018,1237,0
5047,1211,0
5072,1179,0
5088,1147,0
5082,1119,0
5076,1106,0
5052,1106,0
5028,1122,0
5006,1147,0
4990,1176,0
4981,1207,0
4982,1236,0
4984,1259,0
5000,1276,1
5462,1064,0
5448,1059,0
5448,1057,0
5431,1060,0
5422,1066,0
5408,1071,0
5385,1080,0
5367,1091,0
5351,1107,0
5352,1123,0
5361,1140,0
5378,1155,0
5407,1170,0
5436,1184,0
5475,1199,0
5500,1213,0
5517,1225,0
5523,1237,0
5512,1247,0
5489,1258,0
5454,1264,0
5408,1266,0
5371,1265,0
5339,1259,0
5327,1246,1
5604,1170,0
5609,1163,0
5606,1159,0
5598,1157,0
5586,1160,0
5571,1167,0
5556,1181,0
5532,1198,0
5523,1220,0
5523,1237,0
5531,1251,0
5554,1257,0
5588,1256,1
5569,1083,0
5558,1077,0
5567,1073,0
5584,1071,0
5614,1062,0
5648,1054,0
5682,1047,0
5711,1047,0
5714,1049,0
5724,1062,0
5729,1081,0
5723,1112,0
5711,1146,0
5704,1181,0
5697,1213,0
5699,1237,0
5712,1251,0
5728,1255,0
5746,1248,0
5769,1233,0
5795,1210,0
5817,1184,0
5839,1156,0
5852,1135,0
5857,1129,0
5865,1129,0
5856,1136,0
5861,1152,0
5852,1176,0
5846,1204,0
5845,1227,0
5858,1244,0
5877,1249,0
5906,1247,0
5936,1239,0
5964,1225,0
5981,1203,1
5911,1041,0
5897,1027,0
5899,1020,0
5904,1017,0
5907,1015,1
6100,1140,0
6094,1131,0
6091,1122,0
6088,1118,0
6073,1114,0
6061,1112,0
6044,1117,0
6020,1129,0
5996,1148,0
5979,1175,0
5969,1206,0
5962,1234,0
5961,1258,0
5967,1269,0
5983,1271,0
5998,1258,0
6032,1233,0
6060,1197,0
6093,1157,0
6131,1111,0
6165,1056,0
6203,1001,0
6230,952,0
6256,915,0
6268,886,0
6269,876,0
6270,874,0
6259,886,0
6231,916,0
6205,962,0
6172,1013,0
6143,1064,0
6130,1114,0
6121,1157,0
6121,1196,0
6133,1223,0
6145,1242,1
6316,1282,0
6312,1281,0
6312,1281,0
6314,1289,0
6311,1305,0
6306,1327,0
6289,1350,0
6271,1375,0
6245,1398,1
