said. It was fate, in fact, that
688
523,3632,0
514,3622,0
504,3617,0
492,3611,0
474,3607,0
448,3607,0
423,3623,0
400,3638,0
383,3656,0
372,3682,0
371,3699,0
378,3715,0
393,3735,0
413,3752,0
436,3768,0
463,3784,0
485,3808,0
503,3831,0
513,3857,0
511,3882,0
501,3904,0
484,3921,0
460,3937,0
436,3934,0
417,3935,0
403,3928,0
398,3911,0
397,3891,0
405,3864,0
421,3830,0
443,3801,0
467,3777,0
494,3753,1
646,3698,0
650,3699,0
650,3694,0
649,3694,0
644,3694,0
635,3692,0
622,3699,0
608,3709,0
591,3727,0
574,3753,0
564,3781,0
560,3804,0
562,3829,0
571,3841,0
581,3855,0
592,3853,0
605,3851,0
620,3836,0
634,3822,0
647,3795,0
657,3768,0
662,3749,0
663,3732,0
663,3724,0
661,3728,0
661,3732,0
662,3749,0
665,3773,0
671,3798,0
682,3819,0
697,3837,0
713,3846,0
730,3852,0
748,3854,0
764,3839,0
783,3824,0
798,3794,0
812,3767,0
822,3740,0
830,3712,0
836,3692,0
839,3681,0
839,3680,0
839,3684,0
840,3696,0
839,3725,0
837,3752,0
833,3780,0
830,3808,0
829,3828,0
830,3844,0
832,3848,0
834,3844,1
866,3658,0
864,3638,0
863,3626,0
862,3614,0
860,3602,0
861,3597,0
863,3593,0
869,3602,1
1089,3769,0
1095,3769,0
1097,3764,0
1095,3749,0
1088,3728,0
1077,3713,0
1061,3701,0
1039,3696,0
1016,3700,0
993,3712,0
974,3731,0
962,3751,0
955,3778,0
953,3802,0
957,3822,0
970,3839,0
984,3843,0
1001,3843,0
1020,3832,0
1039,3808,0
1059,3781,0
1076,3740,0
1090,3696,0
1102,3657,0
1107,3621,0
1107,3585,0
1105,3561,0
1098,3540,0
1091,3533,0
1084,3533,0
1077,3540,0
1069,3556,0
1061,3584,0
1058,3620,0
1056,3665,0
1055,3712,0
1055,3760,0
1056,3805,0
1060,3848,0
1065,3880,0
1073,3913,1
1261,3909,0
1262,3908,0
1262,3904,0
1262,3908,0
1261,3908,0
1260,3904,0
1260,3904,0
1259,3900,0
1261,3904,1
1735,3452,0
1735,3456,0
1734,3469,0
1726,3491,0
1713,3525,0
1698,3577,0
1680,3624,0
1666,3684,0
1652,3735,0
1640,3781,0
1633,3823,0
1628,3852,0
1628,3864,1
1840,3507,0
1840,3503,0
1840,3507,0
1836,3516,0
1829,3546,0
1818,3585,0
1805,3629,0
1791,3673,0
1779,3720,0
1768,3763,0
1761,3793,0
1759,3814,0
1762,3825,1
1720,3671,0
1720,3671,0
1727,3670,0
1742,3671,0
1766,3666,0
1794,3660,0
1825,3653,0
1857,3650,0
1886,3644,1
2101,3674,0
2102,3674,0
2104,3678,0
2104,3687,0
2101,3708,0
2098,3742,0
2094,3776,0
2090,3807,0
2091,3836,0
2092,3852,0
2097,3859,0
2103,3858,0
2113,3851,0
2125,3826,0
2137,3785,0
2152,3747,0
2166,3722,0
2174,3703,0
2176,3698,0
2177,3699,0
2178,3715,0
2176,3740,0
2176,3765,0
2178,3790,0
2180,3806,0
2185,3817,0
2193,3823,0
2198,3817,0
2207,3802,0
2221,3776,0
2233,3743,0
2243,3715,0
2251,3691,0
2257,3672,0
2263,3661,0
2265,3657,0
2272,3663,1
2377,3744,0
2381,3739,0
2385,3724,0
2380,3701,0
2371,3683,0
2359,3674,0
2344,3672,0
2325,3674,0
2305,3689,0
2292,3720,0
2279,3749,0
2275,3781,0
2275,3805,0
2281,3828,0
2293,3846,0
2304,3850,0
2318,3846,0
2333,3833,0
2349,3810,0
2366,3787,0
2373,3754,0
2377,3728,0
2377,3711,0
2371,3699,0
2369,3700,0
2366,3702,0
2360,3712,0
2359,3742,0
2357,3769,0
2359,3798,0
2367,3820,0
2381,3841,0
2400,3851,0
2421,3852,0
2443,3844,0
2468,3830,0
2494,3807,1
2557,3648,0
2548,3643,0
2536,3639,0
2522,3641,0
2509,3651,0
2492,3658,0
2483,3674,0
2480,3689,0
2479,3706,0
2484,3721,0
2492,3735,0
2506,3747,0
2522,3762,0
2538,3777,0
2552,3793,0
2559,3807,0
2563,3823,0
2560,3833,0
2555,3848,0
2541,3853,0
2526,3855,0
2511,3852,0
2504,3846,0
2500,3835,1
2870,4104,0
2872,4104,0
2871,4095,0
2873,4090,0
2871,4074,0
2872,4056,0
2874,4028,0
2874,3993,0
2877,3952,0
2883,3909,0
2889,3856,0
2897,3804,0
2904,3747,0
2915,3696,0
2920,3638,0
2931,3588,0
2941,3541,0
2956,3505,0
2971,3474,0
2986,3451,0
2999,3439,0
3013,3436,0
3021,3440,0
3028,3455,0
3030,3477,1
2827,3744,0
2830,3742,0
2849,3738,0
2871,3727,0
2902,3712,0
2938,3697,0
2973,3683,0
3006,3674,0
3033,3668,1
3116,3686,0
3117,3685,0
3114,3682,0
3111,3679,0
3104,3674,0
3093,3667,0
3081,3668,0
3063,3675,0
3043,3691,0
3026,3713,0
3008,3741,0
2999,3769,0
2996,3793,0
2999,3810,0
3004,3816,0
3016,3819,0
3032,3815,0
3052,3804,0
3071,3784,0
3090,3760,0
3105,3737,0
3116,3718,0
3119,3703,0
3122,3701,0
3120,3701,0
3119,3707,0
3115,3728,0
3110,3754,0
3108,3783,0
3115,3810,0
3123,3829,0
3141,3841,0
3161,3844,0
3181,3837,0
3202,3820,0
3222,3790,0
3244,3759,0
3262,3719,0
3275,3678,0
3286,3643,0
3290,3612,0
3295,3590,0
3293,3577,0
3289,3571,0
3283,3570,0
3280,3581,0
3271,3606,0
3262,3640,0
3250,3680,0
3243,3722,0
3240,3765,0
3244,3805,0
3244,3829,0
3251,3848,0
3257,3853,0
3260,3847,0
3266,3834,1
3222,3679,0
3220,3675,0
3220,3675,0
3221,3674,0
3230,3678,0
3243,3685,0
3261,3696,0
3277,3706,0
3298,3716,0
3317,3724,0
3334,3727,0
3350,3726,0
3361,3720,0
3368,3709,0
3377,3699,0
3377,3685,0
3373,3668,0
3367,3657,0
3355,3646,0
3343,3644,0
3328,3645,0
3315,3658,0
3299,3668,0
3291,3691,0
3288,3718,0
3290,3744,0
3299,3767,0
3317,3789,0
3339,3804,0
3368,3814,0
3398,3814,0
3431,3812,0
3462,3801,1
3639,3802,0
3638,3812,0
3636,3824,0
3634,3839,0
3628,3858,0
3621,3882,0
3609,3909,0
3600,3935,0
3592,3955,1
3982,3629,0
3981,3620,0
3983,3624,0
3978,3626,0
3975,3640,0
3964,3665,0
3949,3693,0
3938,3728,0
3931,3759,0
3930,3780,0
3935,3801,0
3940,3807,0
3955,3811,0
3972,3802,0
3988,3790,0
4007,3769,0
4024,3745,0
4041,3720,0
4056,3703,0
4065,3684,0
4075,3676,0
4080,3672,0
4080,3672,0
4081,3681,0
4077,3701,0
4071,3722,0
4066,3747,0
4062,3765,0
4056,3781,0
4055,3792,0
4051,3795,0
4055,3798,0
4056,3797,0
4061,3782,0
4073,3761,0
4091,3742,0
4103,3725,0
4116,3715,0
4123,3713,0
4129,3713,0
4133,3721,0
4133,3732,0
4133,3758,0
4135,3783,0
4140,3810,0
4148,3829,0
4157,3843,0
4168,3848,0
4178,3846,1
4069,3387,0
4056,3382,0
4058,3382,0
4058,3382,0
4064,3387,1
4487,4071,0
4491,4067,0
4495,4053,0
4503,4035,0
4512,4007,0
4519,3972,0
4530,3936,0
4537,3891,0
4541,3843,0
4542,3793,0
4550,3746,0
4553,3694,0
4560,3648,0
4567,3607,0
4582,3573,0
4596,3548,0
4611,3526,0
4632,3516,0
4647,3510,0
4659,3516,0
4660,3526,1
4502,3759,0
4517,3752,0
4543,3742,0
4574,3728,0
4600,3709,0
4631,3695,0
4652,3680,0
4668,3674,0
4677,3670,0
4681,3672,0
4679,3674,0
4668,3679,0
4654,3694,0
4635,3713,0
4619,3735,0
4603,3755,0
4596,3774,0
4593,3788,0
4594,3798,0
4599,3800,0
4603,3795,0
4613,3785,0
4628,3771,0
4643,3751,0
4654,3729,0
4662,3703,0
4666,3687,0
4666,3681,0
4666,3682,0
4664,3684,0
4664,3696,0
4661,3716,0
4660,3745,0
4666,3773,0
4682,3802,0
4695,3823,0
4717,3841,1
4876,3670,0
4864,3671,0
4849,3675,0
4831,3683,0
4817,3699,0
4802,3719,0
4790,3744,0
4787,3769,0
4788,3791,0
4801,3812,0
4817,3824,0
4838,3831,0
4866,3831,0
4896,3824,0
4920,3805,0
4943,3781,0
4965,3750,0
4982,3715,0
4994,3677,0
5007,3644,0
5009,3611,0
5009,3581,0
5006,3560,0
4998,3546,0
4993,3539,0
4994,3544,0
4987,3559,0
4978,3587,0
4973,3624,0
4964,3662,0
4967,3713,0
4966,3756,0
4971,3796,0
4977,3831,0
4989,3860,0
4996,3876,0
5007,3887,1
4919,3629,0
4919,3629,0
4929,3631,0
4945,3630,0
4973,3629,0
5004,3629,0
5034,3626,0
5066,3626,0
5091,3626,1
5168,3908,0
5157,3931,0
5151,3961,0
5142,3989,0
5130,4019,1
5697,3552,0
5692,3561,0
5692,3580,0
5691,3608,0
5685,3642,0
5681,3680,0
5675,3721,0
5665,3760,0
5660,3798,0
5656,3829,0
5658,3853,0
5660,3870,0
5662,3873,1
5598,3689,0
5599,3696,0
5602,3698,0
5623,3704,0
5647,3706,0
5677,3698,0
5708,3686,0
5741,3668,0
5771,3648,0
5798,3626,0
5820,3602,0
5840,3580,0
5853,3562,0
5856,3551,0
5856,3551,0
5855,3559,0
5846,3579,0
5831,3614,0
5814,3656,0
5797,3700,0
5785,3743,0
5774,3782,0
5766,3805,0
5769,3821,0
5773,3824,0
5781,3819,0
5792,3805,0
5815,3783,0
5834,3751,0
5851,3721,0
5870,3702,0
5879,3690,0
5887,3686,0
5891,3687,0
5899,3697,0
5904,3718,0
5907,3745,0
5917,3773,0
5928,3800,0
5938,3818,0
5957,3832,0
5982,3833,0
6010,3829,0
6040,3814,0
6075,3795,0
6098,3769,0
6115,3745,0
6129,3725,0
6129,3704,0
6126,3695,0
6110,3689,0
6092,3695,0
6064,3713,0
6034,3734,0
6010,3761,0
5994,3790,0
5987,3812,0
5987,3826,0
5992,3833,0
6004,3836,0
6012,3833,0
6027,3819,0
6044,3803,0
6061,3779,0
6080,3761,0
6087,3750,0
6088,3748,0
6088,3749,0
6087,3758,0
6085,3781,0
6083,3805,0
6087,3833,0
6090,3855,0
6102,3873,0
6113,3884,0
6130,3889,0
6145,3882,0
6172,3865,0
6196,3833,0
6217,3796,0
6242,3753,0
6260,3705,0
6276,3661,0
6286,3617,0
6298,3583,0
6300,3559,0
6297,3547,0
6301,3549,0
6298,3555,0
6293,3577,0
6284,3612,0
6278,3658,0
6270,3712,0
6260,3761,0
6260,3811,0
6262,3850,0
6270,3879,1
6225,3621,0
6230,3621,0
6245,3619,0
6276,3617,0
6317,3614,1
