# fussiness, however, was
587
1532,3889,0
1527,3882,0
1521,3870,0
1515,3863,0
1505,3852,0
1498,3849,0
1488,3846,0
1481,3851,0
1471,3860,0
1466,3881,0
1461,3917,0
1455,3962,0
1449,4015,0
1445,4059,0
1438,4120,0
1435,4140,0
1436,4144,0
1438,4149,0
1439,4140,0
1438,4128,1
1428,4053,0
1428,4057,0
1428,4057,0
1431,4057,0
1445,4056,0
1466,4049,0
1512,4012,1
1609,4020,0
1608,4020,0
1605,4024,0
1601,4041,0
1599,4066,0
1596,4094,0
1597,4123,0
1603,4138,0
1610,4141,0
1623,4135,0
1640,4121,0
1657,4090,0
1677,4068,0
1686,4049,0
1688,4045,0
1688,4049,0
1682,4062,0
1681,4087,0
1683,4102,0
1692,4121,0
1698,4133,1
1787,4041,0
1785,4045,0
1783,4053,0
1782,4070,0
1783,4094,0
1782,4115,0
1783,4118,0
1786,4122,0
1788,4117,0
1795,4108,0
1804,4086,0
1815,4059,0
1829,4036,0
1842,4034,0
1846,4034,0
1848,4041,0
1850,4057,0
1849,4077,0
1853,4101,0
1858,4116,0
1863,4124,1
1973,4046,0
1971,4051,0
1967,4068,0
1961,4087,0
1961,4099,1
1982,3954,0
1978,3947,0
1977,3948,0
1977,3944,0
1980,3947,1
2135,4027,0
2136,4031,0
2133,4027,0
2128,4029,0
2119,4027,0
2080,4054,0
2070,4065,0
2063,4070,0
2063,4079,0
2068,4082,0
2077,4084,0
2092,4088,0
2116,4102,0
2131,4111,0
2134,4122,0
2132,4140,0
2119,4151,0
2104,4167,0
2089,4172,0
2074,4175,0
2063,4173,0
2054,4155,0
2054,4151,1
2255,4029,0
2254,4030,0
2251,4027,0
2246,4028,0
2238,4022,0
2190,4061,0
2193,4061,0
2205,4070,0
2215,4075,0
2239,4102,0
2246,4107,0
2251,4118,0
2247,4132,0
2239,4147,0
2227,4159,0
2215,4162,0
2204,4169,0
2191,4169,0
2188,4170,0
2186,4170,1
1156,4052,0
1157,4056,0
1158,4060,0
1159,4063,0
1160,4064,0
1160,4060,0
1159,4056,0
1160,4056,0
1161,4056,0
1163,4056,0
1172,4059,0
1189,4055,0
1212,4058,0
1239,4057,0
1273,4060,0
1315,4061,0
1356,4067,0
1403,4067,0
1455,4066,0
1510,4069,0
1568,4074,0
1626,4074,0
1685,4077,0
1746,4080,0
1814,4084,0
1874,4073,0
1942,4074,0
2006,4076,0
2066,4078,0
2118,4077,0
2167,4080,0
2207,4081,0
2241,4084,0
2263,4082,0
2274,4078,0
2282,4075,0
2292,4068,1
2897,3830,0
2895,3813,0
2893,3797,0
2888,3781,0
2880,3768,0
2869,3755,0
2860,3751,0
2849,3747,0
2844,3750,0
2838,3753,0
2830,3761,0
2824,3781,0
2816,3816,0
2807,3869,0
2798,3930,0
2789,3991,0
2781,4039,0
2776,4081,0
2775,4107,0
2777,4120,0
2777,4119,1
2756,3962,0
2758,3966,0
2755,3963,0
2760,3966,0
2776,3966,0
2803,3959,0
2842,3946,0
2890,3932,0
2926,3909,1
3062,3925,0
3059,3926,0
3056,3938,0
3052,3966,0
3047,4000,0
3043,4034,0
3044,4056,0
3052,4070,0
