of luck, sir, &quot;Tong said.
596
986,6708,0
991,6691,0
995,6668,0
993,6636,0
979,6616,0
960,6591,0
939,6582,0
913,6586,0
884,6605,0
850,6636,0
828,6683,0
816,6731,0
822,6783,0
838,6832,0
866,6861,0
898,6874,0
930,6870,0
961,6839,0
988,6808,0
1003,6772,0
1010,6739,0
998,6703,0
984,6671,0
964,6647,0
948,6627,0
936,6611,0
932,6598,0
933,6586,0
944,6579,1
1280,6625,0
1288,6621,0
1295,6609,0
1298,6597,0
1302,6580,0
1303,6564,0
1297,6548,0
1287,6524,0
1273,6505,0
1252,6494,0
1228,6478,0
1201,6475,0
1172,6483,0
1143,6495,0
1124,6512,0
1116,6540,0
1101,6576,0
1096,6632,0
1108,6696,0
1119,6768,0
1136,6840,0
1148,6916,0
1162,6987,0
1169,7051,0
1173,7103,0
1194,7135,0
1193,7147,0
1197,7152,0
1200,7143,0
1196,7127,0
1208,7098,0
1216,7059,0
1219,7019,1
1091,6740,0
1086,6744,0
1086,6752,0
1090,6756,0
1103,6752,0
1122,6740,0
1146,6732,0
1156,6727,0
1167,6727,0
1164,6724,0
1165,6727,0
1171,6728,0
1184,6723,1
1476,6435,0
1467,6428,0
1462,6416,0
1461,6417,0
1459,6417,0
1459,6432,0
1457,6465,0
1454,6505,0
1452,6557,0
1452,6613,0
1455,6662,0
1466,6705,0
1480,6736,0
1498,6755,0
1515,6762,0
1530,6761,0
1543,6752,0
1549,6736,0
1567,6714,0
1569,6678,0
1580,6645,0
1582,6608,0
1581,6577,0
1577,6548,0
1574,6537,0
1569,6538,0
1571,6541,0
1575,6560,0
1579,6589,0
1590,6628,0
1598,6667,0
1611,6703,0
1626,6729,0
1643,6749,0
1655,6755,0
1665,6758,0
1666,6758,0
1661,6750,0
1666,6742,0
1665,6730,0
1670,6714,1
1684,6531,0
1687,6531,0
1687,6531,0
1688,6535,0
1685,6539,0
1687,6556,0
1686,6571,0
1686,6595,0
1684,6620,0
1687,6647,0
1691,6671,0
1697,6691,0
1703,6706,0
1710,6713,0
1715,6722,0
1719,6729,0
1720,6729,0
1720,6729,0
1720,6729,0
1725,6732,0
1730,6728,1
1901,6604,0
1900,6600,0
1899,6592,0
1897,6584,0
1889,6577,0
1876,6575,0
1859,6573,0
1842,6583,0
1821,6598,0
1807,6620,0
1791,6641,0
1782,6674,0
1780,6706,0
1791,6726,0
1810,6744,0
1838,6757,0
1872,6753,0
1911,6748,0
1944,6739,0
1970,6732,0
1983,6727,0
1990,6725,0
1988,6726,0
1985,6722,0
1978,6722,1
1996,6381,0
1990,6377,0
1989,6374,0
1990,6377,0
1996,6389,0
2005,6408,0
2014,6431,0
2024,6466,0
2035,6500,0
2041,6544,0
2043,6588,0
2043,6636,0
2042,6677,0
2038,6714,0
2037,6743,0
2037,6758,0
2041,6762,0
2047,6761,0
2058,6752,0
2067,6734,0
2079,6704,1
2207,6533,0
2209,6533,0
2208,6541,0
2203,6550,0
2190,6560,0
2175,6575,0
2152,6596,0
2123,6616,0
2092,6638,0
2063,6662,0
2043,6677,0
2036,6690,0
2038,6698,0
2053,6704,0
2079,6708,0
2111,6716,0
2147,6722,0
2186,6727,0
2217,6734,0
2247,6749,0
2268,6758,0
2287,6767,0
2297,6769,0
2304,6772,0
2306,6780,1
2403,6737,0
2403,6732,0
2405,6732,0
2403,6732,0
2402,6732,0
2400,6744,0
2396,6758,0
2387,6776,0
2376,6798,0
2368,6816,0
2364,6833,1
2763,6537,0
2762,6525,0
2758,6518,0
2743,6509,0
2723,6507,0
2695,6509,0
2659,6515,0
2624,6531,0
2596,6554,0
2586,6569,0
2589,6584,0
2601,6599,0
2623,6613,0
2661,6625,0
2705,6630,0
2745,6637,0
2781,6652,0
2803,6668,0
2813,6685,0
2811,6703,0
2801,6722,0
2782,6735,0
2752,6751,0
2712,6761,0
2673,6775,0
2644,6781,0
2627,6786,0
2625,6782,0
2632,6780,1
2865,6584,0
2864,6581,0
2863,6580,0
2862,6581,0
2869,6596,0
2873,6611,0
2880,6638,0
2884,6667,0
2888,6694,0
2895,6726,0
2899,6745,0
2905,6761,0
2907,6764,0
2911,6763,0
2913,6749,0
2919,6731,0
2918,6702,1
2837,6380,0
2827,6375,0
2828,6375,0
2825,6371,0
2824,6372,1
2987,6745,0
2986,6746,0
2984,6741,0
2982,6734,0
2974,6715,0
2965,6697,0
2960,6674,0
2960,6649,0
2963,6619,0
2972,6600,0
2984,6575,0
2996,6563,0
3011,6555,0
3033,6552,0
3059,6548,0
3092,6555,0
3124,6556,0
3153,6560,0
3174,6562,0
3199,6575,0
3218,6581,1
3298,6727,0
3299,6727,0
3301,6726,0
3300,6727,0
3299,6727,0
3298,6731,0
3298,6740,0
3291,6738,0
3286,6752,0
3276,6764,0
3264,6785,0
3253,6801,0
3248,6816,1
3411,6372,0
3418,6375,0
3423,6372,0
3432,6382,0
3432,6386,0
3431,6404,0
3419,6416,0
3410,6442,0
3393,6452,0
3387,6463,0
3387,6462,0
3389,6453,0
3403,6445,1
3494,6379,0
3487,6386,0
3481,6389,0
3477,6395,0
3472,6405,0
3463,6413,0
3461,6426,0
3457,6437,0
3454,6446,1
3631,6450,0
3633,6445,0
3641,6432,0
3648,6430,0
3650,6433,0
3657,6452,0
3659,6477,0
3662,6507,0
3661,6550,0
3655,6596,0
3653,6643,0
3656,6681,0
3666,6716,0
3670,6723,0
3679,6732,0
3685,6734,0
3687,6729,0
3688,6711,0
3690,6693,0
3689,6671,0
3687,6647,1
3528,6486,0
3506,6482,0
3491,6475,0
3489,6471,0
3498,6464,0
3522,6454,0
3556,6446,0
3598,6433,0
3643,6423,0
3689,6418,0
3723,6411,0
3745,6411,0
3754,6411,0
3753,6411,0
3751,6422,0
3740,6430,0
3727,6440,1
3946,6651,0
3942,6630,0
3939,6610,0
3930,6584,0
3916,6563,0
3898,6553,0
3875,6551,0
3846,6564,0
3815,6589,0
3791,6618,0
3777,6653,0
3779,6692,0
3790,6717,0
3819,6732,0
3860,6732,0
3904,6721,0
3947,6698,0
3982,6674,0
4000,6648,0
4005,6624,0
3999,6597,0
3988,6580,0
3967,6562,0
3950,6557,0
3935,6550,0
3923,6542,0
3922,6543,0
3923,6543,0
3930,6544,1
4084,6707,0
4086,6710,0
4082,6703,0
4079,6696,0
4075,6681,0
4074,6659,0
4070,6638,0
4073,6611,0
4083,6579,0
4105,6551,0
4133,6524,0
4169,6507,0
4198,6502,0
4217,6501,0
4239,6518,0
4251,6539,0
4257,6566,0
4258,6598,0
4254,6626,0
4251,6650,0
4254,6666,0
4258,6673,0
4264,6675,0
4275,6674,0
4286,6659,1
4453,6561,0
4447,6550,0
4444,6547,0
4428,6538,0
4408,6535,0
4384,6539,0
4357,6548,0
4332,6569,0
4315,6596,0
4307,6618,0
4313,6638,0
4331,6655,0
4355,6661,0
4386,6659,0
4419,6646,0
4451,6629,0
4476,6607,0
4493,6580,0
4507,6560,0
4510,6539,0
4512,6529,0
4507,6522,0
4509,6527,0
4504,6529,0
4506,6551,0
4507,6577,0
4514,6614,0
4526,6654,0
4536,6693,0
4549,6737,0
4555,6778,0
4556,6819,0
4545,6847,0
4530,6877,0
4507,6893,0
4478,6908,0
4451,6908,0
4431,6900,0
4413,6873,0
4405,6845,0
4407,6814,0
4418,6777,0
4433,6738,0
4453,6710,0
4467,6684,1
4819,6507,0
4816,6495,0
4809,6481,0
4797,6478,0
4781,6483,0
4756,6488,0
4736,6505,0
4723,6522,0
4722,6541,0
4736,6551,0
4771,6568,0
4818,6568,0
4882,6582,0
4939,6590,0
4980,6603,0
5000,6613,0
5009,6631,0
4996,6639,0
4974,6662,0
4941,6681,0
4904,6694,0
4874,6708,0
4852,6715,0
4842,6720,0
4843,6725,0
4842,6720,0
4849,6717,0
4867,6715,0
4890,6707,1
5154,6589,0
5164,6572,0
5171,6554,0
5170,6536,0
5161,6517,0
5146,6509,0
5127,6506,0
5098,6510,0
5066,6521,0
5043,6546,0
5025,6570,0
5017,6598,0
5021,6623,0
5039,6651,0
5064,6664,0
5098,6671,0
5133,6667,0
5168,6655,0
5197,6637,0
5221,6612,0
5239,6587,0
5250,6560,0
5251,6541,0
5246,6524,0
5244,6521,0
5239,6524,0
5231,6534,0
5224,6558,0
5219,6580,0
5218,6609,0
5226,6642,0
5241,6665,0
5262,6681,0
5282,6692,0
5306,6691,0
5326,6678,0
5350,6657,0
5369,6630,0
5383,6597,0
5393,6565,0
5397,6539,0
5402,6522,0
5401,6517,0
5401,6517,0
5401,6527,0
5394,6546,0
5390,6577,0
5391,6610,0
5388,6637,0
5388,6661,0
5392,6677,0
5392,6687,0
5391,6688,0
5392,6687,0
5391,6674,0
5388,6656,0
5383,6631,1
5347,6312,0
5351,6314,0
5349,6309,0
5349,6309,0
5354,6312,1
5667,6570,0
5650,6558,0
5629,6543,0
5604,6531,0
5576,6527,0
5539,6529,0
5502,6540,0
5472,6560,0
5455,6587,0
5451,6613,0
5465,6638,0
5493,6658,0
5531,6671,0
5573,6675,0
5612,6663,0
5650,6647,0
5674,6614,0
5694,6576,0
5701,6527,0
5704,6479,0
5698,6429,0
5689,6386,0
5681,6353,0
5670,6325,0
5666,6314,0
5665,6315,0
5665,6325,0
5662,6356,0
5661,6396,0
5663,6445,0
5668,6496,0
5675,6546,0
5684,6592,0
5692,6626,0
5703,6653,0
5713,6666,0
5721,6669,1
5845,6648,0
5827,6652,0
5835,6651,0
5827,6652,0
5836,6655,1
