safe from Rose. &quot;See here, Sam,&quot;
710
1058,2692,0
1061,2692,0
1057,2685,0
1051,2677,0
1038,2668,0
1018,2660,0
993,2656,0
969,2663,0
949,2666,0
934,2676,0
924,2692,0
923,2700,0
932,2712,0
950,2729,0
972,2743,0
995,2760,0
1015,2780,0
1032,2796,0
1042,2812,0
1045,2828,0
1042,2841,0
1028,2852,0
1004,2859,0
977,2867,0
929,2793,0
971,2767,0
1018,2744,1
1175,2703,0
1172,2699,0
1170,2695,0
1165,2683,0
1161,2680,0
1153,2668,0
1146,2668,0
1136,2672,0
1119,2688,0
1099,2717,0
1078,2749,0
1059,2777,0
1050,2805,0
1054,2820,0
1065,2828,0
1082,2821,0
1104,2809,0
1126,2792,0
1144,2767,0
1158,2744,0
1161,2719,0
1160,2707,0
1156,2696,0
1154,2695,0
1154,2700,0
1155,2707,0
1153,2727,0
1155,2755,0
1160,2784,0
1167,2803,0
1179,2818,0
1192,2830,0
1201,2830,1
1382,2610,0
1383,2598,0
1378,2590,0
1372,2579,0
1366,2568,0
1361,2560,0
1353,2549,0
1339,2538,0
1323,2532,0
1307,2534,0
1286,2539,0
1263,2558,0
1242,2588,0
1226,2625,0
1324,2741,0
1377,2740,0
1425,2730,0
1460,2709,0
1491,2704,0
1498,2690,0
1496,2683,0
1482,2668,0
1459,2659,0
1428,2656,0
1393,2657,0
1362,2673,0
1337,2692,0
1320,2713,0
1317,2730,0
1330,2753,0
1350,2758,0
1387,2767,0
1432,2765,0
1476,2758,0
1517,2752,1
2084,2519,1
2089,2504,0
2085,2497,0
2082,2494,0
2076,2487,0
2072,2485,0
2063,2480,0
2054,2480,0
2040,2481,0
2025,2492,0
2010,2511,0
1998,2533,0
1987,2562,0
1980,2603,0
1976,2652,0
1975,2699,0
1978,2744,0
1985,2784,0
1993,2815,0
1999,2843,0
2001,2864,0
2000,2872,0
1997,2873,0
1990,2867,0
1983,2857,1
1878,2681,0
1877,2673,0
1885,2670,0
1896,2662,0
1915,2656,0
1947,2650,0
1988,2643,0
2029,2632,0
2067,2630,0
2098,2639,0
2115,2649,0
2128,2670,0
2133,2694,0
2130,2721,0
2123,2741,0
2118,2756,0
2118,2765,0
2114,2762,0
2116,2762,0
2118,2743,0
2129,2717,0
2141,2687,0
2150,2652,0
2159,2631,0
2160,2625,0
2159,2622,0
2162,2625,0
2162,2638,0
2162,2660,0
2164,2681,0
2177,2706,0
2196,2724,0
2218,2727,0
2244,2724,0
2272,2720,0
2293,2706,0
2308,2690,0
2320,2675,0
2324,2655,0
2318,2636,0
2306,2619,0
2292,2608,0
2270,2601,0
2241,2598,0
2210,2608,0
2179,2626,0
2151,2647,0
2128,2661,0
2121,2668,0
2128,2674,0
2142,2673,0
2160,2665,0
2179,2653,1
2340,2589,0
2340,2589,0
2341,2593,0
2339,2598,0
2338,2612,0
2332,2633,0
2318,2675,0
2316,2690,0
2318,2698,0
2321,2701,0
2321,2701,0
2323,2700,0
2327,2685,0
2338,2657,0
2362,2636,0
2386,2586,0
2390,2598,0
2387,2613,0
2383,2643,0
2377,2673,0
2372,2697,0
2371,2711,0
2371,2717,0
2379,2707,0
2388,2680,0
2405,2649,0
2429,2618,0
2452,2591,0
2472,2575,0
2485,2572,0
2492,2578,0
2493,2586,0
2494,2614,0
2490,2643,0
2492,2669,0
2502,2687,0
2514,2694,0
2537,2700,0
2562,2694,0
2594,2685,0
2623,2667,0
2655,2647,0
2681,2620,1
2823,2452,0
2823,2452,0
2822,2453,0
2827,2453,0
2820,2465,0
2815,2488,0
2806,2520,0
2806,2560,0
2798,2594,0
2796,2630,0
2795,2655,0
2800,2675,0
2803,2684,0
2803,2684,0
2801,2680,0
2795,2665,0
2790,2639,0
2787,2606,0
2787,2568,0
2794,2523,0
2809,2482,0
2830,2446,0
2856,2416,0
2884,2403,0
2904,2403,0
2918,2412,0
2924,2429,0
2922,2456,0
2905,2490,0
2889,2523,0
2873,2545,0
2847,2560,0
2827,2568,0
2828,2572,0
2818,2565,0
2826,2559,0
2822,2548,0
2826,2545,0
2830,2547,0
2824,2545,0
2827,2554,0
2836,2572,0
2844,2586,0
2861,2603,0
2876,2617,0
2897,2630,0
2917,2637,0
2934,2639,0
2953,2640,0
2966,2634,0
2978,2625,0
2987,2613,0
3006,2598,1
3052,2530,0
3048,2522,0
3047,2513,0
3039,2504,0
3031,2501,0
3024,2501,0
3011,2501,0
2996,2513,0
2974,2537,0
2963,2567,0
2955,2598,0
2955,2618,0
2965,2634,0
2987,2644,0
3012,2644,0
3045,2634,0
3067,2620,0
3083,2603,0
3092,2586,0
3090,2567,0
3082,2552,0
3062,2538,0
3036,2533,0
3025,2531,0
3025,2531,0
3028,2529,0
3047,2523,0
3069,2521,1
3223,2535,0
3218,2529,0
3210,2520,0
3200,2513,0
3181,2508,0
3158,2507,0
3141,2511,0
3123,2516,0
3115,2528,0
3112,2537,0
3118,2547,0
3138,2562,0
3170,2577,0
3196,2586,0
3224,2598,0
3247,2610,0
3259,2621,0
3260,2631,0
3246,2638,0
3223,2647,0
3189,2655,0
3155,2663,0
3116,2663,0
3085,2658,0
3067,2651,0
3057,2639,0
3066,2627,0
3081,2609,0
3110,2596,1
3270,2627,0
3269,2627,0
3267,2625,0
3269,2622,0
3280,2613,0
3296,2598,0
3322,2579,0
3356,2560,0
3384,2537,0
3400,2516,0
3409,2502,0
3405,2489,0
3395,2482,0
3373,2481,0
3339,2492,0
3302,2516,0
3269,2542,0
3259,2567,0
3267,2588,0
3294,2606,0
3341,2611,0
3398,2608,0
3459,2603,0
3510,2605,0
3545,2609,1
3660,2581,0
3655,2586,0
3648,2588,0
3645,2591,0
3643,2593,0
3638,2592,0
3638,2599,0
3636,2607,0
3638,2610,1
3890,2282,0
3894,2277,0
3890,2275,0
3888,2279,0
3882,2287,0
3871,2309,0
3859,2323,0
3855,2336,0
3856,2340,1
3916,2282,0
3913,2285,0
3906,2294,0
3898,2313,0
3884,2331,0
3872,2351,0
3871,2367,0
3876,2373,1
4160,2333,0
4158,2328,0
4152,2323,0
4142,2318,0
4121,2312,0
4095,2314,0
4066,2320,0
4038,2333,0
4020,2349,0
4007,2366,0
4013,2386,0
4023,2398,0
4051,2414,0
4091,2428,0
4134,2444,0
4166,2462,0
4188,2478,0
4205,2497,0
4205,2509,0
4198,2519,0
4171,2528,0
4132,2540,0
4087,2545,0
4050,2547,0
4020,2545,0
4001,2536,0
4002,2530,0
