pillow.&quot; Oh, my God! All right, you
579
529,2509,0
526,2512,0
528,2529,0
533,2564,0
538,2606,0
545,2660,0
547,2698,0
548,2730,0
545,2750,1
492,2529,0
491,2516,0
500,2498,0
519,2482,0
547,2463,0
581,2455,0
618,2455,0
652,2458,0
679,2475,0
694,2493,0
698,2522,0
687,2549,0
665,2569,0
636,2593,0
603,2610,0
571,2617,0
542,2627,0
526,2623,0
522,2622,0
527,2611,0
542,2598,1
762,2516,0
764,2516,0
764,2532,0
763,2552,0
762,2576,1
908,2346,0
910,2358,0
910,2378,0
910,2410,0
907,2442,0
901,2478,0
895,2521,0
887,2553,0
883,2581,0
880,2596,0
881,2601,0
885,2593,0
895,2574,1
994,2339,0
991,2347,0
992,2375,0
990,2411,0
987,2455,0
983,2499,0
979,2538,0
974,2574,0
970,2606,0
970,2622,0
977,2631,0
992,2615,1
1131,2473,0
1120,2480,0
1113,2509,0
1105,2533,0
1103,2561,0
1107,2580,0
1115,2593,0
1126,2596,0
1137,2592,0
1148,2575,0
1161,2551,0
1170,2515,0
1175,2483,0
1171,2455,0
1161,2439,0
1150,2440,0
1138,2444,0
1130,2456,0
1130,2472,0
1138,2488,0
1154,2507,1
1271,2481,0
1273,2485,0
1271,2501,0
1264,2525,0
1259,2554,0
1257,2582,0
1259,2602,0
1262,2610,0
1271,2610,0
1286,2600,0
1306,2574,0
1329,2543,0
1348,2514,0
1363,2495,0
1372,2495,0
1377,2502,0
1378,2518,0
1384,2545,0
1390,2565,0
1403,2579,0
1419,2589,0
1437,2591,0
1454,2584,0
1475,2572,0
1498,2548,0
1520,2516,0
1537,2485,0
1551,2469,1
1633,2594,0
1631,2595,0
1632,2595,0
1638,2598,0
1641,2593,1
1865,2262,0
1862,2276,0
1860,2294,0
1856,2304,0
1857,2311,1
1900,2266,0
1895,2285,0
1888,2305,0
1882,2316,0
1885,2328,1
2181,2516,0
2166,2549,0
2162,2585,0
2167,2614,0
2181,2634,0
2200,2647,0
2223,2642,0
2250,2625,0
2277,2593,0
2305,2557,0
2324,2511,0
2338,2467,0
2347,2430,0
2346,2398,0
2333,2374,0
2316,2364,0
2293,2359,0
2272,2362,0
2255,2371,0
2243,2381,0
2236,2390,1
2410,2351,0
2404,2374,0
2400,2409,0
2393,2450,0
2385,2491,0
2378,2528,0
2370,2554,0
2367,2569,0
2363,2567,0
2371,2563,0
2389,2549,0
2410,2514,0
2432,2478,0
2454,2460,0
2464,2454,0
2475,2467,0
2476,2485,0
2476,2513,0
2473,2547,0
2468,2582,0
2463,2613,1
2628,2607,0
2617,2628,0
2609,2661,0
2594,2689,0
2586,2713,1
2889,2476,0
2879,2489,0
2878,2515,0
2876,2537,0
2874,2549,0
2873,2550,0
2872,2545,0
2879,2534,0
2884,2505,0
2895,2478,0
2902,2446,0
2914,2425,0
2925,2417,0
2929,2419,0
2938,2432,0
2943,2449,0
2948,2471,0
2947,2492,0
2949,2511,0
2949,2521,0
2953,2522,0
2959,2518,0
2977,2508,0
2994,2485,0
3011,2460,0
3025,2443,0
3033,2436,0
3036,2438,0
3040,2451,0
3041,2471,0
3042,2491,0
3047,2508,0
3052,2519,1
3123,2441,0
3124,2446,0
3121,2465,0
3110,2480,0
3106,2499,0
3112,2516,0
3123,2522,0
3134,2519,0
3149,2510,0
3167,2494,0
3182,2475,0
3193,2459,0
3201,2453,0
3209,2462,0
3209,2482,0
3206,2512,0
3204,2551,0
3202,2596,0
3195,2639,0
3185,2679,0
3176,2718,0
3160,2746,0
3147,2762,0
3133,2762,0
3115,2747,0
3099,2729,0
3091,2714,0
3088,2701,0
3095,2680,1
3590,2274,0
3576,2273,0
3562,2282,0
3537,2300,0
3512,2328,0
3484,2364,0
3459,2404,0
3439,2442,0
3431,2480,0
3431,2514,0
3443,2536,0
3467,2552,0
3494,2552,0
3536,2549,0
3573,2534,0
3607,2514,0
3633,2493,0
3647,2472,0
3652,2454,0
3648,2439,0
3628,2427,0
3611,2427,0
3592,2431,0
3575,2432,0
3572,2435,0
3576,2437,0
3597,2437,0
3624,2431,0
3650,2426,0
3672,2425,0
3681,2427,0
3682,2432,0
3681,2451,0
3668,2472,0
3661,2497,0
3655,2522,0
3648,2542,0
3645,2555,0
3649,2564,0
3658,2565,0
3677,2557,1
3831,2435,0
3822,2427,0
3814,2425,0
3797,2427,0
3780,2441,0
3766,2463,0
3754,2489,0
3752,2510,0
3758,2528,0
3773,2539,0
3795,2540,0
3818,2526,0
3841,2504,0
3861,2481,0
3867,2453,0
3866,2431,0
3848,2415,0
3831,2411,0
3807,2413,0
3790,2422,0
3784,2435,1
4034,2444,0
4029,2443,0
4017,2445,0
3998,2458,0
3974,2474,0
3954,2493,0
3937,2514,0
3936,2535,0
3938,2544,0
3948,2545,0
3969,2538,0
3993,2514,0
4022,2484,0
4046,2448,0
4072,2413,0
4088,2379,0
4094,2350,0
4092,2340,0
4088,2338,0
4091,2347,0
4077,2373,0
4068,2405,0
4068,2440,0
4075,2469,0
4087,2485,1
4258,2266,0
4266,2270,0
4268,2282,0
4270,2299,0
4268,2317,0
4269,2338,0
4258,2353,0
4258,2374,0
4251,2391,0
4244,2408,0
4239,2422,0
4244,2436,0
4249,2450,1
4251,2548,0
4243,2546,0
4244,2545,0
4244,2545,0
4245,2543,1
4601,2574,0
4601,2552,0
4618,2527,0
4623,2492,0
4647,2462,0
4662,2424,0
4682,2384,0
4705,2345,0
4731,2310,0
4749,2277,0
4765,2258,0
4772,2246,0
4776,2248,0
4775,2256,0
4774,2284,0
4768,2325,0
4763,2374,0
4753,2422,0
4746,2463,0
4739,2496,0
4733,2521,0
4732,2543,0
4738,2557,0
4733,2557,0
4724,2548,1
4634,2453,0
4635,2451,0
4646,2449,0
4666,2446,0
4701,2444,0
4739,2437,0
4768,2429,0
4787,2417,0
4804,2400,1
4871,2251,0
4874,2253,0
4874,2270,0
4870,2301,0
4865,2341,0
4855,2384,0
4845,2425,0
4833,2466,0
4825,2496,0
4816,2516,0
4817,2522,0
4821,2515,0
4832,2492,1
4928,2288,0
4922,2314,0
4910,2351,0
4898,2397,0
4889,2443,0
4879,2483,0
4876,2519,0
4876,2541,0
4891,2555,1
5156,2438,0
5156,2437,0
5159,2440,0
5163,2458,0
5167,2482,0
5171,2507,0
5174,2527,0
5179,2535,0
5179,2535,0
5176,2532,0
5177,2521,0
5185,2499,0
5197,2470,0
5207,2444,0
5221,2426,0
5238,2412,0
5257,2410,0
5279,2412,0
5298,2418,0
5314,2422,0
5333,2429,1
5367,2443,0
5367,2458,0
5365,2480,0
5359,2499,0
5354,2517,0
5354,2533,0
5354,2533,0
5349,2526,1
5385,2354,0
5377,2344,0
5386,2345,0
5378,2342,0
5393,2349,1
5495,2431,0
5487,2429,0
5478,2437,0
5465,2445,0
5455,2457,0
5445,2467,0
5436,2476,0
5433,2480,0
5441,2482,0
5458,2475,0
5476,2458,0
5490,2440,0
5506,2427,0
5513,2420,0
5518,2422,0
5518,2438,0
5510,2463,0
5510,2498,0
5508,2533,0
5499,2569,0
5489,2611,0
5477,2650,0
5463,2689,0
5450,2721,0
5437,2735,0
5427,2735,0
5419,2726,0
5408,2704,0
5396,2678,1
5627,2288,0
5635,2299,0
5638,2332,0
5639,2374,0
5627,2416,0
5620,2449,0
5618,2470,0
5619,2478,0
5623,2480,0
5634,2474,0
5651,2451,0
5680,2417,0
5704,2388,0
5730,2370,0
5740,2367,0
5757,2380,0
5757,2406,0
5753,2433,0
5745,2466,0
5745,2495,0
5733,2509,1
5899,2269,0
5897,2273,0
5892,2294,0
5879,2324,0
5863,2360,0
5846,2396,0
5846,2425,0
5843,2448,0
5849,2463,0
5863,2471,0
5885,2473,0
5909,2468,0
5931,2461,1
5801,2416,0
5811,2415,0
5836,2408,0
5875,2400,0
5911,2388,1
6037,2526,0
6035,2528,0
6027,2546,0
6020,2579,0
6000,2610,1
6315,2394,0
6324,2396,0
6324,2403,0
6329,2424,0
6328,2445,0
6336,2456,0
6346,2463,0
6357,2460,0
6368,2453,0
6383,2438,0
6399,2422,0
6411,2404,0
6425,2392,0
6428,2385,0
6431,2388,0
6425,2403,0
6418,2429,0
6402,2456,0
6394,2493,0
6387,2532,0
6377,2573,0
6363,2604,0
6353,2633,0
6331,2652,0
6314,2668,0
6295,2671,0
6280,2665,0
6273,2644,0
6273,2616,1
6496,2398,0
6507,2401,0
6507,2411,0
6503,2432,0
6506,2456,0
6515,2478,0
6531,2490,0
6547,2493,0
6565,2492,0
6570,2480,0
6580,2467,0
6584,2448,0
6576,2425,0
6568,2402,0
6551,2388,0
6539,2379,0
6539,2377,0
6541,2381,0
6550,2393,0
6566,2405,0
6592,2415,0
6621,2420,0
6652,2418,0
6679,2413,0
6698,2410,0
6706,2412,0
6707,2411,0
6701,2422,0
6696,2437,0
6691,2449,0
6691,2460,0
6693,2465,0
6701,2466,0
6717,2461,0
6732,2444,0
6753,2425,0
6779,2401,0
6799,2384,0
6803,2373,0
6807,2373,0
6811,2383,0
6814,2398,0
6816,2418,0
6821,2439,0
6829,2458,0
6847,2469,0
6870,2474,0
6896,2466,0
6922,2452,1
