hand. After all, he reflected,
580
1138,3904,0
1137,3928,0
1137,3964,0
1134,3988,0
1135,4028,0
1138,4060,0
1147,4088,0
1150,4096,0
1153,4096,0
1153,4100,0
1153,4096,0
1150,4092,0
1147,4075,0
1142,4048,0
1144,4024,0
1146,4000,0
1157,3988,0
1171,3979,0
1192,3979,0
1205,3982,0
1219,3998,0
1229,4022,0
1242,4045,0
1250,4061,0
1254,4073,0
1259,4084,0
1261,4088,0
1265,4096,1
1365,3962,0
1349,3951,0
1327,3952,0
1311,3978,0
1295,3998,0
1286,4023,0
1285,4055,0
1298,4075,0
1309,4077,0
1324,4085,0
1339,4085,0
1351,4071,0
1364,4062,0
1370,4038,0
1375,4009,0
1381,3969,0
1381,3969,0
1382,3968,0
1383,3976,0
1385,3997,0
1410,4058,0
1418,4062,1
1439,3976,0
1433,3976,0
1433,3981,0
1431,3992,0
1429,4017,0
1429,4049,0
1433,4068,0
1438,4085,0
1439,4076,0
1445,3995,0
1456,3957,0
1469,3945,0
1479,3939,0
1491,3946,0
1505,3957,0
1517,3980,0
1527,4007,0
1537,4029,0
1545,4045,0
1553,4052,0
1561,4059,0
1569,4058,0
1578,4053,0
1597,4042,1
1677,3937,0
1657,3936,0
1633,3940,0
1604,3956,0
1582,3988,0
1575,4013,0
1581,4040,0
1592,4055,0
1607,4065,0
1625,4067,0
1643,4060,0
1662,4045,0
1680,4026,0
1697,3995,0
1712,3964,0
1720,3923,0
1725,3889,0
1729,3868,0
1730,3860,0
1728,3852,0
1725,3853,0
1725,3852,0
1727,3860,0
1726,3881,0
1725,3918,0
1727,3966,0
1735,4009,0
1741,4040,0
1743,4056,0
1743,4069,0
1743,4072,0
1744,4076,0
1743,4080,1
1885,4013,0
1883,4014,0
1884,4021,0
1884,4026,0
1883,4034,0
1882,4038,0
1883,4042,0
1892,4040,0
1910,4036,1
2286,3781,0
2284,3794,0
2276,3830,0
2262,3881,0
2240,3925,0
2225,3976,0
2213,4005,0
2213,4026,0
2214,4025,0
2215,4021,0
2219,4003,0
2224,3960,0
2230,3903,0
2244,3858,0
2253,3812,0
2265,3805,0
2261,3801,0
2263,3810,0
2265,3825,0
2274,3860,0
2290,3905,0
2309,3945,0
2333,3980,0
2354,4003,0
2369,4015,0
2371,4018,0
2365,4015,0
2354,4015,0
2335,4000,1
2207,3944,0
2200,3945,0
2204,3949,0
2215,3945,0
2239,3934,0
2273,3924,0
2308,3917,0
2340,3911,1
2499,3783,0
2480,3800,0
2468,3831,0
2458,3860,0
2455,3882,0
2466,3908,0
2490,3937,0
2519,3960,0
2545,3976,0
2567,3989,0
2582,4005,0
2591,4022,0
2594,4039,0
2590,4053,0
2578,4063,0
2567,4079,0
2548,4087,0
2526,4094,0
2504,4094,0
2478,4082,0
2451,4063,0
2422,4026,0
2408,3997,0
2403,3969,0
2408,3946,1
2447,3902,0
2452,3900,0
2467,3899,0
2486,3887,0
2507,3875,0
2534,3869,0
2557,3860,0
2577,3843,1
2634,3771,0
2630,3769,0
2631,3778,0
2630,3790,0
2630,3821,0
2630,3855,0
2634,3893,0
2635,3915,0
2639,3930,0
2639,3939,0
2638,3939,0
2642,3942,1
2586,3857,0
2577,3856,0
2578,3856,0
2590,3855,0
2610,3851,0
2635,3846,0
2663,3841,0
2690,3834,0
2711,3829,1
2707,3831,0
2708,3835,0
2707,3836,0
2710,3843,0
2717,3853,0
2732,3869,0
2747,3875,0
2760,3874,0
2771,3872,0
2784,3866,0
2789,3851,0
2794,3840,0
2789,3824,0
2778,3812,0
2767,3812,0
2756,3822,0
2738,3835,0
2726,3862,0
2721,3896,0
2727,3928,0
2741,3948,0
2759,3961,0
2781,3964,0
2807,3962,0
2835,3958,0
2857,3943,0
2874,3922,0
2889,3901,0
2895,3880,0
2893,3863,0
2890,3860,0
2893,3868,0
2890,3865,0
2888,3870,0
2893,3894,0
2900,3918,0
2907,3933,0
2910,3936,0
2911,3939,0
2913,3942,0
