interest in Haines. Anyhow, he thought,
852
1011,4576,0
1006,4588,0
1003,4616,0
1001,4656,0
1010,4712,0
1018,4772,0
1020,4816,0
1025,4840,0
1025,4840,1
1003,4436,0
1003,4436,0
1002,4435,0
1003,4436,0
1003,4444,0
1003,4439,0
1003,4448,0
1001,4460,0
1003,4472,1
1057,4789,0
1066,4828,0
1071,4857,0
1074,4872,0
1073,4876,0
1071,4869,0
1067,4861,0
1066,4837,0
1063,4804,0
1066,4768,0
1075,4724,0
1087,4688,0
1101,4660,0
1115,4640,0
1128,4636,0
1146,4636,0
1164,4640,0
1181,4655,0
1194,4683,0
1202,4714,0
1211,4755,0
1220,4791,0
1225,4822,0
1228,4846,0
1228,4858,0
1227,4862,0
1227,4866,0
1228,4866,0
1229,4862,1
1312,4495,0
1311,4498,0
1311,4498,0
1309,4506,0
1310,4518,0
1306,4538,0
1305,4570,0
1305,4615,0
1310,4674,0
1323,4742,0
1334,4801,0
1344,4853,0
1351,4885,0
1357,4896,0
1356,4896,0
1353,4880,0
1345,4857,1
1368,4691,0
1365,4691,0
1351,4696,0
1331,4698,0
1309,4702,0
1291,4703,0
1271,4708,0
1258,4705,1
1439,4799,0
1455,4809,0
1469,4808,0
1486,4811,0
1502,4805,0
1515,4792,0
1522,4775,0
1524,4751,0
1514,4728,0
1496,4710,0
1471,4691,0
1447,4689,0
1427,4703,0
1420,4731,0
1421,4763,0
1433,4803,0
1452,4845,0
1477,4883,0
1508,4905,0
1537,4910,0
1558,4908,1
1556,4744,0
1563,4763,0
1568,4790,0
1573,4823,0
1577,4862,0
1583,4893,0
1587,4917,0
1590,4924,0
1587,4917,0
1586,4898,0
1576,4862,0
1569,4831,0
1563,4803,0
1563,4792,0
1566,4787,0
1578,4789,0
1598,4799,0
1621,4813,0
1645,4826,0
1668,4835,0
1690,4845,0
1703,4839,0
1712,4825,0
1716,4809,0
1708,4777,0
1696,4759,0
1680,4746,0
1666,4747,0
1657,4756,0
1651,4773,0
1656,4801,0
1660,4836,0
1674,4863,0
1696,4892,0
1720,4901,0
1746,4905,0
1775,4898,1
1841,4774,0
1839,4766,0
1830,4755,0
1814,4750,0
1792,4745,0
1771,4744,0
1757,4751,0
1751,4760,0
1754,4775,0
1763,4794,0
1783,4816,0
1813,4839,0
1843,4862,0
1877,4893,0
1901,4922,0
1911,4949,0
1915,4961,0
1906,4970,0
1879,4967,0
1841,4961,0
1805,4950,0
1778,4929,0
1766,4911,0
1763,4891,1
1917,4509,0
1915,4509,0
1911,4509,0
1908,4522,0
1906,4543,0
1905,4576,0
1913,4623,0
1949,4780,0
1954,4839,0
1966,4886,0
1973,4921,0
1978,4936,0
1974,4934,0
1983,4915,0
1983,4895,1
2000,4781,0
1999,4782,0
1990,4784,0
1969,4783,0
1946,4780,0
1923,4776,0
1905,4771,0
1891,4765,1
2214,4708,0
2217,4712,0
2219,4724,0
2212,4746,0
2215,4794,0
2223,4850,0
2229,4899,0
2227,4941,0
2227,4969,0
2228,4977,0
2227,4965,0
2231,4932,0
2229,4878,1
2194,4541,0
2196,4532,0
2200,4531,0
2199,4531,0
2200,4539,0
2201,4551,0
2205,4575,0
2212,4598,1
2262,4758,0
2264,4761,0
2265,4761,0
2265,4757,0
2263,4758,0
2267,4761,0
2264,4770,0
2268,4799,0
2265,4824,0
2275,4867,0
2276,4907,0
2281,4935,0
2287,4951,0
2285,4955,0
2284,4951,0
2279,4927,0
2285,4893,0
2289,4850,0
2304,4810,0
2319,4764,0
2338,4726,0
2355,4700,0
2374,4690,0
2392,4694,0
2412,4709,0
2431,4737,0
2447,4777,0
2460,4824,0
2458,4866,0
2458,4899,0
2456,4912,0
2458,4917,0
2456,4913,1
2756,4512,0
2756,4512,0
2754,4513,0
2755,4526,0
2750,4541,0
2750,4574,0
2748,4613,0
2745,4657,0
2749,4712,0
2745,4776,0
2746,4832,0
2748,4877,0
2751,4910,0
2750,4928,0
2750,4927,0
2749,4924,0
2753,4906,1
2832,4521,0
2840,4526,0
2847,4536,0
2850,4561,0
2851,4600,0
2852,4655,0
2850,4717,0
2841,4780,0
2842,4843,0
2842,4895,0
2837,4922,0
2837,4934,0
2835,4927,1
2858,4747,0
2857,4748,0
2842,4744,0
2820,4745,0
2794,4750,0
2772,4754,0
2750,4753,0
2738,4758,0
2731,4756,1
3071,4759,0
3074,4748,0
3072,4732,0
3069,4721,0
3057,4700,0
3041,4690,0
3018,4673,0
2989,4672,0
2962,4676,0
2933,4692,0
2907,4715,0
2887,4749,0
2880,4786,0
2890,4825,0
2951,4887,0
2989,4902,0
3021,4902,0
3046,4891,0
3065,4875,0
3073,4846,0
3076,4783,0
3072,4763,0
3073,4758,0
3074,4763,0
3081,4785,0
3087,4822,0
3091,4868,0
3102,4916,0
3112,4951,0
3122,4972,0
3126,4975,1
3151,4693,0
3153,4705,0
3157,4729,0
3158,4755,0
3160,4799,0
3158,4839,0
3162,4890,0
3156,4919,0
3155,4932,0
3157,4936,0
3153,4928,0
3147,4905,0
3148,4874,1
3107,4554,0
3107,4550,0
3107,4550,0
3109,4554,0
3105,4560,0
3107,4572,0
3110,4584,0
3115,4595,0
3125,4613,1
3215,4756,0
3216,4755,0
3218,4763,0
3216,4773,0
3216,4794,0
3219,4824,0
3221,4859,0
3221,4894,0
3222,4929,0
3224,4953,0
3228,4970,0
3226,4975,0
3227,4966,0
3231,4955,0
3235,4931,0
3245,4905,0
3252,4875,0
3264,4847,0
3274,4825,0
3284,4816,0
3293,4812,0
3306,4823,0
3316,4840,0
3327,4871,0
3332,4904,0
3333,4935,0
3330,4958,0
3329,4968,0
3328,4973,1
3330,4856,0
3342,4868,0
3352,4872,0
3369,4882,0
3390,4890,0
3409,4885,0
3431,4874,0
3444,4854,0
3460,4833,0
3460,4805,0
3452,4778,0
3439,4767,0
3422,4757,0
3412,4767,0
3398,4782,0
3392,4812,0
3391,4849,0
3397,4891,0
3409,4929,0
3428,4960,0
3450,4980,0
3475,4985,0
3501,4973,0
3529,4950,0
3557,4922,1
3612,4806,0
3612,4792,0
3604,4783,0
3591,4776,0
3573,4772,0
3551,4770,0
3533,4776,0
3513,4778,0
3501,4788,0
3502,4801,0
3506,4813,0
3521,4828,0
3547,4845,0
3577,4866,0
3604,4888,0
3626,4917,0
3637,4938,0
3641,4953,0
3639,4964,0
3627,4970,0
3606,4977,0
3583,4980,0
3562,4982,0
3544,4973,0
3536,4968,0
3531,4958,0
3532,4948,0
3537,4936,1
3769,4970,0
3769,4970,0
3761,4971,0
3742,4977,0
3728,4980,0
3723,4982,0
3716,4982,0
3718,4986,0
3715,4987,1
4263,4580,0
4261,4581,0
4261,4587,0
4254,4606,0
4240,4636,0
4220,4674,0
4193,4722,0
4167,4783,0
4143,4847,0
4123,4903,0
4113,4947,0
4109,4974,0
4109,4987,0
4107,4984,0
4115,4965,0
4133,4934,0
4150,4880,0
4172,4823,0
4194,4770,0
4217,4716,0
4237,4658,0
4253,4612,0
4263,4574,0
4270,4550,0
4275,4542,0
4275,4541,0
4277,4546,0
4280,4567,0
4284,4609,0
4291,4669,0
4304,4737,0
4321,4813,0
4338,4884,0
4346,4937,0
4360,4982,0
4362,5004,0
4360,5006,0
4349,4994,0
4337,4968,0
4327,4931,1
4290,4777,0
4274,4777,0
4256,4786,0
4228,4789,0
4204,4796,0
4179,4799,0
4160,4802,0
4148,4806,0
4146,4806,1
4381,4751,0
4381,4756,0
4382,4765,0
4384,4780,0
4386,4796,0
4391,4828,0
4394,4865,0
4396,4913,0
4402,4952,0
4408,4982,0
4410,4994,0
4409,4996,0
4410,4991,0
4412,4965,0
4415,4929,0
4423,4893,0
4432,4853,0
4441,4821,0
4459,4799,0
4470,4785,0
4485,4784,0
4497,4791,0
4505,4804,0
4514,4828,0
4517,4860,0
4521,4893,0
4517,4925,0
4516,4950,0
4509,4965,0
4511,4973,0
4510,4974,0
4510,4974,0
4509,4969,0
4510,4968,0
4512,4972,0
4512,4972,0
4514,4971,1
4665,4859,0
4682,4852,0
4696,4850,0
4698,4850,0
4693,4853,0
4689,4862,0
4680,4888,0
4664,4925,0
4650,4975,0
4637,5025,0
4620,5067,0
4615,5100,0
4613,5122,0
4610,5123,0
4607,5120,0
4603,5104,0
4613,5077,1
4662,4946,0
4671,4960,0
4671,4961,0
4669,4962,0
4665,4955,0
4654,4943,0
4641,4918,0
4630,4891,0
4619,4864,0
4606,4835,0
4596,4812,0
4587,4789,0
4580,4768,1
4723,4764,0
4727,4826,0
4729,4886,0
4732,4934,0
4733,4969,0
4735,4982,0
4735,4982,0
4732,4970,0
4731,4940,0
4732,4903,0
4742,4865,0
4753,4826,0
4766,4790,0
4781,4774,0
4794,4768,0
4806,4775,0
4821,4794,0
4831,4821,0
4838,4852,0
4839,4891,0
4839,4922,0
4837,4949,0
4836,4965,0
4839,4973,0
4842,4970,1
5004,4892,0
5010,4891,0
5008,4882,0
4995,4862,0
4979,4845,0
4960,4828,0
4929,4813,0
4905,4813,0
4874,4822,0
4861,4842,0
4856,4867,0
4864,4892,0
4876,4917,0
4900,4939,0
4929,4963,0
4954,4968,0
4979,4963,0
5000,4946,0
5010,4917,0
5023,4891,0
5030,4859,1
5045,4809,0
5043,4806,0
5043,4806,0
5045,4810,0
5045,4820,0
5045,4840,0
5047,4866,0
5053,4902,0
5065,4939,0
5076,4966,0
5088,4982,0
5099,4989,0
5110,4985,0
5120,4966,0
5132,4935,0
5132,4898,0
5136,4874,0
5137,4862,0
5143,4863,0
5150,4877,0
5163,4903,0
5176,4929,0
5187,4946,0
5199,4963,0
5207,4971,0
5213,4965,0
5214,4949,0
5212,4919,0
5209,4885,0
5207,4860,0
5204,4842,0
5201,4828,0
5204,4819,1
5304,4972,0
5306,4970,0
5306,4970,0
5303,4983,0
5291,5009,0
5271,5042,0
5252,5069,0
5243,5092,0
5245,5106,1
5469,4605,0
5467,4612,0
5460,4623,0
5458,4649,0
5455,4685,0
5458,4738,0
5453,4797,0
5453,4864,0
5449,4916,0
5444,4959,0
5441,4989,0
5439,5001,0
5441,4994,0
5437,4965,0
5438,4931,0
5445,4893,0
5455,4851,0
5469,4810,0
5484,4780,0
5496,4761,0
5510,4760,0
5528,4776,0
5540,4798,0
5552,4830,0
5560,4867,0
5574,4986,0
5573,5014,0
5575,5029,0
5578,5032,0
5575,5023,1
5605,4912,0
5609,4926,0
5614,4938,0
5616,4946,0
5629,4951,0
5643,4954,0
5664,4956,0
5682,4944,0
5695,4932,0
5706,4910,0
5712,4886,0
5709,4863,0
5701,4848,0
5693,4839,0
5676,4838,0
5654,4848,0
5638,4876,0
5634,4906,0
5646,4946,0
5659,4983,0
5680,5017,0
5709,5040,0
5742,5058,0
5773,5062,0
5801,5057,1
5996,4662,0
5994,4669,0
5988,4688,0
5984,4717,0
5984,4752,0
5985,4803,0
5985,4861,0
5991,4913,0
5993,4968,0
5993,5014,0
6002,5050,0
6003,5067,0
6005,5081,1
6059,4870,0
6047,4865,0
6029,4866,0
6003,4871,0
5970,4883,0
5939,4886,0
5916,4886,0
5897,4888,0
5883,4885,1
6038,4657,0
6038,4664,0
6039,4673,0
6042,4690,0
6042,4712,0
6044,4745,0
6049,4787,0
6059,4835,0
6062,4895,0
6066,4997,0
6062,5028,0
6066,5042,0
6067,5040,0
6068,5033,0
6066,5013,0
6071,4980,0
6078,4949,0
6085,4918,0
6104,4899,0
6116,4886,0
6128,4890,0
6143,4898,0
6157,4917,0
6162,4941,0
6165,4962,0
6165,4985,0
6161,5007,0
6158,5021,0
6153,5033,0
6153,5038,0
6153,5038,0
6150,5040,1
6292,4995,0
6295,4992,0
6297,4990,0
6298,4983,0
6295,4970,0
6283,4953,0
6264,4933,0
6235,4922,0
6211,4924,0
