with Commander Rodgers, but, when Tarrant
842
617,3339,0
606,3338,0
604,3337,0
603,3345,0
604,3357,0
607,3374,0
610,3403,0
616,3436,0
620,3465,0
624,3477,0
627,3478,0
633,3467,0
638,3439,0
641,3416,0
643,3403,0
644,3399,0
645,3399,0
649,3416,0
658,3433,0
667,3447,0
679,3460,0
693,3474,0
709,3480,0
719,3469,0
724,3453,0
732,3434,0
736,3402,0
738,3374,0
738,3362,0
736,3366,0
733,3370,0
729,3378,0
731,3390,1
789,3339,1
797,3348,0
801,3361,0
806,3385,0
813,3406,0
820,3423,0
825,3435,0
827,3439,0
830,3439,1
804,3216,0
798,3216,0
796,3211,0
799,3216,0
803,3216,1
866,3160,0
866,3169,0
869,3189,0
875,3222,0
878,3257,0
884,3306,0
892,3356,0
900,3395,0
900,3420,0
903,3440,0
906,3440,0
908,3436,0
908,3428,1
878,3327,0
877,3326,0
880,3327,0
890,3335,0
907,3348,0
924,3357,0
942,3361,0
958,3351,0
966,3330,0
973,3315,0
979,3299,0
982,3291,0
983,3275,1
977,3147,0
972,3151,0
970,3158,0
968,3187,0
967,3218,0
972,3259,0
976,3299,0
981,3339,0
982,3375,0
980,3395,0
982,3395,0
986,3392,0
998,3368,0
1015,3340,0
1035,3320,0
1051,3316,0
1065,3320,0
1078,3333,0
1088,3353,0
1093,3368,0
1097,3392,0
1102,3409,0
1112,3416,0
1127,3408,0
1147,3384,1
1429,3168,0
1428,3160,0
1425,3144,0
1421,3129,0
1414,3118,0
1404,3110,0
1387,3108,0
1367,3119,0
1341,3134,0
1318,3159,0
1298,3193,0
1281,3230,0
1269,3279,0
1264,3323,0
1271,3363,0
1288,3394,0
1310,3416,0
1331,3431,0
1352,3433,0
1371,3436,0
1388,3434,1
1510,3287,0
1504,3284,0
1495,3274,0
1484,3270,0
1471,3276,0
1457,3290,0
1442,3308,0
1434,3337,0
1431,3366,0
1438,3393,0
1450,3408,0
1462,3406,0
1474,3397,0
1483,3375,0
1492,3354,0
1498,3329,0
1500,3300,1
1556,3264,0
1556,3272,0
1555,3293,0
1551,3322,0
1549,3358,0
1550,3387,0
1553,3398,0
1558,3401,0
1568,3396,0
1578,3378,0
1592,3356,0
1602,3326,0
1612,3308,0
1619,3298,0
1626,3305,0
1628,3313,0
1631,3341,0
1634,3365,0
1638,3373,0
1649,3382,0
1660,3376,0
1675,3362,0
1692,3334,0
1713,3305,0
1728,3282,0
1742,3275,0
1750,3273,0
1757,3284,0
1760,3300,0
1758,3312,0
1759,3332,0
1759,3345,0
1763,3356,1
1824,3257,0
1826,3255,0
1826,3255,0
1825,3256,0
1826,3271,0
1829,3300,0
1833,3332,0
1833,3353,0
1838,3376,0
1838,3376,0
1841,3376,0
1845,3366,0
1851,3344,0
1861,3317,0
1869,3290,0
1876,3276,0
1882,3279,0
1884,3286,0
1888,3310,0
1893,3342,0
1896,3358,0
1901,3361,0
1911,3358,0
1928,3349,0
1942,3321,0
1959,3296,0
1973,3275,0
1983,3268,0
1985,3267,0
1989,3274,0
1994,3298,0
1993,3319,0
1995,3344,0
1994,3356,0
2000,3362,0
2008,3351,0
2023,3331,1
2109,3274,0
2108,3275,0
2103,3268,0
2096,3266,0
2088,3269,0
2075,3274,0
2061,3294,0
2047,3320,0
2037,3344,0
2040,3359,0
2048,3361,0
2061,3356,0
2079,3343,0
2094,3317,0
2111,3300,0
2124,3282,0
2135,3270,0
2138,3265,0
2139,3269,0
2140,3285,0
2139,3315,0
2137,3337,0
2139,3349,0
2146,3351,0
2156,3344,1
2195,3271,0
2196,3274,0
2195,3275,0
2195,3300,0
2191,3331,0
2190,3353,0
2193,3356,0
2199,3354,0
2208,3346,0
2220,3329,0
2235,3303,0
2247,3276,0
2258,3269,0
2263,3271,0
2265,3270,0
2271,3285,0
2276,3304,0
2275,3313,0
2282,3328,0
2289,3338,1
2384,3274,0
2385,3273,0
2389,3271,0
2393,3270,0
2393,3262,0
2390,3250,0
2385,3243,0
2376,3238,0
2365,3243,0
2349,3258,0
2336,3281,0
2330,3305,0
2330,3322,0
2335,3337,0
2340,3339,0
2348,3332,0
2363,3313,0
2381,3284,0
2395,3247,0
2409,3211,0
2420,3175,0
2427,3146,0
2427,3133,0
2425,3134,0
2418,3136,0
2408,3151,0
2403,3178,0
2398,3207,0
2399,3242,0
2401,3275,0
2409,3303,0
2424,3313,0
2443,3314,0
2463,3305,0
2483,3288,0
2504,3269,0
2523,3243,0
2540,3216,0
2548,3196,0
2547,3192,0
2543,3194,0
2531,3195,0
2518,3205,0
2509,3214,0
2507,3224,0
2509,3245,0
2513,3265,0
2523,3282,0
2536,3294,0
2551,3300,0
2567,3302,0
2580,3300,0
2589,3295,0
2601,3299,0
2603,3298,0
2607,3300,0
2610,3303,0
2607,3300,0
2606,3300,0
2608,3304,0
2608,3304,0
2607,3300,0
2609,3299,0
2611,3298,0
2608,3291,0
2603,3275,0
2600,3259,0
2598,3243,0
2595,3226,0
2603,3217,0
2619,3200,0
2639,3189,0
2650,3193,1
2921,3033,1
2925,3232,0
2922,3276,0
2924,3312,0
2926,3329,0
2927,3329,0
2928,3328,0
2926,3324,0
2925,3311,0
2924,3288,0
2921,3253,0
2919,3213,0
2920,3175,0
2919,3137,0
2918,3105,0
2920,3070,0
2933,3043,0
2943,3017,0
2959,3003,0
2973,2997,0
2982,2996,0
2994,3008,1
2996,3074,0
2985,3095,0
2969,3120,0
2948,3143,0
2929,3169,0
2912,3189,0
2902,3209,0
2897,3221,0
2907,3238,0
2924,3251,0
2946,3262,0
2972,3274,0
2996,3283,0
3022,3295,0
3041,3301,0
3059,3305,1
3154,3199,0
3145,3190,0
3142,3183,0
3132,3175,0
3123,3177,0
3105,3179,0
3090,3194,0
3072,3215,0
3062,3241,0
3059,3267,0
3069,3289,0
3082,3294,0
3104,3295,0
3121,3284,0
3138,3268,0
3151,3245,0
3160,3218,0
3170,3198,0
3167,3181,0
3160,3180,0
3149,3183,1
3267,3179,0
3261,3177,0
3257,3176,0
3249,3181,0
3233,3192,1
3210,3243,0
3202,3267,0
3204,3291,0
3204,3305,0
3210,3306,0
3219,3304,0
3230,3292,0
3243,3273,0
3255,3245,0
3262,3211,0
3272,3179,0
3280,3148,0
3286,3124,0
3278,3105,0
3278,3101,0
3267,3094,0
3262,3097,0
3260,3099,0
3258,3105,0
3259,3129,0
3259,3159,0
3269,3202,0
3273,3238,0
3278,3269,0
3290,3294,0
3296,3300,0
3304,3300,0
3317,3295,1
3402,3172,1
3351,3186,0
3344,3206,0
3336,3227,0
3332,3250,0
3334,3262,0
3349,3267,0
3368,3262,0
3382,3247,0
3397,3231,0
3409,3218,0
3414,3202,0
3422,3197,0
3423,3197,0
3419,3199,0
3421,3223,0
3416,3257,0
3409,3292,0
3407,3334,0
3403,3376,0
3398,3409,0
3388,3431,0
3377,3439,0
3371,3438,0
3366,3421,0
3361,3391,0
3371,3370,0
3380,3344,0
3395,3322,0
3411,3300,0
3428,3283,0
3448,3268,0
3464,3256,0
3477,3246,0
3491,3235,0
3505,3218,0
3519,3202,0
3528,3185,0
3533,3170,0
3530,3152,0
3525,3145,0
3520,3145,0
3506,3146,0
3493,3156,0
3483,3175,0
3475,3191,0
3479,3214,0
3491,3235,0
3502,3246,0
3519,3247,0
3539,3247,0
3553,3236,0
3572,3221,0
3587,3198,0
3598,3178,0
3604,3168,0
3600,3167,0
3599,3168,0
3597,3174,0
3588,3192,0
3585,3216,0
3587,3229,0
3592,3241,0
3593,3240,0
3597,3241,0
3600,3239,0
3603,3237,0
3606,3218,0
3613,3192,0
3624,3167,0
3629,3153,0
3637,3151,0
3643,3151,1
3749,3143,0
3753,3145,0
3752,3141,0
3747,3134,0
3737,3127,0
3728,3129,0
3713,3133,0
3702,3142,0
3699,3156,0
3699,3166,0
3706,3180,0
3715,3194,0
3725,3206,0
3728,3219,0
3725,3228,0
3723,3240,0
3713,3249,0
3698,3257,0
3684,3263,0
3670,3264,0
3667,3267,1
3810,3261,0
3807,3268,0
3796,3288,0
3788,3311,0
3781,3333,1
4014,3016,0
4013,3016,0
4012,3029,0
4010,3055,0
4006,3087,0
4005,3122,0
4010,3160,0
4013,3192,0
4020,3214,0
4029,3226,0
4045,3233,0
4058,3231,0
4069,3221,0
4083,3208,0
4095,3190,0
4100,3174,0
4099,3164,0
4094,3158,0
4082,3153,0
4060,3152,0
4039,3162,0
4023,3170,0
4017,3177,0
4018,3187,0
4029,3193,1
4158,3137,0
4151,3144,0
4147,3165,0
4143,3188,0
4141,3206,0
4144,3215,0
4150,3220,0
4155,3216,0
4169,3207,0
4179,3189,0
4192,3171,0
4208,3156,0
4217,3139,0
4222,3134,0
4225,3136,0
4227,3141,0
4230,3154,0
4230,3171,0
4231,3189,0
4233,3204,0
4241,3218,1
4353,2983,0
4352,2984,0
4352,2995,0
4351,3015,0
4350,3042,0
4349,3072,0
4347,3105,0
4351,3142,0
4353,3170,0
4355,3185,0
4361,3196,0
4363,3199,0
4363,3199,1
4304,3123,0
4307,3119,0
4325,3117,0
4348,3110,0
4374,3104,1
4471,3230,0
4473,3233,0
4467,3234,0
4467,3252,0
4454,3273,1
4657,3094,0
4657,3094,0
4652,3093,0
4656,3095,0
4652,3093,0
4654,3096,0
4655,3108,0
4657,3124,0
4661,3144,0
4661,3157,0
4666,3171,0
4671,3183,0
4683,3193,0
4693,3193,0
4702,3189,0
4707,3177,0
4712,3165,0
4717,3153,0
4718,3144,0
4716,3141,0
4719,3143,0
4718,3146,0
4724,3157,0
4729,3176,0
4734,3187,0
4743,3197,0
4751,3199,0
4758,3197,0
4763,3192,0
4769,3184,0
4772,3168,0
4774,3146,0
4776,3124,1
4825,2969,0
4829,2971,0
4828,2972,0
4832,2981,0
4834,3004,1
4856,3177,0
4852,3190,0
4854,3194,0
4856,3190,0
4860,3173,0
4864,3143,0
4878,3117,0
4883,3103,0
4891,3101,0
4895,3102,0
4900,3109,0
4903,3124,0
4909,3143,0
4914,3163,0
4920,3182,0
4924,3195,0
4933,3204,0
4936,3205,0
4944,3208,0
4958,3210,0
4969,3209,0
4979,3203,0
4990,3195,0
5002,3186,0
5016,3174,0
5026,3154,0
5035,3135,0
5043,3119,0
5045,3109,0
5040,3102,0
5031,3095,0
5028,3099,0
5018,3105,0
5006,3115,0
5001,3134,0
4997,3152,0
5003,3172,0
5014,3184,0
5026,3187,0
5041,3180,0
5062,3173,0
5079,3158,0
5091,3141,0
5100,3123,0
5109,3104,0
5114,3089,0
5114,3083,0
5113,3085,0
5110,3088,0
5110,3108,0
5107,3133,0
5112,3153,0
5117,3166,0
5129,3170,0
5142,3166,0
5154,3151,0
5166,3126,0
5186,3106,0
5197,3091,0
5202,3083,0
5204,3086,0
5207,3091,0
5214,3108,0
5215,3127,0
5223,3144,0
5225,3155,0
5234,3163,0
5245,3160,1
5456,2941,0
5456,2941,0
5457,2940,0
5460,2942,0
5462,2946,0
5465,2958,0
5469,2989,0
5475,3029,0
5476,3072,0
5479,3119,0
5477,3164,0
5479,3203,0
5477,3228,0
5483,3240,0
5486,3243,0
5488,3240,0
5489,3224,1
5362,2924,0
5366,2926,0
5371,2925,0
5389,2927,0
5414,2926,0
5451,2927,0
5494,2918,0
5535,2914,0
5576,2914,0
5604,2916,0
5631,2924,0
5642,2930,0
5654,2941,1
5655,3098,0
5656,3095,0
5655,3083,0
5653,3072,0
5644,3069,1
5605,3109,0
5586,3139,0
5581,3168,0
5576,3182,0
5583,3185,0
5600,3181,0
5615,3166,0
