Now, however, he had another
607
1338,1983,0
1323,1985,0
1319,1981,0
1323,1985,0
1320,1969,0
1316,1941,0
1314,1913,0
1310,1881,0
1305,1850,0
1297,1810,0
1291,1779,0
1286,1751,0
1281,1720,0
1278,1696,0
1274,1677,0
1269,1664,0
1269,1665,0
1268,1661,0
1268,1661,0
1268,1661,0
1269,1665,0
1273,1673,0
1281,1696,0
1291,1727,0
1302,1761,0
1314,1800,0
1327,1842,0
1344,1889,0
1360,1926,0
1377,1952,0
1394,1969,0
1408,1979,0
1426,1988,0
1435,1986,0
1445,1985,0
1453,1975,0
1463,1952,0
1470,1906,0
1482,1854,0
1488,1782,0
1497,1709,0
1503,1649,0
1505,1623,0
1498,1614,0
1494,1606,1
1579,1828,0
1582,1830,0
1582,1826,0
1584,1821,0
1582,1805,0
1581,1802,0
1579,1802,0
1570,1805,0
1556,1809,0
1549,1828,0
1540,1847,0
1539,1876,0
1546,1908,0
1553,1930,0
1565,1948,0
1587,1963,0
1607,1961,0
1631,1950,0
1652,1930,0
1669,1908,0
1675,1880,0
1674,1855,0
1664,1833,0
1649,1817,0
1631,1811,0
1612,1813,0
1594,1823,0
1582,1839,0
1574,1854,1
1731,1800,0
1732,1800,0
1732,1799,0
1741,1809,0
1749,1818,0
1751,1826,0
1759,1848,0
1763,1877,0
1765,1911,0
1768,1940,0
1773,1946,0
1787,1945,0
1805,1934,0
1819,1906,0
1838,1881,0
1848,1858,0
1854,1855,0
1854,1855,0
1865,1873,0
1876,1894,0
1883,1913,0
1892,1930,0
1901,1944,0
1908,1945,0
1919,1940,0
1936,1927,0
1957,1899,0
1978,1857,0
1998,1810,1
2071,1989,0
2069,1990,0
2070,1989,0
2072,1993,0
2070,1994,0
2064,2006,0
2049,2028,0
2038,2046,0
2033,2058,1
2451,1991,0
2449,1993,0
2446,1990,0
2444,1981,0
2439,1955,0
2436,1923,0
2429,1877,0
2424,1830,0
2422,1790,0
2417,1757,0
2415,1732,0
2415,1706,0
2410,1674,0
2409,1654,0
2408,1650,0
2407,1650,0
2403,1653,0
2398,1664,0
2396,1691,0
2393,1725,0
2392,1768,0
2389,1811,0
2390,1836,0
2396,1846,0
2408,1853,0
2423,1850,0
2443,1845,0
2463,1833,0
2485,1826,0
2502,1821,0
2516,1826,0
2523,1835,0
2531,1860,0
2536,1894,0
2531,1927,0
2531,1954,0
2536,1965,1
2700,1814,0
2700,1809,0
2700,1808,0
2700,1808,0
2698,1810,0
2690,1818,0
2675,1831,0
2659,1857,0
2639,1887,0
2629,1918,0
2627,1941,0
2627,1952,0
2641,1961,0
2655,1959,0
2675,1952,0
2692,1930,0
2709,1900,0
2720,1866,0
2724,1836,0
2719,1812,0
2703,1800,0
2687,1799,0
2668,1804,0
2659,1814,0
2654,1831,1
2764,1829,0
2769,1830,0
2769,1830,0
2777,1838,0
2786,1852,0
2790,1871,0
2794,1896,0
2799,1924,0
2810,1942,0
2820,1942,0
2833,1930,0
2850,1901,0
2866,1873,0
2876,1857,0
2877,1855,0
2879,1860,0
2885,1887,0
2891,1910,0
2902,1921,0
2909,1920,0
2928,1918,0
2943,1902,0
2966,1877,0
2994,1845,0
