up, Kennan found the bullet&apos;s exit point, a more
819
596,3299,0
588,3310,0
586,3330,0
583,3354,0
587,3375,0
591,3392,0
596,3397,0
608,3395,0
623,3385,0
642,3367,0
661,3341,0
678,3315,0
692,3300,0
697,3297,0
695,3301,0
690,3321,0
683,3340,0
682,3356,0
685,3364,0
694,3373,0
709,3371,0
725,3365,0
744,3351,0
762,3333,0
776,3322,0
783,3322,0
785,3327,0
783,3346,0
779,3367,0
781,3387,0
785,3395,0
796,3400,0
808,3397,0
826,3387,0
844,3368,0
859,3345,0
871,3325,0
875,3306,0
874,3293,0
866,3286,0
853,3281,0
835,3291,0
812,3313,0
790,3344,0
771,3374,0
755,3409,0
741,3439,0
731,3470,0
725,3498,1
948,3341,0
949,3350,0
947,3362,0
943,3386,0
936,3414,1
1144,3168,0
1143,3188,0
1141,3208,0
1136,3236,0
1129,3264,0
1123,3296,0
1105,3365,0
1103,3384,0
1104,3385,0
1107,3380,0
1113,3364,0
1124,3340,0
1141,3312,0
1157,3272,0
1178,3235,0
1197,3202,0
1213,3182,0
1225,3161,0
1233,3148,0
1234,3148,0
1230,3153,0
1222,3169,1
1156,3296,0
1160,3311,0
1165,3332,0
1175,3355,0
1184,3375,0
1196,3386,0
1207,3395,0
1218,3397,0
1230,3397,0
1243,3392,0
1256,3380,0
1267,3363,0
1277,3339,0
1287,3322,0
1292,3301,0
1290,3286,0
1283,3274,0
1273,3271,0
1261,3276,0
1249,3292,0
1238,3313,0
1235,3341,0
1235,3356,0
1242,3373,0
1259,3380,0
1276,3375,0
1299,3365,0
1321,3343,0
1341,3322,0
1355,3300,0
1363,3292,0
1365,3291,0
1363,3300,0
1358,3325,0
1353,3349,0
1351,3357,0
1353,3365,0
1360,3365,0
1372,3355,0
1389,3337,0
1406,3320,0
1421,3306,0
1428,3297,0
1432,3305,0
1432,3321,0
1432,3345,0
1434,3361,0
1441,3364,0
1453,3363,0
1469,3353,0
1488,3334,0
1529,3337,0
1529,3341,0
1541,3331,0
1555,3317,0
1633,3341,0
1703,3315,0
1732,3305,0
1823,3302,0
1826,3309,0
1849,3337,0
1864,3316,0
1882,3308,0
1896,3304,0
1901,3303,0
1903,3310,0
1904,3322,0
1903,3331,0
1906,3343,0
1913,3361,0
1915,3361,1
2103,3251,0
2115,3239,0
2119,3216,0
2124,3193,0
2132,3178,0
2130,3158,0
2130,3157,0
2128,3158,0
2117,3158,0
2106,3170,0
2093,3187,0
2082,3221,0
2063,3243,0
2056,3292,0
2049,3336,0
2041,3371,0
2038,3410,0
2037,3436,0
2034,3448,0
2026,3443,0
2021,3440,1
2019,3357,0
2035,3349,0
2051,3335,0
2076,3327,0
2096,3308,0
2113,3294,0
2128,3285,0
2134,3275,0
2139,3277,0
2137,3277,0
2135,3279,0
2129,3288,0
2121,3304,0
2113,3320,0
2111,3337,0
2110,3346,0
2121,3351,0
2131,3347,0
2146,3338,0
2163,3328,0
2182,3322,0
2190,3302,0
2196,3291,0
2195,3283,0
2189,3276,0
2174,3265,0
2163,3269,0
2154,3271,0
2152,3281,0
2152,3277,0
2162,3286,0
2174,3286,0
2191,3284,0
2209,3274,0
2224,3259,0
2242,3253,0
2253,3240,0
2265,3244,0
2265,3244,0
2261,3250,0
2256,3269,0
2251,3293,0
2241,3300,0
2245,3311,0
2253,3317,0
2267,3316,0
2280,3298,0
2294,3280,0
2309,3265,0
2321,3256,0
2327,3255,0
2329,3258,0
2325,3268,0
2322,3282,0
2324,3290,0
2328,3293,0
2337,3293,0
2347,3280,0
2360,3267,0
2379,3259,0
2392,3245,0
2400,3240,0
2400,3241,0
2399,3259,0
2391,3275,0
2386,3286,0
2392,3297,0
2397,3295,0
2410,3284,0
2427,3269,0
2443,3253,0
2461,3250,0
2468,3246,0
2473,3252,0
2478,3263,0
2484,3274,0
2490,3280,0
2499,3281,0
2509,3276,0
2526,3272,0
2541,3261,0
2563,3250,0
2585,3240,0
2599,3224,0
2614,3216,0
2622,3216,0
2624,3221,0
2611,3226,0
2600,3246,0
2589,3260,0
2584,3276,0
2582,3276,0
2586,3274,0
2595,3271,0
2608,3255,0
2627,3232,0
2646,3204,0
2661,3175,0
2675,3148,0
2675,3121,0
2680,3105,0
2679,3092,0
2680,3087,0
2680,3087,0
2675,3085,0
2673,3091,0
2676,3112,0
2671,3132,0
2666,3163,0
2660,3193,0
2654,3218,0
2649,3243,0
2641,3262,0
2647,3289,0
2645,3300,0
2651,3305,0
2659,3306,1
2901,3045,0
2897,3047,0
2897,3057,0
2894,3072,0
2895,3100,0
2890,3127,0
2883,3159,0
2874,3192,0
2871,3231,0
2863,3259,0
2856,3277,0
2854,3292,0
2850,3294,1
2807,3235,0
2823,3236,0
2847,3231,0
2871,3218,0
2898,3197,0
2931,3182,0
2958,3156,0
2981,3127,0
3008,3099,0
3025,3064,0
3037,3033,0
3038,3007,0
3039,2996,0
3034,2996,0
3024,2997,0
3014,3014,0
3001,3041,0
2981,3074,0
2970,3119,0
2949,3151,0
2941,3189,0
2934,3213,0
2930,3220,0
2938,3224,0
