suitcase, tore it into strips, and used
649
673,3697,0
667,3689,0
658,3679,0
640,3669,0
617,3658,0
593,3658,0
571,3655,0
557,3662,0
550,3669,0
552,3689,0
571,3708,0
603,3725,0
636,3745,0
658,3760,0
668,3778,0
670,3793,0
661,3812,0
640,3830,0
612,3839,0
583,3847,0
559,3843,0
545,3834,0
542,3822,0
555,3799,0
579,3774,1
719,3686,0
721,3690,0
721,3706,0
716,3730,0
709,3758,0
711,3778,0
720,3791,0
735,3796,0
754,3798,0
774,3796,0
793,3781,0
811,3766,0
826,3747,0
839,3728,0
846,3720,0
846,3725,0
844,3737,0
835,3752,0
827,3776,0
825,3796,0
829,3812,0
842,3821,0
863,3822,0
885,3811,1
930,3710,0
933,3714,0
938,3734,0
931,3749,0
926,3765,0
923,3785,0
923,3798,0
928,3798,1
950,3598,0
945,3586,0
942,3582,0
939,3578,0
935,3573,1
1056,3560,0
1056,3561,0
1057,3588,0
1049,3609,0
1043,3641,0
1039,3672,0
1041,3705,0
1043,3732,0
1049,3752,0
1054,3761,0
1061,3772,0
1065,3773,0
1065,3769,1
1020,3712,0
1027,3713,0
1035,3701,0
1051,3701,0
1072,3692,0
1100,3693,0
1133,3692,0
1170,3691,1
1253,3701,0
1249,3692,0
1241,3689,0
1228,3685,0
1208,3682,0
1185,3695,0
1167,3703,0
1158,3719,0
1155,3732,0
1160,3752,0
1172,3768,0
1199,3771,1
1336,3731,0
1341,3715,0
1338,3703,0
1327,3696,0
1307,3694,0
1283,3699,0
1263,3712,0
1248,3728,0
1247,3753,0
1258,3768,0
1277,3776,0
1297,3770,0
1315,3756,0
1328,3752,0
1333,3740,0
1336,3731,0
1335,3728,0
1336,3731,0
1334,3735,0
1332,3752,0
1336,3776,0
1353,3790,0
1377,3796,0
1409,3806,1
1552,3730,0
1553,3713,0
1546,3706,0
1528,3700,0
1510,3702,0
1483,3706,0
1457,3713,0
1449,3721,0
1451,3733,0
1466,3752,0
1481,3774,0
1496,3797,0
1500,3804,0
1504,3820,0
1498,3821,0
1483,3822,0
1461,3825,0
1435,3824,0
1418,3813,0
1416,3809,1
1552,3773,0
1561,3773,0
1572,3764,0
1584,3753,0
1594,3735,0
1600,3718,0
1594,3703,0
1577,3694,0
1555,3697,0
1540,3715,0
1538,3731,0
1539,3743,0
1556,3761,0
1576,3771,0
1601,3776,0
1627,3779,0
1650,3780,0
1668,3781,0
1678,3779,0
1680,3771,1
1807,3788,0
1807,3788,0
1809,3800,0
1804,3817,0
1789,3841,0
1771,3869,0
1751,3896,0
1741,3931,0
1739,3952,1
2116,3508,0
2111,3513,0
2111,3534,0
2107,3561,0
2099,3592,0
2093,3627,0
2087,3658,0
2084,3689,0
2082,3714,1
2014,3678,0
2010,3662,0
2018,3653,0
2034,3640,0
2059,3633,0
2093,3627,0
2130,3629,0
2166,3667,0
2145,3687,0
2137,3706,0
2140,3726,0
2152,3731,0
2179,3739,0
2210,3738,0
2237,3729,0
2311,3747,0
2310,3747,0
2314,3754,0
2313,3747,0
2385,3665,0
2408,3665,0
2429,3657,0
2451,3652,0
2464,3643,0
2465,3630,0
2458,3629,0
2440,3631,0
2421,3643,0
2407,3661,0
2403,3684,0
2436,3727,0
2467,3737,0
2500,3740,0
2536,3743,0
2566,3744,1
2827,3624,0
2829,3628,0
2830,3636,0
2822,3658,0
2820,3681,0
2815,3701,0
2813,3715,0
2813,3724,0
2818,3727,1
2798,3522,0
2791,3517,0
2792,3516,0
2790,3513,0
2793,3515,1
2907,3464,0
2910,3477,0
2910,3495,0
2907,3519,0
2904,3547,0
2899,3578,0
2900,3614,0
2899,3645,0
2900,3667,0
2906,3687,0
2910,3698,0
2912,3701,0
2917,3704,1
2890,3636,0
2887,3633,0
2882,3631,0
2889,3637,0
2902,3635,0
2926,3631,0
2955,3629,0
2992,3628,1
3214,3599,0
3216,3602,0
3216,3607,0
3221,3624,0
3218,3638,0
3221,3656,0
3221,3670,0
3227,3685,0
3229,3693,1
3225,3508,0
3219,3496,0
3219,3496,0
3216,3493,0
3221,3501,0
3226,3511,0
3230,3528,0
3238,3542,0
3250,3557,1
3273,3614,0
3273,3628,0
3270,3639,0
3270,3653,0
3272,3657,0
3279,3658,0
3290,3655,0
3307,3649,0
3332,3642,0
3356,3631,0
3378,3622,0
3392,3622,0
3399,3626,0
3405,3637,0
3411,3648,0
3414,3655,0
3421,3665,0
3428,3671,0
3438,3674,0
3450,3670,1
3485,3503,0
3484,3505,0
3489,3521,0
3489,3545,0
3488,3576,0
3489,3604,0
3491,3628,0
3495,3649,0
3503,3667,1
3452,3596,0
3455,3595,0
3470,3593,0
3496,3590,0
3528,3586,0
3559,3583,0
3592,3585,0
3613,3585,0
3621,3583,0
3620,3583,0
3617,3590,0
3601,3602,0
3580,3618,0
3570,3635,0
3567,3652,0
3573,3667,0
3591,3679,0
3611,3680,0
3633,3678,0
3654,3672,0
3665,3660,0
3668,3643,0
3662,3622,0
3650,3606,0
3629,3597,1
4084,3573,0
4077,3563,0
4064,3554,0
4053,3551,0
4032,3545,0
4012,3541,0
3997,3543,0
3986,3547,0
3985,3558,0
3993,3578,0
4005,3598,0
4022,3621,0
4036,3641,0
4049,3662,0
4051,3676,0
4042,3689,0
4028,3700,0
4008,3701,0
3998,3705,0
3981,3691,0
3969,3671,0
3966,3648,0
3971,3622,0
3984,3591,0
4005,3562,1
4128,3469,0
4133,3486,0
4135,3511,0
4139,3545,0
4132,3579,0
4129,3613,0
4130,3639,0
4131,3660,0
4133,3674,0
4133,3678,0
4135,3678,0
4137,3676,0
4139,3662,0
4137,3638,0
4141,3614,0
4147,3597,0
4151,3583,0
4159,3576,0
4165,3570,0
4175,3567,0
4188,3566,0
