Hell, Kennan, I ... I &apos;d tell you
647
544,1037,0
547,1025,0
547,1006,0
555,1012,0
559,1019,0
557,1018,0
562,1030,0
570,1054,0
574,1078,0
574,1102,0
581,1137,0
591,1173,0
597,1198,0
603,1223,0
608,1252,0
609,1269,0
610,1282,0
616,1298,0
620,1300,0
623,1296,0
624,1288,1
670,1006,0
675,1013,0
678,1015,0
685,1027,0
698,1050,0
708,1071,0
712,1095,0
713,1122,0
717,1157,0
720,1188,0
724,1215,0
729,1237,0
732,1255,0
731,1267,0
729,1275,0
723,1274,0
713,1266,1
584,1174,0
583,1165,0
603,1170,0
621,1165,0
642,1161,0
662,1157,0
678,1155,0
687,1154,0
697,1158,1
871,1179,0
873,1179,0
880,1182,0
886,1175,0
902,1174,0
915,1164,0
926,1149,0
941,1139,0
948,1124,0
951,1112,0
951,1104,0
948,1100,0
941,1099,0
925,1100,0
904,1109,0
882,1125,0
860,1148,0
839,1173,0
830,1199,0
829,1219,0
839,1235,0
856,1242,0
878,1242,0
904,1239,0
928,1230,0
953,1225,0
971,1220,0
984,1217,0
991,1217,0
991,1218,0
987,1213,0
986,1213,0
982,1208,1
1014,935,0
1017,935,0
1027,943,0
1031,956,0
1037,981,0
1042,1009,0
1042,1033,0
1054,1068,0
1059,1097,0
1060,1121,0
1071,1148,0
1076,1165,0
1081,1177,0
1085,1185,0
1088,1189,0
1090,1189,0
1090,1181,1
1097,885,0
1097,885,0
1101,893,0
1097,905,0
1107,933,0
1109,957,0
1117,989,0
1124,1020,0
1125,1049,0
1125,1073,0
1132,1100,0
1136,1120,0
1144,1140,0
1145,1146,0
1148,1155,0
1150,1158,0
1150,1158,0
1150,1158,0
1150,1158,0
1142,1155,0
1137,1151,1
1283,1153,0
1286,1156,0
1286,1160,0
1294,1175,0
1301,1194,0
1304,1213,0
1300,1235,0
1288,1254,0
1280,1276,1
1460,896,0
1466,897,0
1471,903,0
1488,922,0
1498,948,0
1511,982,0
1518,1019,0
1520,1054,0
1523,1088,0
1522,1115,0
1531,1142,0
1534,1158,0
1542,1172,1
1649,825,0
1651,824,0
1648,825,0
1638,840,0
1628,868,0
1607,904,0
1577,939,0
1558,979,0
1542,1011,0
1537,1037,0
1536,1051,0
1546,1063,0
1563,1072,0
1582,1080,0
1603,1087,0
1619,1092,0
1630,1094,0
1638,1099,0
1640,1102,0
1639,1103,0
1640,1102,1
1746,1076,0
1746,1075,0
1762,1078,0
1777,1077,0
1794,1068,0
1814,1056,0
1828,1040,0
1842,1023,0
1852,1009,0
1853,996,0
1850,988,0
1845,982,0
1829,981,0
1809,988,0
1779,998,0
1759,1020,0
1737,1042,0
1724,1061,0
1727,1079,0
1736,1093,0
1754,1104,0
1775,1109,0
1805,1111,0
1833,1109,0
1860,1107,0
1871,1103,0
1878,1103,0
1879,1102,0
1877,1099,1
1931,964,0
1935,966,0
1945,972,0
1956,984,0
1962,1001,0
1966,1019,0
1971,1038,0
1972,1054,0
1976,1068,0
1973,1076,0
1980,1081,0
1976,1079,0
1973,1076,0
