For a moment, staring at it,
535
1185,1913,0
1180,1914,0
1181,1922,0
1179,1930,0
1181,1946,0
1184,1970,0
1186,1997,0
1191,2038,0
1196,2077,0
1204,2125,0
1211,2176,0
1217,2224,0
1227,2272,0
1234,2307,0
1242,2342,0
1244,2362,0
1246,2374,0
1246,2374,0
1247,2371,0
1242,2351,0
1236,2319,1
1020,1976,0
1016,1972,0
1020,1968,0
1034,1960,0
1065,1953,0
1112,1949,0
1160,1935,0
1210,1924,0
1258,1915,0
1302,1903,0
1343,1897,0
1373,1892,0
1386,1894,1
1083,2164,0
1084,2164,0
1097,2172,0
1119,2173,0
1152,2167,0
1189,2162,0
1230,2151,0
1274,2139,0
1312,2123,0
1346,2114,0
1365,2108,0
1369,2107,0
1366,2116,0
1359,2137,0
1351,2166,0
1348,2199,0
1351,2227,0
1360,2242,0
1381,2251,0
1409,2251,0
1439,2242,0
1470,2228,0
1490,2200,0
1505,2176,0
1508,2155,0
1494,2137,0
1468,2127,0
1433,2125,0
1397,2131,0
1361,2145,0
1331,2161,0
1310,2176,0
1302,2184,1
1613,2208,0
1626,2222,0
1637,2235,0
1645,2249,0
1650,2260,0
1648,2265,0
1644,2262,0
1638,2259,0
1619,2244,0
1599,2228,0
1570,2207,0
1542,2188,0
1521,2173,0
1513,2162,0
1512,2150,0
1530,2142,0
1560,2131,1
2060,2139,0
2043,2124,0
2027,2115,0
2010,2114,0
1988,2120,0
1965,2135,0
1942,2158,0
1925,2187,0
1920,2215,0
1926,2239,0
1940,2255,0
1959,2264,0
1978,2260,0
2001,2254,0
2022,2236,0
2041,2214,0
2058,2189,0
2071,2164,0
2076,2144,0
2082,2137,0
2082,2137,0
2079,2138,0
2078,2152,0
2087,2174,0
2092,2194,0
2107,2217,0
2124,2236,0
2141,2246,0
2165,2251,1
2308,2152,0
2310,2136,0
2313,2125,0
2315,2114,0
2316,2105,0
2321,2106,0
2326,2112,0
2334,2130,0
2342,2153,0
2349,2178,0
2359,2200,0
2365,2215,0
2376,2227,0
2391,2231,0
2403,2224,0
2418,2209,0
2435,2189,0
2448,2165,0
2468,2152,0
2477,2140,0
2486,2138,0
2496,2147,0
2501,2157,0
2503,2171,0
2508,2183,0
2512,2188,0
2519,2188,0
2540,2183,0
2561,2168,0
2587,2154,0
2610,2146,0
2624,2146,0
2642,2157,0
2661,2173,0
2672,2184,0
2684,2195,0
2694,2198,0
2706,2198,0
2718,2193,0
2729,2185,0
2741,2175,0
2748,2169,0
2760,2169,0
2785,2174,0
2811,2174,0
2840,2169,0
2864,2159,0
2883,2147,0
2902,2135,0
2902,2118,0
2896,2101,0
2883,2092,0
2856,2090,0
2818,2092,0
2785,2101,0
2762,2116,0
2749,2131,1
2914,2073,0
2914,2073,0
2915,2072,0
2922,2077,0
2936,2092,0
2944,2106,0
2956,2122,0
2967,2134,0
2977,2140,0
2984,2140,0
2997,2137,0
3008,2128,0
3014,2111,0
3025,2099,0
3034,2091,0
3039,2092,0
3045,2097,0
3050,2108,0
3059,2123,0
3064,2134,0
3070,2140,0
3076,2139,0
3091,2135,0
3105,2125,0
3123,2119,0
3136,2117,0
3156,2124,0
3184,2136,0
3209,2145,0
3237,2149,0
3263,2150,0
3288,2147,0
3303,2136,0
3318,2125,0
3320,2105,0
3316,2084,0
3312,2072,0
3296,2060,0
3280,2058,0
3271,2068,0
3260,2082,0
3255,2101,0
3253,2121,0
3254,2137,0
3259,2148,0
3274,2157,0
3286,2155,0
3305,2146,0
3333,2133,0
3353,2116,0
3378,2105,0
3393,2099,0
3409,2099,0
3420,2104,0
3431,2115,0
3435,2124,0
3442,2134,0
3444,2137,0
3452,2140,0
3465,2138,0
3479,2133,0
3496,2131,0
3518,2136,0
3542,2145,0
3561,2152,1
3497,1871,0
3500,1861,0
3505,1860,0
3516,1872,0
3532,1898,0
3552,1932,0
3568,1966,0
3587,2000,0
3611,2036,0
3634,2065,0
3646,2088,0
3653,2107,0
3643,2118,0
3624,2124,0
3590,2123,0
3556,2121,0
3525,2115,0
3514,2108,0
3520,2101,0
3532,2086,0
3561,2069,0
3599,2052,0
3638,2031,0
3674,2010,0
3709,1994,1
3856,2099,0
3858,2096,0
3857,2096,0
3859,2108,0
3863,2137,0
3856,2168,0
3846,2203,0
3827,2234,0
3811,2261,1
4206,2043,0
4197,2035,0
4180,2031,0
4161,2033,0
4138,2039,0
4116,2051,0
4100,2063,0
4105,2077,0
4121,2088,1
4214,2121,0
4238,2135,0
4249,2148,0
4251,2160,0
4248,2174,0
4229,2188,0
4197,2200,0
4161,2211,0
4128,2217,0
4099,2218,0
4075,2216,0
4056,2210,1
4152,1882,0
4151,1882,0
4164,1893,0
4184,1913,0
4217,1944,0
4239,1978,0
4254,2016,0
4275,2060,0
4298,2099,0
4320,2133,0
4342,2159,0
4355,2176,0
4352,2180,0
4351,2182,0
4340,2176,0
4319,2165,0
4292,2148,0
4269,2131,0
4258,2118,0
4256,2108,0
4261,2098,0
4277,2088,0
4304,2082,0
4332,2074,0
4364,2066,1
4443,2048,0
4450,2043,0
4454,2045,0
4451,2043,0
4447,2043,0
4432,2045,0
4408,2053,0
4392,2073,0
4374,2096,0
4369,2121,0
4380,2142,0
4392,2152,0
4413,2157,0
4438,2154,0
4457,2145,0
4478,2131,0
4495,2112,0
4511,2090,0
4517,2071,0
4520,2058,0
4518,2053,0
4514,2053,0
4515,2066,0
4515,2084,0
4517,2104,0
4529,2124,0
4541,2135,0
4559,2137,0
4584,2133,0
4604,2121,0
4623,2104,0
4640,2088,0
4660,2077,0
4676,2072,0
4697,2075,0
4719,2086,0
4734,2099,0
4745,2112,0
4752,2125,0
4757,2133,0
4755,2135,0
