&quot;Of course ... anything you like&quot;, he murmured,
808
1379,3021,0
1375,3041,0
1368,3062,0
1360,3087,0
1351,3104,0
1344,3125,0
1337,3137,0
1333,3146,0
1331,3146,1
1400,2987,0
1401,2994,0
1404,3010,0
1402,3023,0
1397,3059,0
1392,3080,0
1387,3097,0
1381,3113,1
1496,3107,0
1491,3112,0
1483,3122,0
1473,3130,0
1461,3141,0
1452,3158,0
1441,3175,0
1436,3199,0
1433,3228,0
1433,3248,0
1440,3272,0
1452,3286,0
1472,3292,0
1499,3292,0
1527,3285,0
1578,3253,0
1594,3233,0
1607,3215,0
1611,3194,0
1613,3178,0
1609,3162,0
1600,3147,0
1587,3137,0
1568,3128,0
1547,3128,0
1522,3127,0
1500,3131,0
1484,3133,1
1711,3069,0
1704,3070,0
1698,3068,0
1696,3072,0
1696,3081,0
1695,3092,0
1693,3113,0
1691,3142,0
1689,3180,0
1684,3217,0
1680,3255,0
1679,3288,0
1680,3308,0
1686,3327,0
1692,3338,0
1698,3345,0
1697,3346,1
1633,3211,0
1635,3214,0
1638,3214,0
1649,3220,0
1662,3221,0
1681,3226,0
1706,3229,0
1722,3226,0
1730,3221,1
1913,3183,0
1905,3186,0
1893,3185,0
1879,3189,0
1868,3196,0
1854,3207,0
1844,3227,0
1836,3245,0
1839,3264,0
1848,3275,0
1862,3280,0
1878,3279,0
1894,3276,1
2014,3175,0
2008,3180,0
2000,3183,0
1990,3186,0
1977,3194,0
1964,3206,0
1952,3226,0
1942,3246,0
1940,3263,0
1942,3275,0
1952,3285,0
1966,3285,0
1985,3284,0
2000,3271,0
2018,3261,0
2034,3252,0
2043,3241,0
2046,3228,0
2046,3219,0
2039,3213,0
2026,3204,0
2014,3200,0
2004,3199,0
1996,3197,0
1985,3192,1
2067,3196,0
2066,3204,0
2068,3216,0
2071,3228,0
2071,3236,0
2077,3252,0
2077,3259,0
2082,3267,0
2087,3269,0
2093,3267,0
2098,3257,0
2106,3250,0
2115,3239,0
2121,3228,0
2125,3218,0
2123,3206,0
2121,3199,1
2178,3234,0
2176,3230,0
2176,3230,0
2175,3223,0
2178,3217,0
2186,3209,0
2195,3198,0
2208,3188,0
2221,3184,1
2359,3168,0
2350,3171,0
2340,3175,0
2328,3180,0
2314,3186,0
2297,3188,0
2289,3197,0
2282,3199,0
2282,3203,0
2291,3213,0
2300,3218,0
2312,3221,0
2326,3224,0
2342,3231,0
2354,3239,0
2359,3245,0
2358,3250,0
2353,3261,0
2343,3274,0
2327,3280,0
2311,3291,0
2294,3297,0
2278,3299,0
2267,3299,0
2266,3304,1
2402,3228,0
2398,3228,0
2402,3236,0
2405,3239,0
2407,3238,0
2415,3238,0
2425,3235,0
2435,3230,0
2445,3221,0
2453,3213,0
2458,3203,0
2466,3203,0
2464,3195,0
2463,3196,0
2454,3191,0
2449,3198,0
2431,3202,0
2412,3209,0
2391,3223,0
2374,3238,0
2362,3253,0
2357,3268,0
2355,3277,0
2362,3291,0
2369,3298,0
2378,3303,0
2390,3310,0
2396,3308,0
2407,3308,1
2506,3303,0
2498,3307,0
2500,3310,0
2505,3308,0
2510,3306,1
2575,3289,0
2569,3296,0
2565,3293,0
2567,3297,0
2569,3300,1
2624,3287,0
2618,3290,0
2622,3293,0
2623,3292,0
2623,3292,0
2622,3293,0
2618,3290,0
2613,3284,0
2609,3276,1
2916,3196,0
2910,3195,0
2902,3190,0
2899,3192,0
2891,3187,1
2842,3216,0
2842,3234,0
2844,3247,0
2850,3257,0
