&quot; Don&apos;t worry, Harry &quot;, the other
533
659,1700,0
653,1711,0
651,1735,0
646,1768,0
646,1784,0
651,1798,0
658,1799,0
665,1793,0
680,1784,1
700,1748,0
708,1733,0
712,1734,0
714,1743,0
714,1768,0
714,1792,0
714,1816,0
713,1833,1
875,1853,0
875,1877,0
879,1921,0
883,1966,0
885,1999,0
886,2023,0
885,2038,0
879,2038,0
875,2034,0
870,2010,0
870,1968,0
878,1921,0
891,1882,0
911,1853,0
935,1827,0
962,1809,0
991,1802,0
1021,1812,0
1047,1829,0
1065,1853,0
1069,1877,0
1061,1905,0
1042,1932,0
1014,1952,0
992,1979,1
1165,1879,0
1155,1891,0
1150,1915,0
1148,1935,0
1156,1955,0
1170,1967,0
1187,1973,0
1204,1976,0
1213,1972,0
1217,1964,0
1211,1940,0
1201,1917,0
1185,1889,0
1173,1874,0
1165,1862,0
1163,1855,0
1169,1850,0
1188,1845,0
1222,1843,0
1258,1839,0
1294,1847,0
1319,1864,0
1333,1886,0
1341,1917,0
1341,1937,0
1341,1958,0
1340,1966,0
1339,1966,0
1341,1966,0
1346,1957,0
1364,1938,0
1382,1906,0
1406,1890,0
1421,1884,0
1431,1885,0
1442,1899,0
1453,1917,0
1460,1932,0
1471,1946,0
1477,1949,0
1483,1952,1
1509,1718,0
1510,1718,0
1512,1718,0
1510,1714,0
1522,1720,1
1635,1678,0
1638,1686,0
1640,1710,0
1644,1747,0
1650,1796,0
1659,1848,0
1667,1891,0
1672,1927,0
1674,1952,0
1669,1958,0
1662,1952,0
1648,1927,0
1628,1892,1
1595,1860,0
1600,1863,0
1609,1856,0
1640,1854,0
1684,1851,0
1731,1847,0
1771,1844,0
1802,1848,1
1952,1871,0
1955,1869,0
1959,1854,0
1959,1849,0
1959,1849,0
1956,1850,0
1959,1862,0
1956,1886,0
1952,1902,0
1955,1918,0
1962,1928,0
1975,1935,0
1988,1934,0
2003,1925,0
2022,1915,0
2034,1895,0
2043,1882,0
2047,1879,0
2045,1879,0
2044,1880,0
2046,1888,0
2054,1907,0
2066,1923,0
2086,1939,0
2105,1947,0
2125,1949,0
2139,1941,0
2147,1927,0
2145,1904,0
2132,1880,0
2113,1858,0
2101,1842,0
2096,1831,1
2229,1831,0
2232,1838,0
2222,1850,0
2206,1861,0
2190,1875,0
2182,1891,0
2182,1905,0
2192,1918,0
2208,1925,0
2224,1925,0
2243,1918,0
2258,1903,0
2268,1886,0
2269,1866,0
2260,1848,0
2256,1837,0
2254,1833,0
2257,1836,0
2263,1836,0
2283,1846,0
2306,1864,0
2328,1884,0
2345,1906,0
2362,1927,0
2365,1940,0
2369,1947,0
2369,1947,0
2368,1942,0
2362,1927,0
2359,1905,0
2365,1886,0
2369,1867,0
2384,1855,0
2396,1842,0
2412,1834,0
2427,1833,0
2438,1838,0
2445,1848,0
2454,1867,0
2463,1891,0
2466,1908,0
2466,1920,0
2466,1923,0
2471,1925,0
2467,1918,0
2459,1899,0
2451,1879,0
2447,1862,0
2445,1848,0
2453,1842,0
2462,1834,0
2480,1830,0
2507,1828,0
2542,1829,0
2572,1829,0
2598,1832,1
2671,1836,0
2672,1835,0
2674,1838,0
2671,1847,0
2670,1870,0
2657,1898,0
2646,1940,0
2626,1984,0
2610,2028,0
2598,2059,0
2601,2083,0
2601,2087,0
2603,2080,1
2592,1875,0
2594,1879,0
2596,1882,0
2606,1895,0
2620,1909,0
2634,1924,0
2640,1935,0
2643,1943,0
2642,1950,1
2865,1885,0
2864,1886,0
2870,1903,0
2867,1935,0
2859,1977,0
2853,2016,0
2848,2043,0
2848,2059,0
2851,2062,1
3148,1638,0
3153,1638,0
3153,1638,0
3151,1642,0
3152,1667,0
3148,1705,0
3146,1761,0
3141,1825,0
3133,1880,0
3129,1915,0
3134,1935,0
3139,1935,0
3144,1918,1
3226,1672,0
3226,1672,0
3233,1684,0
3233,1720,0
3238,1767,0
3240,1816,0
3249,1857,0
3252,1885,1
3147,1818,0
3139,1816,0
3137,1812,0
3152,1812,0
3187,1813,1
3364,1796,0
3346,1795,0
3327,1801,0
3297,1814,0
3278,1833,0
3269,1850,0
3274,1864,0
3291,1875,0
3313,1878,0
3341,1874,0
3367,1860,0
3399,1843,0
3424,1823,0
3442,1803,0
