&quot;O.K., Bob, But watch your
546
1253,1191,0
1260,1194,0
1259,1194,0
1258,1194,0
1252,1191,0
1251,1203,0
1235,1226,0
1213,1261,0
1222,1304,0
1192,1344,0
1163,1374,0
1143,1395,0
1146,1399,1
1316,1203,0
1307,1197,0
1309,1200,0
1308,1205,0
1297,1219,0
1276,1247,0
1250,1288,0
1237,1342,0
1204,1379,1
1288,1707,0
1307,1732,0
1338,1752,0
1370,1750,0
1409,1731,0
1453,1696,0
1496,1643,0
1534,1581,0
1563,1522,0
1583,1484,0
1593,1467,0
1586,1457,0
1572,1450,1
1609,1721,0
1588,1732,0
1587,1732,0
1586,1733,0
1582,1730,1
1901,1343,0
1899,1344,0
1897,1346,0
1898,1359,0
1889,1375,0
1883,1408,0
1862,1450,0
1841,1504,0
1809,1557,0
1784,1606,0
1766,1655,0
1746,1690,0
1734,1716,0
1730,1731,0
1730,1739,0
1727,1741,0
1728,1741,0
1730,1739,0
1731,1739,0
1729,1736,0
1732,1739,0
1727,1732,0
1729,1732,0
1726,1725,0
1732,1718,0
1739,1705,0
1750,1688,0
1771,1670,0
1793,1642,0
1822,1604,0
1859,1562,0
1900,1520,0
1940,1481,0
1976,1446,0
2002,1413,0
2029,1392,0
2037,1381,0
2038,1380,0
2039,1379,0
2035,1383,0
2028,1393,1
1890,1563,0
1887,1565,0
1889,1577,0
1892,1594,0
1899,1627,0
1899,1659,0
1901,1689,0
1906,1714,0
1912,1730,1
2067,1693,0
2065,1690,0
2062,1683,0
2060,1684,0
2061,1688,0
2060,1689,0
2060,1689,0
2063,1696,0
2061,1698,1
2230,1701,0
2229,1703,0
2224,1705,0
2215,1718,0
2181,1762,0
2135,1826,0
2083,1899,0
2046,1952,0
2028,1976,1
2644,1462,0
2643,1437,0
2640,1427,0
2638,1418,0
2620,1451,0
2603,1483,0
2570,1534,0
2545,1578,0
2529,1610,0
2507,1638,0
2488,1662,0
2494,1657,0
2500,1639,1
2567,1423,0
2566,1411,0
2577,1399,0
2592,1385,0
2618,1372,0
2644,1358,0
2678,1345,0
2721,1340,0
2760,1341,0
2795,1347,0
2820,1360,0
2834,1375,0
2853,1368,0
2854,1395,0
2840,1408,0
2821,1435,0
2791,1449,0
2746,1474,0
2713,1484,0
2680,1512,0
2644,1522,0
2636,1526,0
2638,1529,0
2649,1535,0
2667,1539,0
2690,1543,0
2711,1549,0
2731,1556,0
2745,1566,0
2748,1573,0
2745,1582,0
2737,1593,0
2717,1603,0
2692,1612,0
2655,1619,0
2619,1622,0
2586,1626,0
2560,1631,0
2540,1635,0
2524,1633,0
2519,1633,1
2992,1405,0
2979,1395,0
2967,1405,0
2943,1504,1
3151,1319,0
3148,1317,0
3151,1319,0
3146,1327,0
3151,1344,0
3147,1365,0
3131,1393,0
3115,1427,0
3095,1465,0
3132,1482,0
3110,1480,0
3091,1486,0
3052,1524,1
3147,1720,0
3122,1752,0
3120,1763,1
3693,1364,0
3693,1372,0
3686,1389,0
3664,1416,0
3643,1449,0
3618,1488,0
3590,1527,1
3624,1360,0
3627,1353,0
3636,1344,0
3648,1336,0
3669,1330,0
3690,1322,0
3715,1314,0
3752,1309,0
3791,1308,0
3819,1314,0
3843,1328,0
3858,1346,0
3867,1367,0
3864,1384,0
3851,1402,0
3828,1423,0
3789,1442,0
3754,1459,0
3717,1470,0
3690,1480,0
3668,1488,0
3666,1493,0
3662,1491,0
3672,1489,0
3691,1488,0
3713,1486,0
3735,1488,0
3756,1491,0
3774,1499,0
3774,1508,0
3773,1520,0
3764,1537,0
3743,1553,0
3717,1568,0
3687,1580,0
3655,1588,1
3892,1467,0
3892,1468,0
3890,1469,0
3889,1481,0
3877,1498,0
3870,1522,0
3858,1546,0
3944,1369,0
3946,1385,0
3950,1394,0
3964,1393,0
3988,1379,0
4015,1353,0
4044,1324,0
4072,1296,0
4085,1271,0
4090,1258,0
4094,1257,0
4094,1258,0
4090,1269,0
4077,1293,0
4070,1323,0
4063,1351,0
4063,1373,0
4072,1384,1
4157,1343,0
4161,1343,0
4164,1347,0
4158,1361,0
4148,1387,0
4139,1421,0
4123,1459,0
4102,1507,0
4083,1549,0
4071,1584,0
4069,1607,0
4064,1618,0
4047,1615,0
4056,1614,0
4069,1607,0
4085,1592,0
4097,1576,1
4053,1489,0
4062,1488,0
4067,1486,0
4085,1485,0
4104,1483,0
4125,1483,0
4143,1482,0
4159,1484,0
4170,1481,1
4481,1435,0
4481,1445,0
4483,1454,0
4482,1467,0
4479,1486,0
4472,1512,0
4459,1545,0
4441,1579,0
4430,1606,0
4427,1623,0
4430,1627,0
4430,1625,0
4442,1616,0
4455,1597,0
4468,1578,0
4480,1556,0
4495,1532,0
4507,1511,0
4514,1496,0
4520,1491,0
4520,1491,0
4518,1495,0
4521,1510,0
4517,1531,0
4517,1551,0
4515,1567,0
4524,1578,0
4527,1580,0
4536,1578,0
4547,1563,0
4564,1542,0
4580,1523,0
4593,1502,0
4599,1486,0
4601,1478,0
4603,1471,0
4609,1467,1
4773,1556,0
4776,1548,0
4780,1537,0
4775,1526,0
4770,1519,0
4763,1515,0
4755,1512,0
4741,1513,0
4729,1514,0
4714,1519,0
4698,1530,0
4679,1556,0
4661,1590,0
4656,1626,0
4660,1647,0
4676,1660,0
4702,1660,0
4724,1648,0
4751,1626,0
4778,1598,0
4790,1566,0
4804,1543,0
4807,1534,0
4809,1531,0
4809,1531,0
4807,1532,0
4804,1544,0
4801,1570,0
4801,1597,0
4799,1621,0
4803,1634,0
4813,1639,0
4830,1631,1
4934,1368,0
4941,1362,0
4942,1358,0
4946,1360,0
4944,1368,0
4945,1390,0
4931,1420,0
4923,1457,0
4908,1499,0
4898,1540,0
4889,1578,0
4881,1610,0
4876,1635,0
4874,1651,0
4879,1660,0
4883,1662,0
4889,1657,0
4897,1646,0
4900,1629,0
4901,1614,0
4898,1597,1
4871,1534,0
4871,1532,0
4867,1532,0
4876,1530,0
4886,1527,0
4896,1524,0
4905,1519,0
4915,1517,0
4924,1515,0
4933,1514,0
4951,1511,0
4965,1508,1
5089,1564,0
5091,1558,0
5098,1551,0
5101,1543,0
5100,1534,0
5091,1524,0
5076,1518,0
5059,1517,0
5036,1521,0
5016,1532,0
4989,1547,0
4973,1570,0
4964,1593,0
4970,1611,0
4978,1623,0
5001,1631,0
5028,1628,0
5056,1620,0
5085,1611,0
5112,1595,0
5122,1580,1
5264,1357,0
5260,1353,0
5257,1353,0
5252,1353,0
5254,1361,0
5250,1375,0
5240,1393,0
5228,1423,0
5214,1455,0
5197,1493,0
5181,1529,0
5166,1563,0
5152,1589,0
5154,1609,0
5153,1614,0
5161,1612,0
5185,1593,0
5212,1566,0
5231,1546,0
5251,1537,0
5260,1533,0
5264,1534,0
5264,1535,0
5264,1546,0
5257,1566,0
5250,1587,0
5253,1606,0
5256,1621,0
5269,1630,0
5289,1633,0
5313,1628,0
5337,1617,0
5363,1603,1
5638,1502,0
5632,1495,0
5636,1493,0
5632,1493,0
5635,1498,0
5619,1495,0
5617,1503,0
5612,1520,0
5609,1542,0
5612,1563,0
5613,1585,0
5620,1603,0
5629,1614,0
5634,1624,0
5637,1627,0
5641,1629,0
5641,1629,0
5646,1628,0
5639,1623,0
5631,1619,0
5633,1614,1
5691,1535,0
5688,1531,0
5689,1529,0
5689,1527,0
5693,1527,0
5698,1527,0
5697,1529,0
5692,1529,0
5689,1543,0
5673,1567,0
5648,1604,0
5611,1643,0
5574,1690,0
5544,1730,0
5519,1765,0
5496,1792,0
5481,1810,1
5839,1542,0
5840,1537,0
5837,1532,0
5831,1525,0
5828,1522,0
5815,1522,0
5805,1530,0
5795,1548,0
5786,1566,0
5780,1585,0
5784,1600,0
5790,1607,0
5807,1606,0
5828,1593,0
5856,1569,0
5880,1546,0
5890,1521,0
5887,1505,0
5873,1496,0
5851,1498,0
5832,1510,1
5972,1496,0
5976,1498,0
5972,1498,0
5967,1498,0
5962,1501,0
5960,1512,0
5955,1529,0
5949,1550,0
5948,1568,0
5962,1580,0
5964,1584,0
5983,1575,0
6010,1556,0
6037,1531,0
6061,1501,0
6080,1479,0
6087,1470,0
6087,1468,0
6083,1467,0
6075,1480,0
6067,1498,0
6061,1518,0
6057,1535,0
6058,1545,0
6065,1550,1
6177,1503,0
6179,1496,0
6180,1493,0
6181,1491,0
6180,1493,0
6177,1491,0
6176,1493,0
6171,1510,0
6159,1539,0
6141,1562,0
6136,1578,0
6139,1583,0
6135,1583,0
6133,1575,0
6143,1554,0
6147,1523,0
6154,1499,0
6153,1485,0
6158,1481,0
6164,1475,0
6172,1472,0
6186,1470,0
6202,1474,0
6224,1483,0
6254,1491,0
6295,1492,0
6338,1488,0
6373,1479,0
6407,1474,1
