Tonight, for the first time,
482
912,1547,0
922,1592,0
919,1632,0
915,1684,0
912,1748,0
908,1820,0
898,1884,0
892,1951,0
885,2006,0
880,2042,0
876,2054,0
864,2041,0
846,2006,1
749,1657,0
743,1643,0
757,1638,0
794,1634,0
848,1627,0
915,1623,0
975,1613,0
1037,1616,1
1078,1833,0
1030,1888,0
1003,1952,0
999,1999,0
1014,2024,0
1041,2032,0
1075,2025,0
1110,2001,0
1140,1956,0
1165,1907,0
1180,1857,0
1184,1814,0
1177,1786,0
1158,1771,0
1135,1775,0
1109,1789,0
1093,1821,0
1086,1853,0
1100,1881,0
1125,1884,0
1154,1871,1
1284,1776,0
1271,1809,0
1259,1872,0
1241,1941,0
1223,2003,0
1214,2040,0
1213,2040,0
1226,2026,0
1250,1973,0
1274,1898,0
1301,1838,0
1320,1791,0
1336,1773,0
1345,1771,0
1353,1785,0
1361,1825,0
1360,1857,0
1368,1893,0
1377,1903,0
1399,1899,0
1425,1866,0
1465,1829,0
1503,1786,0
1532,1754,0
1556,1751,0
1566,1756,0
1568,1772,0
1565,1815,0
1552,1865,0
1544,1924,0
1539,1967,0
1539,1971,1
1668,1575,0
1665,1576,0
1660,1574,0
1662,1582,0
1672,1604,1
1764,1764,0
1732,1787,0
1698,1821,0
1664,1859,0
1634,1894,0
1622,1915,0
1621,1915,0
1631,1907,0
1657,1882,0
1688,1838,0
1715,1785,0
1745,1742,0
1766,1707,0
1774,1695,0
1773,1696,0
1773,1713,0
1764,1756,0
1756,1812,0
1754,1881,0
1759,1965,0
1759,2041,0
1758,2110,0
1749,2172,0
1729,2225,0
1700,2263,0
1668,2280,0
1632,2274,0
1607,2251,0
1598,2220,1
1989,1438,0
1975,1447,0
1954,1491,0
1930,1568,0
1907,1664,0
1886,1761,0
1873,1843,0
1868,1894,0
1868,1911,0
1882,1913,0
1903,1891,0
1933,1840,0
1964,1783,0
1983,1759,0
1995,1761,0
2004,1779,0
2004,1816,0
2000,1859,0
2008,1901,0
2016,1910,0
2034,1905,0
2055,1869,0
2084,1806,0
2118,1727,0
2151,1636,0
2181,1548,0
2212,1475,0
2237,1426,0
2249,1404,0
2246,1401,0
2244,1421,0
2222,1482,0
2200,1573,0
2181,1679,0
2164,1768,0
2145,1825,0
2129,1857,0
2111,1865,0
2099,1858,0
2082,1825,0
2080,1803,0
2089,1799,0
2104,1794,0
2130,1795,0
2166,1797,0
2208,1791,0
2246,1775,0
2266,1760,0
2265,1740,1
2340,1894,0
2316,1906,0
2295,1946,0
2271,1995,0
2260,2045,1
2859,1387,0
2818,1397,0
2777,1421,0
2745,1464,0
2719,1526,0
2700,1604,0
2695,1693,0
2694,1780,0
2687,1854,0
2684,1916,0
2680,1959,0
2678,1970,0
2680,1969,0
2685,1937,0
2705,1892,0
2729,1853,0
2762,1814,0
2807,1778,0
2856,1743,0
2909,1711,0
2960,1687,0
2997,1672,0
3021,1661,0
3028,1653,0
3024,1651,0
3024,1651,0
3003,1652,0
2980,1669,0
2951,1699,0
2926,1734,0
2914,1767,0
2916,1783,0
2930,1790,0
2951,1785,0
2980,1765,0
2999,1728,0
3015,1689,0
3021,1648,0
3018,1619,0
3005,1604,0
2992,1601,0
2973,1606,0
2964,1631,0
2960,1662,0
2967,1686,0
2994,1703,0
3032,1705,0
3078,1699,0
3115,1690,0
3144,1691,0
3156,1702,0
3159,1724,0
3153,1752,0
3140,1775,0
3133,1791,0
3132,1792,0
3134,1790,0
3141,1768,0
3163,1720,0
3190,1674,0
3220,1633,0
3252,1607,0
3284,1588,0
3311,1573,0
3344,1567,1
3688,1327,0
3678,1319,0
3675,1324,0
3670,1346,0
3656,1394,0
3640,1464,0
3616,1553,0
3591,1644,0
3575,1718,0
3559,1772,0
3537,1807,0
3523,1819,0
3517,1814,0
3505,1775,0
3505,1716,0
3510,1662,0
3520,1623,0
3526,1606,0
3540,1604,0
3558,1615,0
3580,1640,0
3616,1674,0
3650,1694,0
3690,1698,0
3731,1675,0
3770,1629,0
3811,1568,0
3845,1492,0
3879,1418,0
3907,1362,0
3918,1327,0
3923,1315,0
3923,1313,0
3922,1339,0
3906,1406,0
3876,1492,0
3851,1578,0
3830,1644,0
3818,1683,0
3814,1690,0
3821,1686,0
3831,1650,0
3853,1602,0
3876,1581,0
3894,1581,0
3911,1593,0
3916,1626,0
3926,1677,0
3937,1723,0
3966,1745,0
4005,1741,0
4055,1708,0
4094,1657,0
4135,1597,0
4182,1544,0
4179,1520,0
4168,1515,0
4150,1526,0
4116,1553,0
4092,1606,0
4057,1667,0
4057,1730,0
4072,1770,0
4113,1785,0
4162,1768,1
4681,1347,0
4664,1334,0
4653,1331,0
4630,1337,0
4614,1359,0
4594,1404,0
4574,1469,0
4555,1556,0
4541,1650,0
4509,1741,0
4482,1818,0
4451,1880,0
4422,1920,0
4411,1931,0
4415,1924,0
4428,1873,0
4456,1807,0
4484,1759,0
4521,1715,0
4548,1674,0
4569,1646,0
4585,1640,0
4600,1645,0
4618,1663,0
4632,1682,0
4654,1693,0
4689,1691,0
4711,1669,0
4739,1645,0
4759,1613,0
4781,1581,0
4789,1570,0
4789,1568,0
4792,1574,0
4787,1596,0
4779,1628,0
4782,1665,0
4773,1686,0
4787,1687,0
4799,1657,0
4815,1615,1
4907,1320,0
4905,1316,0
4908,1319,0
4916,1333,1
4910,1657,0
4887,1683,0
4871,1700,0
4870,1703,0
4871,1701,0
4879,1683,0
4895,1640,0
4911,1597,0
4928,1564,0
4951,1545,0
4968,1536,0
4997,1538,0
5027,1547,0
5058,1556,0
5088,1556,0
5124,1548,0
5149,1537,0
5170,1522,0
5185,1503,0
5186,1490,0
5190,1488,0
5187,1488,0
5187,1496,0
5186,1514,0
5196,1537,0
5204,1562,0
5216,1589,0
5220,1614,0
5220,1638,0
5212,1659,0
5199,1674,0
5182,1684,0
5163,1689,0
5142,1690,0
5122,1684,0
5112,1679,0
5108,1675,0
5105,1672,0
5113,1663,0
5138,1641,0
5172,1606,1
5484,1259,0
5479,1246,0
5484,1246,0
5469,1272,0
5441,1331,0
5413,1417,0
5381,1508,0
