tomorrow, at the earliest, Mary
682
263,1796,0
308,1822,0
311,1828,0
313,1829,0
314,1843,0
316,1857,0
317,1896,0
323,1951,0
332,2016,0
340,2092,0
351,2168,0
361,2231,0
367,2276,0
372,2298,0
374,2303,0
381,2297,0
397,2277,1
424,2042,0
429,2039,0
429,2039,0
411,2054,0
379,2063,0
337,2074,0
296,2079,0
260,2077,0
235,2075,1
469,2082,0
469,2087,0
469,2082,0
470,2082,0
471,2079,0
477,2064,0
490,2047,0
511,2019,0
538,1994,0
567,1986,0
594,1985,0
617,2007,0
632,2044,0
637,2099,0
632,2151,0
619,2201,0
600,2234,0
579,2233,0
554,2223,0
538,2193,0
529,2158,1
678,2030,0
682,2031,0
684,2036,0
687,2044,0
686,2056,0
687,2089,0
690,2127,0
699,2165,0
711,2204,0
721,2226,0
733,2240,0
741,2237,0
752,2211,0
764,2172,0
775,2145,0
783,2126,0
789,2120,0
800,2125,0
811,2135,0
824,2153,0
836,2178,0
846,2207,0
854,2232,0
860,2241,0
865,2242,0
873,2231,0
888,2216,0
902,2193,0
924,2179,0
943,2164,0
959,2169,0
970,2178,0
980,2206,1
1054,2128,0
1056,2137,0
1056,2137,0
1058,2141,0
1058,2137,0
1066,2133,0
1078,2113,0
1095,2105,0
1116,2093,0
1139,2092,0
1158,2099,0
1172,2127,0
1175,2163,0
1164,2203,0
1141,2236,0
1117,2248,0
1092,2233,0
1068,2197,0
1056,2145,0
1057,2101,0
1077,2081,1
1248,2234,0
1263,2253,0
1273,2264,0
1276,2263,0
1278,2259,0
1277,2240,0
1278,2215,0
1273,2179,0
1269,2152,0
1264,2124,0
1264,2108,0
1263,2100,0
1272,2099,0
1286,2101,0
1300,2104,0
1315,2103,0
1335,2100,0
1358,2097,0
1376,2086,0
1394,2083,0
1408,2085,0
1417,2087,0
1428,2098,0
1433,2109,0
1438,2128,0
1440,2152,0
1441,2185,0
1443,2221,0
1443,2253,0
1442,2273,0
1442,2290,0
1442,2294,0
1435,2287,0
1428,2276,0
1419,2253,0
1411,2226,0
1404,2195,0
1397,2167,0
1391,2153,0
1389,2149,0
1386,2145,0
1388,2149,0
1388,2149,0
1388,2149,0
1389,2148,0
1389,2149,0
1389,2149,0
1391,2149,0
1394,2148,0
1403,2147,0
1411,2141,0
1426,2142,0
1440,2140,0
1458,2137,0
1479,2137,0
1497,2133,0
1516,2133,0
1534,2133,0
1552,2137,0
1573,2149,0
1593,2160,0
1609,2172,0
1626,2192,0
1640,2218,0
1648,2244,0
1645,2266,0
1639,2288,0
1628,2307,0
1610,2316,0
1589,2317,0
1570,2309,0
1553,2289,0
1541,2263,0
1535,2235,0
1537,2214,0
1546,2192,0
1569,2174,1
1718,2123,0
1717,2120,0
1720,2123,0
1720,2123,0
1718,2123,0
1721,2135,0
1725,2163,0
1730,2199,0
1738,2247,0
1745,2291,0
1763,2323,0
1777,2327,0
1793,2309,0
1819,2266,0
1836,2209,0
1839,2162,0
1840,2135,0
1838,2128,0
1850,2140,0
1862,2165,0
1875,2207,0
1888,2263,0
1904,2307,0
1919,2323,0
1931,2318,0
1949,2268,0
1966,2204,0
1974,2152,0
1976,2112,1
2127,2226,0
2133,2231,0
2131,2237,0
2125,2263,0
2108,2311,0
2089,2373,0
2063,2433,0
2043,2480,0
2039,2495,1
2410,2224,0
2414,2222,0
2415,2217,0
2417,2210,0
2412,2199,0
2398,2194,0
2368,2194,0
2335,2206,0
2307,2222,0
2288,2253,0
2269,2286,0
2260,2318,0
2265,2334,0
2275,2333,0
2303,2321,0
2348,2300,0
2390,2261,0
2418,2224,0
2424,2200,0
2425,2200,0
2426,2204,0
2425,2224,0
2430,2263,0
2431,2301,0
2434,2338,0
2440,2357,0
2453,2353,0
2475,2326,0
2495,2279,1
2499,1979,0
2513,1988,0
2516,1991,0
2521,1997,0
2523,2007,0
2519,2024,0
2513,2059,0
2511,2116,0
2513,2183,0
2516,2249,0
2518,2292,0
2526,2311,0
2525,2307,1
2495,2177,0
2499,2183,0
2504,2195,0
2507,2202,0
2514,2207,0
2518,2210,0
2521,2207,0
2534,2203,0
2555,2203,0
2574,2199,0
2598,2200,0
2623,2202,0
2641,2204,0
