Positive,&quot; Mary said firmly, &quot;that
771
553,3394,0
545,3388,0
538,3383,0
533,3387,0
531,3390,0
530,3410,0
528,3446,0
529,3491,0
533,3549,0
536,3606,0
537,3659,0
535,3715,0
530,3762,0
526,3790,0
518,3805,0
516,3801,0
508,3784,1
498,3421,0
498,3425,0
511,3411,0
533,3403,0
559,3395,0
586,3391,0
611,3395,0
632,3398,0
646,3412,0
651,3424,0
646,3440,0
628,3462,0
598,3486,0
563,3517,0
528,3544,0
497,3571,0
479,3584,1
602,3680,0
589,3707,0
586,3731,0
588,3747,0
598,3769,0
612,3770,0
629,3781,0
647,3775,0
660,3768,0
672,3761,0
678,3750,0
677,3734,0
670,3709,0
659,3699,0
646,3698,0
629,3700,0
613,3714,0
603,3732,0
599,3752,0
602,3773,0
612,3790,1
817,3715,0
813,3711,0
803,3702,0
785,3692,0
769,3695,0
754,3698,0
744,3709,0
740,3716,0
742,3728,0
750,3746,0
760,3759,0
767,3767,0
774,3776,0
768,3776,0
752,3786,0
737,3797,0
725,3799,0
716,3802,0
712,3798,0
713,3798,0
720,3795,0
737,3793,0
764,3790,0
791,3781,0
820,3775,0
848,3769,0
871,3766,0
885,3764,0
890,3764,0
890,3768,0
888,3776,0
883,3791,0
877,3807,0
875,3823,0
874,3835,0
876,3843,0
879,3843,1
933,3665,0
933,3665,0
933,3665,0
932,3661,0
932,3654,1
1058,3541,0
1060,3540,0
1060,3540,0
1059,3549,0
1051,3576,0
1042,3616,0
1036,3656,0
1032,3708,0
1032,3756,0
1034,3793,0
1037,3824,0
1038,3836,0
1039,3840,1
996,3707,0
997,3708,0
1008,3712,0
1027,3708,0
1052,3704,0
1081,3708,0
1112,3705,0
1141,3700,0
1165,3707,0
1177,3711,0
1184,3723,0
1184,3743,0
1179,3767,0
1172,3787,0
1167,3807,0
1165,3820,0
1164,3824,1
1193,3611,0
1193,3611,0
1198,3610,0
1205,3614,0
1214,3618,1
1259,3653,0
1264,3664,0
1269,3684,0
1269,3707,0
1269,3735,0
1271,3764,0
1274,3795,0
1278,3815,0
1283,3827,0
1290,3831,0
1294,3826,0
1301,3814,0
1311,3790,0
1321,3749,0
1333,3715,0
1348,3690,0
1362,3670,0
1375,3664,0
1380,3655,0
1385,3655,1
1388,3755,0
1388,3764,0
1399,3775,0
1411,3781,0
1427,3780,0
1447,3774,0
1465,3764,0
1482,3750,0
1493,3728,0
1497,3708,0
1496,3700,0
