break her silence. Clack, clack,
704
1109,3436,0
1107,3432,0
1107,3432,0
1107,3428,0
1107,3428,0
1106,3432,0
1106,3440,0
1106,3456,0
1107,3477,0
1107,3501,0
1109,3532,0
1109,3560,0
1111,3597,0
1109,3629,0
1107,3653,0
1105,3673,0
1105,3677,0
1105,3677,0
1102,3665,0
1102,3648,0
1106,3624,0
1112,3597,0
1124,3576,0
1138,3548,0
1157,3528,0
1177,3519,0
1197,3510,0
1218,3514,0
1236,3521,0
1251,3536,0
1259,3551,0
1261,3572,0
1258,3595,0
1247,3617,0
1228,3633,0
1206,3646,0
1182,3655,0
1159,3656,0
1137,3648,0
1122,3645,0
1114,3636,1
1305,3553,0
1306,3557,0
1309,3573,0
1311,3589,0
1311,3604,0
1313,3625,0
1313,3636,0
1312,3641,0
1312,3645,0
1311,3641,0
1305,3621,0
1303,3605,0
1307,3593,0
1309,3573,0
1312,3561,0
1315,3552,0
1317,3549,0
1318,3548,0
1322,3551,0
1329,3556,0
1342,3571,0
1358,3577,0
1379,3583,0
1399,3582,0
1424,3583,0
1447,3573,0
1469,3558,0
1488,3544,0
1500,3530,0
1502,3514,0
1501,3510,0
1493,3503,0
1486,3508,0
1472,3518,0
1459,3536,0
1446,3553,0
1437,3578,0
1436,3602,0
1441,3617,0
1452,3633,0
1469,3647,0
1489,3653,0
1513,3658,0
1540,3654,0
1571,3650,0
1597,3634,0
1623,3622,0
1643,3602,0
1660,3583,1
1691,3537,0
1689,3522,0
1689,3518,0
1686,3514,0
1682,3515,0
1678,3519,0
1671,3529,0
1663,3547,0
1654,3564,0
1647,3585,0
1644,3607,0
1645,3626,0
1652,3641,0
1660,3645,0
1672,3647,0
1686,3640,0
1701,3625,0
1711,3603,0
1720,3581,0
1726,3564,0
1728,3547,0
1728,3538,0
1727,3539,0
1728,3542,0
1726,3543,0
1728,3555,0
1732,3575,0
1734,3587,0
1743,3605,0
1754,3623,0
1766,3638,0
1777,3648,0
1788,3649,0
1801,3646,0
1815,3635,0
1826,3617,1
1855,3343,0
1855,3339,0
1857,3339,0
1860,3346,0
1862,3358,0
1863,3379,0
1863,3403,0
1864,3432,0
1865,3465,0
1867,3497,0
1869,3529,0
1868,3558,0
1867,3587,0
1867,3612,0
1867,3629,0
1865,3637,0
1866,3636,1
1925,3536,0
1929,3531,0
1927,3527,0
1924,3532,0
1915,3543,0
1901,3559,0
1891,3577,0
1884,3591,0
1885,3607,0
1889,3619,0
1899,3629,0
1915,3638,0
1935,3641,0
1956,3644,0
1978,3646,0
1997,3645,1
2447,3386,1
2443,3379,0
2444,3379,0
2443,3379,0
2442,3380,0
2439,3381,0
2444,3396,0
2446,3413,0
2445,3435,0
2449,3468,0
2449,3503,0
2446,3534,0
