She answered, &quot;No. That is,
638
950,1117,0
966,1134,0
967,1131,0
973,1123,0
979,1107,0
980,1088,0
977,1067,0
973,1051,0
960,1033,0
939,1017,0
914,1013,0
876,1013,0
840,1028,0
809,1056,0
778,1085,0
757,1124,0
745,1171,0
747,1218,0
757,1254,0
779,1289,0
805,1321,0
836,1356,0
866,1390,0
893,1423,0
919,1455,0
943,1486,0
964,1520,0
974,1549,0
974,1581,0
961,1604,0
941,1622,0
913,1635,0
880,1643,0
844,1643,0
807,1635,0
780,1638,0
764,1639,0
757,1638,0
753,1637,0
754,1633,0
763,1627,1
1047,969,0
1049,953,0
1048,949,0
1051,953,0
1056,977,0
1056,1014,0
1054,1065,0
1054,1141,0
1052,1224,0
1046,1305,0
1044,1380,0
1039,1445,0
1032,1500,0
1030,1544,0
1032,1572,0
1035,1580,0
1037,1580,0
1044,1568,0
1051,1533,0
1061,1493,0
1075,1465,0
1085,1445,0
1096,1437,0
1103,1437,0
1107,1445,0
1112,1477,0
1115,1517,0
1124,1560,0
1138,1587,0
1153,1599,0
1176,1602,0
1206,1595,0
1238,1576,0
1270,1547,0
1300,1520,0
1322,1486,0
1334,1452,0
1340,1422,0
1336,1403,0
1326,1397,0
1309,1404,0
1277,1421,0
1248,1455,0
1231,1493,0
1228,1533,0
1236,1564,0
1259,1590,0
1286,1598,0
1326,1600,1
1925,1494,0
1922,1492,0
1922,1488,0
1923,1477,0
1923,1459,0
1922,1440,0
1918,1423,0
1906,1407,0
1887,1395,0
1860,1394,0
1831,1408,0
1802,1438,0
1781,1477,0
1768,1520,0
1768,1565,0
1772,1594,0
1785,1606,0
1800,1603,0
1820,1588,0
1844,1561,0
1867,1530,0
1888,1499,0
1899,1464,0
1905,1437,0
1908,1430,0
1908,1430,0
1910,1443,0
1915,1474,0
1924,1510,0
1934,1546,0
1939,1561,0
1947,1566,0
1956,1561,0
1971,1542,0
1983,1519,0
1995,1491,0
2010,1462,0
2012,1440,0
2015,1438,0
2014,1439,0
2024,1457,0
2027,1479,0
2037,1505,0
2042,1527,0
2048,1537,0
2053,1539,0
2058,1536,0
2067,1523,0
2077,1506,0
2085,1480,0
2099,1450,0
2113,1428,0
2116,1420,0
2123,1426,0
2133,1442,0
2147,1471,0
2160,1503,0
2166,1524,0
2177,1541,0
2185,1544,0
2197,1545,1
2296,1447,0
2305,1444,0
2305,1438,0
2306,1437,0
2299,1433,0
2292,1435,0
2283,1443,0
2270,1450,0
2260,1459,0
2254,1465,0
2256,1474,0
2266,1486,0
2282,1498,0
2292,1505,0
2314,1519,0
2328,1527,0
2344,1539,0
2352,1548,0
2353,1553,0
2355,1557,0
2347,1564,0
2332,1573,0
2315,1581,0
2302,1587,0
2298,1591,0
2298,1591,0
2299,1590,0
2309,1587,0
2320,1572,0
2342,1553,0
2361,1529,0
2382,1504,0
2399,1476,0
2413,1449,0
2420,1431,0
2420,1426,0
2422,1428,0
2420,1437,0
2417,1462,0
2412,1491,0
2417,1525,0
2426,1555,0
2434,1570,0
2446,1575,0
2461,1573,0
2482,1563,0
2499,1544,0
2514,1524,0
2527,1498,0
2538,1474,0
2544,1461,0
2539,1455,0
2538,1455,0
2538,1456,0
2540,1470,0
2543,1491,0
2551,1519,0
2560,1544,0
2577,1561,0
2587,1568,0
2598,1568,0
2609,1563,0
2622,1554,0
2633,1541,0
2642,1525,0
2642,1500,0
2641,1477,0
2642,1464,0
2635,1459,0
2636,1458,0
2638,1462,0
2655,1473,0
2668,1483,0
2683,1489,0
2707,1492,0
2729,1489,0
2744,1477,0
2762,1466,0
2780,1457,0
2782,1447,0
2779,1438,0
2778,1433,0
2768,1432,0
2755,1437,0
2745,1450,0
2742,1467,0
2750,1488,0
2760,1508,0
2772,1525,0
2791,1539,0
2815,1547,0
2837,1552,0
2858,1553,0
2866,1547,0
2884,1545,0
2892,1540,0
2886,1529,0
2890,1516,0
2884,1497,0
2885,1481,0
2887,1473,0
2898,1471,0
2913,1472,0
2931,1474,0
2957,1478,0
2985,1479,0
3006,1476,0
3025,1471,0
3035,1463,0
3043,1458,0
3042,1452,0
3041,1446,0
3035,1442,0
3023,1445,0
2996,1457,0
2984,1475,0
2983,1497,0
2983,1518,0
3001,1541,0
3021,1556,0
3048,1565,1
3179,1515,0
3193,1499,0
3205,1487,0
3211,1479,0
3216,1476,0
3216,1476,0
3216,1478,0
3202,1485,0
3186,1502,0
3173,1524,0
3163,1551,0
3155,1580,0
3159,1594,0
3170,1600,0
3181,1597,0
3201,1583,0
3223,1556,0
3244,1523,0
3264,1481,0
3281,1431,0
3291,1378,0
3291,1329,0
3296,1284,0
3311,1245,0
3311,1208,0
