Babby is, of course, and Honor.
704
803,2065,0
796,2055,0
793,2059,0
793,2060,0
796,2072,0
803,2101,0
811,2139,0
819,2192,0
822,2249,0
824,2306,0
822,2350,0
817,2373,0
813,2381,0
808,2384,0
797,2371,0
785,2349,0
772,2319,0
761,2277,0
750,2231,0
741,2189,0
734,2151,0
733,2118,0
733,2089,0
740,2075,0
746,2060,0
758,2058,0
774,2065,0
793,2075,0
810,2090,0
825,2116,0
832,2137,0
834,2166,0
829,2193,0
819,2224,0
804,2259,0
789,2289,0
777,2316,0
770,2327,0
769,2335,0
775,2343,0
787,2345,0
805,2352,0
829,2359,0
856,2365,0
885,2376,0
912,2391,0
933,2408,0
951,2433,0
960,2450,0
963,2478,0
955,2497,0
940,2525,0
883,2557,0
848,2570,0
812,2578,0
777,2581,0
748,2590,0
724,2591,0
709,2592,0
702,2588,0
702,2588,0
707,2588,0
721,2591,0
746,2586,1
1066,2409,0
1060,2400,0
1060,2405,0
1055,2401,0
1052,2400,0
1045,2404,0
1034,2412,0
1019,2436,0
1004,2468,0
994,2507,0
991,2531,0
997,2551,0
1006,2555,0
1018,2552,0
1049,2493,0
1055,2469,0
1057,2453,0
1057,2449,0
1057,2449,0
1058,2465,0
1063,2485,0
1072,2509,0
1083,2521,0
1093,2512,0
1103,2485,0
1115,2453,0
1126,2412,0
1134,2356,0
1139,2296,0
1142,2228,0
1143,2164,0
1142,2108,0
1141,2068,0
1138,2040,0
1134,2036,0
1130,2041,0
1125,2060,0
1122,2104,0
1119,2164,0
1122,2245,0
1126,2324,0
1131,2392,0
1139,2456,0
1149,2504,0
1162,2539,0
1177,2559,0
1193,2566,0
1206,2561,0
1220,2545,0
1230,2524,0
1237,2499,0
1238,2475,0
1235,2456,0
1229,2444,0
1220,2432,0
1216,2432,0
1213,2429,0
1211,2429,0
1210,2429,0
1211,2433,0
1213,2441,0
1222,2456,0
1232,2463,0
1244,2467,0
1259,2466,0
1276,2456,0
1287,2431,0
1300,2405,0
1308,2369,0
1313,2324,0
1319,2275,0
1325,2239,0
1324,2198,0
1319,2163,0
1317,2147,0
1309,2132,0
1307,2132,0
1304,2135,0
1300,2161,0
1295,2201,0
1293,2258,0
1288,2311,0
1290,2371,0
1293,2419,0
1301,2466,0
1313,2505,0
1327,2528,0
1345,2538,0
1365,2540,0
1380,2526,0
1394,2516,0
1401,2499,0
1401,2478,0
1399,2466,0
1393,2455,0
1386,2448,0
1382,2449,0
1380,2449,0
1377,2453,0
1383,2469,0
1390,2476,0
1404,2486,0
1421,2484,0
1438,2481,0
1452,2467,0
1468,2456,0
1481,2441,0
1489,2432,0
1491,2432,0
1492,2435,0
1486,2441,0
1484,2457,0
1485,2469,0
1493,2484,0
1501,2491,0
1512,2489,0
1526,2482,0
1539,2468,0
1551,2452,0
1563,2438,0
1570,2420,0
1576,2410,0
1576,2406,0
1578,2410,0
1575,2435,0
1575,2480,0
1575,2537,0
1577,2602,0
1579,2659,0
1585,2703,0
1585,2727,0
1586,2751,0
1582,2768,0
1577,2786,0
1572,2791,1
1887,2365,0
1886,2366,0
1883,2362,0
1885,2366,0
1886,2369,0
1884,2379,0
1884,2400,0
1888,2428,0
1891,2440,0
1900,2446,0
1913,2449,0
1923,2437,0
1936,2424,0
1944,2403,0
1956,2386,0
1965,2365,0
1977,2352,0
1985,2344,0
1992,2345,0
1997,2347,0
2002,2355,0
2015,2370,0
2026,2383,0
2037,2400,0
2043,2420,0
2043,2441,0
2041,2463,0
2032,2480,0
2022,2498,1
1899,2236,0
1891,2222,0
1892,2217,0
1897,2211,0
1901,2197,1
2221,2478,0
2224,2481,0
2217,2494,0
2216,2538,0
2208,2569,1
2783,2326,0
2777,2321,0
2767,2313,0
2764,2310,0
2756,2301,0
2750,2296,0
2741,2293,0
2730,2292,0
2716,2297,0
2703,2311,0
2690,2331,0
2683,2352,0
2680,2374,0
2678,2391,0
2685,2404,0
2695,2412,0
2707,2413,0
2722,2412,0
2733,2405,0
2740,2395,0
2748,2388,0
2753,2374,0
2750,2356,0
2751,2341,0
2753,2334,0
2750,2330,0
2750,2331,0
2750,2336,0
2753,2344,0
2758,2350,0
2773,2359,0
2785,2355,0
2799,2344,0
2817,2319,0
2834,2285,0
2854,2247,0
2869,2197,0
2884,2146,0
2894,2088,0
2905,2034,0
2906,1987,0
2901,1952,0
2893,1930,0
2887,1920,0
2886,1920,0
2885,1928,0
2878,1953,0
2874,1996,0
2872,2053,0
2873,2123,0
2873,2194,0
2879,2263,0
2885,2326,0
2890,2384,0
2888,2436,0
2895,2487,0
2896,2527,0
2899,2555,0
2898,2570,0
2901,2579,0
2901,2579,0
2899,2575,0
2896,2562,0
2888,2538,0
2880,2509,0
2869,2477,0
2863,2451,0
2861,2432,0
2859,2418,0
2861,2407,0
2871,2400,0
2884,2393,0
2902,2394,0
2922,2399,0
2936,2402,0
2953,2409,0
2963,2407,1
3261,2298,0
3259,2289,0
3255,2282,0
3255,2282,0
3258,2284,0
3259,2288,0
3264,2301,0
3267,2316,0
3268,2326,0
3275,2336,0
3277,2340,0
3276,2340,0
3277,2340,0
3276,2335,0
3272,2322,0
3270,2313,0
3262,2304,0
3249,2300,0
3230,2302,0
3208,2313,0
3192,2328,0
3180,2345,0
3177,2365,0
3177,2382,0
3187,2399,0
3195,2413,0
3223,2426,0
3250,2427,0
3283,2419,0
3319,2405,0
3359,2386,0
3387,2359,0
3417,2337,0
3440,2318,0
3455,2302,0
3458,2293,0
3458,2293,0
3456,2295,0
3450,2301,0
3438,2314,0
3431,2334,0
3431,2358,0
3431,2376,0
3438,2391,0
3450,2402,0
3462,2406,0
3475,2405,0
3486,2398,0
3496,2388,0
3498,2373,0
3497,2357,0
3491,2339,0
3480,2322,0
3472,2313,0
3467,2307,0
3460,2303,0
3456,2301,1
3553,2311,0
3565,2305,0
3576,2304,0
3580,2306,0
3580,2311,0
3583,2320,0
3568,2331,0
3566,2352,0
3557,2368,0
3559,2385,0
3559,2390,0
