went up, and down, just like
566
761,4160,0
765,4140,0
771,4121,0
777,4097,0
784,4070,0
789,4046,0
795,4017,0
799,4002,0
801,3995,0
801,3998,0
800,4003,0
796,4027,0
791,4062,0
789,4098,0
790,4134,0
794,4162,0
802,4179,0
811,4184,0
820,4184,0
832,4173,0
840,4149,0
849,4130,0
856,4110,0
862,4090,0
865,4075,0
866,4071,0
866,4070,0
868,4075,0
875,4091,0
884,4104,0
897,4121,0
931,4138,0
950,4138,0
970,4131,0
987,4119,0
1001,4099,0
1010,4068,0
1015,4044,0
1001,4012,0
994,4016,0
987,4023,0
982,4039,0
982,4067,0
985,4107,0
992,4131,0
1017,4164,0
1033,4172,0
1049,4173,0
1065,4164,0
1078,4140,0
1092,4121,0
1103,4092,0
1113,4064,0
1126,4024,0
1126,4028,0
1126,4028,0
1128,4036,0
1129,4044,0
1131,4053,0
1134,4056,0
1141,4064,0
1143,4068,0
1146,4073,0
1147,4073,0
1149,4072,0
1150,4072,0
1153,4076,0
1158,4083,0
1160,4092,0
1163,4104,0
1165,4119,0
1169,4131,0
1171,4139,0
1171,4139,0
1171,4143,0
1164,4108,0
1167,4099,0
1171,4080,0
1179,4068,0
1187,4055,0
1196,4046,0
1204,4042,0
1213,4046,0
1235,4102,0
1240,4121,0
1249,4149,0
1257,4161,0
1266,4168,0
1278,4164,0
1291,4155,0
1301,4126,0
1329,3961,0
1332,3920,0
1330,3884,0
1321,3845,0
1317,3821,0
1315,3813,0
1314,3812,0
1319,3869,0
1327,3913,0
1335,3968,0
1346,4015,0
1353,4063,0
1359,4098,0
1364,4130,0
1368,4150,0
1359,4135,0
1352,4091,0
1372,4089,0
1389,4089,0
1408,4079,0
1425,4082,0
1438,4080,0
1445,4079,0
1448,4080,0
1449,4083,0
1449,4083,0
1449,4083,0
1449,4083,0
1449,4087,1
1742,4064,0
1742,4061,0
1741,4057,0
1742,4056,0
1741,4053,0
1742,4065,0
1743,4089,0
1744,4113,0
1746,4128,0
1753,4144,0
1762,4150,0
1771,4148,0
1782,4143,0
1793,4129,0
1801,4107,0
1813,4097,0
1818,4072,0
1823,4063,0
1825,4062,0
1824,4058,0
1824,4062,0
1821,4075,0
1821,4091,0
1826,4111,0
1831,4121,0
1841,4133,0
1857,4125,0
1865,4111,0
1872,4097,0
1878,4080,0
1881,4063,0
1885,4058,0
1884,4050,0
1886,4058,0
1885,4058,0
1884,4058,0
1888,4065,0
1886,4062,0
1885,4063,0
1886,4062,0
1884,4062,0
1884,4062,0
1884,4062,0
1884,4062,0
1884,4062,0
1884,4062,0
1884,4062,0
1884,4062,0
