She said, &quot;Oh he hates it, and us.&quot; Chapter four.
889
1131,1764,0
1114,1764,0
1098,1768,0
1084,1773,0
1075,1785,0
1064,1789,0
1058,1800,0
1053,1808,0
1053,1816,0
1060,1832,0
1068,1845,0
1082,1861,0
1097,1877,0
1114,1892,0
1128,1904,0
1141,1920,0
1149,1935,0
1153,1952,0
1151,1967,0
1144,1984,0
1134,2004,0
1119,2016,0
1099,2021,0
1081,2033,0
1061,2036,0
1043,2040,0
1033,2044,0
1029,2044,0
1029,2040,1
1201,1932,0
1192,1966,0
1188,1994,0
1190,2013,0
1190,2013,0
1197,2017,0
1204,2005,0
1215,1984,0
1228,1954,0
1240,1921,0
1254,1896,0
1267,1882,0
1276,1877,0
1284,1881,0
1288,1884,0
1295,1900,0
1296,1920,0
1298,1944,0
1300,1967,0
1303,1983,0
1309,1995,1
1339,1946,0
1344,1949,0
1349,1949,0
1358,1947,0
1367,1938,0
1375,1924,0
1381,1907,0
1382,1890,0
1381,1879,0
1377,1871,0
1370,1865,0
1363,1865,0
1355,1871,0
1349,1892,0
1344,1917,0
1344,1941,0
1348,1965,0
1358,1983,0
1377,1997,0
1399,1997,0
1422,1989,1
1679,1887,0
1672,1885,0
1664,1888,0
1651,1884,0
1643,1891,0
1636,1898,0
1631,1908,0
1628,1921,0
1627,1930,0
1631,1941,0
1642,1954,0
1651,1964,0
1663,1977,0
1672,1987,0
1672,1990,0
1673,2000,0
1663,2002,0
1653,2010,0
1641,2013,0
1628,2013,0
1616,2009,1
1778,1914,0
1778,1914,0
1774,1911,0
1767,1906,0
1760,1904,0
1753,1907,0
1742,1915,0
1727,1930,0
1710,1948,0
1701,1978,0
1687,1998,0
1684,2017,0
1689,2027,0
1698,2029,0
1708,2021,0
1723,2007,0
1740,1989,0
1752,1959,0
1766,1932,0
1778,1910,0
1785,1894,0
1786,1885,0
1785,1886,0
1783,1886,0
1780,1896,0
1778,1918,0
1773,1937,0
1780,1961,0
1783,1968,0
1793,1973,0
1805,1972,0
1821,1966,0
1833,1948,0
1855,1935,0
1870,1914,0
1885,1903,0
1887,1893,0
1891,1896,0
1889,1901,0
1890,1918,0
1884,1934,0
1881,1953,0
1877,1968,0
1878,1981,0
1879,1984,1
1866,1819,0
1862,1817,0
1862,1817,0
1865,1820,0
1868,1823,1
1973,1918,0
1973,1918,0
1974,1918,0
1971,1915,0
1971,1919,0
1965,1923,0
1956,1935,0
1947,1954,0
1938,1971,0
1937,1989,0
1938,2002,0
1940,2002,0
1952,2005,0
1965,1993,0
1977,1970,0
1989,1937,0
2001,1903,0
2010,1867,0
2017,1831,0
2022,1797,0
2026,1771,0
2028,1751,0
2029,1742,0
2029,1742,0
2027,1742,0
2028,1751,0
2026,1775,0
2026,1807,0
2024,1841,0
2024,1878,0
2024,1910,0
2029,1939,0
2034,1959,1
2279,1770,0
2273,1784,0
2273,1794,0
2278,1800,0
2282,1798,1
2333,1748,0
2332,1759,0
2328,1773,0
2331,1785,1
2515,1768,0
2513,1759,0
2506,1749,0
2497,1742,0
2486,1739,1
2454,1757,0
2434,1775,0
2416,1800,0
2403,1831,0
2388,1862,0
2376,1891,0
2376,1922,0
2377,1946,0
2385,1965,0
2395,1978,0
2405,1981,0
2420,1979,0
2434,1968,0
2447,1949,0
2456,1923,0
2464,1894,0
2473,1867,0
2477,1838,0
2478,1811,0
2476,1786,0
2473,1768,0
2470,1754,0
2466,1747,0
2467,1742,1
2571,1710,0
2571,1710,0
2571,1710,0
2574,1713,0
2567,1720,0
2564,1739,0
2559,1766,0
2550,1795,0
2546,1831,0
2539,1859,0
2538,1880,0
