He had security, comfort,
501
1271,3363,0
1271,3363,0
1272,3370,0
1269,3395,0
1261,3443,0
1253,3500,0
1247,3564,0
1245,3625,0
1245,3660,0
1247,3677,0
1251,3676,0
1255,3676,0
1257,3648,0
1260,3607,0
1261,3576,0
1256,3568,0
1249,3568,0
1252,3564,0
1280,3555,0
1333,3519,0
1396,3481,0
1449,3440,0
1492,3402,0
1521,3370,0
1529,3369,0
1524,3374,0
1499,3401,0
1467,3445,0
1450,3496,0
1449,3540,0
1459,3579,0
1479,3609,0
1505,3626,1
1613,3535,0
1628,3524,0
1637,3510,0
1640,3498,0
1638,3494,0
1627,3492,0
1603,3503,0
1570,3525,0
1545,3557,0
1532,3587,0
1532,3615,0
1546,3629,0
1582,3641,0
1631,3633,0
1686,3620,0
1733,3607,0
1781,3585,1
2013,3321,0
2005,3324,0
1993,3344,0
1971,3379,0
1948,3427,0
1935,3480,0
1930,3522,0
1939,3554,0
1956,3570,0
1983,3575,0
2010,3559,0
2046,3545,0
2075,3525,0
2090,3520,0
2092,3519,0
2094,3531,0
2095,3547,1
2291,3513,0
2294,3510,0
2290,3495,0
2283,3485,0
2263,3471,0
2234,3469,0
2194,3474,0
2158,3490,0
2131,3507,0
2125,3518,0
2135,3531,0
2161,3531,0
2195,3520,0
2231,3508,0
2265,3501,0
2287,3492,0
2292,3491,0
2287,3505,0
2273,3527,0
2258,3545,0
2261,3561,0
2273,3565,0
2297,3565,0
2329,3558,0
2375,3553,1
2535,3540,0
2531,3533,0
2521,3524,0
2507,3518,0
2480,3512,0
2448,3515,0
2418,3528,0
2388,3536,0
2367,3543,0
2363,3549,0
2370,3555,0
2390,3552,0
2424,3538,0
2464,3513,0
2501,3477,0
2538,3434,0
2575,3391,0
2606,3359,0
2611,3342,0
2613,3346,0
2595,3368,0
2572,3414,0
2558,3460,0
2557,3504,0
2564,3541,1
3023,3407,0
3011,3399,0
3001,3397,0
2981,3394,0
2958,3399,0
2933,3408,0
2908,3423,0
2894,3440,0
2897,3460,1
3005,3565,0
3001,3576,0
2984,3586,0
2954,3593,0
2914,3592,0
