was, perhaps, a shade too friendly.
832
637,5076,0
633,5080,0
632,5080,0
632,5076,0
630,5076,0
632,5080,0
630,5080,0
630,5084,0
628,5084,0
627,5087,0
630,5104,0
634,5120,0
636,5132,0
637,5156,0
634,5180,0
636,5204,0
638,5225,0
641,5250,0
644,5265,0
649,5278,0
655,5283,0
665,5276,0
678,5261,0
699,5226,0
714,5191,0
734,5164,0
752,5138,0
764,5122,0
769,5114,0
775,5119,0
782,5123,0
786,5144,0
789,5163,0
781,5187,0
781,5212,0
784,5224,0
791,5233,0
801,5233,0
809,5233,0
822,5221,0
843,5202,0
861,5175,0
883,5144,0
902,5122,0
919,5106,0
929,5098,0
938,5095,0
946,5095,0
954,5098,1
1074,5084,0
1079,5085,0
1082,5076,0
1082,5072,0
1076,5072,0
1068,5072,0
1058,5076,0
1047,5080,0
1037,5084,0
1030,5096,0
1025,5104,0
1019,5124,0
1015,5152,0
1010,5184,0
1010,5208,0
1013,5224,0
1024,5236,0
1038,5240,0
1057,5233,0
1078,5216,0
1100,5184,0
1126,5149,0
1148,5120,0
1157,5103,0
1158,5104,0
1157,5103,0
1156,5108,0
1156,5115,0
1157,5132,0
1158,5148,0
1158,5164,0
1160,5172,0
1167,5175,1
1363,5052,0
1363,5052,0
1363,5052,0
1359,5052,0
1350,5053,0
1336,5057,0
1319,5062,0
1300,5072,0
1278,5088,0
1254,5101,0
1241,5114,0
1241,5129,0
1253,5142,0
1274,5153,0
1300,5163,0
1327,5175,0
1350,5185,0
1365,5197,0
1369,5208,0
1363,5216,0
1346,5230,0
1319,5239,0
1294,5248,0
1274,5248,0
1260,5253,1
1556,5194,0
1554,5202,0
1558,5217,0
1556,5242,0
1546,5271,0
1531,5305,0
1513,5338,0
1498,5364,0
1490,5384,1
1767,5113,0
1768,5117,0
1770,5117,0
1771,5120,0
1771,5124,0
1771,5145,0
1767,5169,0
1763,5206,0
1757,5236,0
1755,5272,0
1751,5305,0
1747,5333,0
1742,5354,0
1738,5371,0
1736,5371,0
1737,5367,0
1737,5347,0
1742,5318,0
1749,5289,0
1756,5251,0
1765,5214,0
1775,5176,0
1788,5138,0
1805,5107,0
1826,5084,0
1851,5068,0
1878,5064,0
1903,5067,0
1921,5080,0
1927,5091,0
1924,5113,0
1912,5134,0
1890,5155,0
1867,5175,0
1840,5187,0
1818,5190,0
1803,5192,1
1964,5126,0
1971,5133,0
1984,5134,0
1993,5133,0
2001,5132,0
2011,5130,0
2024,5123,0
2037,5113,0
2049,5098,0
2061,5083,0
2069,5074,0
2069,5069,0
2065,5070,0
2057,5072,0
2041,5074,0
2025,5091,0
2007,5110,0
1993,5137,0
1988,5162,0
1990,5186,0
1998,5205,0
2011,5219,0
2024,5225,0
2040,5230,0
2058,5231,0
2077,5219,0
2101,5209,0
2123,5189,0
2146,5168,0
2166,5155,0
2179,5149,0
2183,5147,0
2188,5151,0
2195,5161,0
2205,5171,0
2210,5174,0
2217,5180,0
2217,5177,0
2222,5176,0
2234,5173,0
2250,5153,0
2272,5131,0
2297,5101,0
2318,5079,0
2331,5059,1
2441,4896,0
2444,4900,0
2446,4903,0
2450,4915,0
2454,4926,0
2459,4945,0
2461,4970,0
2461,5002,0
2457,5033,0
2456,5067,0
2455,5092,0
2456,5113,0
2461,5132,0
2465,5139,0
2469,5142,0
2472,5137,0
2485,5129,0
2505,5107,0
2531,5086,0
2557,5074,0
2580,5067,0
2600,5070,0
2613,5082,0
2623,5101,0
2628,5120,0
2630,5136,0
2631,5152,0
2629,5161,0
2631,5169,1
2775,5093,0
2774,5093,0
2772,5089,0
2766,5092,0
2757,5094,0
2745,5098,0
2730,5104,0
2714,5122,0
2695,5144,0
2682,5166,0
2680,5187,0
2682,5195,0
2692,5204,0
2700,5202,0
2715,5197,0
2735,5183,0
2757,5162,0
2783,5136,0
2810,5119,0
2826,5108,0
2828,5108,0
2832,5115,0
2830,5129,0
2825,5143,0
2823,5153,0
2823,5161,0
2824,5164,0
2830,5167,0
2840,5163,1
2948,5090,0
2952,5084,0
2955,5083,0
2953,5083,0
2958,5099,0
2959,5120,0
2958,5142,0
2960,5166,0
2960,5192,0
2959,5219,0
2958,5244,0
2955,5270,0
2953,5289,0
2948,5298,0
2946,5299,0
2946,5296,0
2945,5286,0
2946,5269,0
2948,5239,0
2958,5210,0
2970,5171,0
2991,5133,0
3015,5093,0
3038,5063,0
3066,5048,0
3092,5042,0
3111,5043,0
3121,5047,0
3124,5057,0
3122,5072,0
3110,5086,0
3091,5098,0
3067,5108,0
3045,5116,0
3028,5123,0
3020,5127,0
3020,5122,1
3270,5016,0
3269,5013,0
3270,5012,0
3267,5010,0
3256,5005,0
3247,5005,0
3233,5011,0
3217,5018,0
3203,5028,0
3197,5044,0
3194,5054,0
3198,5066,0
3209,5079,0
3230,5086,0
3256,5097,0
3277,5105,0
3292,5116,0
3294,5124,0
3290,5135,0
3268,5144,0
3238,5158,0
3204,5163,0
3177,5170,0
3157,5175,0
3146,5175,1
3454,5125,0
3449,5127,0
3449,5127,0
3448,5132,0
3441,5149,0
3426,5174,0
3413,5202,0
3400,5226,0
3389,5248,0
3375,5272,0
3366,5289,0
3362,5295,0
3364,5294,1
3750,4994,0
3754,4998,0
3752,4994,0
3752,4994,0
3746,4993,0
3738,4988,0
3730,4987,0
3723,4992,0
3706,4996,0
3687,5007,0
3662,5025,0
3638,5046,0
3617,5071,0
3601,5088,0
3595,5101,0
3595,5108,0
3599,5112,0
3607,5113,0
3614,5103,0
3631,5091,0
3649,5067,0
3671,5038,0
3694,5012,0
3717,4995,0
3730,4987,0
3736,4989,0
3740,4996,0
3744,5011,0
3740,5033,0
3732,5059,0
3723,5083,0
3715,5101,0
3714,5120,0
3715,5132,0
3723,5137,0
3736,5134,0
3760,5126,1
4129,5003,0
4129,5003,0
4129,5003,0
4129,4999,0
4128,4994,0
4123,4993,0
4116,4992,0
4101,4993,0
4085,4997,0
4063,5002,0
4044,5009,0
4024,5021,0
4005,5028,0
4000,5035,0
3998,5036,0
4008,5045,0
4026,5048,0
4051,5051,0
4078,5058,0
4097,5066,0
4115,5078,0
4119,5089,0
4118,5104,0
4111,5118,0
4094,5128,0
4079,5142,0
4061,5149,0
4042,5145,0
4032,5142,1
4184,4825,0
4183,4830,0
4188,4846,0
4188,4860,0
4190,4883,0
4190,4907,0
4192,4934,0
4191,4963,0
4191,4992,0
4188,5017,0
4191,5045,0
4191,5058,0
4194,5067,0
4197,5069,0
4200,5067,0
4206,5059,0
4223,5038,0
4242,5016,0
4262,5003,0
4280,4996,0
4290,4995,0
4300,5002,0
4307,5012,0
4312,5032,0
4312,5052,0
4313,5071,0
4314,5084,0
4314,5093,0
4321,5098,1
4483,5002,0
4483,4999,0
4484,4992,0
4480,4985,0
4482,4984,0
4480,4985,0
4474,4985,0
4468,4990,0
4459,4999,0
4452,5009,0
4446,5024,0
4437,5040,0
4430,5055,0
4423,5064,0
4422,5069,0
4427,5076,0
4432,5077,0
4446,5072,0
4463,5061,0
4481,5043,0
4502,5023,0
4523,5009,0
4535,5000,0
4535,5000,0
4538,5009,0
4532,5021,0
4525,5037,0
4520,5050,0
4518,5061,0
4517,5067,0
4517,5072,0
4521,5069,0
4536,5069,1
4647,5047,0
4648,5047,0
4647,5043,0
4648,5037,0
4646,5029,0
4636,5021,0
4629,5021,0
4619,5023,0
4606,5028,0
4593,5037,0
4588,5046,0
4587,5057,0
4587,5067,0
4592,5073,0
4593,5072,0
4600,5072,0
4611,5064,0
4625,5048,0
4642,5021,0
4662,4992,0
4678,4955,0
4695,4927,0
4707,4903,0
4712,4879,0
4718,4859,0
4722,4852,0
4722,4852,0
4718,4854,0
4717,4871,0
4713,4898,0
4705,4929,0
4702,4967,0
4698,4999,0
4698,5029,0
4698,5049,0
4705,5064,0
4711,5070,0
4727,5072,0
4743,5060,0
4768,5043,0
4792,5018,0
4813,4993,0
4833,4977,0
4840,4967,0
4840,4966,0
4835,4966,0
4831,4974,0
4821,4997,0
4816,5020,0
4814,5038,0
4821,5057,0
4832,5069,0
4843,5071,1
5173,4783,0
5170,4780,0
5171,4780,0
5172,4779,0
5170,4780,0
5171,4780,0
5170,4780,0
5169,4782,0
5169,4786,0
5174,4798,0
5178,4816,0
5182,4840,0
5182,4861,0
5181,4893,0
5173,4920,0
5171,4953,0
5171,4986,0
5172,5016,0
5173,5046,0
5176,5070,0
5176,5086,0
5177,5091,0
5178,5089,0
5183,5086,0
5185,5074,1
5139,4945,0
5138,4946,0
5139,4945,0
5139,4944,0
5142,4947,0
5155,4953,0
5166,4953,0
5185,4953,0
5204,4951,0
5228,4953,0
5248,4951,0
5277,4952,0
5306,4949,1
5392,4957,0
5396,4959,0
5393,4956,0
5391,4953,0
5387,4951,0
5380,4946,0
5368,4946,0
5351,4951,0
