time, Max, say three months. If
689
480,3128,0
478,3128,0
482,3129,0
489,3131,0
503,3117,0
521,3088,0
540,3054,0
555,3021,0
567,2987,0
578,2960,0
586,2941,0
591,2930,0
596,2931,0
601,2944,0
606,2973,0
608,3022,0
609,3075,0
611,3128,0
611,3176,0
612,3213,0
612,3238,0
610,3257,0
610,3262,0
609,3257,0
603,3240,0
596,3210,0
587,3185,0
579,3168,0
571,3158,0
567,3157,0
564,3156,0
563,3169,0
565,3185,0
573,3203,0
588,3209,0
607,3204,0
628,3192,0
650,3170,0
672,3149,0
692,3132,0
707,3113,0
712,3110,0
714,3110,0
713,3122,0
709,3146,0
704,3177,0
699,3209,0
699,3225,0
706,3238,0
719,3235,0
733,3225,0
751,3211,0
772,3189,0
794,3167,0
815,3141,0
833,3122,0
844,3123,0
846,3124,0
846,3139,0
842,3159,0
837,3191,0
832,3210,0
832,3227,0
835,3230,0
840,3227,0
849,3216,0
859,3192,0
873,3170,0
889,3139,0
902,3119,0
912,3116,0
918,3124,0
922,3136,0
924,3160,0
922,3185,0
920,3212,0
921,3233,0
924,3233,0
928,3229,0
936,3221,0
947,3198,0
959,3166,0
972,3139,0
985,3123,0
993,3115,0
997,3119,0
1000,3135,0
1003,3159,0
1007,3187,0
1015,3212,0
1028,3224,0
1048,3233,0
1068,3225,0
1090,3209,0
1112,3185,0
1127,3156,0
1134,3124,0
1131,3108,0
1121,3109,0
1102,3117,0
1085,3141,0
1076,3165,0
1078,3197,0
1095,3212,0
1122,3212,0
1149,3204,0
1172,3179,0
1191,3151,0
1196,3114,1
725,2918,0
707,2940,0
707,2940,0
714,2941,0
724,2934,1
1369,3214,0
1360,3204,0
1360,3208,0
1358,3220,0
1353,3240,0
1346,3262,0
1334,3286,0
1319,3311,0
1306,3337,0
1295,3345,0
1292,3354,0
1293,3354,0
1299,3345,1
1471,3292,0
1482,3267,0
1499,3224,0
1520,3173,0
1541,3109,0
1558,3037,0
1577,2977,0
1592,2922,0
1603,2878,0
1614,2864,0
1620,2863,0
1625,2871,0
1629,2906,0
1630,2963,0
1634,3007,0
1643,3025,0
1655,3035,0
1667,3029,0
1684,3009,0
1703,2968,0
1724,2914,0
1747,2854,0
1774,2811,0
1800,2784,0
1815,2775,0
1828,2788,0
1837,2823,0
1836,2881,0
1826,2963,0
1809,3049,0
1795,3119,0
1786,3170,0
1785,3209,0
1787,3223,0
1795,3230,0
1810,3214,0
1835,3180,0
1866,3139,0
1901,3104,0
1923,3069,0
1939,3047,0
1946,3040,0
1943,3037,0
1935,3044,0
