&quot;No,&quot; I said, &quot;outside your Office.&quot;
668
1392,1103,0
1391,1102,0
1390,1103,0
1389,1104,0
1389,1112,0
1385,1134,0
1385,1167,0
1383,1198,0
1382,1215,0
1385,1223,0
1392,1220,0
1402,1204,0
1416,1179,0
1431,1153,0
1437,1124,0
1447,1117,0
1447,1117,0
1445,1122,0
1445,1148,0
1445,1169,0
1458,1185,1
1582,1126,0
1579,1136,0
1580,1154,0
1578,1181,0
1578,1217,0
1579,1257,0
1580,1304,0
1582,1351,0
1587,1384,0
1587,1409,0
1590,1430,0
1595,1441,0
1600,1443,1
1582,1139,0
1586,1142,0
1585,1142,0
1585,1147,0
1585,1155,0
1590,1170,0
1598,1194,0
1609,1224,0
1621,1258,0
1637,1290,0
1648,1316,0
1654,1336,0
1665,1357,0
1672,1372,0
1681,1381,0
1692,1388,0
1693,1388,0
1696,1386,0
1702,1388,0
1701,1379,0
1705,1363,0
1709,1339,0
1708,1303,0
1706,1262,0
1707,1220,0
1715,1183,0
1708,1150,0
1715,1136,0
1716,1125,1
1819,1259,0
1809,1250,0
1801,1247,0
1792,1243,0
1779,1242,0
1767,1245,0
1756,1252,0
1742,1264,0
1729,1282,0
1713,1305,0
1717,1335,0
1720,1360,0
1726,1380,0
1734,1389,0
1749,1394,0
1771,1391,0
1795,1377,0
1814,1357,0
1830,1332,0
1836,1305,0
1840,1278,1
1900,1416,0
1900,1416,0
1896,1418,0
1890,1436,0
1882,1466,1
1955,1093,0
1956,1114,0
1950,1130,0
1954,1143,0
1960,1148,0
1962,1146,0
1965,1138,0
1972,1121,0
1981,1100,0
1990,1081,0
1997,1068,0
2002,1064,0
2007,1065,0
2002,1070,0
2000,1089,0
2000,1111,0
2002,1124,1
2220,1235,0
2215,1269,0
2217,1301,0
2211,1330,0
2210,1353,0
2211,1368,0
2213,1377,0
2217,1385,0
2215,1387,0
2224,1394,1
2569,1238,0
2562,1234,0
2558,1232,0
2544,1230,0
2533,1233,0
2522,1241,0
2502,1247,0
2490,1256,0
2476,1267,0
2467,1279,0
2462,1291,0
2465,1301,0
2467,1305,0
2480,1307,0
2497,1306,0
2519,1304,0
2539,1305,0
2560,1310,0
2577,1315,0
2590,1323,0
2591,1327,0
2594,1337,0
2586,1348,0
2572,1359,0
2562,1372,0
2545,1380,0
2529,1387,0
2512,1388,0
2494,1384,0
2483,1379,0
2470,1370,0
2458,1359,0
2457,1347,1
2628,1272,0
2613,1293,0
2608,1319,0
2605,1344,0
2605,1363,0
2613,1377,0
2620,1382,0
2632,1380,0
2649,1371,0
2665,1350,0
2683,1324,0
2697,1299,0
2713,1275,0
2721,1257,0
2728,1246,0
2726,1240,0
2726,1240,0
2726,1242,0
2723,1247,0
2720,1258,0
2722,1276,0
2723,1296,0
2724,1317,0
2729,1337,0
2727,1353,0
2732,1368,0
2733,1377,0
2736,1382,0
2740,1382,1
2799,1276,0
2801,1295,0
2801,1317,0
2799,1333,0
2798,1350,0
2795,1361,0
2797,1372,0
2796,1374,0
2796,1372,1
2799,1177,0
2795,1176,0
2791,1176,0
2792,1180,0
2794,1185,1
2931,1245,0
2924,1241,0
2910,1240,0
2897,1246,0
2885,1259,0
2866,1276,0
2854,1301,0
2842,1327,0
2837,1348,0
2834,1362,0
2845,1373,0
2853,1375,0
2870,1372,0
2884,1358,0
2904,1336,0
2921,1309,0
2935,1276,0
2954,1245,0
2963,1211,0
2970,1182,0
2975,1158,0
2970,1139,0
2971,1129,0
2965,1124,0
2965,1124,0
2965,1125,0
2958,1129,0
2955,1143,0
2958,1163,0
2953,1189,0
2954,1220,0
2955,1252,0
2956,1281,0
2956,1303,0
2959,1323,0
2958,1338,0
2961,1349,0
2966,1357,0
2969,1360,0
2969,1360,0
2970,1358,1
3269,1085,0
3263,1100,0
3266,1114,0
3269,1124,0
3274,1134,1
3418,1223,0
3408,1218,0
3400,1216,0
3391,1216,0
3380,1222,0
3362,1231,0
3347,1245,0
3334,1261,0
3326,1287,0
3317,1315,0
3317,1339,0
3324,1353,0
3334,1358,0
3354,1356,0
3373,1344,0
3396,1326,0
3414,1307,0
3424,1286,0
3430,1265,0
3428,1248,0
3424,1240,1
3474,1235,0
3474,1253,0
3466,1273,0
3468,1298,0
3462,1319,0
3466,1338,0
3474,1348,0
3485,1353,0
3498,1353,0
3514,1348,0
3530,1333,0
3545,1311,0
3556,1287,0
3562,1263,0
3563,1240,0
3560,1228,0
3558,1223,1
3640,1102,0
3633,1098,0
3632,1102,0
3629,1112,0
3624,1125,0
3626,1143,0
3621,1164,0
3619,1192,0
3615,1223,0
3615,1254,0
3617,1279,0
3617,1298,0
3623,1315,0
3621,1327,0
3624,1331,0
3624,1331,0
3621,1328,0
3618,1315,0
3618,1296,0
3614,1275,0
3605,1255,0
3593,1242,0
3583,1235,0
3576,1232,0
3577,1231,0
3576,1232,0
3585,1231,0
3598,1230,0
3625,1230,1
3769,1226,0
3766,1221,0
3760,1216,0
3752,1213,0
3744,1211,0
3735,1213,0
3725,1218,0
3708,1225,0
3696,1235,0
3684,1245,0
3680,1252,0
3677,1259,0
3679,1266,0
3689,1271,0
3701,1274,0
3720,1272,0
3741,1272,0
3757,1276,0
3768,1281,0
3777,1290,0
3782,1299,0
3783,1307,0
3776,1315,0
3767,1325,0
3754,1334,0
3735,1338,0
3717,1339,0
3701,1336,0
3681,1331,0
3671,1324,0
3661,1317,0
3660,1311,0
3662,1304,1
3835,1220,0
3827,1220,0
3826,1222,0
3824,1229,0
3826,1243,0
3819,1262,0
3823,1283,0
3828,1304,0
3830,1319,1
3824,1134,0
3822,1129,0
3822,1129,0
3824,1132,0
3835,1141,1
3967,1233,0
3963,1223,0
3952,1215,0
3937,1210,0
3925,1209,0
3910,1213,0
3896,1218,0
3884,1227,0
3877,1245,0
3873,1267,0
3869,1287,0
3872,1303,0
3881,1312,0
3892,1317,0
3901,1316,0
3916,1309,0
3935,1295,0
3947,1274,0
3962,1246,0
3975,1212,0
3986,1181,0
3991,1155,0
3993,1136,0
3996,1126,0
3993,1122,0
3989,1120,0
3989,1123,0
3985,1133,0
3981,1147,0
3978,1167,0
3973,1194,0
3970,1225,0
3971,1257,0
3970,1282,0
3971,1302,0
3978,1316,0
3980,1322,1
4039,1269,0
4040,1269,0
4036,1267,0
4041,1264,0
4049,1254,0
4058,1241,0
4073,1225,0
4087,1208,0
4096,1194,0
4102,1188,0
4106,1187,0
4102,1187,0
4093,1189,0
4078,1195,0
4063,1203,0
4051,1214,0
4038,1227,0
4028,1241,0
4027,1254,0
4028,1265,0
4037,1276,0
4050,1286,0
4073,1293,0
4097,1296,0
4119,1294,1
4310,1194,0
4316,1192,0
4315,1193,0
4319,1195,0
4316,1202,0
4319,1217,0
4322,1235,0
4328,1253,0
4340,1270,0
4344,1283,0
4350,1291,0
4355,1298,0
4360,1301,1
4422,1182,0
4423,1182,0
4420,1189,0
4412,1204,0
4401,1225,0
4386,1257,0
4369,1294,0
4352,1331,0
4333,1365,0
4314,1391,0
4298,1411,0
4292,1427,0
4288,1436,1
4478,1208,0
4471,1204,0
4463,1201,0
4454,1204,0
4444,1210,0
4431,1223,0
4422,1242,0
4410,1262,0
4411,1285,0
4410,1300,0
4417,1306,0
4425,1308,0
4438,1305,0
4459,1293,0
4468,1277,0
4483,1258,0
4489,1238,0
4493,1225,0
4490,1221,0
4481,1223,0
4475,1230,1
4532,1194,0
4524,1194,0
4519,1197,0
4513,1203,0
4509,1216,0
4507,1234,0
4506,1252,0
4505,1269,0
4509,1283,0
4517,1295,0
4528,1301,0
4541,1303,0
4546,1295,0
4563,1283,0
4574,1262,0
4589,1240,0
4597,1213,0
4595,1193,0
4594,1181,0
4594,1179,0
4594,1182,1
4638,1202,0
4635,1199,0
4635,1199,0
4630,1199,0
4632,1206,0
4632,1220,0
4632,1237,0
4632,1251,0
4636,1265,0
4640,1278,0
4642,1286,0
4641,1288,0
4644,1290,0
4645,1290,0
4645,1288,0
4643,1283,0
4647,1271,0
4652,1254,0
4650,1233,0
4661,1211,0
4674,1193,1
4985,1081,0
4977,1078,0
4961,1078,0
4947,1083,0
4929,1091,0
4912,1106,0
4891,1125,0
4877,1150,0
4860,1179,0
4852,1212,0
4844,1241,0
4850,1264,0
4857,1281,0
4871,1290,0
4890,1297,0
4911,1294,0
4934,1286,0
4955,1271,0
4977,1255,0
4992,1232,0
5002,1207,0
5005,1179,0
5000,1153,0
4984,1134,0
4974,1124,1
5128,1098,0
5116,1097,0
5108,1100,0
5096,1110,0
5080,1126,0
5067,1150,0
5055,1178,0
5048,1206,0
5045,1234,0
5049,1264,0
5054,1293,0
5062,1322,0
5068,1344,0
5072,1360,0
5077,1368,0
5084,1373,0
5080,1372,0
5081,1370,0
5075,1360,0
5064,1344,0
5049,1322,0
5035,1299,0
5021,1278,0
5006,1266,0
4995,1261,0
4989,1257,0
4989,1256,0
4990,1254,0
4999,1249,0
5012,1247,0
5025,1245,0
5049,1249,0
5072,1254,1
5212,1109,0
5204,1104,0
5193,1101,0
5185,1101,0
5167,1105,0
5156,1118,0
5139,1138,0
5133,1165,0
5121,1194,0
5117,1225,0
5117,1254,0
5122,1282,0
5127,1310,0
5138,1331,0
5146,1349,0
5150,1360,0
5160,1369,0
5161,1368,0
5157,1368,0
5156,1356,0
5146,1335,0
5135,1313,0
5120,1290,0
5109,1270,0
5092,1257,0
5086,1251,0
5082,1249,0
5083,1247,0
5095,1247,0
5112,1246,0
5132,1247,0
5154,1245,0
5175,1242,1
5249,1179,0
5244,1179,0
5246,1187,0
5248,1199,0
5248,1216,0
5248,1233,0
5248,1250,0
5251,1266,0
5252,1278,1
5265,1110,0
5262,1105,0
5258,1104,0
5262,1105,0
5265,1108,1
5340,1156,0
5336,1158,0
5323,1160,0
5317,1170,0
5301,1182,0
5289,1201,0
5279,1220,0
5271,1238,0
5276,1253,0
5284,1264,0
5296,1270,0
5320,1271,0
5350,1268,1
5387,1237,0
5383,1235,0
5392,1233,0
5402,1225,0
5417,1213,0
5436,1204,0
5451,1192,0
5461,1184,0
5467,1175,0
5465,1170,0
5453,1166,0
5441,1166,0
5427,1172,0
5409,1181,0
5393,1192,0
5378,1208,0
5369,1225,0
5369,1240,0
5378,1252,0
5392,1262,0
5420,1270,0
5443,1274,0
5475,1278,0
5500,1279,0
5516,1278,1
5554,1291,0
5555,1290,0
5554,1293,0
5558,1295,0
5561,1299,1
5635,1039,0
5634,1040,0
5634,1042,0
5628,1054,0
5625,1066,0
5627,1078,0
5627,1080,0
5635,1079,0
5645,1071,0
5656,1057,0
5663,1042,0
5673,1031,0
5678,1023,0
5679,1023,0
5682,1026,0
5684,1042,0
5684,1057,1
