&quot;No, thank you, Clive. I shall be
486
909,1223,0
909,1227,0
904,1238,0
901,1263,0
902,1295,0
900,1319,0
900,1335,0
902,1344,0
908,1349,1
967,1211,0
963,1219,0
957,1234,0
953,1270,0
946,1310,0
942,1353,0
936,1385,0
943,1409,0
948,1411,1
1102,1372,0
1100,1385,0
1105,1413,0
1108,1449,0
1105,1484,0
1103,1529,0
1106,1573,0
1101,1589,0
1103,1601,0
1104,1600,0
1093,1581,0
1071,1544,0
1044,1500,1
1075,1404,0
1092,1437,0
1119,1484,0
1143,1524,0
1171,1554,0
1197,1568,0
1223,1573,0
1242,1563,0
1262,1549,0
1272,1520,0
1277,1482,0
1278,1442,0
1263,1396,0
1237,1351,0
1218,1325,0
1206,1318,0
1204,1327,0
1199,1335,0
1204,1351,0
1217,1377,0
1240,1411,1
1363,1446,0
1347,1438,0
1339,1442,0
1329,1452,0
1322,1471,0
1322,1499,0
1325,1523,0
1333,1542,0
1346,1548,0
1363,1544,0
1379,1524,0
1393,1500,0
1398,1470,0
1397,1446,0
1378,1418,0
1364,1409,0
1348,1408,0
1339,1418,0
1329,1424,0
1329,1433,0
1335,1435,1
1603,1473,0
1610,1496,0
1608,1517,0
1610,1551,0
1611,1585,1
1882,1188,0
1882,1199,0
1875,1218,0
1877,1252,0
1884,1296,0
1886,1338,0
1893,1372,0
1900,1392,0
1906,1401,1
1823,1308,0
1820,1311,0
1815,1309,0
1821,1315,0
1838,1323,0
1863,1330,0
1891,1331,0
1923,1333,0
1954,1334,1
1976,1143,0
1975,1156,0
1979,1184,0
1985,1227,0
1985,1279,0
1989,1337,0
1995,1388,0
1999,1415,0
2002,1423,0
2005,1421,0
2011,1406,0
2018,1380,0
2024,1356,0
2036,1341,0
2047,1337,0
2059,1348,0
2069,1366,0
2079,1394,0
2092,1423,0
2097,1441,0
2102,1452,1
2193,1358,0
2178,1365,0
2167,1381,0
2152,1401,0
2148,1424,0
2147,1441,0
2157,1454,0
2164,1453,0
2180,1445,0
2195,1427,0
2209,1403,0
2220,1382,0
2221,1364,1
2224,1361,0
2222,1375,0
2219,1394,0
2224,1416,0
2233,1430,0
2246,1439,0
2256,1440,0
2268,1441,1
2315,1385,0
2318,1404,0
2316,1423,0
2317,1439,0
2316,1444,0
2314,1441,0
2318,1438,0
2319,1420,0
2326,1396,0
2338,1372,0
2354,1356,0
2369,1351,0
2378,1353,0
2388,1365,0
