Heavens, girl, what a to-do!
445
1125,1712,0
1123,1732,0
1123,1761,0
1124,1792,0
1131,1836,0
1132,1884,0
1128,1952,0
1118,2033,0
1106,2117,0
1098,2201,0
1095,2265,0
1098,2297,0
1105,2305,1
1353,1806,0
1353,1806,0
1355,1830,0
1353,1883,0
1344,1941,0
1334,2011,0
1318,2082,0
1299,2136,0
1285,2178,1
1117,2145,0
1103,2161,0
1104,2169,0
1119,2176,0
1146,2183,0
1182,2190,0
1225,2188,0
1271,2179,0
1318,2162,0
1363,2149,0
1397,2131,0
1422,2106,0
1440,2083,0
1447,2062,0
1440,2046,0
1423,2046,0
1399,2062,0
1371,2091,0
1350,2135,0
1336,2180,0
1346,2199,0
1343,2219,0
1367,2225,0
1399,2220,0
1432,2203,0
1466,2180,0
1498,2157,0
1522,2128,0
1546,2106,0
1563,2093,0
1566,2079,0
1570,2079,0
1571,2079,1
1530,2101,0
1501,2128,0
1482,2152,0
1474,2174,0
1475,2186,0
1484,2193,0
1500,2186,0
1523,2172,0
1550,2149,0
1579,2130,0
1607,2115,0
1626,2097,0
1643,2092,0
1653,2097,0
1657,2109,0
1658,2133,0
1663,2169,0
1666,2198,0
1668,2214,0
1680,2227,0
1692,2228,1
1799,2052,0
1798,2057,0
1802,2077,0
1812,2107,0
1827,2140,0
1837,2162,0
1843,2176,0
1845,2180,0
1849,2183,0
1850,2174,0
1860,2149,0
1871,2106,0
1894,2075,0
1909,2046,0
1918,2029,0
1922,2026,0
1923,2031,1
1959,2172,0
1969,2177,0
1990,2176,0
2012,2157,0
2035,2128,0
2055,2096,0
2067,2067,0
2061,2044,0
2043,2036,0
2022,2046,0
1993,2068,0
1967,2103,0
1945,2139,0
1934,2170,0
1937,2195,0
1951,2211,0
1971,2215,0
1997,2217,0
2019,2203,0
2043,2187,0
2068,2170,0
2094,2148,0
2121,2130,0
2147,2121,0
2164,2125,0
2178,2140,0
2183,2156,0
2189,2175,0
2193,2187,0
2200,2192,0
2212,2190,0
2226,2182,0
2245,2166,1
2353,2060,0
2340,2055,0
2318,2055,0
2287,2061,0
2254,2072,0
2223,2086,0
2196,2093,0
2186,2099,0
2190,2106,0
2203,2111,0
2230,2124,0
2253,2134,0
2272,2146,0
2283,2157,0
2289,2172,0
2285,2184,0
2278,2202,0
2259,2214,0
2233,2219,0
2210,2217,0
2195,2217,0
2182,2210,0
2176,2205,0
2176,2200,1
2492,2270,0
2485,2267,0
2480,2270,0
2470,2289,0
2441,2323,0
2417,2357,0
2402,2381,0
2391,2391,0
2396,2397,1
2874,2089,0
2852,2077,0
2825,2075,0
2792,2088,0
2751,2109,0
2724,2133,0
2714,2145,0
2723,2149,0
2743,2147,0
2767,2137,0
2788,2119,0
2815,2106,0
2835,2093,0
2844,2084,0
2850,2089,0
2847,2104,0
2847,2142,0
2842,2193,0
2840,2260,0
2832,2333,0
2827,2408,0
2820,2474,0
2799,2530,0
2767,2572,0
2731,2601,0
2694,2612,0
2669,2604,0
2652,2573,0
2654,2523,0
2672,2463,0
2712,2395,0
2755,2323,0
2818,2267,1
2914,2184,0
2948,2163,0
2966,2157,0
2973,2162,0
2975,2176,0
2972,2190,0
2972,2200,0
2975,2204,1
3076,1940,0
3066,1933,0
3061,1932,0
3060,1933,0
3066,1932,1
3183,1895,0
3171,1903,0
3166,1940,0
3153,1992,0
3145,2055,0
3136,2117,0
3127,2173,0
3119,2204,0
3123,2222,1
3024,2190,0
3025,2177,0
3037,2149,0
3053,2111,0
3080,2077,1
3422,2285,0
3409,2287,0
3391,2314,0
3366,2346,0
3346,2377,0
3328,2402,0
3320,2416,0
3319,2417,1
3573,2207,0
3576,2204,0
3576,2203,0
3576,2210,0
3573,2227,0
3572,2246,0
3574,2262,0
3578,2270,0
3588,2276,0
3601,2275,0
3619,2270,0
3634,2265,0
3648,2267,0
3659,2273,0
3666,2283,0
3676,2296,0
3684,2306,0
3699,2313,0
3712,2316,0
3725,2312,0
3740,2299,0
3754,2276,0
3766,2248,0
3769,2212,0
3778,2178,0
3776,2154,0
3767,2147,0
3761,2148,0
3752,2147,1
3882,1958,0
3882,1959,0
3880,1969,0
3874,2000,0
3857,2040,0
3831,2084,0
3810,2135,0
3788,2179,0
3776,2209,0
3774,2224,0
3783,2232,0
3805,2230,0
3826,2215,0
3852,2200,0
3873,2199,0
3887,2207,0
3896,2221,0
3906,2241,0
3910,2257,0
3913,2273,0
3917,2280,1
4063,2219,0
4058,2213,0
4055,2211,0
4041,2210,0
4013,2215,0
3981,2232,0
3952,2260,0
3922,2280,0
3919,2290,0
3933,2294,0
3957,2287,0
3994,2270,0
4024,2254,0
4050,2246,0
4070,2252,0
4075,2259,0
4085,2275,0
4085,2294,0
4091,2314,0
4101,2326,0
4114,2329,1
4291,2000,0
4285,1995,0
4287,2000,0
4285,2028,0
4280,2067,0
4278,2109,0
4267,2150,0
4260,2191,0
4258,2224,1
4154,2194,0
4152,2195,0
4163,2202,0
4184,2205,0
4222,2207,0
4261,2204,0
4292,2200,0
4319,2195,0
4340,2198,1
4748,2280,0
4731,2268,0
4720,2257,0
4698,2246,0
4678,2242,0
4641,2250,0
4592,2269,0
4555,2294,0
4525,2311,0
4526,2317,0
4539,2318,0
4568,2309,0
4607,2291,0
4646,2273,0
4676,2262,0
4689,2263,0
4703,2278,0
4710,2298,0
4722,2324,0
4720,2345,0
4732,2364,1
5035,2053,0
5056,2017,0
5079,1985,0
5098,1964,0
5105,1959,0
5096,1961,0
5080,1985,0
5078,2026,0
5068,2067,0
5062,2107,0
5064,2147,0
5059,2183,0
5066,2215,1
4946,2210,0
4945,2215,0
4953,2217,0
4982,2219,0
5028,2211,1
5251,2176,0
5214,2187,0
5175,2212,0
5139,2238,0
5132,2260,0
5136,2280,0
5156,2295,0
5185,2300,0
5210,2294,0
5235,2281,0
5261,2265,0
5278,2238,0
5284,2218,1
5351,2226,0
5366,2230,0
5388,2232,0
5419,2233,0
5446,2231,0
5480,2235,0
5501,2236,0
5518,2238,0
5533,2243,1
5692,2260,0
5689,2256,0
5684,2252,0
5678,2253,0
5652,2253,0
5630,2263,0
5604,2281,0
5577,2301,0
5564,2318,0
5554,2329,0
5575,2341,0
5592,2342,0
5622,2338,0
5646,2322,0
5675,2299,0
5693,2268,0
5716,2227,0
5733,2178,0
5749,2132,0
5760,2094,0
5764,2064,0
5760,2041,0
5756,2030,0
5752,2028,0
5750,2033,0
5739,2050,0
5731,2082,0
5727,2123,0
5721,2165,0
5718,2203,0
5721,2236,0
5723,2263,0
5730,2284,1
5988,2244,0
5982,2236,0
5972,2231,0
5955,2231,0
5926,2238,0
5894,2259,0
5859,2290,0
5836,2323,0
5829,2347,0
5826,2362,0
5841,2376,0
5864,2376,0
5890,2367,0
5921,2349,0
5941,2321,0
5952,2298,0
5958,2285,0
5945,2273,0
5942,2270,0
5938,2269,0
5936,2274,1
6062,2374,0
6066,2376,0
6070,2378,0
6074,2376,0
6083,2368,1
6158,1899,0
6157,1900,0
6157,1914,0
6157,1951,0
6157,1997,0
6152,2048,0
6146,2096,0
6138,2140,0
6124,2177,1
