as Madam, he was convinced,
617
1439,2145,0
1444,2131,0
1450,2114,0
1452,2093,0
1452,2077,0
1443,2058,0
1432,2048,0
1418,2043,0
1399,2042,0
1382,2053,0
1361,2064,0
1349,2090,0
1341,2116,0
1338,2144,0
1343,2176,0
1353,2207,0
1365,2229,0
1377,2240,0
1393,2246,0
1408,2244,0
1422,2232,0
1434,2210,0
1445,2183,0
1452,2150,0
1464,2127,0
1469,2101,0
1471,2081,0
1471,2073,0
1473,2077,0
1470,2077,0
1469,2089,0
1469,2114,0
1470,2139,0
1466,2156,0
1466,2180,0
1471,2200,0
1478,2210,1
1573,2065,0
1563,2060,0
1553,2058,0
1540,2058,0
1529,2064,0
1517,2071,0
1510,2085,0
1507,2094,0
1511,2105,0
1520,2116,0
1533,2125,0
1545,2130,0
1559,2139,0
1570,2149,0
1575,2160,0
1575,2177,0
1566,2191,0
1552,2203,0
1543,2217,0
1529,2220,0
1516,2219,1
1819,2224,0
1819,2224,0
1816,2217,0
1820,2210,0
1785,2210,0
1717,2212,0
1727,2192,0
1731,2165,0
1813,2111,0
1812,2081,0
1845,2029,0
1850,2002,0
1852,1975,0
1853,1952,0
1855,1934,0
1856,1921,0
1857,1915,0
1857,1916,0
1857,1920,0
1857,1933,0
1863,1961,0
1868,1994,0
1867,2024,0
1851,2079,0
1776,2145,0
1786,2176,0
1788,2193,0
1802,2213,0
1813,2222,0
1823,2223,0
1838,2221,0
1969,2133,0
1977,2107,0
1983,2078,0
1994,2046,0
1995,2014,0
1998,1991,0
2004,1970,0
2009,1949,0
2014,1937,0
2017,1936,0
2016,1937,0
2019,1944,0
2019,1958,0
2024,1986,0
2025,2018,0
2022,2055,0
2022,2091,0
2024,2125,0
2031,2152,0
2043,2178,0
2060,2200,1
2181,2111,1
2181,2096,0
2184,2091,0
2178,2079,0
2170,2067,0
2161,2053,0
2154,2048,0
2140,2041,0
2133,2046,0
2125,2055,0
2116,2070,0
2112,2089,0
2113,2116,0
2112,2143,0
2123,2165,0
2135,2176,0
2149,2178,0
2162,2176,0
2176,2164,0
2176,2141,0
2182,2124,0
2183,2105,0
2179,2084,0
2176,2072,0
2170,2067,0
2171,2070,0
2172,2079,0
2174,2092,0
2183,2115,0
2190,2138,0
2197,2157,0
2203,2172,0
2207,2178,1
2359,2090,0
2364,2082,0
2364,2072,0
2362,2064,0
2353,2051,0
2339,2041,0
2324,2037,0
2306,2039,0
2295,2051,0
2283,2058,0
2275,2074,0
2275,2120,0
2286,2142,0
2302,2155,0
2316,2156,0
2334,2154,0
2350,2149,0
2358,2129,0
2371,2112,0
2376,2084,0
2381,2056,0
2381,2026,0
2374,1997,0
2371,1980,1
2357,1960,0
2357,1961,0
2355,1962,0
2356,1971,0
2360,1993,0
2362,2020,0
2369,2055,0
2378,2088,0
2381,2114,0
2388,2138,0
2395,2157,0
2405,2170,1
2560,2075,0
2562,2067,0
2557,2055,0
2549,2047,0
2539,2044,0
2525,2046,0
