So, after all, he could not find
499
885,1317,0
885,1320,0
883,1320,0
868,1322,0
838,1324,0
803,1336,0
776,1351,0
772,1379,0
784,1406,0
814,1442,0
857,1482,0
900,1521,0
938,1558,0
962,1588,0
962,1597,0
943,1619,0
904,1638,0
854,1652,0
801,1651,0
764,1648,0
743,1643,1
1054,1549,0
1061,1549,0
1067,1541,0
1066,1541,0
1049,1544,0
1023,1548,0
1012,1563,0
1012,1583,0
1025,1608,0
1054,1628,0
1090,1645,0
1123,1645,0
1148,1640,0
1155,1619,0
1145,1592,0
1117,1572,0
1084,1556,1
1303,1656,0
1307,1667,0
1304,1689,0
1291,1722,0
1278,1764,1
1585,1561,0
1585,1560,0
1583,1556,0
1572,1548,0
1550,1543,0
1520,1540,0
1504,1553,0
1488,1563,0
1488,1583,0
1492,1602,0
1505,1620,0
1521,1627,0
1539,1626,0
1557,1608,0
1573,1585,0
1581,1566,0
1578,1546,0
1578,1541,0
1574,1539,0
1585,1560,0
1596,1599,0
1607,1628,0
1630,1650,0
1653,1655,0
1681,1648,1
1766,1297,0
1763,1295,0
1752,1305,0
1732,1317,0
1720,1341,0
1713,1377,0
1719,1433,0
1740,1503,0
1760,1573,0
1773,1638,0
1780,1687,0
1780,1719,0
1777,1742,1
1753,1528,0
1753,1528,0
1739,1530,0
1716,1528,0
1689,1522,1
1879,1314,0
1879,1314,0
1879,1314,0
1880,1319,0
1866,1343,0
1864,1382,0
1866,1442,0
1875,1516,0
1885,1580,0
1896,1624,0
1905,1638,0
1905,1638,0
1908,1626,0
1906,1604,0
1901,1585,0
1901,1575,0
1903,1574,0
1904,1573,0
1912,1568,0
1931,1572,0
1951,1573,0
1973,1573,0
1996,1568,0
2013,1562,0
2026,1558,0
2026,1548,0
2019,1538,0
2004,1534,0
1988,1535,0
1978,1542,0
1973,1554,0
1973,1568,0
1984,1590,0
2004,1611,0
2026,1620,0
2060,1627,0
2090,1625,1
2166,1545,0
2169,1552,0
2170,1572,0
2172,1595,0
2166,1610,0
2159,1625,0
2158,1626,0
2159,1625,0
2157,1611,0
2160,1589,0
2164,1561,0
2165,1530,0
2172,1513,0
2176,1505,0
2188,1500,0
2210,1504,0
2229,1508,0
2255,1512,0
2275,1510,0
2301,1509,0
2330,1514,1
2552,1535,0
2552,1535,0
2538,1539,0
2518,1542,0
2496,1549,0
2483,1561,0
2475,1580,0
2475,1608,0
2483,1639,0
2499,1668,0
2519,1683,0
2536,1683,0
2555,1664,0
2569,1634,0
2572,1607,0
2570,1586,0
2571,1580,0
2571,1580,0
2579,1589,0
2586,1615,0
2604,1648,0
2624,1668,0
2643,1672,0
2661,1659,0
2689,1641,1
2656,1315,0
2658,1319,0
2669,1351,0
2675,1401,0
2676,1466,0
2677,1540,0
2686,1614,0
2693,1665,0
