Mother. Leo, he felt, would hardly use the
975
773,2210,0
770,2205,0
784,2207,0
796,2198,0
812,2183,0
826,2157,0
837,2134,0
846,2115,0
852,2099,0
855,2092,0
858,2096,0
860,2104,0
860,2128,0
856,2160,0
854,2196,0
851,2224,0
853,2248,0
858,2265,0
864,2270,0
875,2271,0
889,2256,0
907,2237,0
923,2211,0
938,2188,0
950,2165,0
956,2137,0
963,2125,0
967,2113,0
966,2110,0
968,2113,0
968,2122,0
968,2142,0
966,2158,0
967,2178,0
972,2198,0
979,2206,0
987,2215,0
996,2211,0
1010,2203,0
1023,2188,0
1037,2172,0
1047,2157,0
1054,2145,0
1061,2137,0
1065,2137,0
1066,2133,0
1069,2137,0
1071,2141,0
1073,2153,0
1073,2165,0
1076,2181,0
1083,2197,0
1091,2208,0
1104,2217,0
1120,2220,0
1137,2216,0
1158,2207,0
1180,2194,0
1195,2178,0
1206,2164,0
1211,2148,0
1211,2137,0
1209,2128,0
1204,2125,0
1199,2125,0
1192,2130,0
1184,2137,0
1176,2146,0
1170,2159,0
1168,2179,0
1168,2195,0
1172,2207,0
1178,2215,0
1187,2218,0
1199,2213,0
1212,2200,0
1223,2184,0
1223,2164,0
1224,2152,0
1222,2140,0
1223,2132,0
1223,2116,0
1231,2099,0
1242,2078,0
1260,2060,0
1275,2038,0
1288,2025,0
1300,2016,0
1310,2010,0
1319,2009,0
1322,2009,0
1327,2017,0
1327,2029,0
1327,2049,0
1325,2077,0
1323,2109,0
1322,2142,0
1327,2178,0
1324,2194,0
1323,2207,0
1322,2210,1
1288,2142,0
1291,2145,0
1295,2145,0
1305,2144,0
1321,2142,0
1341,2139,0
1361,2125,0
1382,2105,0
1401,2086,0
1416,2067,0
1424,2045,0
1433,2031,0
1436,2019,0
1434,2007,0
1431,2004,0
1430,2007,0
1427,2017,0
1421,2034,0
1417,2059,0
1421,2099,0
1419,2128,0
1421,2156,0
1422,2176,0
1426,2191,0
1430,2190,0
1438,2189,0
1450,2178,0
1467,2164,0
1479,2145,0
1489,2131,0
1495,2121,0
1498,2121,0
1503,2123,0
1508,2130,0
1515,2142,0
1522,2152,0
1533,2162,0
1552,2174,0
1570,2177,0
1588,2174,0
1609,2168,0
1626,2155,0
1640,2147,0
1645,2133,0
1651,2128,0
1648,2119,0
1644,2116,0
1641,2122,0
1630,2121,0
1623,2131,0
1622,2148,0
1623,2164,0
1627,2180,0
1633,2187,0
1645,2191,0
1662,2190,0
1682,2184,0
1703,2170,0
1720,2152,0
1736,2139,0
1749,2126,0
1758,2114,0
1766,2111,0
1768,2111,0
1773,2117,0
1777,2129,0
1778,2145,0
1780,2166,0
1779,2183,0
1780,2195,0
1779,2196,0
1780,2191,0
1788,2176,0
1800,2154,0
1810,2130,0
1823,2111,0
1831,2100,0
1843,2104,0
1850,2106,0
1851,2104,1
1925,2217,1
2207,2022,0
2231,2011,0
2251,1998,0
2270,1986,0
2291,1977,0
2304,1964,0
2312,1949,0
2318,1940,0
2315,1932,0
2314,1932,0
2313,1938,0
2306,1948,0
2301,1966,0
2294,1985,0
2285,2005,0
2276,2030,0
2264,2056,0
2258,2084,0
2251,2111,0
2241,2135,0
2233,2159,0
2222,2175,0
