trees full out, except for the late, lacy
781
810,4071,0
806,4071,0
806,4071,0
809,4087,0
817,4111,0
825,4132,0
834,4169,0
842,4213,0
847,4258,0
854,4294,0
859,4322,0
863,4339,0
864,4343,0
863,4343,0
856,4335,0
837,4321,0
813,4304,0
789,4295,0
770,4281,0
761,4272,0
760,4256,0
769,4245,0
789,4234,0
819,4228,0
844,4218,0
868,4211,0
890,4216,0
909,4221,0
924,4237,0
936,4254,0
944,4274,0
948,4290,0
948,4311,0
946,4319,0
943,4322,0
942,4319,0
938,4306,0
931,4294,0
928,4273,0
928,4245,0
933,4226,0
941,4214,0
947,4210,0
957,4210,0
973,4211,0
991,4220,0
1013,4224,0
1036,4225,0
1061,4228,0
1081,4220,0
1101,4220,0
1112,4213,0
1114,4204,0
1112,4200,0
1102,4197,0
1083,4197,0
1059,4213,0
1032,4228,0
1020,4252,0
1020,4268,0
1031,4285,0
1049,4296,0
1074,4301,0
1108,4304,0
1141,4288,0
1173,4275,0
1198,4255,0
1215,4242,0
1220,4230,0
1215,4218,0
1204,4215,0
1185,4215,0
1166,4227,0
1150,4248,0
1141,4264,0
1143,4280,0
1153,4299,0
1170,4307,0
1190,4311,0
1215,4306,0
1244,4294,0
1269,4276,0
1289,4258,0
1301,4238,0
1306,4222,0
1305,4214,0
1299,4206,0
1296,4210,0
1295,4215,0
1293,4219,0
1300,4230,0
1312,4234,0
1332,4241,0
1357,4243,0
1383,4249,0
1404,4263,0
1418,4278,0
1421,4290,0
1416,4302,0
1407,4316,0
1391,4325,0
1372,4326,0
1351,4328,0
1336,4328,0
1330,4325,1
1609,4229,0
1626,4261,0
1640,4295,0
1655,4328,0
1664,4356,0
1671,4383,0
1675,4407,0
1675,4415,0
1674,4415,0
1670,4408,0
1659,4381,0
1642,4343,0
1623,4297,0
1602,4247,0
1583,4200,0
1567,4159,0
1555,4116,0
1555,4083,0
1564,4054,0
1582,4032,0
1606,4025,0
1628,4022,0
1645,4032,0
1652,4046,0
1654,4066,1
1572,4247,0
1590,4253,0
1619,4257,0
1647,4257,0
1671,4250,0
1687,4239,0
1698,4234,0
1705,4229,0
1705,4220,0
1702,4213,0
1700,4217,0
1693,4218,0
1686,4232,0
1684,4248,0
1692,4267,0
1707,4280,0
1726,4290,0
1746,4291,0
1765,4287,0
1779,4278,0
1789,4268,0
1793,4255,0
1790,4239,0
1787,4227,0
1775,4221,0
1770,4217,0
1768,4215,0
1775,4221,0
1780,4232,0
1797,4229,0
1816,4234,0
1837,4227,0
1860,4218,0
1881,4201,0
1897,4178,0
1911,4159,0
1920,4136,0
1922,4112,0
1918,4092,0
1911,4077,0
1899,4067,0
1888,4070,0
1877,4076,0
1870,4089,0
1865,4115,0
1863,4144,0
1869,4184,0
1875,4215,0
1886,4246,0
1901,4263,0
1922,4279,0
1944,4283,0
1966,4278,0
1988,4265,0
2006,4244,0
2018,4217,0
2027,4191,0
2028,4162,0
2023,4134,0
2013,4111,0
2003,4097,0
1992,4092,0
1983,4089,0
1976,4091,0
1970,4101,0
1968,4122,0
1970,4150,0
1973,4178,0
1982,4205,0
2000,4233,0
2025,4256,0
2052,4270,0
2079,4285,1
2348,4155,0
2346,4152,0
2344,4161,0
2334,4164,0
2322,4180,0
2311,4205,0
2304,4224,0
2310,4243,0
2328,4258,0
2346,4261,0
2371,4266,0
2393,4254,0
2416,4247,0
2420,4220,0
2422,4203,0
2411,4181,0
2398,4173,0
2374,4164,0
2350,4164,0
2332,4169,0
2328,4174,0
2336,4184,0
2352,4192,0
2374,4193,0
2401,4193,0
2427,4193,0
2445,4183,0
2456,4174,0
2460,4165,0
2461,4160,0
2458,4162,0
2451,4164,0
2439,4176,0
2437,4202,0
2441,4222,0
2451,4235,0
2470,4246,0
2493,4251,0
2516,4251,0
2535,4240,0
2552,4230,0
2559,4210,0
2557,4194,0
2550,4184,0
2540,4183,0
2531,4182,0
2528,4179,0
2531,4178,0
2548,4181,0
2568,4169,0
2593,4151,0
2615,4129,0
2634,4105,0
2649,4077,0
2658,4056,0
2652,4028,0
2649,4021,0
2640,4016,0
2627,4017,0
2615,4030,0
2609,4058,0
2617,4103,0
2624,4138,0
2638,4172,0
2651,4197,0
2665,4217,0
2674,4227,0
2677,4225,0
2677,4225,0
2674,4210,0
2664,4191,0
2650,4176,0
2630,4162,0
2609,4149,0
2589,4135,0
2584,4133,0
2587,4127,0
2603,4126,0
2629,4123,0
2666,4126,0
2701,4125,0
2736,4128,0
2763,4133,0
2786,4138,0
2800,4140,1
2884,4212,0
2885,4225,0
2889,4254,0
2888,4285,0
2881,4305,0
2878,4328,0
2876,4343,0
2879,4345,0
2894,4343,1
3068,4227,0
3076,4223,0
3090,4213,0
3107,4199,0
3122,4183,0
3134,4168,0
3136,4153,0
3132,4143,0
3119,4139,0
3100,4140,0
3079,4155,0
3061,4174,0
3057,4198,0
3062,4217,0
3076,4233,0
3096,4240,0
3122,4245,1
3308,4128,0
3298,4130,0
3293,4143,0
3282,4162,0
3268,4179,0
3252,4192,0
3235,4196,0
3228,4200,0
3223,4188,1
3240,4135,0
3240,4143,0
3250,4165,0
3257,4176,0
3271,4185,0
3286,4200,0
3301,4206,0
3314,4208,0
3335,4210,1
3457,4125,0
3456,4126,0
3450,4126,0
3440,4135,0
3426,4149,0
3414,4165,0
3404,4180,0
3399,4196,0
3407,4215,0
3423,4225,0
3446,4225,0
3484,4225,0
3518,4214,0
3546,4198,0
3570,4184,0
3584,4165,0
3589,4147,0
3585,4135,0
3576,4127,0
3557,4126,0
3532,4126,0
3517,4140,0
3504,4153,0
3506,4176,0
3508,4193,0
3518,4205,0
3539,4215,0
3563,4216,0
3592,4212,0
3619,4199,0
3641,4186,0
3662,4172,0
3674,4155,0
3674,4136,0
3671,4128,0
3666,4121,0
3662,4120,0
3660,4126,0
3664,4142,0
3674,4164,0
3689,4193,0
3705,4225,0
3716,4256,0
3723,4280,0
3725,4302,0
3725,4317,0
3723,4324,0
3720,4321,0
3713,4311,0
3703,4288,0
3690,4258,0
3678,4214,0
3676,4178,0
3674,4140,0
3678,4114,0
3689,4093,0
3706,4082,0
3720,4075,0
3744,4085,0
3769,4097,0
3788,4113,0
3793,4128,0
3794,4147,0
3782,4155,0
3773,4165,0
3761,4169,0
3753,4170,0
3754,4169,0
3754,4164,0
3764,4157,0
3780,4142,0
3799,4120,0
3825,4097,0
3850,4065,0
3872,4029,0
3885,3984,0
3897,3945,0
3901,3913,0
3894,3894,0
3883,3882,0
3876,3882,0
3870,3887,0
3872,3910,0
3876,3941,0
3887,3983,0
3894,4022,0
3909,4066,0
3918,4104,0
3928,4141,0
3933,4167,0
3938,4183,0
3937,4184,0
3937,4184,0
3935,4171,0
3926,4147,0
3918,4118,0
3906,4093,1
3865,4039,0
3863,4031,0
3866,4033,0
3871,4029,0
3894,4032,0
3925,4035,0
3951,4036,0
3983,4041,1
4291,4017,0
4293,4020,0
4294,4031,0
4297,4049,0
4299,4073,0
4308,4107,0
4312,4140,0
4314,4169,0
4313,4190,0
4320,4205,0
4321,4210,0
4321,4205,0
4317,4193,0
4308,4164,0
4302,4127,0
4293,4082,0
4280,4032,0
4273,3991,0
4265,3955,0
4264,3930,0
4268,3911,0
4284,3898,0
4308,3892,0
4340,3896,0
4355,3899,1
