barred gate, painted white, with the
953
349,2926,0
350,2922,0
351,2926,0
353,2935,0
354,2952,0
356,2977,0
356,3006,0
353,3034,0
352,3067,0
353,3109,0
352,3141,0
353,3170,0
357,3192,0
363,3209,0
369,3219,0
370,3219,0
370,3223,0
370,3219,0
370,3206,0
374,3187,0
380,3164,0
390,3138,0
402,3112,0
415,3095,0
428,3076,0
441,3067,0
455,3062,0
470,3061,0
483,3068,0
492,3078,0
496,3095,0
494,3115,0
487,3139,0
477,3160,0
459,3189,0
439,3211,0
418,3226,0
398,3238,0
383,3243,0
374,3240,0
369,3231,1
663,3075,0
658,3066,0
652,3062,0
645,3060,0
637,3059,0
627,3069,0
614,3080,0
598,3105,0
581,3135,0
567,3161,0
559,3188,0
559,3204,0
565,3222,0
574,3227,0
585,3229,0
593,3222,0
602,3208,0
610,3192,0
617,3165,0
626,3143,0
634,3112,0
642,3084,0
646,3073,0
647,3069,0
648,3073,0
648,3073,0
650,3093,0
652,3118,0
657,3139,0
663,3160,0
670,3173,0
680,3182,0
691,3184,0
700,3177,0
709,3170,0
717,3155,0
723,3132,0
729,3107,0
731,3088,0
731,3068,0
728,3059,0
725,3055,0
726,3059,0
726,3059,0
726,3071,0
724,3091,0
721,3115,0
719,3134,0
719,3159,0
719,3171,0
720,3183,0
721,3183,0
721,3183,0
722,3180,0
721,3172,0
721,3147,0
723,3119,0
726,3095,0
730,3076,0
734,3060,0
735,3060,0
736,3061,0
741,3062,0
752,3062,0
766,3072,0
781,3074,0
794,3075,0
804,3079,0
808,3076,0
811,3076,0
813,3076,0
814,3076,0
813,3073,0
812,3073,0
811,3081,0
809,3076,0
808,3088,0
806,3108,0
805,3128,0
805,3144,0
805,3164,0
805,3168,0
807,3173,0
808,3173,0
808,3177,0
808,3168,0
806,3160,0
805,3144,0
804,3120,0
805,3104,0
808,3084,0
811,3081,0
815,3076,0
822,3074,0
835,3071,0
854,3068,0
875,3070,0
900,3067,0
922,3069,0
944,3065,0
964,3062,0
984,3059,0
1000,3052,0
1012,3044,0
1017,3036,0
1016,3033,0
1010,3023,0
998,3019,0
983,3023,0
966,3035,0
954,3049,0
946,3066,0
945,3090,0
950,3110,0
962,3126,0
978,3139,0
1001,3156,0
1023,3156,0
1047,3148,0
1069,3136,0
1090,3125,1
1197,3018,0
1191,3015,0
1185,3011,0
1177,3011,0
1167,3008,0
1153,3016,0
1136,3024,0
1119,3044,0
1103,3064,0
1092,3088,0
1086,3112,0
1088,3136,0
1094,3153,0
1105,3160,0
1119,3160,0
1136,3156,0
1153,3144,0
1170,3119,0
1184,3091,0
1195,3059,0
1205,3026,0
1210,2990,0
1213,2953,0
1216,2925,0
1213,2897,0
1210,2885,0
1204,2878,0
1199,2878,0
1195,2886,0
1192,2907,0
1189,2938,0
1189,2974,0
1192,3006,0
1204,3038,0
1220,3069,0
1237,3092,0
1259,3111,1
1658,3031,0
1662,3025,0
1665,3013,0
1668,3004,0
1669,2992,0
1667,2980,0
1664,2977,0
1654,2966,0
1641,2965,0
1628,2972,0
1609,2980,0
1592,2999,0
1579,3021,0
1572,3038,0
1573,3055,0
1581,3066,0
1595,3076,0
1610,3076,0
1626,3078,0
1638,3071,0
1651,3065,0
1660,3051,0
1666,3033,0
1672,3024,0
1676,3019,0
1676,3019,0
1676,3023,0
1673,3023,0
1677,3043,0
1682,3062,0
1691,3089,0
1699,3120,0
1706,3156,0
1710,3192,0
1715,3228,0
1715,3259,0
1710,3286,0
1703,3308,0
1691,3322,0
1678,3332,0
1657,3332,0
1633,3329,0
1607,3317,0
1584,3300,0
1563,3271,0
1551,3237,0
1550,3204,0
1554,3168,0
1568,3137,1
1872,2958,0
1866,2948,0
1857,2938,0
1844,2929,0
1831,2932,0
1811,2938,0
1786,2948,0
1762,2967,0
1741,2992,0
1725,3017,0
1721,3046,0
1724,3066,0
1733,3076,0
1749,3085,0
1766,3089,0
1780,3086,0
1795,3078,0
1806,3063,0
1818,3048,0
1827,3025,0
1835,3001,0
1838,2976,0
1839,2967,0
1839,2967,0
1836,2964,0
1838,2972,0
1840,2992,0
1844,3021,0
1850,3043,0
1864,3064,0
1884,3079,0
1906,3086,0
1928,3083,0
1949,3077,0
1968,3068,0
1981,3047,0
1994,3022,0
2002,2989,0
2007,2955,0
2008,2920,0
2007,2895,0
2001,2872,0
1992,2854,0
1986,2847,0
1983,2844,0
1979,2842,0
1979,2846,0
1981,2862,0
1980,2888,0
1981,2921,0
1986,2962,0
1992,2993,0
2002,3028,0
2010,3054,0
2018,3081,0
2023,3100,0
2024,3109,1
1917,2987,0
1920,2990,0
1930,2991,0
1948,2994,0
1973,2999,0
2001,2994,0
2032,2992,0
2058,2984,0
2084,2978,0
2104,2967,0
2122,2956,0
2135,2943,0
2143,2931,0
2147,2921,0
2143,2910,0
2136,2904,0
2125,2904,0
2111,2909,0
2097,2923,0
2089,2943,0
2088,2965,0
2095,2987,0
2112,3011,0
2133,3029,0
2159,3045,0
2182,3053,0
2207,3061,0
2228,3061,0
2251,3061,1
2363,3052,0
2363,3052,0
2365,3055,0
2365,3055,0
2367,3059,0
2366,3064,0
2366,3077,0
2364,3091,0
2359,3102,0
2359,3124,0
2355,3143,0
2354,3165,0
2354,3191,0
2355,3213,0
2355,3234,0
2359,3254,0
2361,3266,1
2694,2937,0
2694,2941,0
2697,2953,0
2702,2979,0
2701,3006,0
2705,3040,0
2707,3072,0
2707,3103,0
2710,3139,0
2716,3173,0
2715,3196,0
2717,3217,0
2718,3230,1
2594,2942,0
2598,2936,0
2610,2929,0
2621,2918,0
2643,2914,0
2670,2913,0
2700,2910,0
2733,2913,0
2762,2914,0
2789,2922,0
2803,2931,0
2820,2953,0
2828,2972,0
2831,2989,0
2830,3004,0
2822,3014,0
2804,3025,0
2780,3035,0
2752,3042,0
2728,3046,0
2709,3043,1
2954,2929,1
2975,2914,0
2980,2907,0
2983,2900,0
2979,2893,0
2976,2890,0
2966,2887,0
2954,2890,0
2938,2900,0
2921,2918,0
2903,2938,0
2895,2967,0
2889,2991,0
2889,3009,0
2897,3023,0
2905,3028,0
2919,3029,0
2933,3019,0
2950,3004,0
2966,2983,0
2981,2964,0
2988,2940,0
2992,2918,0
2993,2902,0
2992,2897,0
2989,2895,0
2991,2899,0
2993,2912,0
2991,2933,0
2994,2959,0
3003,2977,0
3018,2992,0
3037,3003,0
3057,3008,0
3076,3004,0
3094,2992,0
3110,2977,0
3123,2956,0
3134,2934,0
3139,2910,0
3139,2890,0
3136,2883,0
3136,2883,0
3136,2886,0
3136,2893,0
3136,2912,0
3137,2941,0
3140,2963,0
3145,2985,0
3150,3001,0
3156,3012,0
3160,3014,0
3162,3012,1
3102,2741,0
3102,2741,0
3106,2744,0
3107,2747,0
3115,2757,1
3211,2885,0
3211,2885,0
3211,2885,0
3213,2889,0
3212,2894,0
3213,2909,0
3213,2924,0
3209,2936,0
3209,2953,0
3207,2964,0
3208,2973,0
3209,2978,0
3207,2978,0
3209,2978,0
3210,2977,0
3207,2968,0
3212,2955,0
3218,2934,0
3227,2913,0
3237,2895,0
3251,2883,0
3259,2877,0
3269,2879,0
3272,2876,0
3286,2886,0
3300,2901,0
3311,2922,0
3320,2946,0
3329,2965,0
3339,2982,0
3354,2996,0
3363,2999,0
3381,2999,0
3397,2992,0
3414,2978,0
3430,2959,0
3443,2937,0
3453,2913,0
3457,2884,0
3457,2856,0
3459,2834,0
3457,2815,0
3454,2801,0
3452,2791,0
3447,2785,0
3446,2786,0
3445,2786,0
3448,2790,0
3451,2803,0
3457,2830,0
3458,2861,0
3465,2893,0
3473,2923,0
3479,2950,0
3488,2979,0
3492,3001,0
3498,3023,0
3498,3033,0
3498,3038,0
3498,3037,0
3495,3030,1
3423,2918,0
3423,2918,0
3423,2918,0
3425,2916,0
3440,2919,0
3458,2925,0
3479,2928,0
3508,2929,0
3535,2926,0
3558,2917,0
3583,2910,0
3601,2900,0
3615,2891,0
3617,2885,0
3619,2883,0
3613,2878,0
3607,2877,0
3595,2878,0
3578,2888,0
3563,2906,0
3549,2924,0
3549,2946,0
3557,2966,0
3566,2980,0
3586,2994,0
3607,3001,0
3633,3005,0
3655,3001,0
3674,2989,1
3796,2895,0
3795,2891,0
3792,2883,0
3791,2878,0
3781,2871,0
3769,2872,0
3751,2878,0
3730,2892,0
3711,2911,0
3696,2930,0
3688,2950,0
3688,2971,0
3694,2988,0
3703,3001,0
