to do with you?&quot; &quot;Nothin&apos;, Gaffer,
691
752,2312,0
750,2311,0
748,2311,0
746,2307,0
746,2307,0
746,2311,0
747,2319,0
748,2340,0
750,2356,0
752,2381,0
755,2410,0
759,2439,0
762,2471,0
763,2504,0
763,2532,0
762,2552,0
762,2564,0
762,2572,0
762,2576,0
756,2572,0
746,2566,1
685,2475,0
687,2475,0
692,2472,0
709,2463,0
735,2455,0
767,2447,0
796,2443,0
816,2438,0
831,2439,0
839,2440,0
842,2440,0
842,2444,0
841,2444,1
1034,2432,0
1031,2428,0
1027,2424,0
1018,2416,0
1003,2408,0
986,2403,0
962,2405,0
935,2412,0
907,2422,0
882,2436,0
868,2463,0
862,2487,0
866,2503,0
883,2524,0
909,2531,0
944,2529,0
985,2526,0
1025,2516,0
1059,2500,0
1081,2481,0
1095,2465,0
1095,2449,0
1088,2441,0
1070,2429,0
1049,2425,1
1507,2466,0
1502,2458,0
1499,2451,0
1490,2440,0
1476,2434,0
1457,2433,0
1435,2437,0
1414,2444,0
1396,2455,0
1385,2473,0
1375,2486,0
1370,2502,0
1372,2519,0
1375,2526,0
1387,2533,0
1406,2534,0
1425,2523,0
1448,2511,0
1467,2492,0
1488,2473,0
1506,2445,0
1522,2413,0
1534,2383,0
1542,2352,0
1549,2330,0
1549,2310,0
1549,2301,0
1545,2299,0
1546,2302,0
1542,2316,0
1540,2340,0
1544,2376,0
1547,2412,0
1551,2449,0
1551,2473,0
1556,2501,0
1559,2521,1
1720,2482,0
1723,2481,0
1725,2473,0
1727,2463,0
1726,2447,0
1720,2432,0
1710,2422,0
1691,2415,0
1666,2414,0
1637,2416,0
1616,2430,0
1604,2449,0
1599,2471,0
1609,2497,0
1626,2509,0
1652,2520,0
1679,2521,0
1706,2519,0
1726,2505,0
1744,2496,0
1746,2483,1
1988,2403,0
1990,2406,0
1990,2407,0
1996,2422,0
1998,2442,0
1995,2461,0
1995,2487,0
1994,2509,0
1994,2521,0
1996,2529,0
1998,2528,0
2008,2528,0
2015,2509,0
2031,2490,0
2047,2461,0
2065,2436,0
2081,2416,0
2092,2407,0
2099,2408,0
2102,2415,0
2104,2437,0
2101,2460,0
2101,2490,0
2100,2513,0
2101,2524,0
2104,2528,0
2105,2523,0
2111,2516,0
2121,2495,0
2129,2464,0
2141,2437,0
2149,2411,0
2151,2393,1
2191,2426,0
2196,2428,0
2195,2425,0
2201,2430,0
2199,2431,0
2198,2440,0
2197,2454,0
2198,2475,0
2193,2492,0
2192,2506,0
2196,2517,0
2199,2520,0
2203,2518,1
2188,2275,0
2185,2273,0
2190,2278,0
2190,2279,0
2195,2285,1
2344,2260,0
2348,2272,0
2349,2291,0
2345,2316,0
2345,2348,0
2345,2386,0
2342,2420,0
2335,2450,0
2332,2475,0
2336,2500,0
2333,2510,0
2330,2511,0
2335,2519,1
2296,2440,0
2297,2439,0
2306,2439,0
2326,2433,0
2351,2427,0
2376,2418,0
2403,2416,0
2417,2408,1
2461,2277,0
2465,2284,0
2474,2301,0
2478,2323,0
2482,2349,0
2482,2383,0
2478,2417,0
2470,2451,0
2466,2473,0
2466,2486,0
2467,2490,0
2469,2489,0
2474,2485,0
2477,2470,0
2490,2453,0
2507,2433,0
2530,2418,0
2549,2406,0
2572,2405,0
2587,2409,0
2603,2423,0
2613,2446,0
2620,2469,0
2624,2491,0
2630,2510,1
2838,2390,0
2840,2388,0
2848,2391,0
2853,2393,0
2862,2401,0
2875,2417,0
2886,2432,0
2895,2451,0
2905,2474,0
2915,2497,0
2924,2514,0
2929,2526,0
2931,2530,1
3023,2365,0
3021,2367,0
3020,2384,0
3008,2405,0
2989,2432,0
2965,2467,0
2932,2504,0
2902,2538,0
2882,2568,0
2870,2591,0
2872,2605,0
2881,2609,1
3216,2470,0
3219,2468,0
3225,2463,0
3226,2451,0
3216,2432,0
3202,2412,0
3182,2398,0
3156,2385,0
3120,2374,0
3090,2374,0
3061,2379,0
3037,2390,0
3021,2404,0
3019,2421,0
3025,2437,0
3044,2453,0
3069,2463,0
3100,2468,0
3132,2466,0
3160,2462,0
3179,2451,0
3193,2438,0
3195,2425,0
3194,2415,0
3186,2405,1
3309,2370,0
3308,2371,0
3308,2382,0
3298,2398,0
3286,2422,0
3276,2446,0
3275,2470,0
3280,2488,0
3296,2500,0
3313,2501,0
3338,2498,0
3359,2484,0
3384,2470,0
3408,2452,0
3427,2432,0
3439,2414,0
3445,2400,0
3445,2395,0
3444,2396,0
3445,2400,0
3445,2413,0
3443,2432,0
3443,2455,0
3443,2478,0
3441,2498,1
3621,2343,0
3614,2339,0
3615,2331,0
3616,2319,0
3617,2298,0
3626,2280,0
3637,2263,0
3645,2246,0
3658,2236,0
3673,2229,0
3694,2230,0
3711,2234,0
3722,2246,0
3727,2265,0
3725,2293,0
3709,2319,0
3694,2350,0
3679,2373,0
3674,2392,0
3667,2399,0
3672,2408,1
3670,2518,0
3672,2521,0
3677,2522,0
3675,2517,0
3686,2512,1
3954,2180,0
3956,2178,0
3959,2181,0
3954,2181,0
3952,2190,0
3947,2206,0
3930,2222,0
3914,2237,0
3904,2252,1
4001,2191,0
3998,2195,0
3987,2211,0
3974,2228,0
3967,2245,1
4472,2198,0
4463,2212,0
4454,2236,0
4439,2260,0
4426,2280,0
4418,2294,0
4417,2301,0
4418,2301,0
4430,2297,1
4535,2217,0
4530,2218,0
4528,2230,0
4521,2248,0
4515,2265,0
4510,2282,0
4502,2294,0
4497,2301,0
4497,2303,1
4671,2230,0
4671,2231,0
4670,2239,0
4668,2260,0
4658,2284,0
4655,2319,0
4647,2356,0
4641,2397,0
4635,2437,0
4626,2471,0
4625,2496,0
4630,2510,0
4636,2515,1
4664,2236,0
4663,2236,0
4661,2239,0
4667,2252,0
4677,2275,0
4681,2299,0
4686,2330,0
4696,2369,0
4708,2409,0
4714,2445,0
4727,2478,0
4737,2506,0
4743,2527,0
4748,2541,0
4750,2545,0
4755,2546,0
4754,2540,0
4755,2523,0
4759,2494,0
4761,2461,0
4764,2425,0
4768,2388,0
4778,2356,0
4778,2318,0
4784,2290,0
4788,2267,0
4790,2255,0
4786,2245,0
4781,2246,1
5038,2449,0
5037,2444,0
5033,2434,0
5027,2422,0
5018,2411,0
5004,2397,0
4977,2387,0
4951,2386,0
4917,2396,0
4881,2410,0
4850,2429,0
4833,2451,0
4828,2475,0
4835,2495,0
4852,2511,0
4879,2521,0
4907,2521,0
4939,2516,0
4968,2507,0
4996,2492,0
5017,2479,0
5025,2464,0
5028,2453,0
5024,2442,0
5016,2432,1
5166,2284,0
5162,2292,0
5157,2309,0
5152,2335,0
5146,2362,0
5135,2392,0
5131,2425,0
5124,2454,0
5119,2479,0
5115,2495,0
5114,2502,0
5117,2505,0
5110,2500,1
5057,2425,0
5058,2424,0
5064,2421,0
5084,2418,0
5102,2420,0
5120,2420,0
5142,2422,0
5154,2424,1
5251,2283,0
5250,2285,0
5254,2287,0
5253,2289,0
5250,2294,0
5252,2308,0
5248,2324,0
5247,2344,0
5243,2369,0
5238,2388,0
5233,2412,0
5226,2434,0
5227,2457,0
5223,2473,0
5217,2484,0
5217,2492,0
5219,2498,0
5221,2502,0
5224,2504,0
5224,2504,0
5223,2505,0
5225,2503,0
5221,2499,0
5219,2487,0
5221,2476,0
5230,2460,0
5238,2444,0
5248,2428,0
5266,2411,0
5287,2396,0
5310,2387,0
5336,2381,0
5359,2381,0
5378,2387,0
5393,2401,0
5401,2420,0
5402,2443,0
5400,2467,0
5402,2489,0
5401,2507,1
5513,2412,0
5512,2414,0
5514,2429,0
5513,2449,0
5508,2468,0
5503,2484,0
5497,2495,0
5503,2500,0
5502,2496,1
5491,2305,0
5486,2297,0
5487,2293,0
5489,2290,0
5489,2288,1
5594,2429,0
5594,2431,0
5597,2432,0
5600,2435,0
5602,2439,0
5602,2450,0
5595,2462,0
5588,2476,0
5585,2492,0
5578,2505,0
5576,2518,0
5574,2521,0
5573,2522,0
5575,2521,0
5578,2515,0
5578,2496,0
5588,2476,0
5600,2453,0
5617,2429,0
5638,2414,0
5656,2403,0
5671,2400,0
5687,2404,0
5691,2478,0
5682,2502,0
5678,2521,1
5841,2200,0
5842,2200,0
5849,2203,0
5849,2203,0
5849,2205,0
5839,2215,0
5829,2229,0
5810,2242,0
5794,2259,1
5894,2537,0
5888,2548,0
5877,2569,0
5866,2591,0
5853,2608,0
5854,2615,0
5849,2615,0
5845,2607,0
5867,2589,1
6247,2361,0
6250,2353,0
6250,2342,0
6250,2333,0
6248,2327,0
6211,2331,0
6182,2351,0
6147,2370,0
6112,2400,0
6084,2433,0
6068,2461,0
6060,2485,0
6071,2510,0
6083,2532,0
6099,2545,0
6118,2550,0
6141,2550,0
6169,2544,0
6201,2532,0
6256,2468,0
6247,2463,0
6227,2457,0
6205,2458,0
6186,2458,1
6406,2507,0
6407,2504,0
6411,2497,0
6412,2484,0
6371,2447,0
6345,2448,0
6314,2458,0
6291,2470,0
6274,2489,0
6265,2508,0
6271,2523,0
6280,2533,0
6304,2540,0
6327,2536,0
6425,2474,0
6424,2466,0
6427,2469,0
6423,2469,0
6409,2550,0
6411,2555,0
6416,2554,1
6583,2385,0
6587,2377,0
6592,2362,0
6599,2345,0
6604,2331,0
6607,2314,0
6597,2306,0
6583,2299,0
6573,2301,0
6552,2313,0
6532,2330,0
6517,2358,0
6500,2387,0
6493,2414,0
6485,2445,0
6478,2473,0
6476,2498,0
6473,2513,0
6477,2523,0
6483,2531,1
6681,2397,0
6695,2384,0
6712,2364,0
6724,2345,0
6725,2329,0
6727,2314,0
6722,2304,0
6708,2297,0
6695,2295,0
6681,2301,0
6657,2316,0
6638,2336,0
6621,2365,0
6604,2397,0
6591,2429,0
6584,2456,0
6585,2486,0
6585,2506,0
6586,2525,0
6590,2535,0
6591,2543,1
6491,2470,0
6496,2470,0
6497,2468,0
6497,2467,0
6512,2463,0
6534,2461,0
6558,2458,0
6588,2456,0
6625,2453,0
6651,2453,0
6676,2451,0
6690,2452,0
6695,2449,1
6718,2478,0
6722,2480,0
6722,2480,0
6730,2480,0
6745,2475,0
6756,2468,0
6772,2462,0
6789,2453,0
6801,2443,0
6812,2437,0
6814,2431,0
6808,2426,0
6792,2423,0
6765,2423,0
6741,2432,0
6715,2442,0
6691,2460,0
6675,2477,0
6676,2495,0
6683,2509,0
6700,2521,0
6727,2530,0
6752,2533,0
6783,2530,0
6803,2523,1
6822,2423,0
6822,2423,0
6823,2421,0
6827,2421,0
6834,2427,0
6835,2434,0
6830,2446,0
6827,2463,0
6826,2480,0
6825,2491,0
6826,2500,0
6825,2502,0
6824,2504,0
6826,2499,0
6831,2486,0
6835,2467,0
6846,2450,0
6857,2434,0
6867,2420,0
6883,2410,0
6903,2403,0
6919,2405,0
6930,2410,0
6935,2417,0
6934,2423,1
6925,2531,0
6922,2540,0
6922,2549,0
6914,2559,0
6910,2570,0
6901,2581,0
6896,2592,0
6891,2604,0
6894,2607,1
