&quot;O.K., So you &apos;re lucky,&quot;
489
1035,752,0
1039,757,0
1042,757,0
1034,752,0
1039,760,0
1044,773,0
1044,789,0
1044,813,0
1041,844,0
1035,880,0
1033,920,0
1025,952,0
1016,979,0
1020,1011,0
1015,1026,0
1012,1035,0
1015,1035,1
1146,790,0
1140,791,0
1142,798,0
1135,807,0
1141,831,0
1139,855,0
1138,887,0
1129,920,0
1129,964,0
1119,996,0
1115,1029,0
1109,1049,0
1110,1065,1
1363,1385,0
1351,1379,0
1339,1370,0
1324,1351,0
1314,1329,0
1305,1303,0
1297,1273,0
1289,1241,0
1286,1209,0
1283,1173,0
1289,1135,0
1299,1095,0
1314,1059,0
1335,1028,0
1359,1000,0
1386,977,0
1417,960,0
1447,948,0
1479,945,0
1504,950,0
1529,962,0
1553,986,0
1572,1018,0
1582,1052,0
1590,1094,0
1592,1138,0
1588,1181,0
1581,1225,0
1569,1265,0
1553,1303,0
1530,1334,0
1505,1364,0
1476,1391,0
1444,1413,0
1415,1429,0
1394,1439,0
1374,1435,0
1364,1429,0
1357,1415,0
1362,1401,0
1372,1382,1
1625,1411,0
1623,1412,0
1626,1411,0
1623,1408,0
1626,1411,0
1625,1411,0
1621,1409,0
1621,1409,0
1623,1411,0
1620,1409,0
1623,1412,0
1623,1411,0
1630,1414,1
1819,1190,0
1822,1237,0
1819,1278,0
1812,1316,0
1809,1351,0
1808,1380,0
1811,1401,0
1813,1409,0
1817,1411,0
1825,1411,0
1831,1398,0
1843,1377,0
1853,1336,0
1878,1295,0
1901,1248,0
1932,1204,0
1957,1155,0
1986,1112,0
2014,1075,0
2038,1042,0
2058,1021,0
2063,1008,0
2065,1007,0
2066,1011,0
2055,1018,1
1913,1245,0
1915,1258,0
1923,1272,0
1933,1290,0
1945,1306,0
1961,1324,0
1977,1342,0
1988,1358,0
1993,1374,0
1993,1385,0
1997,1397,0
2000,1404,0
2002,1407,1
2133,1416,0
2130,1414,0
2134,1416,0
2134,1416,0
2130,1414,0
2133,1417,0
2132,1418,0
2131,1418,0
2130,1419,0
2127,1416,0
2132,1418,0
2134,1416,0
2140,1415,1
2278,1382,0
2277,1383,0
2287,1390,0
2294,1399,0
2296,1409,0
2295,1426,0
2293,1450,0
2284,1481,0
2265,1514,0
2246,1546,0
2234,1577,0
2219,1593,0
2209,1597,1
2983,971,0
2967,967,0
2950,967,0
2925,974,0
2898,985,0
2873,1003,0
2836,1023,0
2807,1047,0
2782,1069,0
2765,1090,0
2761,1107,0
2771,1122,0
2789,1138,0
2816,1156,0
2848,1172,0
2884,1190,0
2919,1207,0
2946,1225,0
2967,1247,0
2972,1271,0
2967,1294,0
2958,1317,0
2934,1339,0
2906,1360,0
2873,1382,0
2839,1397,0
2804,1404,0
2778,1405,0
2766,1401,1
3061,1323,0
3062,1329,0
3059,1333,0
3059,1335,0
3058,1336,0
3051,1333,0
3043,1329,0
3030,1322,0
3013,1310,0
2999,1294,0
2988,1274,0
2982,1252,0
2984,1231,0
2996,1209,0
3016,1189,0
3045,1177,0
3074,1172,0
3100,1175,0
3127,1185,0
3145,1202,0
3156,1225,0
3151,1252,0
3140,1281,0
3117,1305,0
3096,1327,0
3064,1341,0
3045,1350,0
3029,1353,0
3015,1353,1
3521,1209,0
3517,1237,0
3523,1272,0
3526,1305,0
3529,1327,0
3539,1344,0
3544,1351,0
3550,1348,0
3557,1333,0
3568,1309,0
3578,1276,0
3591,1247,0
3607,1221,0
3615,1200,0
3625,1187,0
3627,1181,0
3627,1182,0
3623,1192,0
3612,1220,0
3603,1260,0
3583,1305,0
3560,1354,0
3535,1406,0
3510,1462,0
3494,1517,0
3479,1559,0
3469,1592,0
3462,1611,0
3458,1617,1
3688,1363,0
3683,1367,0
3674,1365,0
3668,1359,0
3660,1347,0
3650,1330,0
3643,1307,0
3645,1285,0
3651,1260,0
3670,1237,0
3684,1221,0
3705,1213,0
3722,1213,0
3749,1221,0
3769,1237,0
3781,1260,0
3789,1283,0
3788,1307,0
3773,1331,0
3755,1351,0
3726,1368,0
3703,1380,0
3691,1386,0
3684,1383,0
3683,1374,1
3848,1218,0
3841,1228,0
3839,1245,0
3837,1269,0
3835,1297,0
3836,1325,0
3839,1350,0
3846,1365,0
3851,1371,0
3853,1368,0
3862,1358,0
3875,1336,0
3890,1310,0
3905,1283,0
3923,1259,0
3937,1242,0
3950,1233,0
3956,1230,0
3957,1235,0
3960,1252,0
3962,1280,0
3963,1312,0
3962,1337,0
3962,1355,0
3967,1364,1
4166,1051,0
4165,1052,0
4172,1059,0
4181,1071,0
4197,1086,0
4213,1102,0
4226,1117,0
4238,1131,0
4247,1141,1
4355,1223,0
4352,1245,0
4357,1269,0
4357,1295,0
4357,1317,0
4352,1332,0
4349,1341,0
4344,1344,0
4345,1339,0
4338,1326,0
4335,1309,0
4334,1288,0
4342,1266,0
4357,1244,0
4381,1223,0
4407,1208,0
4435,1198,0
4457,1192,0
4475,1192,0
4490,1194,0
4494,1198,1
4509,1295,0
4512,1298,0
4517,1295,0
4532,1287,0
4554,1274,0
4572,1254,0
4591,1235,0
4605,1217,0
4608,1204,0
4608,1193,0
4601,1189,0
4588,1189,0
4569,1198,0
4550,1216,0
4531,1242,0
4517,1269,0
4509,1296,0
4506,1317,0
4513,1333,0
4531,1342,0
4557,1343,0
4597,1335,0
4639,1322,0
4673,1306,0
4699,1290,1
5283,939,0
5281,931,0
5281,928,0
5281,928,0
5281,930,0
5279,941,0
5274,963,0
5269,994,0
5261,1035,0
5250,1081,0
5243,1133,0
5234,1187,0
5229,1242,0
5224,1289,0
5226,1328,0
5234,1358,0
5243,1385,0
5255,1404,0
5267,1418,0
5274,1421,0
5288,1416,1
5429,1143,0
5423,1155,0
5419,1174,0
5417,1198,0
5414,1227,0
5414,1259,0
5419,1286,0
5426,1310,0
5434,1325,0
5445,1333,0
5457,1332,0
5472,1323,0
5489,1306,0
5511,1285,0
5530,1258,0
5549,1232,0
5563,1206,0
5576,1188,0
5581,1178,0
5581,1178,0
5576,1180,0
5578,1194,0
5576,1220,0
5581,1250,0
5583,1277,0
5586,1300,0
5594,1315,0
5599,1326,0
5607,1329,1
5827,1194,0
5820,1192,0
5808,1189,0
5797,1184,0
5785,1184,0
5772,1185,0
5758,1195,0
5730,1211,0
5709,1233,0
5690,1259,0
5680,1285,0
5682,1310,0
5686,1325,0
5700,1336,0
5716,1341,0
5745,1336,0
5776,1327,0
5804,1315,0
5832,1302,0
5852,1288,0
5866,1278,1
5928,1143,0
5923,1167,0
5921,1199,0
5926,1234,0
5927,1265,0
5933,1293,0
5936,1314,0
5938,1325,0
5945,1328,0
5945,1328,0
5954,1323,0
5970,1308,0
5987,1288,0
6008,1267,0
6029,1249,0
6037,1233,0
6043,1221,1
5991,1254,0
5992,1266,0
5996,1282,0
6001,1297,0
6014,1315,0
6023,1327,0
6032,1341,0
6039,1348,0
6042,1352,1
6083,1243,0
6083,1261,0
6086,1287,0
6096,1315,0
6109,1332,0
6127,1341,0
6135,1340,0
6149,1331,0
6166,1313,0
6179,1288,0
6197,1265,0
6206,1244,0
6213,1231,0
6218,1228,0
6217,1228,0
6211,1235,0
6202,1260,0
6187,1290,0
6171,1327,0
6150,1365,0
6119,1410,0
6086,1457,0
6060,1508,0
6032,1553,0
6008,1590,1
6337,1354,0
6340,1358,0
6338,1369,0
6338,1385,0
6330,1402,0
6314,1421,0
6310,1436,0
6305,1440,0
6306,1435,1
6540,991,0
6534,1008,0
6534,1029,0
6534,1051,0
6534,1076,0
6535,1097,0
6536,1114,0
6534,1126,0
6531,1138,1
6618,950,0
6618,953,0
6621,963,0
6623,981,0
6626,1006,0
6630,1035,0
6633,1068,0
6635,1100,0
6631,1126,1
