babble, was jubilant, triumphant.
644
736,2439,0
737,2483,0
736,2532,0
735,2584,0
730,2653,0
721,2720,0
709,2791,0
696,2862,0
681,2917,0
665,2958,0
649,2984,0
635,2998,0
624,2992,0
617,2967,0
617,2926,0
626,2876,0
643,2837,0
667,2801,0
695,2777,0
721,2760,0
746,2760,0
764,2762,0
773,2771,0
775,2779,0
760,2798,0
732,2826,0
696,2854,0
659,2881,0
629,2904,0
608,2917,0
603,2932,0
612,2930,0
641,2926,1
872,2781,0
895,2770,0
909,2751,0
910,2747,0
904,2747,0
883,2765,0
858,2799,0
833,2834,0
815,2876,0
810,2912,0
817,2924,0
835,2922,0
860,2912,0
885,2878,0
907,2843,0
924,2812,0
934,2801,0
935,2797,0
936,2805,0
924,2825,0
912,2859,0
904,2895,0
899,2926,0
898,2938,1
1102,2509,0
1085,2700,0
1070,2757,0
1054,2808,0
1035,2852,0
1019,2880,0
1008,2892,0
1008,2896,0
1014,2876,0
1030,2832,0
1052,2789,0
1076,2765,0
1101,2757,0
1126,2756,0
1141,2765,0
1149,2772,0
1148,2779,0
1134,2796,0
1109,2820,0
1081,2849,0
1052,2869,0
1029,2884,0
1017,2896,0
1011,2896,0
1015,2892,1
1323,2451,0
1322,2444,0
1322,2444,0
1318,2452,0
1310,2497,0
1295,2547,0
1278,2601,0
1257,2654,0
1234,2712,0
1214,2770,0
1196,2818,0
1186,2859,0
1182,2871,0
1182,2871,0
1194,2851,0
1215,2806,0
1240,2752,0
1269,2722,0
1295,2707,0
1318,2705,0
1335,2712,0
1344,2723,0
1346,2738,0
1332,2756,0
1313,2786,0
1282,2805,0
1250,2827,0
1220,2841,0
1197,2850,1
1514,2408,0
1515,2407,0
1515,2424,0
1505,2466,0
1481,2515,0
1455,2580,0
1421,2645,0
1389,2718,0
1360,2782,0
1344,2828,0
1344,2856,0
1351,2859,0
1375,2852,0
1409,2832,0
1445,2795,0
1483,2761,0
1515,2724,1
1485,2814,0
1496,2828,0
1526,2835,0
1560,2830,0
1598,2810,0
1635,2774,0
1664,2739,0
1681,2711,0
1683,2694,0
1668,2693,0
1634,2704,0
1602,2741,0
1578,2782,0
1570,2815,0
1580,2834,0
1614,2852,0
1659,2855,1
1976,2817,0
1972,2828,0
1964,2834,0
1956,2849,0
1949,2885,0
1934,2924,0
1915,2958,0
1903,2992,0
1896,3005,1
2184,2707,0
2183,2712,0
2176,2741,0
2165,2776,0
2149,2813,0
2128,2843,0
2114,2873,0
2112,2887,0
2122,2893,0
2145,2883,0
2181,2856,0
2224,2815,0
2275,2780,0
2316,2756,0
2345,2751,0
2356,2755,0
2356,2777,0
2339,2813,0
2315,2845,0
2292,2865,0
2285,2873,0
