ungainly shuffle, neck thrust out, arms
825
636,2352,0
629,2371,0
629,2392,0
629,2416,0
632,2441,0
640,2471,0
650,2481,0
661,2479,0
673,2466,0
685,2442,0
695,2416,0
706,2386,0
716,2367,0
722,2359,0
724,2356,0
723,2356,0
724,2364,0
723,2381,0
724,2401,0
727,2429,0
732,2467,0
738,2484,0
745,2493,0
752,2494,0
757,2487,1
791,2386,0
791,2386,0
791,2390,0
791,2410,0
792,2427,0
792,2451,0
792,2470,0
793,2475,0
798,2480,0
807,2473,0
817,2461,0
829,2444,0
839,2408,0
854,2385,0
866,2375,0
875,2371,0
883,2376,0
888,2384,0
892,2401,0
895,2421,0
900,2445,1
1039,2372,0
1027,2372,0
1010,2371,0
990,2383,0
967,2398,0
949,2421,0
938,2437,0
933,2448,0
939,2461,0
950,2453,0
967,2450,0
984,2434,0
1003,2415,0
1018,2392,0
1032,2380,0
1043,2376,0
1049,2380,0
1056,2393,0
1064,2417,0
1066,2437,0
1068,2465,0
1064,2497,0
1041,2561,0
1021,2588,0
995,2611,0
968,2634,0
944,2641,0
926,2644,0
916,2635,0
914,2620,0
923,2596,0
943,2573,1
1192,2366,0
1183,2362,0
1170,2363,0
1160,2376,0
1140,2384,0
1127,2404,0
1112,2416,0
1107,2441,0
1109,2461,0
1114,2468,0
1126,2476,0
1138,2468,0
1153,2448,0
1167,2427,0
1178,2398,0
1186,2378,0
1189,2366,0
1194,2370,0
1194,2374,0
1194,2378,0
1195,2390,0
1193,2406,0
1193,2430,0
1194,2446,0
1201,2466,1
1282,2364,0
1283,2367,0
1281,2371,0
1280,2380,0
1281,2400,0
1277,2404,0
1279,2420,0
1279,2420,0
1282,2423,1
1276,2259,0
1273,2256,0
1271,2256,0
1268,2256,0
1266,2265,1
1323,2355,0
1327,2363,0
1329,2371,0
1331,2382,0
1331,2398,0
1329,2415,0
1326,2419,0
1329,2423,0
1330,2419,0
1333,2410,0
1338,2398,0
1346,2385,0
1358,2375,0
1367,2362,0
1373,2362,0
1375,2361,0
1377,2369,0
1380,2384,0
1381,2405,0
1381,2425,0
1377,2434,0
1380,2445,0
1383,2445,0
1387,2436,0
1392,2419,1
1437,2258,0
1435,2258,0
1435,2267,0
1434,2280,0
1434,2299,0
1435,2324,0
1437,2356,0
1438,2388,0
1439,2416,0
1438,2429,0
1440,2436,0
1442,2436,0
1445,2427,1
1482,2380,0
1480,2385,0
1481,2401,0
1479,2413,0
1481,2425,0
1488,2432,0
1498,2427,0
1512,2415,0
1529,2400,0
1549,2384,0
1567,2367,0
1580,2360,0
1582,2360,0
1580,2368,0
1570,2387,0
1551,2416,0
1524,2458,0
1493,2508,0
1458,2547,0
1437,2586,0
1421,2617,1
2023,2345,0
2025,2340,0
2019,2338,0
2004,2336,0
1978,2338,0
1949,2350,0
1921,2361,0
1901,2373,0
1884,2379,0
1881,2388,0
1887,2395,0
1901,2398,0
1925,2406,0
1953,2412,0
1983,2418,0
2008,2421,0
2028,2425,0
2038,2431,0
2041,2438,0
2036,2449,0
2019,2460,0
1990,2468,0
1954,2473,0
1920,2480,0
1892,2486,0
1870,2485,0
1859,2481,0
1860,2472,0
1870,2456,1
2086,2233,0
2089,2236,0
2089,2239,0
2089,2253,0
2089,2275,0
2087,2308,0
