dangling loosely. Then, abruptly, he drew
853
830,2889,0
817,2884,0
804,2887,0
786,2885,0
767,2895,0
747,2909,0
728,2926,0
710,2944,0
695,2975,0
689,3002,0
692,3035,0
700,3047,0
714,3054,0
731,3052,0
748,3030,0
767,3007,0
789,2958,0
806,2919,0
830,2845,0
837,2810,0
842,2782,0
843,2762,0
841,2750,0
838,2745,0
837,2750,0
835,2761,0
834,2782,0
836,2814,0
834,2849,0
837,2886,0
841,2926,0
844,2963,0
849,2983,0
856,3000,0
865,3004,0
873,2997,1
969,2899,0
962,2890,0
950,2889,0
936,2893,0
920,2904,0
879,2966,0
876,2982,0
880,2997,0
887,2998,0
898,2991,0
911,2980,0
923,2960,0
945,2905,0
953,2890,0
955,2886,0
955,2890,0
953,2893,0
953,2914,0
945,2934,0
943,2957,0
941,2982,0
941,2997,0
944,3006,0
948,3006,0
955,3002,0
962,2982,1
1014,2900,0
1015,2904,0
1015,2904,0
1014,2916,0
1012,2928,0
1012,2952,0
1006,2964,0
1006,2975,0
1008,2984,0
1013,2980,0
1023,2972,0
1039,2960,0
1054,2944,0
1069,2929,0
1081,2921,0
1088,2917,0
1093,2921,0
1093,2929,0
1093,2944,0
1091,2960,0
1090,2977,0
1093,2989,0
1099,2996,0
1110,2996,1
1213,2910,0
1210,2910,0
1199,2906,0
1187,2914,0
1169,2924,0
1151,2936,0
1139,2956,0
1132,2972,0
1131,2984,0
1137,2988,0
1147,2980,0
1162,2959,0
1182,2943,0
1199,2918,0
1214,2905,0
1226,2905,0
1233,2908,0
1235,2917,0
1237,2936,0
1235,2960,0
1230,2993,0
1221,3030,0
1209,3062,0
1193,3086,0
1177,3115,0
1158,3136,0
1134,3148,0
1112,3153,0
1100,3153,1
1323,2794,0
1321,2810,0
1319,2838,0
1314,2866,0
1310,2903,0
1304,2931,0
1304,2960,0
1305,2972,0
1307,2975,0
1312,2971,0
1317,2951,1
1364,2885,0
1364,2894,0
1362,2910,0
1358,2926,0
1355,2943,0
1353,2955,0
1354,2963,0
1356,2959,1
1372,2784,0
1370,2784,0
1368,2781,0
1369,2784,0
1370,2789,1
1440,2881,0
1441,2885,0
1445,2897,0
1442,2909,0
1441,2929,0
1436,2946,0
1433,2966,0
1434,2982,0
1434,2987,0
1438,2986,0
1445,2973,0
1455,2960,0
1469,2937,0
1486,2915,0
1503,2904,0
1517,2902,0
1526,2905,0
1529,2904,0
1532,2912,0
1534,2924,0
1533,2940,0
1530,2953,0
1531,2969,0
1535,2980,0
1540,2984,1
1650,2894,0
1643,2887,0
1635,2888,0
1623,2887,0
1609,2893,0
1595,2905,0
1586,2922,0
1580,2940,0
1577,2953,0
1580,2960,0
1587,2963,0
1597,2957,0
1608,2943,0
1621,2924,0
1634,2905,0
1645,2890,0
1652,2885,0
1655,2884,0
1657,2888,0
1657,2897,0
1655,2909,0
1657,2933,0
1655,2953,0
1657,2982,0
1658,3006,0
1660,3035,0
1662,3063,0
1658,3088,0
1653,3114,0
1641,3132,0
1626,3147,0
1606,3158,0
1583,3167,0
1563,3170,0
1551,3164,0
1546,3153,0
1549,3128,0
1566,3097,0
1592,3056,0
1626,3016,0
1661,2977,1
2036,2736,0
2040,2744,0
2041,2752,0
2041,2769,0
2041,2794,0
2040,2825,0
2032,2848,0
2029,2883,0
2023,2911,0
2023,2945,0
2019,2967,0
2017,2989,0
2016,3001,1
2173,2885,0
2162,2885,0
2148,2890,0
2128,2894,0
2113,2909,0
2100,2922,0
2092,2938,0
2091,2955,0
2092,2967,0
2099,2978,0
2110,2982,0
2125,2981,0
2146,2973,0
2164,2957,0
2181,2942,0
2194,2924,0
2201,2908,0
2209,2905,0
2203,2895,0
2199,2892,0
2192,2890,1
2314,2916,0
2307,2911,0
2300,2910,0
2289,2910,0
2276,2915,0
2265,2925,0
2251,2931,0
2246,2946,0
2243,2955,0
2246,2967,0
2258,2980,0
2271,2982,0
2287,2980,0
2307,2976,0
2322,2961,0
2338,2946,0
2349,2927,0
2360,2917,0
2359,2905,0
2355,2902,0
2344,2898,0
2333,2899,0
2321,2900,0
2318,2906,0
2316,2906,1
2509,2888,0
2502,2887,0
2495,2895,0
2469,2895,0
2449,2905,0
2431,2914,0
2418,2920,0
2415,2926,0
2415,2931,0
2426,2939,0
2441,2949,0
2456,2951,0
2475,2959,0
2486,2958,0
2495,2963,0
2502,2972,0
2499,2979,0
2487,2980,0
2473,2987,0
2453,2992,0
2432,2998,0
2413,3003,0
2405,3007,0
2400,3004,0
2400,3000,0
2414,2998,0
2435,2988,0
2463,2974,0
2499,2960,0
2534,2943,0
2567,2926,0
2593,2911,0
2611,2897,0
2619,2888,0
2620,2887,0
2608,2884,0
2593,2888,0
2574,2898,0
2556,2908,0
2542,2921,0
2533,2934,0
2531,2945,0
2538,2959,0
2553,2973,0
2574,2981,0
2598,2986,0
2622,2982,0
2645,2973,0
2668,2960,1
2732,2759,0
2731,2760,0
2731,2764,0
2731,2774,0
2731,2792,0
2730,2812,0
2728,2832,0
2731,2859,0
2730,2883,0
2731,2906,0
2731,2924,0
2731,2938,0
2731,2952,1
2785,2895,0
2784,2901,0
2779,2908,0
2777,2919,0
2776,2934,0
2777,2947,0
2783,2958,0
2795,2965,0
2808,2961,0
2832,2956,0
2853,2942,0
2877,2926,0
2897,2910,0
2916,2902,0
2922,2893,0
2926,2895,0
2919,2894,0
2914,2902,0
2901,2917,0
2882,2938,0
2856,2965,0
2827,2996,0
2796,3025,0
2772,3058,0
2750,3084,1
3004,2967,0
3004,2968,0
2999,2965,0
2999,2965,0
2999,2966,0
2998,2967,0
2995,2964,0
2999,2961,0
3008,2955,1
3151,2733,0
3154,2736,0
3156,2734,0
3167,2736,0
3185,2736,0
3205,2730,0
3236,2726,0
3271,2721,0
3300,2712,0
3335,2709,0
3365,2703,0
3388,2698,0
3411,2694,1
3274,2756,0
3273,2762,0
3275,2770,0
3279,2789,0
3281,2813,0
3276,2837,0
3280,2866,0
3279,2887,0
3281,2906,0
3286,2922,0
3290,2929,0
3294,2931,0
3299,2927,1
3392,2780,0
3397,2792,0
3398,2803,0
3395,2815,0
3398,2840,0
3396,2863,0
3392,2881,0
3392,2902,0
3392,2914,0
3393,2917,0
3399,2918,0
3409,2914,0
3414,2900,0
3425,2885,0
3438,2873,0
3448,2864,0
3458,2861,0
3462,2864,0
3461,2864,0
3465,2876,0
3465,2887,0
3467,2901,0
3467,2912,0
3470,2920,0
3477,2925,1
3502,2897,0
3506,2898,0
3518,2900,0
3527,2895,0
3544,2892,0
3562,2886,0
3579,2876,0
3595,2866,0
3607,2855,0
3615,2847,0
3617,2840,0
3612,2833,0
3605,2829,0
3595,2828,0
3583,2829,0
3571,2835,0
3561,2843,0
3553,2852,0
3549,2859,0
3549,2871,0
3558,2885,0
3565,2895,0
3577,2905,0
3588,2912,0
3597,2913,0
3612,2917,0
3621,2914,0
3630,2910,0
3638,2903,1
3667,2831,0
3668,2835,0
3670,2845,0
3668,2858,0
3668,2875,0
3662,2891,0
3658,2907,0
3654,2916,0
3657,2919,0
3661,2914,0
3667,2902,0
3672,2883,0
3681,2862,0
3688,2844,0
3702,2837,0
3702,2831,0
3706,2833,0
3706,2838,0
3706,2849,0
3706,2865,0
3706,2883,0
3709,2902,0
3708,2914,0
3711,2922,0
3715,2924,1
3793,2921,0
3795,2936,0
3790,2951,0
3785,2973,0
3774,2995,1
4087,2855,0
4077,2855,0
4060,2855,0
4047,2864,0
4032,2875,0
4021,2893,0
4012,2912,0
4011,2932,0
4018,2948,0
4029,2954,0
4041,2953,0
4056,2948,0
4067,2936,0
4079,2924,0
4089,2906,0
4096,2887,0
4100,2877,0
4102,2874,0
4100,2876,0
4094,2877,0
4096,2887,0
4093,2902,0
4098,2926,0
4098,2944,0
4104,2963,0
4110,2973,0
4114,2975,0
4119,2974,0
4121,2967,1
4156,2708,0
4158,2699,0
4158,2692,0
4158,2692,0
4159,2697,0
4166,2715,0
4168,2737,0
4174,2768,0
4176,2801,0
4183,2837,0
4184,2867,0
4188,2886,0
4188,2897,0
4190,2902,0
4187,2899,0
4189,2897,0
4191,2888,0
4200,2878,0
4206,2866,0
4217,2859,0
4227,2853,0
4241,2855,0
4254,2859,0
4267,2869,0
4282,2882,0
4290,2896,0
4295,2908,0
4295,2921,0
4295,2934,0
4286,2938,0
4269,2938,0
4248,2938,0
4224,2936,0
4205,2934,0
4196,2931,0
4188,2928,0
4186,2924,1
4340,2855,0
4343,2857,0
4342,2859,0
4345,2868,0
4350,2882,0
4352,2896,0
4358,2914,0
4362,2934,0
4364,2951,0
4369,2965,0
4368,2971,0
4371,2974,0
4367,2972,0
4367,2967,0
4361,2955,0
4356,2942,0
4355,2931,0
4355,2919,0
4363,2910,0
4365,2895,0
4377,2886,0
4393,2880,0
4404,2871,0
4419,2866,0
4435,2866,1
4491,2865,0
4490,2873,0
4491,2885,0
4487,2896,0
4491,2910,0
4492,2922,0
4503,2934,0
4507,2936,0
4514,2932,0
4524,2926,0
4526,2910,0
4538,2896,0
4543,2876,0
4548,2864,0
4553,2859,0
4553,2858,0
4553,2859,0
4551,2860,0
4554,2870,0
4550,2881,0
4548,2897,0
4548,2910,0
4546,2919,0
4549,2927,0
4548,2928,1
4594,2883,0
4591,2886,0
4594,2897,0
4590,2907,0
4584,2922,0
4587,2944,0
4584,2967,0
4581,2990,0
4583,3019,0
4582,3046,0
4581,3066,0
4577,3077,0
4572,3082,0
4570,3079,0
4563,3069,0
4562,3052,0
4557,3027,0
4557,3001,0
4560,2977,0
4561,2951,0
4566,2926,0
4572,2905,0
4582,2891,0
4596,2881,0
4608,2873,0
4619,2870,0
4631,2875,0
4641,2882,0
4647,2893,0
4652,2906,0
4648,2917,0
4640,2928,0
4627,2938,0
4613,2949,0
4599,2955,0
4590,2960,0
4582,2957,1
4709,2694,0
4709,2692,0
4711,2697,0
4713,2708,0
4714,2727,0
4715,2754,0
4716,2787,0
4714,2823,0
4716,2861,0
4719,2890,0
4722,2913,0
4723,2926,0
4727,2934,1
4690,2877,0
4690,2875,0
4698,2872,0
4713,2872,0
4735,2870,0
4748,2864,0
4771,2861,0
4787,2859,0
4803,2857,1
4835,2750,0
4836,2748,0
4835,2757,0
4830,2764,0
4833,2787,0
4830,2813,0
4830,2840,0
4835,2867,0
4838,2891,0
4842,2912,0
4843,2924,0
4845,2930,0
4845,2929,1
4869,2876,0
4869,2876,0
4870,2881,0
4869,2888,0
4871,2899,0
4876,2907,0
4887,2919,0
4898,2923,0
4910,2921,0
