fugs, especially, are scared
580
1462,1341,0
1467,1335,0
1469,1326,0
1467,1313,0
1462,1298,0
1458,1283,0
1450,1269,0
1438,1260,0
1422,1257,0
1409,1261,0
1397,1269,0
1385,1285,0
1375,1308,0
1365,1339,0
1362,1380,0
1363,1426,0
1368,1474,0
1372,1526,0
1374,1575,0
1372,1616,0
1368,1640,1
1329,1522,0
1332,1522,0
1346,1520,0
1363,1512,0
1388,1505,1
1544,1435,0
1543,1435,0
1544,1439,0
1541,1449,0
1539,1466,0
1536,1485,0
1534,1506,0
1541,1525,0
1554,1537,0
1566,1533,0
1583,1522,0
1601,1503,0
1621,1482,0
1635,1459,0
1648,1440,0
1651,1430,0
1655,1433,0
1656,1437,0
1659,1448,0
1663,1468,0
1676,1493,0
1685,1507,0
1694,1512,0
1703,1511,0
1709,1504,1
1844,1441,0
1849,1433,0
1850,1423,0
1852,1418,0
1843,1409,0
1829,1404,0
1812,1405,0
1791,1412,0
1773,1427,0
1761,1447,0
1754,1474,0
1754,1500,0
1765,1517,0
1781,1518,0
1802,1508,0
1818,1488,0
1836,1474,0
1841,1457,0
1843,1446,0
1843,1442,0
1842,1443,0
1841,1443,0
1842,1447,0
1839,1449,0
1842,1462,0
1842,1480,0
1850,1508,0
1855,1532,0
1867,1558,0
1876,1580,0
1876,1594,0
1881,1609,0
1877,1616,0
1870,1621,0
1857,1623,0
1845,1624,0
1831,1623,1
2033,1384,0
2027,1384,0
2017,1381,0
2003,1377,0
1988,1374,0
1975,1378,0
1957,1382,0
1950,1392,0
1944,1400,0
1952,1414,0
1964,1426,0
1978,1435,0
2002,1442,0
2026,1444,0
2052,1445,0
2070,1447,0
2072,1450,0
2066,1459,0
2045,1471,0
2024,1486,0
2000,1493,0
1981,1497,0
1962,1494,0
1946,1491,0
1933,1485,1
2229,1482,0
2219,1511,0
2203,1535,0
2195,1556,0
2195,1566,1
2427,1441,0
2436,1438,0
2448,1430,0
2459,1418,0
2475,1407,0
2480,1394,0
2483,1385,0
2481,1375,0
2477,1368,0
2458,1359,0
2437,1359,0
2408,1367,0
2386,1385,0
2365,1406,0
2344,1429,0
2332,1452,0
2330,1475,0
2337,1491,0
2359,1503,0
2391,1507,0
2429,1502,0
2470,1488,0
2507,1467,0
2545,1447,0
2579,1433,1
2683,1353,0
2668,1352,0
2653,1353,0
2627,1354,0
2615,1363,0
2600,1370,0
2597,1380,0
2596,1387,0
2603,1397,0
2620,1407,0
2648,1418,0
2674,1424,0
2704,1431,0
2721,1435,0
2728,1440,0
2726,1448,0
2707,1459,0
2682,1471,0
2649,1479,0
2622,1486,0
2596,1481,1
2828,1336,0
2823,1335,0
2825,1340,0
2830,1353,0
2826,1372,0
2829,1404,0
2828,1439,0
2832,1481,0
2830,1517,0
2830,1549,0
2830,1568,0
2830,1573,0
2830,1568,1
2791,1360,0
2789,1348,0
2789,1335,0
2786,1317,0
2796,1302,0
2801,1287,0
2816,1279,0
2828,1274,0
2847,1276,0
2863,1281,0
2879,1291,0
2893,1307,0
2910,1325,0
2919,1342,0
2924,1355,0
2918,1364,0
2908,1372,0
2893,1380,0
2866,1385,0
2835,1387,0
2802,1385,1
3023,1348,0
3023,1348,0
3035,1350,0
3051,1348,0
3068,1343,0
3088,1333,0
3109,1320,0
3129,1309,0
3134,1299,0
3134,1293,0
3128,1286,0
3113,1279,0
3092,1278,0
3066,1283,0
3040,1295,0
3016,1312,0
2994,1333,0
2980,1357,0
2972,1377,0
2980,1394,0
3009,1409,0
3045,1411,0
3079,1402,0
3116,1388,0
3153,1370,1
3349,1295,0
3349,1293,0
3346,1290,0
3339,1288,0
