two-twenty carried, for him,
776
1247,1860,0
1249,1865,0
1247,1861,0
1249,1865,0
1247,1860,0
1249,1864,0
1250,1872,0
1250,1892,0
1249,1925,0
1247,1973,0
1243,2029,0
1239,2090,0
1237,2150,0
1233,2207,0
1231,2268,0
1228,2316,0
1227,2348,0
1225,2364,0
1225,2368,0
1223,2360,0
1216,2332,1
1167,2099,0
1163,2095,0
1166,2091,0
1174,2075,0
1192,2053,0
1218,2031,0
1242,2005,0
1265,1983,0
1285,1969,0
1295,1964,0
1303,1971,0
1306,1995,0
1306,2036,0
1303,2084,0
1300,2140,0
1300,2197,0
1300,2236,0
1306,2269,0
1309,2276,0
1315,2276,0
1326,2262,0
1336,2217,0
1357,2170,0
1377,2127,0
1395,2099,0
1409,2096,0
1419,2108,0
1427,2138,0
1436,2190,0
1443,2245,0
1450,2297,0
1455,2332,0
1463,2359,0
1470,2367,0
1476,2365,0
1479,2352,0
1481,2319,0
1479,2267,0
1479,2210,0
1480,2153,0
1486,2106,0
1494,2072,0
1500,2038,0
1509,2015,0
1514,1997,1
1625,2018,0
1627,2017,0
1626,2014,0
1623,2010,0
1616,2009,0
1607,2015,0
1592,2027,0
1576,2053,0
1558,2086,0
1550,2137,0
1542,2188,0
1546,2241,0
1556,2284,0
1566,2302,0
1582,2315,0
1596,2307,0
1614,2291,0
1631,2261,0
1644,2217,0
1655,2168,0
1657,2117,0
1657,2075,0
1652,2039,0
1647,2016,0
1636,1998,0
1624,1989,0
1614,1992,0
1604,1995,0
1597,2005,1
1717,2145,0
1714,2141,0
1717,2145,0
1719,2145,0
1728,2145,0
1741,2145,0
1764,2150,0
1787,2150,0
1812,2149,0
1833,2147,0
1852,2143,0
1868,2141,0
1879,2141,0
1885,2138,0
1891,2141,0
1894,2143,0
1896,2143,1
1989,1901,0
1987,1898,0
1990,1901,0
1991,1909,0
1991,1927,0
1989,1955,0
1989,1995,0
1984,2038,0
1985,2091,0
1981,2136,0
1982,2184,0
1983,2227,0
1985,2266,0
1986,2296,0
1988,2316,0
1988,2325,0
1992,2328,1
1936,2073,0
1939,2059,0
1949,2041,0
1967,2024,0
1988,2005,0
2010,1989,0
2034,1976,0
2051,1968,0
2067,1973,0
2077,1981,0
2086,2004,0
2085,2031,0
2086,2076,0
2083,2123,0
2079,2169,0
2077,2210,0
2073,2239,0
2079,2258,0
2082,2261,0
2087,2258,0
2094,2241,0
2106,2210,0
2119,2167,0
2133,2133,0
2145,2118,0
2154,2116,0
2169,2131,0
2183,2160,0
2194,2200,0
2205,2248,0
2214,2289,0
2223,2325,0
2230,2347,0
2241,2361,0
2246,2362,0
2248,2356,0
2252,2341,0
2258,2310,0
2259,2259,0
2265,2210,0
2265,2159,0
2266,2116,0
2270,2082,0
2269,2048,0
2270,2024,0
2275,2011,0
2276,2002,0
2281,2002,0
2283,2006,1
2316,2142,0
2321,2144,0
2335,2140,0
2356,2131,0
2374,2108,0
2393,2077,0
2407,2048,0
2411,2021,0
2413,2005,0
2410,1996,0
2406,1995,0
2392,1999,0
2374,2023,0
2353,2066,0
2335,2125,0
2320,2187,0
2312,2243,0
2316,2287,0
2326,2314,0
2340,2324,0
2361,2321,0
2383,2298,0
