Owen was, as he feared,
601
1589,3809,0
1592,3780,0
1597,3755,0
1597,3723,0
1595,3703,0
1587,3676,0
1575,3654,0
1561,3636,0
1542,3618,0
1521,3612,0
1493,3612,0
1462,3619,0
1428,3635,0
1391,3663,0
1358,3698,0
1329,3748,0
1305,3802,0
1288,3867,0
1280,3927,0
1283,3979,0
1294,4015,0
1318,4041,0
1346,4051,0
1380,4045,0
1412,4027,0
1445,3991,0
1472,3948,0
1498,3893,0
1520,3842,0
1532,3788,0
1540,3743,0
1540,3706,0
1536,3675,0
1529,3655,0
1519,3641,0
1512,3638,0
1508,3634,1
1635,3746,0
1633,3742,0
1633,3750,0
1635,3773,0
1633,3807,0
1631,3851,0
1631,3900,0
1630,3949,0
1627,3981,0
1628,4006,0
1631,4013,0
1637,4012,0
1644,3991,0
1657,3953,0
1673,3906,0
1688,3854,0
1705,3824,0
1721,3808,0
1731,3807,0
1740,3817,0
1751,3852,0
1755,3892,0
1762,3935,0
1768,3983,0
1770,4020,0
1775,4043,0
1777,4046,0
1780,4046,0
1788,4036,0
1792,4003,0
1797,3953,0
1802,3891,0
1808,3837,0
1813,3795,0
1815,3762,0
1816,3741,0
1817,3729,1
1860,3867,0
1870,3877,0
1884,3878,0
1900,3871,0
1916,3859,0
1935,3838,0
1949,3814,0
1963,3787,0
1970,3760,0
1973,3739,0
1969,3723,0
1965,3724,0
1950,3728,0
1934,3752,0
1911,3786,0
1893,3831,0
1878,3887,0
1869,3939,0
1870,3988,0
1874,4024,0
1887,4045,0
1903,4051,0
1923,4046,0
1944,4029,0
1966,3991,0
1987,3941,0
2002,3884,0
2017,3839,0
2027,3807,0
2034,3793,0
2033,3789,0
2032,3794,0
2029,3819,0
2028,3860,0
2026,3906,0
2025,3952,0
2027,3997,0
2029,4021,0
2031,4024,0
2037,4028,0
2043,4017,0
2050,3987,0
2064,3946,0
2081,3892,0
2103,3845,0
2128,3808,0
2149,3781,0
2173,3766,0
2190,3761,0
2204,3765,0
2217,3782,0
2222,3810,0
2226,3846,0
2221,3885,0
2221,3928,0
2221,3960,0
2220,3986,0
2219,4003,0
2219,4011,0
2215,4004,0
2211,3984,1
2491,3744,0
2495,3747,0
2495,3747,0
2495,3747,0
2495,3752,0
2495,3764,0
2492,3778,0
2493,3804,0
2494,3833,0
2497,3870,0
2504,3915,0
2505,3953,0
2509,3998,0
2511,4036,0
2511,4062,0
2514,4073,0
2512,4070,0
2517,4068,0
2523,4044,0
2529,4004,0
2538,3958,0
2550,3914,0
2562,3879,0
2574,3849,0
2586,3836,0
2596,3835,0
2605,3841,0
2616,3866,0
2626,3901,0
2631,3937,0
2639,3978,0
2645,4010,0
2651,4029,0
2656,4032,0
2656,4031,0
2659,4026,0
2657,4000,0
2656,3958,0
2658,3913,0
2660,3865,0
2668,3827,0
2673,3789,0
2685,3762,0
2695,3737,0
2709,3721,0
2721,3715,0
2732,3711,0
2745,3713,0
2750,3702,0
2770,3710,0
2787,3719,0
2804,3733,0
2825,3750,0
2840,3765,0
2849,3773,0
2854,3780,0
2851,3777,0
2844,3785,0
2828,3789,0
2806,3803,0
2780,3825,0
2753,3850,0
2728,3883,0
2703,3921,0
2690,3965,0
2681,3999,0
2683,4020,0
2692,4029,0
2709,4031,0
2728,4015,0
2750,3983,0
2772,3938,0
2793,3884,0
2813,3840,0
2831,3814,0
2840,3800,0
2840,3796,0
2840,3800,0
2837,3815,0
2834,3852,0
2830,3894,0
2828,3935,0
2825,3971,0
2826,4001,0
2830,4021,1
2937,3725,0
2933,3718,0
2929,3716,0
2921,3720,0
2912,3733,0
2906,3759,0
2903,3787,0
2905,3822,0
2912,3854,0
2922,3885,0
2933,3916,0
2941,3943,0
2947,3966,0
2948,3983,0
2946,3998,0
2938,4006,0
2928,4011,0
2915,4017,0
2901,4020,0
2888,4021,0
2876,4017,0
2875,4019,0
2876,4017,0
2881,4011,0
2893,4005,1
3037,3942,0
3033,3950,0
3033,3963,0
3031,3977,0
3028,3993,0
3023,4008,0
3018,4034,0
3010,4061,0
3003,4090,0
2993,4109,0
2989,4128,0
2986,4138,0
2984,4144,1
3257,3784,0
3274,3764,0
3298,3749,0
3321,3740,0
3351,3739,0
3376,3742,0
3394,3750,0
3404,3763,0
3400,3779,0
3388,3801,0
3370,3826,0
3342,3858,0
3314,3904,0
3283,3954,0
3257,4002,0
3244,4046,0
3239,4070,0
3240,4079,0
3250,4079,0
3267,4073,0
3286,4048,0
3306,4015,0
3328,3974,0
3349,3930,0
3366,3891,0
3380,3854,0
3392,3827,0
3399,3808,0
3404,3801,0
3404,3800,0
3401,3802,0
3399,3823,0
3392,3855,0
3387,3891,0
3385,3936,0
3387,3976,0
3392,4015,0
3397,4040,0
3404,4060,0
3406,4063,0
3408,4061,1
3528,3785,0
3537,3761,0
3545,3746,0
3545,3740,0
3544,3742,0
3535,3743,0
3522,3756,0
3511,3783,0
3498,3811,0
3496,3846,0
3497,3883,0
3504,3917,0
3511,3945,0
3523,3976,0
3530,4000,0
3535,4016,0
3534,4026,0
3533,4036,0
3525,4046,0
3512,4049,0
3500,4057,0
3487,4060,0
3477,4058,0
3474,4058,0
3472,4055,0
3474,4054,0
3481,4050,0
3491,4039,0
3508,4024,1
3797,3640,0
3794,3647,0
3796,3672,0
3793,3699,0
3790,3736,0
3786,3779,0
