desperate for singing, then the situation,
1027
815,2497,0
803,2488,0
796,2487,0
787,2478,0
778,2465,0
769,2456,0
758,2446,0
748,2444,0
733,2451,0
717,2461,0
702,2482,0
692,2505,0
690,2521,0
692,2529,0
700,2534,0
711,2536,0
721,2530,0
732,2519,0
745,2493,0
762,2455,0
784,2414,0
803,2371,0
815,2337,0
820,2314,0
822,2305,0
820,2301,0
820,2305,0
817,2309,0
813,2321,0
810,2348,0
803,2384,0
798,2427,0
798,2463,0
805,2493,0
820,2514,0
839,2516,0
863,2515,0
887,2505,0
907,2487,0
923,2467,0
934,2449,0
940,2429,0
941,2416,0
936,2408,0
926,2408,0
912,2410,0
897,2422,0
887,2440,0
884,2456,0
890,2477,0
902,2486,0
922,2496,0
945,2497,0
970,2494,0
994,2479,0
1020,2456,0
1043,2429,0
1060,2405,0
1068,2385,0
1070,2381,0
1070,2381,0
1067,2381,0
1064,2381,0
1066,2381,0
1069,2388,0
1078,2405,0
1088,2417,0
1098,2429,0
1108,2440,0
1114,2453,0
1114,2456,0
1110,2465,0
1100,2468,0
1089,2480,0
1081,2489,0
1078,2492,0
1078,2485,0
1083,2477,0
1094,2461,0
1107,2445,0
1122,2428,0
1136,2412,0
1149,2396,0
1161,2391,0
1167,2387,0
1168,2391,0
1167,2407,0
1161,2435,0
1157,2468,0
1153,2495,0
1152,2528,0
1150,2556,0
1151,2588,0
1150,2603,0
1151,2612,0
1153,2612,0
1150,2600,0
1149,2576,0
1148,2544,0
1148,2508,0
1150,2476,0
1156,2447,0
1166,2419,0
1179,2391,0
1197,2374,0
1215,2364,0
1230,2364,0
1242,2375,0
1252,2386,0
1259,2402,0
1264,2422,0
1261,2437,0
1252,2451,0
1237,2459,0
1224,2464,0
1211,2461,0
1201,2458,0
1193,2450,0
1188,2446,0
1185,2442,0
1185,2442,0
1188,2442,0
1196,2446,0
1210,2453,0
1228,2460,0
1252,2462,0
1279,2464,0
1305,2453,0
1335,2442,0
1363,2427,0
1385,2408,0
1399,2390,0
1408,2381,0
1408,2372,0
1399,2362,0
1388,2359,0
1374,2361,0
1360,2367,0
1352,2384,0
1346,2401,0
1348,2417,0
1356,2432,0
1372,2446,0
1389,2448,0
1411,2449,0
1433,2446,0
1451,2431,0
1467,2412,0
1480,2393,0
1487,2375,0
1490,2367,0
1489,2367,0
1486,2368,0
1483,2376,0
1478,2386,0
1481,2401,0
1486,2416,0
1491,2427,0
1498,2434,0
1508,2441,0
1511,2436,0
1518,2434,0
1519,2422,0
1517,2406,0
1514,2395,0
1510,2383,0
1510,2375,0
1511,2367,0
1515,2355,0
1526,2347,0
1541,2349,0
1558,2349,0
1579,2348,0
1603,2351,0
1623,2346,0
1645,2349,0
1658,2345,0
1666,2343,0
1668,2342,0
1666,2343,0
1657,2337,0
1648,2340,0
1635,2339,0
1620,2338,0
1607,2338,0
1599,2344,0
1594,2349,0
1597,2360,0
1599,2369,0
1604,2375,0
1616,2385,0
1628,2390,0
1640,2387,0
1653,2380,0
1665,2368,0
1674,2353,0
1679,2340,0
1682,2334,0
1679,2331,0
1676,2332,0
1670,2333,0
1664,2343,0
1662,2361,0
1660,2374,0
1666,2388,0
1677,2398,0
1692,2398,0
1712,2392,0
1735,2381,0
1759,2362,0
1780,2338,0
1800,2311,0
1821,2287,0
1834,2261,0
1843,2241,0
1846,2227,0
1844,2223,0
1839,2221,0
1833,2227,0
1829,2246,0
1824,2273,0
1820,2299,0
1819,2330,0
1819,2351,0
1824,2367,0
1824,2366,0
1828,2369,0
1824,2366,0
1814,2357,0
1801,2352,0
1783,2350,0
1766,2355,0
1747,2361,0
1738,2373,0
1734,2378,0
1743,2388,0
1757,2392,0
1778,2390,0
1807,2389,0
1837,2379,0
1870,2363,0
1899,2347,0
1919,2328,0
1932,2314,0
1930,2297,0
1930,2297,0
1920,2293,0
1906,2299,0
1890,2313,0
1872,2328,0
1865,2348,0
1868,2367,0
1884,2384,1
2292,2504,0
2281,2497,0
2271,2485,0
2258,2463,0
2245,2434,0
2236,2404,0
2227,2372,0
2216,2338,0
2207,2306,0
2197,2270,0
2197,2244,0
2199,2215,0
2207,2193,0
2214,2180,0
2221,2180,0
2225,2183,0
2236,2195,0
2241,2205,0
2244,2217,0
2241,2224,0
2236,2236,0
2222,2252,0
2203,2268,0
2183,2287,0
2162,2307,0
2145,2328,0
2133,2347,0
2130,2367,0
2137,2381,0
2151,2388,0
2175,2394,0
2200,2390,0
2226,2381,0
2256,2375,0
2282,2360,0
2306,2343,0
2333,2328,0
2351,2313,0
2357,2300,0
2357,2296,0
2348,2292,0
2338,2288,0
2328,2289,0
2314,2288,0
2302,2295,0
2294,2309,0
2287,2326,0
2284,2342,0
2287,2354,0
2303,2368,0
2317,2374,0
2332,2374,0
2342,2364,0
2357,2360,0
2364,2347,0
2365,2327,0
2369,2316,0
2362,2306,0
2355,2306,0
2342,2309,0
2330,2316,0
2323,2324,0
2325,2328,0
2330,2330,0
2349,2332,0
2370,2329,0
2392,2326,0
2415,2321,0
2437,2312,0
2457,2309,0
2471,2309,0
2477,2314,0
2480,2326,0
2479,2342,0
2480,2361,0
2478,2371,0
2483,2377,0
2489,2379,0
2494,2375,0
2499,2367,0
2501,2357,0
2498,2344,0
2492,2333,0
2484,2320,0
2480,2312,0
2476,2305,0
2477,2304,0
2480,2303,0
2491,2300,0
2510,2302,0
2530,2304,0
2549,2304,0
2572,2309,1
2966,2249,0
2966,2244,0
2962,2238,0
2953,2234,0
2938,2231,0
2915,2231,0
2896,2237,0
2874,2245,0
2852,2255,0
2833,2265,0
2823,2274,0
2815,2280,0
2820,2287,0
2830,2294,0
2844,2298,0
2864,2301,0
2885,2305,0
2904,2310,0
2919,2317,0
2925,2323,0
2927,2332,0
2926,2342,0
2914,2348,0
2903,2357,0
2883,2357,0
2871,2359,0
2856,2350,0
2853,2341,0
2854,2330,0
2861,2315,0
2871,2300,0
2888,2292,0
2905,2282,0
2921,2279,0
2937,2281,0
2952,2289,0
2965,2299,0
2970,2310,0
2975,2322,0
2978,2330,0
2978,2330,0
2987,2333,0
2987,2327,0
2991,2319,0
2994,2311,1
2991,2178,0
2984,2174,0
2987,2176,0
2987,2176,0
2987,2176,0
2990,2178,0
2987,2176,0
2994,2180,0
2994,2180,1
3048,2277,0
3049,2277,0
3054,2277,0
3055,2276,0
3064,2284,0
3064,2290,0
3069,2302,0
3067,2309,0
3076,2318,0
3081,2318,0
3093,2312,0
3112,2300,0
3129,2282,0
3143,2265,0
3155,2253,0
3158,2244,0
3159,2243,0
3162,2246,0
3159,2248,0
3163,2261,0
3162,2274,0
3167,2286,0
3177,2293,0
3196,2297,0
3216,2293,0
3239,2287,0
3262,2280,0
3280,2273,0
3289,2264,0
3298,2253,0
3308,2244,0
3308,2231,0
3303,2219,0
3293,2212,0
3281,2209,0
3264,2208,0
3255,2212,0
3243,2219,0
3233,2229,0
3226,2243,0
3226,2260,0
3231,2273,0
3244,2282,0
3251,2280,0
3271,2276,0
3291,2268,0
3301,2256,0
3308,2244,0
3311,2234,0
3313,2227,0
3312,2227,0
3307,2227,0
3308,2233,0
3303,2244,0
3303,2260,0
3306,2281,0
3313,2303,0
3319,2325,0
3321,2345,0
3322,2362,0
3321,2375,0
3316,2380,0
3311,2379,0
3305,2374,0
3307,2367,0
3310,2352,0
3319,2330,0
3332,2306,0
3351,2280,0
3370,2258,0
3385,2236,0
3402,2224,0
3416,2219,0
3426,2221,0
3429,2229,0
3428,2242,0
3428,2259,0
3425,2270,0
3425,2275,0
3428,2277,0
3438,2279,1
3441,2135,0
3439,2131,0
3436,2128,0
3433,2126,0
3437,2128,0
