A single-decker,&quot; he elaborated. Daggers, the
1488
511,1686,0
516,1701,0
518,1710,0
520,1719,0
523,1737,0
527,1751,0
531,1770,0
538,1785,0
540,1790,0
540,1790,0
542,1790,0
538,1789,0
513,1716,0
513,1713,0
513,1700,0
516,1688,0
521,1681,0
525,1670,0
531,1664,0
538,1666,0
544,1668,0
551,1675,0
558,1691,0
564,1705,0
569,1727,0
576,1746,0
580,1765,0
584,1779,0
588,1792,0
591,1797,0
592,1798,0
593,1802,0
593,1802,0
595,1807,0
595,1807,0
595,1807,0
596,1807,1
540,1748,0
542,1752,0
546,1749,0
553,1748,0
564,1747,1
838,1698,0
839,1703,0
837,1698,0
834,1698,0
828,1692,0
822,1696,0
813,1693,0
804,1701,0
796,1707,0
789,1710,0
785,1717,0
784,1721,0
787,1730,0
791,1730,0
798,1732,0
808,1734,0
819,1735,0
831,1737,0
843,1739,0
856,1741,0
867,1746,0
875,1751,0
879,1760,0
875,1756,0
870,1759,0
859,1770,0
841,1767,0
822,1765,0
805,1770,0
791,1767,0
783,1761,0
783,1761,0
789,1763,1
901,1703,0
901,1703,0
902,1707,0
902,1707,0
902,1706,0
901,1707,0
906,1723,0
907,1732,0
912,1748,0
914,1756,0
915,1756,0
915,1756,0
915,1756,1
901,1662,0
897,1662,0
892,1657,0
890,1652,0
894,1653,1
972,1697,0
970,1697,0
969,1693,0
970,1697,0
970,1696,0
967,1693,0
969,1697,0
972,1701,0
973,1705,0
977,1714,0
981,1722,0
986,1734,0
989,1742,0
990,1746,0
991,1751,0
991,1751,0
991,1750,0
992,1754,0
991,1751,0
990,1746,0
986,1734,0
986,1726,0
986,1715,0
988,1706,0
993,1703,0
1000,1698,0
1009,1695,0
1018,1696,0
1028,1700,0
1038,1713,0
1043,1725,0
1047,1740,0
1047,1744,0
1051,1752,0
1052,1753,0
1053,1753,0
1056,1753,1
1144,1676,0
1144,1676,0
1144,1676,0
1141,1672,0
1141,1672,0
1135,1668,0
1129,1668,0
1122,1668,0
1112,1668,0
1105,1677,0
1100,1685,0
1095,1693,0
1094,1705,0
1096,1713,0
1104,1720,0
1114,1725,0
1123,1724,0
1130,1720,0
1135,1716,0
1135,1703,0
1138,1696,0
1134,1680,0
1136,1676,0
1136,1676,0
1136,1676,0
1136,1676,0
1134,1676,0
1136,1680,0
1136,1684,0
1138,1696,0
1139,1708,0
1141,1724,0
1146,1744,0
1150,1763,0
1161,1790,0
1170,1807,0
1183,1822,0
1192,1833,0
1194,1837,0
1193,1845,0
1178,1850,0
1151,1851,0
1122,1853,0
1093,1848,0
1071,1837,0
1061,1829,0
1059,1821,0
1064,1813,0
1075,1797,0
1094,1781,0
1115,1768,0
1135,1760,0
1152,1751,1
1218,1703,0
1218,1703,0
1218,1698,0
1218,1690,0
1216,1675,0
1214,1658,0
1213,1643,0
1207,1623,0
1206,1611,0
1204,1604,0
1201,1599,0
1197,1596,0
1200,1600,0
1200,1600,0
1202,1604,0
1204,1612,0
1206,1628,0
1212,1650,0
1218,1674,0
1222,1694,0
1228,1714,0
1232,1725,0
1231,1726,0
1228,1722,0
1228,1722,0
1228,1722,0
1228,1722,0
1228,1718,0
1231,1713,1
1281,1675,0
1278,1672,0
1276,1672,0
1274,1676,0
1269,1681,0
1264,1690,0
1260,1698,0
1262,1710,0
1264,1713,0
1269,1718,0
1280,1720,0
1295,1722,0
1307,1717,0
1319,1714,0
1326,1709,0
1331,1708,0
1333,1708,0
