surprised, they said. So it seemed,
709
872,3318,0
875,3302,0
889,3279,0
902,3252,0
914,3236,0
922,3224,0
927,3225,0
931,3229,0
936,3249,0
939,3285,0
944,3329,0
939,3366,0
936,3402,0
927,3433,0
916,3452,0
907,3465,0
899,3460,0
893,3460,0
893,3460,0
896,3460,0
912,3457,0
933,3457,0
956,3450,0
983,3439,0
1007,3416,0
1030,3384,0
1049,3353,0
1066,3317,0
1078,3281,0
1085,3245,0
1094,3225,0
1095,3221,0
1095,3221,0
1093,3240,0
1089,3285,0
1091,3332,0
1099,3373,0
1110,3388,0
1124,3404,0
1134,3404,0
1146,3404,0
1158,3387,0
1167,3360,0
1174,3332,0
1177,3299,0
1181,3275,0
1184,3267,0
1184,3267,0
1188,3275,0
1197,3303,0
1211,3338,0
1228,3365,0
1245,3376,0
1263,3375,0
1281,3366,0
1300,3349,0
1317,3320,0
1329,3287,0
1336,3257,0
1341,3245,0
1343,3249,0
1346,3261,0
1353,3297,0
1358,3337,0
1364,3372,0
1372,3391,0
1376,3395,0
1378,3399,0
1376,3391,0
1376,3387,0
1371,3359,0
1367,3328,0
1370,3303,0
1379,3291,0
1392,3277,0
1406,3268,0
1416,3262,0
1426,3257,0
1435,3257,0
1440,3256,0
1442,3251,1
1476,3247,0
1475,3244,0
1476,3243,0
1479,3255,0
1483,3287,0
1488,3334,0
1500,3393,0
1511,3457,0
1518,3512,0
1524,3563,0
1528,3600,0
1530,3631,0
1527,3648,0
1523,3653,0
1518,3653,0
1506,3643,0
1490,3612,0
1478,3573,0
1470,3526,0
1469,3478,0
1474,3428,0
1487,3379,0
1505,3328,0
1528,3284,0
1554,3257,0
1578,3245,0
1594,3246,0
1607,3256,0
1612,3275,0
1609,3300,0
1602,3334,0
1585,3361,0
1568,3392,0
1555,3410,0
1552,3423,0
1558,3430,0
1573,3432,0
1594,3424,0
1619,3400,0
1640,3371,0
1659,3340,0
1673,3309,0
1682,3287,0
1686,3274,0
1687,3274,0
1689,3277,0
1698,3300,0
1704,3327,0
1710,3342,0
1714,3341,0
1718,3345,0
1720,3340,0
1724,3327,0
1728,3306,0
1739,3284,0
1755,3264,0
1773,3247,0
1791,3239,0
1804,3236,0
1816,3246,0
1826,3259,0
1833,3279,0
1844,3296,0
1854,3306,0
1865,3316,0
1874,3326,0
1879,3333,0
1885,3340,0
1887,3335,1
1848,3076,0
1845,3081,0
1845,3082,0
1846,3098,0
1848,3122,1
1891,3330,0
1894,3325,0
1906,3313,0
1915,3286,0
1921,3260,0
1927,3238,0
1934,3228,0
1942,3221,0
1956,3226,0
1968,3234,0
1981,3252,0
1990,3269,0
1995,3289,0
1994,3302,0
1994,3319,0
1987,3325,0
1981,3331,0
1974,3337,0
1971,3334,0
1973,3333,0
1981,3335,0
1998,3339,0
2019,3328,0
2039,3313,0
2061,3298,0
2077,3281,0
2089,3264,0
2092,3255,0
2091,3252,0
2079,3246,0
2065,3247,0
2048,3261,0
2034,3282,0
2030,3304,0
2038,3327,0
2051,3331,0
2076,3332,0
2101,3315,0
2130,3297,0
2159,3279,0
2176,3259,0
2185,3248,0
2185,3244,0
2183,3249,0
2174,3261,0
2159,3287,0
2154,3322,0
2157,3347,0
2167,3361,0
2180,3361,0
2196,3346,0
2216,3317,0
2236,3281,0
2251,3233,0
2261,3177,0
2268,3127,0
2270,3078,0
2270,3048,0
2266,3037,0
2264,3033,0
2263,3043,0
2260,3070,0
2264,3119,0
2276,3175,0
2291,3226,0
2306,3267,0
2325,3302,0
2344,3325,0
2367,3346,0
2391,3358,0
2416,3365,0
2440,3355,0
2463,3332,1
2511,3315,0
2509,3320,0
2504,3344,0
2493,3380,0
2480,3420,0
2471,3454,0
2465,3479,0
2464,3492,0
2474,3492,1
2607,3291,0
2603,3302,0
2607,3300,0
2615,3292,0
2622,3262,0
2637,3218,0
2655,3164,0
2673,3104,0
2686,3047,0
2700,3007,0
2704,2982,0
2708,2984,0
2709,2993,0
2710,3024,0
2713,3078,0
2715,3141,0
2722,3200,0
2729,3252,0
2729,3292,0
2731,3322,0
2732,3340,1
2730,3287,0
2733,3290,0
2743,3285,0
2753,3261,0
2770,3225,0
2788,3178,0
2801,3124,0
2814,3070,0
2824,3018,0
2832,2980,0
2835,2959,0
2835,2958,0
2836,2967,0
2835,2992,0
2842,3048,0
2848,3115,0
2852,3182,0
2853,3242,0
2857,3290,0
2856,3318,0
2858,3336,0
2860,3339,0
2860,3339,0
2863,3328,0
2864,3300,0
2870,3279,0
2880,3277,0
2893,3284,0
2912,3300,0
2934,3315,0
2960,3322,0
2986,3321,0
3008,3313,0
3028,3300,0
3042,3281,0
3050,3268,0
3052,3257,0
3044,3247,0
3034,3249,0
3020,3263,0
3008,3289,0
3004,3320,0
3011,3349,0
3028,3366,0
3049,3367,0
3069,3355,0
3090,3337,0
3105,3318,0
3120,3308,0
3124,3296,0
3124,3292,0
3122,3293,0
3119,3300,0
3122,3326,0
3130,3345,0
3146,3354,0
3159,3350,0
3177,3337,0
3197,3315,0
3212,3290,0
3225,3271,0
3235,3260,0
3239,3257,0
3248,3269,0
3255,3295,0
