provisions, unwinking. &quot;Mr. Price,
748
970,1865,0
973,1878,0
971,1877,0
967,1889,0
967,1921,0
965,1957,0
963,2001,0
961,2065,0
961,2133,0
965,2186,0
973,2230,0
979,2258,0
985,2275,0
988,2283,0
987,2282,0
981,2275,0
970,2250,0
964,2214,0
958,2169,0
957,2129,0
960,2082,0
966,2042,0
975,2002,0
989,1966,0
969,1937,0
985,1923,0
1005,1920,0
1054,1925,0
1065,1944,0
1068,1973,0
1062,2001,0
1053,2029,0
1042,2053,0
1023,2060,0
1005,2071,0
982,2074,0
964,2070,0
950,2060,0
943,2048,0
948,2036,0
966,2021,1
1121,1937,0
1120,1936,0
1119,1936,0
1117,1944,0
1112,1964,0
1102,1988,0
1089,2017,0
1075,2041,0
1061,2056,0
1056,2060,0
1057,2061,0
1059,2053,0
1071,2037,0
1087,2005,0
1107,1973,0
1127,1940,0
1141,1923,0
1143,1920,0
1146,1923,0
1143,1928,0
1141,1944,0
1131,1964,0
1131,1996,0
1134,2017,0
1148,2028,0
1169,2027,0
1193,2017,0
1216,2000,0
1240,1981,0
1259,1960,0
1269,1939,0
1264,1919,0
1256,1912,0
1237,1906,0
1210,1904,0
1185,1913,0
1165,1927,0
1146,1936,0
1141,1944,0
1153,1952,0
1170,1947,1
1341,1889,0
1348,1912,0
1352,1936,0
1355,1956,0
1360,1971,0
1370,1985,0
1373,1985,0
1377,1989,0
1375,1981,0
1382,1968,0
1391,1942,0
1401,1915,0
1406,1882,0
1410,1865,0
1410,1861,0
1408,1857,0
1409,1861,1
1469,1856,0
1471,1860,0
1472,1864,0
1480,1883,0
1483,1902,0
1489,1926,0
1487,1938,0
1487,1951,0
1487,1955,1
1498,1825,0
1496,1826,0
1493,1826,0
1489,1831,0
1493,1835,1
1638,1846,0
1636,1843,0
1635,1843,0
1628,1845,0
1614,1850,0
1595,1860,0
1577,1870,0
1565,1882,0
1562,1894,0
1572,1913,0
1584,1922,0
1608,1936,0
1631,1945,0
1655,1954,0
1669,1962,0
1678,1972,0
1678,1981,0
1667,1989,0
1645,1991,0
1626,2001,0
1606,2003,0
1590,2000,0
1590,1999,0
1590,1982,0
1607,1961,0
1633,1936,0
1663,1913,0
1695,1894,0
1726,1879,0
1753,1869,0
1766,1863,0
1775,1868,0
1781,1883,0
1780,1901,0
1776,1919,0
1775,1937,0
1775,1950,0
1778,1957,0
1783,1959,0
1786,1954,1
1781,1805,0
1779,1802,0
1774,1795,0
1774,1795,0
1771,1792,1
1923,1836,0
1920,1833,0
1909,1826,0
1894,1824,0
1872,1830,0
1850,1845,0
1829,1867,0
1816,1899,0
1806,1920,0
1813,1935,0
1824,1935,0
1849,1932,0
1872,1918,0
1891,1904,0
1912,1891,0
1927,1874,0
1935,1862,0
1937,1856,0
1937,1855,0
1940,1859,0
1935,1862,0
1939,1882,0
1938,1904,0
1934,1920,0
1935,1929,0
1940,1935,0
1942,1934,0
1943,1933,0
1945,1928,0
1950,1912,0
1962,1893,0
1974,1868,0
1990,1850,0
2008,1845,0
2017,1845,0
2017,1845,0
2019,1857,0
2022,1879,0
2019,1899,0
2020,1917,0
2022,1929,0
2031,1937,0
2045,1939,0
2071,1938,0
2096,1929,1
2184,1856,0
2183,1848,0
2171,1836,0
2161,1829,0
2140,1822,0
2124,1829,0
2101,1837,0
2089,1854,0
2083,1867,0
2087,1879,0
2105,1896,0
2130,1908,0
2163,1917,0
2201,1925,0
2237,1936,0
2265,1947,0
2276,1954,0
2277,1958,0
2270,1962,0
2246,1968,0
2213,1976,0
2170,1983,0
2130,1992,0
2100,1995,0
2082,1993,0
2078,1989,0
2082,1988,0
2096,1984,1
2379,1911,0
2381,1908,0
2391,1911,0
2405,1921,0
2408,1927,0
2416,1942,0
2415,1957,0
2412,1975,0
2408,1993,0
2401,2008,0
2395,2017,0
2391,2020,0
2399,2014,1
2566,1787,0
2562,1785,0
2560,1787,0
2562,1795,0
2565,1814,0
2568,1838,0
2569,1864,0
2572,1882,0
2582,1895,0
2589,1899,0
2596,1900,0
2598,1897,0
2606,1890,0
2612,1874,0
2622,1850,0
2628,1821,0
2635,1798,0
2642,1785,0
2646,1782,0
2639,1777,0
2641,1781,0
2639,1788,0
2634,1811,0
2636,1841,0
2638,1862,0
2647,1870,0
2661,1873,0
2678,1869,0
2694,1858,0
2706,1841,0
2721,1821,0
2733,1797,0
2741,1777,0
2747,1771,0
2748,1771,0
2745,1773,0
2749,1786,0
2745,1808,0
2744,1838,0
2739,1865,0
2738,1887,0
2739,1898,0
2741,1901,0
2745,1903,0
2743,1900,0
2743,1888,0
2750,1865,0
2767,1837,0
2789,1809,0
2800,1792,0
2806,1792,0
2806,1792,0
2811,1803,0
2812,1819,0
2811,1843,0
2810,1874,0
2807,1894,0
2815,1903,0
2820,1903,0
2832,1903,0
2846,1894,1
2885,1816,0
2886,1816,0
2886,1816,0
2888,1820,0
2885,1835,0
2886,1851,0
2893,1867,0
2900,1879,0
2906,1882,0
2916,1884,0
2925,1880,0
2929,1870,0
2943,1860,0
2953,1844,0
2960,1824,0
2968,1809,0
2971,1804,0
2967,1803,0
2966,1805,0
2967,1821,0
2965,1842,0
2967,1863,0
2973,1882,0
2989,1892,0
3011,1894,0
3035,1883,0
3058,1869,0
3081,1855,0
3092,1835,0
3098,1816,0
3095,1799,0
3091,1787,0
3081,1779,0
3073,1776,0
3069,1775,0
3079,1775,1
3175,1783,0
3175,1783,0
3173,1792,0
3170,1809,0
3166,1827,0
3165,1841,0
3168,1850,0
3173,1855,0
3177,1857,1
3200,1737,1
3252,1747,0
3250,1756,0
3249,1771,0
3245,1789,0
3240,1802,0
3238,1814,0
3239,1824,0
3239,1831,0
3240,1835,0
3240,1837,0
3243,1838,0
3246,1835,0
3257,1819,0
3274,1798,0
3291,1775,0
3310,1756,0
3325,1748,0
3325,1748,0
3325,1755,0
3321,1774,0
3321,1801,0
3321,1828,0
3329,1850,0
3340,1862,0
3355,1863,0
3375,1856,0
3393,1838,0
3411,1813,0
3430,1780,0
3444,1743,0
3450,1706,0
3454,1678,0
3452,1659,0
3455,1652,0
3452,1650,0
3452,1650,0
3451,1667,0
3452,1695,0
3455,1727,0
3457,1759,0
3460,1792,0
3462,1817,0
3460,1834,0
3459,1843,0
3457,1844,0
3458,1843,0
3454,1835,0
3461,1818,0
3467,1788,0
3489,1763,0
3506,1736,0
3526,1720,0
3527,1711,0
3531,1713,0
3525,1716,0
3515,1732,0
3491,1752,0
3462,1781,0
3438,1816,0
3428,1845,0
3434,1863,0
3448,1872,0
3472,1872,0
3508,1863,0
3544,1845,0
3581,1826,0
3609,1805,0
3628,1784,0
