Now, in port, well-deserved rest had
611
464,1205,0
482,1251,0
481,1283,0
465,1320,0
428,1354,0
420,1404,0
410,1458,0
399,1506,0
387,1545,0
379,1577,0
376,1597,0
374,1609,0
369,1608,1
426,1385,0
429,1423,0
436,1467,0
444,1515,0
451,1553,0
458,1587,0
468,1604,0
482,1614,0
496,1607,0
512,1588,0
530,1556,0
547,1508,0
588,1446,0
579,1373,0
595,1310,0
611,1261,0
624,1219,0
670,1204,0
637,1163,0
644,1158,0
645,1154,1
658,1534,0
706,1560,0
723,1565,0
723,1556,0
745,1533,0
767,1505,0
781,1471,0
790,1440,0
784,1406,0
772,1387,0
748,1372,0
726,1379,0
698,1382,0
673,1400,0
653,1423,0
642,1448,0
642,1474,1
853,1428,0
851,1449,0
849,1476,0
841,1504,0
838,1539,0
837,1568,0
843,1590,0
849,1594,0
858,1592,0
872,1582,0
890,1556,0
912,1530,0
926,1496,0
937,1477,0
941,1469,0
943,1474,0
945,1491,0
950,1519,0
954,1539,0
962,1556,0
974,1565,0
987,1570,0
1001,1563,0
1018,1548,0
1037,1517,0
1060,1477,0
1079,1437,0
1089,1409,0
1089,1397,1
1196,1552,0
1189,1561,0
1188,1597,0
1175,1633,0
1163,1674,1
1489,1508,0
1480,1539,0
1472,1558,0
1474,1566,1
1539,1230,0
1529,1225,0
1532,1233,0
1530,1243,0
1530,1252,1
1575,1410,0
1570,1425,0
1568,1452,0
1566,1483,0
1562,1514,0
1553,1538,0
1549,1551,0
1548,1552,0
1547,1544,0
1551,1517,0
1564,1483,0
1580,1442,0
1596,1411,0
1610,1387,0
1620,1374,0
1637,1384,0
1643,1399,0
1645,1423,0
1645,1455,0
1643,1491,0
1640,1522,1
1885,1478,0
1883,1521,0
1881,1573,0
1880,1628,0
1862,1665,0
1852,1698,0
1850,1725,0
1847,1735,0
1847,1735,0
1841,1716,0
1845,1687,0
1844,1643,0
1853,1598,0
1859,1544,0
1863,1486,0
1879,1439,0
1899,1397,0
1927,1368,0
1950,1352,0
1965,1351,0
1978,1360,0
1992,1385,0
1997,1421,0
1990,1460,0
1976,1500,0
1955,1532,0
1934,1555,0
1911,1565,0
1892,1567,1
2118,1392,0
2114,1396,0
2101,1402,0
2089,1416,0
2077,1435,0
2068,1459,0
2059,1481,0
2058,1500,0
2065,1515,0
2081,1524,0
2105,1521,0
2135,1508,0
2159,1483,0
2178,1456,0
2193,1427,0
2192,1397,0
2181,1375,0
2163,1364,0
2141,1362,0
2119,1365,0
2102,1370,0
2098,1372,0
2107,1380,0
2123,1389,0
2146,1399,0
2174,1412,0
2201,1426,0
2228,1445,0
2241,1466,0
2245,1488,0
2248,1512,0
2245,1525,0
2246,1529,0
2243,1527,0
2243,1512,0
2245,1483,0
2258,1450,0
2271,1416,0
2286,1385,0
2304,1362,0
2314,1345,0
2327,1337,0
2337,1331,0
2345,1329,0
2358,1327,1
2498,1225,0
2495,1237,0
2490,1263,0
2466,1293,0
2437,1334,0
2405,1377,0
2388,1418,0
2380,1450,0
2386,1471,0
2399,1481,0
2429,1485,0
2467,1480,0
2508,1471,1
2371,1353,0
2382,1354,0
2408,1349,0
2453,1346,0
2504,1341,1
2655,1460,0
2661,1471,0
2656,1496,0
2647,1532,0
2632,1567,1
2924,1383,0
2914,1413,0
2890,1442,0
2881,1469,0
2876,1481,0
2883,1486,0
2895,1483,0
2910,1469,0
2935,1447,0
2961,1423,0
2982,1399,0
2995,1386,0
3005,1385,0
3011,1392,0
3004,1408,0
3008,1432,0
3009,1452,0
3010,1464,0
3021,1470,0
3041,1469,0
3068,1457,0
3092,1435,0
3122,1409,0
3142,1382,0
3156,1359,0
3168,1346,0
3163,1338,0
3156,1335,0
3145,1338,0
3131,1355,0
3121,1379,0
3106,1404,0
3107,1432,0
3106,1449,0
3122,1463,0
3147,1467,0
3180,1459,0
3216,1446,0
3245,1428,0
3271,1406,0
3287,1378,1
3344,1184,0
3337,1208,0
3318,1240,0
3308,1278,0
3296,1319,0
3293,1358,0
3285,1390,0
3281,1416,0
3276,1430,1
3457,1141,0
3457,1155,0
3441,1190,0
3426,1235,0
3404,1281,0
3396,1326,0
3387,1368,0
3382,1404,0
3388,1435,1
3546,1365,0
3551,1365,0
3566,1359,0
3588,1351,0
3618,1344,0
3659,1341,0
3681,1341,0
3701,1344,0
3721,1348,1
3869,1339,0
3855,1343,0
3834,1351,0
3810,1368,0
3781,1390,0
3756,1418,0
3723,1440,0
3711,1457,0
3711,1464,0
3720,1464,0
3738,1455,0
3769,1428,0
3811,1393,0
3851,1353,0
3873,1308,0
3897,1270,0
3912,1244,0
3916,1233,0
3920,1235,0
3911,1246,0
3899,1278,0
3894,1321,0
3880,1365,0
3872,1404,0
3877,1431,0
3893,1444,0
3915,1445,0
3946,1433,0
3985,1414,0
4018,1388,0
4051,1361,0
4068,1338,0
4076,1319,0
4073,1307,0
4056,1303,0
4035,1313,0
4013,1336,0
3992,1368,0
3976,1404,0
3963,1436,0
3970,1459,0
3991,1472,0
4026,1472,0
4053,1457,0
4092,1440,1
4210,1302,0
4190,1300,0
4172,1303,0
4156,1311,0
4138,1323,0
4134,1334,0
4133,1348,0
4140,1363,0
4155,1380,0
4174,1396,0
4186,1409,0
4194,1421,0
4194,1434,0
4188,1449,0
4169,1462,0
4148,1470,0
4134,1474,0
4111,1467,0
4106,1457,0
4101,1450,0
4116,1444,0
4131,1430,0
4157,1417,0
4193,1404,0
4232,1392,0
4267,1380,0
4305,1368,0
4331,1356,0
4348,1345,0
4351,1336,0
4346,1327,0
4336,1321,0
4319,1319,0
4297,1323,0
4277,1330,0
4265,1339,0
4266,1350,0
4273,1363,0
4292,1381,0
4320,1397,0
4345,1409,0
4378,1414,0
4402,1417,0
4420,1414,0
4432,1407,0
4447,1391,0
4454,1368,0
4459,1345,0
4458,1322,0
4461,1300,0
4463,1279,0
4468,1264,0
4471,1257,0
4473,1252,0
4477,1252,0
4480,1256,0
4481,1264,1
4505,1280,0
4506,1292,0
4504,1311,0
4505,1333,0
4502,1351,0
4508,1360,0
4519,1365,0
4530,1358,0
4543,1342,0
4552,1317,0
4573,1293,0
4596,1269,0
4611,1249,0
4620,1236,0
4633,1234,0
4633,1234,0
4643,1242,0
4649,1249,0
4665,1253,0
4685,1256,0
4702,1256,0
4712,1252,0
4717,1248,0
4723,1240,0
4721,1234,0
4714,1228,0
4705,1230,0
4690,1236,0
4670,1251,0
4659,1271,0
4644,1290,0
4647,1310,0
4645,1328,0
4657,1345,0
4674,1357,0
4702,1358,0
4735,1351,1
4901,1256,0
4886,1251,0
4869,1253,0
4846,1263,0
4828,1281,0
4805,1300,0
4791,1319,0
4777,1334,0
4786,1347,0
4793,1354,0
4814,1353,0
4836,1336,0
4869,1309,0
4903,1278,0
4934,1244,0
4953,1206,0
4975,1168,0
4987,1139,0
4994,1126,0
4994,1123,0
4990,1125,0
4980,1148,0
4971,1183,0
4947,1225,0
4944,1268,0
4937,1306,0
4945,1335,0
4965,1351,0
4999,1352,1
5330,1284,0
5335,1307,0
5342,1331,0
5344,1352,0
5340,1365,0
5347,1371,0
5351,1372,0
5349,1365,0
5347,1344,0
5350,1315,0
5342,1285,0
5348,1261,0
5348,1245,0
5363,1235,0
5359,1230,0
5380,1231,0
5395,1235,0
5420,1237,0
5439,1240,0
5465,1240,0
5480,1242,0
5492,1243,0
5501,1245,0
5504,1244,0
5506,1241,0
5511,1233,0
5509,1225,0
5494,1218,0
5486,1218,0
5468,1223,0
5458,1233,0
5451,1243,0
5447,1259,0
5451,1276,0
5455,1293,0
5468,1308,0
5494,1317,0
5519,1317,0
5552,1316,0
5574,1310,0
5598,1300,1
5681,1192,0
5670,1185,0
5658,1183,0
5645,1187,0
5631,1193,0
5620,1204,0
5613,1217,0
5618,1233,0
5619,1245,0
5636,1260,0
5654,1272,0
5676,1283,0
5694,1291,0
5701,1300,0
5702,1309,0
5691,1322,0
5676,1334,0
5652,1344,0
5634,1348,0
5622,1353,0
5609,1351,1
5858,1107,0
5851,1121,0
5846,1145,0
5840,1175,0
5836,1212,0
5832,1250,0
5832,1284,0
5834,1308,0
5851,1326,0
5870,1332,0
5882,1333,0
5908,1329,0
5919,1320,1
5799,1250,0
5804,1245,0
5827,1232,0
5870,1224,0
5913,1216,1
6345,1045,0
6348,1049,0
6352,1051,0
6349,1071,0
6348,1102,0
6335,1146,0
6326,1194,0
6309,1236,0
6294,1271,0
6280,1295,0
6274,1305,0
6282,1309,0
6278,1304,0
6291,1284,0
6314,1253,0
6338,1218,0
6357,1180,0
6374,1158,0
6395,1153,0
6408,1152,0
6415,1158,0
6416,1174,0
6410,1202,0
6394,1237,0
6380,1266,0
6373,1286,0
6378,1298,0
6389,1300,0
6411,1294,1
6559,1167,0
6552,1160,0
6536,1161,0
6521,1175,0
6498,1192,0
6472,1216,0
6447,1240,0
6433,1266,0
6430,1282,0
6432,1293,0
6445,1296,0
