Peace, sweet peace. No more bothers,
614
458,2495,0
451,2519,0
457,2557,0
463,2596,0
468,2630,0
472,2648,0
472,2664,0
470,2663,0
462,2654,1
388,2459,0
384,2433,0
390,2409,0
405,2376,0
431,2350,0
471,2325,0
517,2304,0
603,2309,0
634,2323,0
651,2339,0
654,2368,0
568,2464,0
525,2492,0
485,2503,0
455,2515,0
439,2515,0
440,2511,1
613,2613,0
615,2613,0
628,2603,0
651,2587,0
680,2568,0
709,2544,0
729,2519,0
741,2500,0
743,2485,0
736,2475,0
721,2469,0
697,2482,0
667,2497,0
637,2528,0
615,2564,0
602,2598,0
602,2635,0
615,2658,0
639,2666,0
673,2663,0
709,2654,1
848,2509,0
839,2504,0
823,2503,0
805,2513,0
787,2531,0
769,2552,0
755,2579,0
748,2606,0
749,2622,0
757,2628,0
775,2622,0
798,2601,0
825,2576,0
850,2545,0
873,2520,0
889,2501,0
897,2494,0
897,2490,0
894,2502,0
885,2521,0
877,2540,0
876,2560,0
883,2572,0
896,2570,0
918,2564,0
947,2545,0
980,2527,0
996,2507,0
962,2522,0
938,2545,0
924,2563,0
922,2579,0
929,2588,0
948,2593,0
974,2595,0
1006,2588,0
1081,2573,0
1117,2552,0
1153,2539,0
1182,2526,0
1202,2513,0
1217,2501,0
1229,2487,0
1237,2475,0
1237,2467,0
1228,2460,0
1214,2461,0
1193,2466,0
1170,2479,0
1149,2499,0
1135,2528,0
1132,2556,0
1143,2580,0
1170,2595,0
1213,2605,0
1272,2606,1
1532,2603,0
1517,2618,0
1510,2644,0
1507,2676,0
1504,2702,1
1816,2461,0
1806,2456,0
1791,2453,0
1773,2450,0
1754,2456,0
1734,2461,0
1720,2470,0
1720,2482,0
1728,2492,0
1750,2507,0
1775,2516,0
1799,2521,0
1817,2524,0
1831,2533,0
1833,2536,0
1824,2543,0
1800,2559,0
1764,2573,0
1732,2591,0
1708,2601,0
1689,2597,1
1898,2455,0
1896,2459,0
1893,2474,0
1889,2492,0
1883,2511,0
1881,2528,0
1882,2541,0
1888,2547,0
1887,2539,0
1901,2534,0
1915,2513,0
1936,2496,0
1947,2471,0
1958,2467,0
1958,2467,0
1959,2483,0
1957,2506,0
1957,2527,0
1961,2543,0
1968,2548,0
1981,2548,0
2001,2548,0
2019,2537,0
2036,2517,0
2058,2499,0
2075,2480,0
2090,2465,0
2096,2449,0
2099,2439,0
2095,2432,0
2089,2434,0
2077,2440,0
2065,2453,0
2051,2468,0
2046,2488,0
2050,2508,0
2058,2517,0
2075,2523,0
2098,2522,0
2123,2515,0
2156,2509,0
2181,2493,0
2205,2478,0
2222,2460,0
2235,2440,0
2245,2426,0
2246,2417,0
2236,2412,0
2219,2416,0
2200,2426,0
2188,2445,0
2180,2467,0
2178,2490,0
2189,2511,0
2203,2527,0
2231,2540,0
2260,2540,1
2407,2298,0
2410,2301,0
2409,2310,0
2400,2325,0
2398,2355,0
2386,2385,0
2381,2420,0
2377,2455,0
2379,2476,0
2384,2487,0
2405,2499,0
2425,2496,0
2448,2487,1
2355,2439,0
2369,2437,0
2392,2432,0
2419,2426,0
2451,2425,1
2750,2391,0
2748,2404,0
2747,2429,0
2744,2461,0
2741,2497,0
2739,2533,0
2736,2569,0
2731,2598,0
2724,2616,0
2722,2622,0
2724,2622,0
2721,2613,0
2722,2588,0
2721,2551,0
2727,2512,0
2731,2465,0
2745,2425,0
2756,2393,0
2772,2375,0
2785,2365,0
2793,2364,0
2801,2377,0
2807,2398,0
2811,2425,0
2808,2449,0
2796,2468,0
2780,2483,0
2761,2498,0
2741,2507,0
2725,2509,0
2721,2507,0
2729,2497,0
2741,2483,1
2873,2484,0
2876,2482,0
2883,2471,0
2900,2458,0
2916,2439,0
2934,2420,0
2948,2397,0
2958,2379,0
2966,2372,0
2960,2367,0
2946,2363,0
2924,2370,0
2899,2387,0
2873,2407,0
2857,2436,0
2844,2466,0
2840,2494,0
2854,2514,0
2876,2518,0
2910,2507,0
2946,2482,1
3087,2377,0
3081,2372,0
3065,2371,0
3042,2379,0
3019,2396,0
3001,2420,0
2984,2446,0
2975,2470,0
2976,2478,0
2989,2478,0
3010,2466,0
3038,2447,0
3066,2424,0
3088,2398,0
3110,2384,0
3117,2376,0
3116,2378,0
3114,2380,0
3111,2394,0
3103,2412,0
3100,2431,0
3103,2449,0
3111,2463,0
3121,2465,1
3288,2352,0
3267,2356,0
3240,2366,0
3217,2381,0
3198,2400,0
3185,2417,0
3180,2432,0
3189,2446,0
3203,2451,0
3228,2448,0
3260,2440,0
3291,2427,0
3325,2416,0
3358,2405,0
3390,2395,0
3414,2383,0
3422,2367,0
3424,2355,0
3419,2348,0
3401,2343,0
3379,2350,0
3356,2361,0
3341,2376,0
3330,2394,0
3336,2417,0
3358,2434,0
3392,2440,0
3433,2437,0
3472,2430,1
3572,2411,0
3573,2410,0
3580,2408,0
3588,2399,0
3599,2387,1
3917,2253,0
3916,2261,0
3915,2290,0
3913,2331,0
3910,2376,0
3908,2416,0
3899,2441,0
3896,2456,0
3896,2458,1
3894,2216,0
3899,2217,0
3900,2223,0
3904,2250,0
3911,2288,0
3921,2335,0
3939,2378,0
3954,2409,0
3971,2426,0
3988,2432,0
4007,2427,0
4029,2411,0
4052,2379,0
4084,2336,0
4112,2291,0
4133,2253,0
4151,2227,0
4153,2209,0
4164,2207,0
4160,2205,0
4169,2207,1
4197,2357,0
4193,2370,0
4184,2381,0
4188,2398,0
4193,2410,0
4210,2422,0
4224,2424,0
4241,2420,0
4259,2408,0
4285,2393,0
4287,2367,0
4297,2346,0
4285,2321,0
4278,2311,0
4251,2306,0
4233,2313,0
4200,2318,0
4189,2333,0
4176,2344,0
4179,2354,0
4186,2359,1
4562,2342,0
4555,2362,0
4550,2384,0
4545,2400,0
4542,2410,0
4538,2408,0
4545,2407,0
4546,2388,0
4549,2362,0
4564,2331,0
4583,2301,0
4595,2280,0
4606,2276,0
4613,2280,0
4620,2300,0
4620,2325,0
4622,2351,0
4627,2366,0
4632,2372,0
4642,2372,0
4659,2368,0
4678,2352,0
4698,2326,0
4722,2300,0
4741,2282,0
4751,2282,0
4753,2289,0
4754,2311,0
4748,2336,0
4749,2365,0
4751,2393,0
4757,2414,0
4765,2425,1
4880,2292,0
4874,2294,0
4861,2300,0
4850,2321,0
4835,2346,0
4824,2372,0
4825,2394,0
4828,2407,0
4838,2412,0
4848,2410,0
4869,2400,0
4893,2381,0
4908,2355,0
