no more crises, no more major upsets,
613
450,2938,0
454,2951,0
459,2977,0
462,3003,0
460,3031,0
457,3050,0
455,3054,0
455,3054,0
456,3034,0
460,3001,0
470,2967,0
483,2929,0
502,2913,0
518,2912,0
530,2926,0
538,2948,0
545,2979,0
548,3020,0
548,3044,0
550,3061,0
554,3078,1
630,2941,0
626,2952,0
620,2976,0
618,2999,0
622,3028,0
629,3042,0
642,3052,0
655,3042,0
670,3031,0
683,3005,0
692,2982,0
696,2954,0
694,2926,0
685,2904,0
670,2907,0
651,2912,0
632,2933,1
948,2994,0
950,3021,0
949,3042,0
950,3062,0
949,3070,0
950,3069,0
953,3066,0
959,3037,0
968,2999,0
978,2955,0
991,2915,0
1003,2895,0
1016,2893,0
1022,2893,0
1027,2904,0
1031,2924,0
1034,2953,0
1037,2972,0
1039,2977,0
1046,2980,0
1056,2981,0
1070,2965,0
1087,2945,0
1104,2928,0
1115,2917,0
1123,2920,0
1124,2920,0
1127,2944,0
1127,2968,0
1129,2992,0
1133,3021,0
1141,3040,0
1150,3047,1
1297,2916,0
1297,2916,0
1295,2912,0
1286,2909,0
1271,2910,0
1254,2923,0
1234,2936,0
1216,2957,0
1202,2978,0
1196,2994,0
1201,3018,0
1215,3037,0
1238,3052,0
1264,3051,0
1290,3041,0
1317,3019,0
1340,2997,0
1353,2967,0
1358,2934,0
1352,2907,0
1341,2892,0
1327,2889,0
1312,2891,0
1302,2900,0
1296,2904,1
1442,2924,0
1440,2941,0
1436,2966,0
1433,2994,0
1428,3016,0
1423,3028,0
1424,3032,0
1424,3032,0
1429,3020,0
1433,2987,0
1439,2953,0
1443,2917,0
1453,2900,0
1458,2890,0
1463,2890,0
1474,2905,0
1483,2919,0
1498,2937,0
1513,2947,0
1532,2956,0
1551,2957,0
1574,2953,0
1599,2945,0
1619,2924,0
1638,2908,0
1648,2890,0
1653,2881,0
1648,2869,0
1635,2869,0
1617,2876,0
1602,2895,0
1594,2925,0
1594,2953,0
1606,2976,0
1630,2996,0
1659,3002,0
1689,3004,1
2106,2877,0
2096,2876,0
2080,2878,0
2062,2881,0
2044,2891,0
2025,2902,0
2012,2923,0
2005,2946,0
2004,2968,0
2013,2986,0
2030,2997,0
2055,3006,0
2084,3004,0
2116,2996,0
2144,2987,0
2169,2977,0
2190,2965,1
2222,2913,0
2219,2922,0
2224,2938,0
2226,2950,0
2229,2957,1
2235,2963,0
2234,2951,0
2239,2931,0
2244,2904,0
2253,2882,0
2265,2869,0
2273,2856,0
2283,2852,1
2385,2901,0
2384,2919,0
2381,2938,0
2381,2956,0
2382,2969,1
2397,2784,0
2391,2777,0
2396,2780,0
2403,2786,0
2410,2791,1
2565,2854,0
2556,2849,0
2547,2849,0
2529,2850,0
2511,2855,0
2494,2864,0
2482,2875,0
2482,2889,0
2488,2904,0
2502,2919,0
2520,2937,0
2537,2950,0
2552,2965,0
2559,2975,0
2562,2987,0
2556,2994,0
2544,3005,0
2521,3012,0
2498,3016,0
2475,3013,0
2458,3007,0
2455,3005,0
2455,2996,0
2470,2989,0
2490,2974,0
2524,2961,0
2564,2945,0
2608,2930,0
2651,2915,0
2688,2898,0
2719,2889,0
2734,2876,0
2742,2871,0
2737,2864,0
2723,2859,0
2703,2857,0
2685,2868,0
2667,2883,0
2656,2902,0
2651,2924,0
2659,2948,0
2674,2967,0
2694,2974,0
2726,2979,0
2753,2967,1
2864,2859,0
2859,2858,0
2847,2851,0
2835,2849,0
2829,2853,0
2823,2858,0
2823,2866,0
2830,2881,0
2846,2900,0
2864,2917,0
2883,2934,0
2897,2943,0
2904,2948,0
2902,2949,0
2889,2953,0
2868,2957,0
2845,2957,0
2826,2959,0
2811,2964,0
2799,2967,0
2792,2966,1
3059,2963,0
3054,2972,0
3053,2996,0
3049,3024,0
3045,3045,1
3265,2856,0
3261,2876,0
3261,2896,0
3256,2905,0
3255,2906,0
3257,2905,0
3257,2888,0
3267,2860,0
3284,2827,0
3302,2796,0
3323,2777,0
3341,2772,0
3353,2777,0
3362,2796,0
3368,2823,0
3370,2853,0
3367,2876,0
3362,2897,0
3363,2912,0
3364,2916,0
3373,2913,1
3457,2797,0
3456,2799,0
3452,2808,0
3441,2823,0
3439,2851,0
3435,2871,0
3438,2884,0
3442,2886,0
3450,2884,0
3463,2878,0
3472,2859,0
3481,2835,0
3487,2808,0
3487,2787,0
3481,2777,0
3467,2772,0
3457,2776,1
3675,2868,0
3683,2849,0
3692,2824,0
3698,2796,0
3713,2781,0
3725,2769,0
3737,2766,0
3741,2768,0
3750,2783,0
3750,2800,0
3752,2821,0
3749,2835,0
3750,2840,0
3755,2840,0
3759,2836,0
3773,2823,0
3788,2801,0
3803,2779,0
3821,2766,0
3831,2762,0
3838,2766,0
3843,2784,0
3847,2809,0
3847,2837,0
3847,2866,0
3852,2890,0
3854,2900,0
3867,2903,0
3877,2886,1
3964,2794,0
3964,2794,0
3960,2799,0
3948,2811,0
3942,2835,0
3940,2862,0
3937,2876,0
3941,2883,0
3951,2885,0
3965,2882,0
3981,2870,0
3994,2850,0
4003,2829,0
4006,2808,0
4002,2789,0
3990,2772,0
3980,2765,0
3966,2762,0
3957,2767,0
3952,2772,1
4085,2827,0
4080,2844,0
4079,2870,0
4071,2885,0
4073,2894,0
4073,2894,0
4073,2889,0
4073,2870,0
4079,2846,0
4085,2815,0
4095,2791,0
4101,2779,0
4101,2773,0
4104,2775,0
4112,2784,0
4122,2797,0
4138,2810,0
4160,2820,0
4183,2824,0
4205,2823,0
4234,2821,0
4256,2813,0
4276,2801,0
4283,2786,0
4290,2777,0
4282,2769,0
4278,2767,0
4262,2767,0
4252,2779,0
4242,2797,0
4237,2823,0
4232,2847,0
4237,2871,0
4257,2885,0
4287,2888,0
4317,2876,0
4348,2864,1
4644,2838,0
4639,2864,0
4639,2884,0
4639,2890,0
4642,2887,0
4652,2874,0
4658,2845,0
4663,2812,0
4683,2785,0
4695,2762,0
4704,2755,0
4712,2759,0
4720,2774,0
4714,2789,0
4728,2811,0
4721,2815,0
4739,2823,0
4746,2819,0
4767,2811,0
4784,2794,0
4807,2777,0
4825,2758,0
4837,2754,0
4835,2757,0
4841,2775,0
4835,2799,0
4832,2824,0
4822,2845,0
4824,2869,1
4968,2776,0
4961,2764,0
4963,2760,0
4951,2758,0
4934,2760,0
4914,2769,0
4894,2784,0
4879,2806,0
4871,2832,0
4863,2842,0
4873,2849,0
4872,2843,0
4896,2843,0
4911,2830,0
4938,2818,0
4953,2803,0
4973,2789,0
4976,2784,0
4977,2782,0
4980,2785,0
4980,2794,1
5062,2785,0
5072,2785,0
5074,2781,0
5080,2772,0
5090,2764,0
5106,2753,0
5121,2745,0
5130,2738,0
5137,2735,0
5144,2738,0
5146,2752,0
5144,2777,0
5134,2806,0
5126,2840,0
5108,2882,0
5096,2928,0
5079,2965,0
5072,2997,0
5067,3019,0
5062,3025,0
5059,3022,1
5096,2651,0
5094,2645,0
5095,2643,0
5096,2642,0
5097,2639,1
5241,2750,0
5231,2757,0
5224,2770,0
5211,2783,0
5206,2798,0
5212,2818,0
5216,2828,0
5226,2833,0
5242,2838,0
5263,2834,0
5285,2823,0
5306,2806,0
5318,2784,0
5323,2762,0
5320,2743,0
5306,2728,0
5287,2721,0
5265,2719,0
5238,2724,0
5218,2733,0
5210,2747,1
5373,2772,0
5376,2790,0
5373,2803,0
5376,2820,0
5378,2825,0
5380,2829,0
5380,2828,0
5384,2815,0
5396,2787,0
5409,2765,0
5426,2744,0
5445,2730,0
5461,2718,1
5750,2709,0
5750,2709,0
5747,2714,0
5744,2736,0
5742,2767,0
5740,2794,0
5745,2819,0
5752,2828,0
5762,2829,0
5779,2823,0
5798,2805,0
5824,2784,0
5846,2752,0
5865,2722,0
5885,2704,0
5892,2698,0
5891,2700,0
5890,2712,0
5882,2733,0
5878,2759,0
5873,2777,1
5926,2746,0
5928,2758,0
5922,2786,0
5915,2824,0
5907,2864,0
5895,2909,0
5885,2959,0
5873,2996,0
5856,3016,0
5853,3020,0
5856,3018,0
5861,2991,0
5869,2946,0
5880,2895,0
5887,2849,0
5904,2811,0
5926,2772,0
5943,2740,0
5974,2716,0
6005,2707,0
6019,2706,0
6027,2717,0
6031,2736,0
6026,2762,0
6014,2784,0
5984,2806,0
5969,2825,0
5952,2832,0
5931,2830,1
6196,2701,0
6188,2691,0
6180,2689,0
6156,2692,0
6131,2697,0
6114,2706,0
6103,2717,0
6101,2730,0
6109,2750,0
6122,2768,0
6140,2786,0
6150,2801,0
6153,2813,0
6151,2825,0
6143,2839,0
6124,2849,0
6101,2859,0
6078,2861,0
6060,2859,0
6054,2855,0
6056,2849,0
6067,2839,0
6091,2826,0
6126,2812,0
6173,2799,0
6205,2782,0
6244,2766,0
6275,2750,0
6291,2735,0
6306,2723,0
6302,2713,0
6300,2708,0
6280,2702,0
6268,2708,0
6254,2720,0
6244,2741,0
6239,2767,0
6245,2791,0
6254,2808,0
6268,2824,0
6283,2831,1
6418,2647,0
6415,2644,0
6418,2644,0
6418,2656,0
6413,2675,0
6401,2700,0
6392,2729,0
6388,2754,0
6388,2774,0
6395,2786,0
6408,2796,0
6424,2800,0
6442,2799,1
6342,2721,0
6348,2719,0
6363,2716,0
6389,2714,0
6426,2713,1
6638,2695,0
6621,2692,0
6611,2695,0
6592,2699,0
6570,2706,0
6561,2717,0
6544,2725,0
6540,2733,0
6548,2745,0
6563,2760,0
6572,2768,0
6599,2776,0
6622,2784,0
6632,2791,0
6633,2799,0
6622,2803,0
6599,2814,0
6568,2824,0
6529,2830,0
6493,2842,0
6462,2849,1
6727,2805,0
6725,2810,0
6722,2844,0
6716,2885,0
6702,2924,1
