hah! Burman, The chief radio officer,
649
526,5194,0
528,5195,0
531,5190,0
537,5175,0
544,5148,0
550,5108,0
559,5064,0
567,5021,0
574,4986,0
571,4966,0
567,4957,0
559,4961,0
547,4975,0
533,5014,0
519,5076,0
511,5152,0
513,5205,0
523,5234,0
540,5248,0
561,5254,0
582,5244,0
602,5230,0
620,5203,0
637,5177,0
652,5154,0
658,5146,0
658,5146,0
658,5151,0
657,5179,0
654,5214,0
658,5235,0
669,5248,0
689,5253,1
804,5204,0
832,5182,0
839,5155,0
839,5142,0
829,5134,0
810,5133,0
784,5148,0
760,5178,0
740,5216,0
733,5240,0
738,5249,0
752,5250,0
770,5243,0
791,5224,0
809,5201,0
826,5174,0
838,5151,0
840,5139,0
839,5142,0
845,5159,0
840,5191,0
840,5215,0
848,5227,0
864,5232,0
888,5229,0
914,5214,0
941,5187,0
965,5147,0
984,5108,0
997,5064,0
1001,5023,0
998,4995,0
984,4992,0
963,5003,0
941,5038,0
917,5090,0
907,5146,0
909,5178,0
924,5194,0
948,5202,0
974,5203,0
997,5199,0
1019,5187,0
1039,5172,0
1053,5156,0
1056,5153,0
1057,5152,0
1056,5160,0
1057,5189,0
1057,5200,0
1065,5208,0
1075,5212,1
1236,4914,0
1237,4918,0
1239,4918,0
1239,4918,0
1238,4934,0
1235,4953,0
1231,4978,0
1223,5002,0
1218,5031,1
1239,5198,0
1241,5202,0
1242,5202,0
1244,5202,0
1244,5202,0
1243,5198,0
1242,5198,0
1242,5194,0
1245,5190,1
1576,4967,0
1577,4983,0
1576,5015,0
1577,5047,0
1575,5079,0
1573,5108,0
1570,5132,0
1570,5148,0
1574,5160,1
1549,4965,0
1559,4949,0
1586,4937,0
1623,4925,0
1657,4925,0
1681,4922,0
1698,4932,0
1703,4940,0
1700,4956,0
1687,4975,0
1672,4997,0
1663,5026,0
1659,5054,0
1665,5086,0
1677,5108,0
1688,5127,0
1697,5139,0
1700,5146,0
1696,5151,0
1683,5160,0
1659,5167,0
1631,5170,0
1611,5172,0
1600,5173,0
