of plastic paint, # navy-grey,
917
681,3747,0
658,3764,0
639,3782,0
619,3803,0
599,3837,0
581,3871,0
567,3897,0
564,3918,0
568,3926,0
579,3919,0
597,3901,0
618,3880,0
641,3847,0
665,3813,0
687,3779,0
702,3753,0
709,3741,0
709,3737,0
705,3745,0
699,3764,0
693,3784,0
692,3807,0
697,3821,0
709,3822,0
729,3807,0
752,3782,0
784,3748,0
820,3703,0
854,3658,0
885,3619,0
911,3585,0
929,3569,0
938,3562,0
938,3566,0
928,3590,0
905,3636,0
868,3706,0
825,3788,0
784,3877,0
746,3954,0
716,4023,0
697,4065,0
689,4081,0
687,4077,0
690,4061,1
731,3868,0
729,3872,0
728,3876,0
739,3881,0
755,3882,0
777,3877,0
805,3863,0
837,3841,1
1217,3754,0
1216,3754,0
1213,3750,0
1213,3762,0
1208,3778,0
1199,3807,0
1184,3839,0
1163,3876,0
1140,3928,0
1117,3972,0
1097,4009,0
1085,4032,0
1083,4036,0
1083,4032,0
1088,4017,0
1101,3984,0
1122,3940,0
1150,3892,0
1182,3843,0
1216,3798,0
1249,3765,0
1279,3731,0
1306,3710,0
1329,3699,0
1346,3703,0
1354,3714,0
1356,3734,0
1350,3766,0
1336,3800,0
1317,3837,0
1293,3867,0
1272,3884,0
1257,3892,0
1245,3889,0
1240,3873,0
1247,3853,0
1262,3824,1
1401,3846,0
1410,3838,0
1428,3820,0
1453,3793,0
1483,3758,0
1510,3715,0
1538,3670,0
1563,3631,0
1586,3591,0
1603,3560,0
1611,3539,0
1613,3535,0
1602,3532,0
1582,3547,0
1555,3576,0
1523,3616,0
1490,3665,0
1461,3720,0
1434,3771,0
1417,3821,0
1408,3854,0
1411,3874,0
1426,3876,0
1451,3866,0
1483,3843,1
1648,3715,0
1647,3715,0
1643,3716,0
1637,3713,0
1628,3714,0
1619,3720,0
1604,3730,0
1587,3749,0
1568,3776,0
1550,3807,0
1537,3836,0
1532,3860,0
1533,3873,0
1541,3876,0
1554,3866,0
1573,3848,0
1594,3825,0
1613,3798,0
1630,3771,0
1643,3752,0
1650,3744,0
1648,3740,0
1647,3744,0
1640,3756,0
1631,3783,0
1622,3812,0
1617,3841,0
1616,3862,0
1623,3872,0
1635,3872,0
1652,3860,0
