away, came back and said, With bad
566
945,2229,0
924,2227,0
957,2233,0
938,2256,0
903,2277,0
811,2309,0
778,2340,0
756,2369,0
750,2388,0
754,2397,0
765,2398,0
779,2396,0
793,2390,0
813,2376,0
835,2351,0
945,2313,0
959,2289,0
970,2277,0
967,2270,0
962,2274,0
971,2282,0
962,2301,0
955,2326,0
885,2352,0
880,2384,0
883,2400,0
890,2400,0
901,2390,1
1054,2292,0
1052,2301,0
1051,2321,0
1048,2345,0
1083,2376,0
1101,2357,0
1121,2333,0
1136,2304,0
1147,2295,0
1151,2295,0
1153,2307,0
1151,2328,0
1147,2356,0
1142,2379,0
1142,2392,0
1148,2400,0
1156,2395,0
1171,2379,0
1196,2358,0
1225,2332,0
1254,2306,0
1282,2287,0
1306,2285,0
1325,2282,1
1457,2287,0
1457,2284,0
1453,2285,0
1440,2287,0
1414,2299,0
1381,2316,0
1351,2340,0
1328,2359,0
1322,2371,0
1329,2379,0
1341,2369,0
1363,2355,0
1387,2331,0
1409,2307,0
1428,2284,0
1444,2265,0
1449,2260,0
1450,2265,0
1445,2273,0
1435,2295,0
1428,2316,0
1427,2338,0
1428,2349,0
1430,2349,1
1503,2238,0
1503,2238,0
1507,2249,0
1511,2269,0
1514,2293,0
1519,2321,0
1531,2342,0
1544,2352,0
1558,2349,1
1677,2253,0
1674,2258,0
1664,2282,0
1645,2312,0
1624,2354,0
1598,2393,0
1573,2432,0
1553,2468,0
1535,2501,1
1713,2451,0
1692,2477,0
1677,2502,0
1668,2516,0
1661,2518,1
2101,2278,0
2101,2279,0
2095,2282,0
2077,2290,0
2047,2304,0
2014,2327,0
1986,2352,0
1968,2372,0
1961,2388,0
1960,2393,0
1971,2398,0
1984,2391,0
2014,2388,1
2227,2299,0
2213,2298,0
2192,2305,0
2164,2319,0
2135,2338,0
2113,2357,0
2101,2372,0
2101,2381,0
2106,2383,0
2119,2381,0
2138,2367,0
2161,2347,0
2190,2332,0
2214,2316,0
2229,2304,0
2229,2299,0
2227,2299,0
2219,2314,0
2203,2335,0
2189,2356,0
2175,2367,1
2301,2300,0
2302,2308,0
2296,2321,0
2286,2335,0
2277,2350,0
2272,2362,0
2270,2367,0
2272,2367,0
2276,2359,0
2289,2348,0
2304,2330,0
2325,2319,0
2340,2309,0
2352,2311,0
2350,2313,0
2344,2326,0
2331,2338,0
2323,2352,0
2319,2363,0
2316,2364,0
2318,2364,0
2328,2358,0
2343,2345,0
2363,2329,0
2384,2311,0
2403,2304,0
2416,2306,0
2421,2312,0
2421,2326,0
2413,2341,0
2407,2359,0
2401,2371,0
2400,2381,1
2488,2355,0
2488,2355,0
2495,2360,0
2503,2360,0
2516,2356,1
2579,2318,0
2584,2310,0
2582,2306,0
2574,2306,0
2554,2316,0
2528,2333,0
2509,2355,0
2500,2376,0
2502,2393,0
2517,2403,0
2547,2407,0
2579,2400,1
2975,2285,0
2960,2319,0
2948,2345,0
2944,2364,0
2935,2367,1
2958,2300,0
2961,2302,0
2972,2303,0
2992,2306,0
3016,2312,1
2980,2387,0
2958,2400,0
2938,2405,0
2931,2408,1
3150,2330,0
3151,2329,0
3149,2330,0
3139,2335,0
3115,2346,0
3092,2362,0
3070,2377,0
3057,2389,0
3056,2394,0
3062,2395,0
3077,2391,0
3095,2380,0
3112,2364,0
3128,2350,0
3141,2339,0
3144,2335,0
3143,2337,0
3143,2348,0
3130,2365,0
3110,2378,0
3105,2393,1
3270,2335,0
3268,2338,0
3258,2342,0
3245,2355,0
3217,2364,0
3198,2384,0
3185,2400,0
3180,2412,0
3187,2422,0
3196,2424,0
3214,2423,0
3235,2415,0
3257,2398,1
3427,2231,0
3428,2229,0
3424,2228,0
3420,2234,0
3404,2251,0
3388,2281,0
3373,2315,0
3360,2340,0
3352,2359,0
3349,2369,0
3354,2375,0
3363,2371,0
3380,2359,1
3454,2310,0
3434,2313,0
3409,2322,0
3384,2332,0
3370,2342,0
3359,2347,0
3360,2357,0
3368,2367,0
3387,2375,0
3419,2384,0
3452,2388,0
3487,2391,1
3751,2331,0
3743,2328,0
3732,2329,0
3715,2338,0
3687,2352,0
3662,2369,0
3643,2385,0
3639,2396,0
3644,2403,0
3655,2402,0
3677,2396,0
3699,2382,0
3727,2367,0
3756,2350,0
3777,2338,0
3783,2328,0
3783,2330,0
3777,2338,0
3756,2355,0
3734,2376,0
3715,2392,0
3713,2408,0
3713,2415,0
3719,2414,0
3731,2405,1
3857,2340,0
3853,2350,0
3846,2367,0
3837,2384,0
3826,2397,0
3820,2405,0
3819,2406,0
3821,2404,0
3831,2396,0
3849,2381,0
3874,2364,0
3902,2347,0
3930,2335,0
3947,2335,0
3952,2341,0
3950,2350,0
3942,2366,0
3930,2383,0
3921,2394,0
3919,2396,0
3922,2392,1
4073,2338,0
4065,2335,0
4058,2338,0
4038,2345,0
4017,2360,0
3995,2375,0
3986,2388,0
3983,2391,0
3992,2393,0
4003,2386,0
4017,2373,0
4044,2358,0
4069,2337,0
4095,2308,0
4121,2278,0
4142,2254,0
4152,2240,0
4155,2241,0
4156,2240,0
4147,2253,0
4129,2273,0
4109,2301,0
4094,2336,0
4085,2362,0
4083,2378,1
4473,2297,0
4451,2299,0
4433,2306,0
4406,2312,0
4398,2323,0
4389,2331,0
4396,2342,0
4409,2350,0
4423,2352,0
4449,2356,0
4476,2358,0
4497,2361,0
4500,2359,0
4499,2359,0
4495,2366,0
4472,2372,0
4444,2379,0
4410,2386,0
4394,2395,0
4380,2395,0
4381,2394,1
4629,2326,0
4628,2325,0
4632,2328,0
4609,2327,0
4584,2336,0
4558,2348,0
4525,2363,0
4508,2381,0
4497,2393,0
4502,2399,0
4511,2400,0
4534,2393,0
4560,2384,0
4591,2371,0
4614,2356,0
4628,2341,0
4637,2334,0
4638,2333,0
4630,2337,0
4610,2347,0
4587,2362,0
4580,2381,0
4576,2396,0
4576,2403,0
4586,2401,1
4724,2331,0
4719,2339,0
4706,2352,0
4692,2367,0
4679,2380,1
4739,2270,0
4731,2268,0
4740,2270,0
4735,2270,0
4727,2275,1
4862,2325,0
4854,2321,0
4844,2323,0
4822,2329,0
4801,2342,0
4771,2360,0
4758,2382,0
4753,2398,0
4758,2405,0
4763,2403,0
4786,2398,0
4809,2384,0
4838,2366,0
4867,2339,0
4888,2309,0
4907,2283,0
4916,2268,0
4919,2262,0
4919,2262,0
4917,2267,0
4907,2284,0
4897,2311,0
4886,2339,0
4882,2361,0
4882,2376,1
5010,2427,0
5002,2442,0
4988,2464,0
4975,2494,0
4958,2515,1
5267,2419,0
5273,2422,0
5284,2418,0
5294,2402,0
5313,2381,0
5330,2358,0
5351,2341,0
5361,2333,0
5364,2334,0
5372,2346,0
5364,2362,0
5362,2383,0
5357,2402,0
5354,2408,0
5354,2408,0
5361,2403,0
5373,2387,0
5392,2360,0
5408,2328,0
5437,2297,0
5457,2264,0
5475,2246,0
5477,2239,0
5486,2241,0
5485,2241,1
5547,2335,0
5534,2354,0
5526,2379,0
5518,2402,0
5507,2416,0
5508,2422,0
5508,2422,0
5508,2414,0
5511,2399,1
5580,2229,0
5581,2226,0
5577,2224,0
5589,2228,0
5582,2232,1
5717,2215,0
5717,2226,0
5711,2251,0
5691,2285,0
5683,2329,0
5668,2362,0
5666,2383,0
5663,2398,0
5660,2406,0
5653,2410,0
5665,2414,0
5665,2412,0
5661,2402,1
5637,2341,0
5650,2342,0
5657,2338,0
5689,2335,0
5718,2328,1
5865,2234,0
5864,2240,0
5849,2252,0
5845,2282,0
5841,2319,0
5827,2352,0
5805,2378,0
5807,2395,0
5800,2400,0
5803,2401,0
5806,2397,0
5825,2384,0
5836,2360,0
5863,2338,0
5885,2321,0
5901,2314,0
5913,2317,0
5921,2328,0
5919,2344,0
5919,2362,0
5916,2379,1
6228,2228,0
6213,2256,0
6191,2296,0
6169,2338,0
6168,2371,0
6161,2387,0
6155,2393,0
6158,2394,0
6166,2386,1
6181,2332,0
6182,2331,0
6186,2329,0
6203,2331,0
6219,2333,0
6237,2334,0
6252,2339,0
6261,2346,0
6263,2355,0
6257,2366,0
6247,2381,0
6220,2393,0
6193,2406,0
6158,2414,0
6133,2420,0
6124,2423,1
6376,2332,0
6372,2331,0
6371,2333,0
6351,2340,0
6320,2351,0
6288,2367,0
6267,2386,0
6256,2400,0
6258,2408,0
6265,2410,0
6279,2408,0
6297,2397,0
6319,2386,0
6342,2373,0
6352,2359,0
6365,2350,0
6365,2349,0
6363,2354,0
6348,2369,0
6335,2388,0
6319,2406,0
6317,2421,0
6321,2431,0
6325,2434,0
6334,2432,1
6529,2360,0
6533,2360,0
6532,2361,0
6524,2361,0
6507,2371,0
6484,2385,0
6463,2403,0
6453,2417,0
6449,2427,0
6457,2429,0
6471,2427,0
6494,2413,0
6522,2396,0
6546,2370,0
6575,2340,0
6605,2308,0
6628,2282,0
6640,2271,0
6641,2270,0
6639,2274,0
6624,2292,0
6609,2319,0
6589,2347,0
6574,2374,0
6564,2390,1
