&quot;V1097. Drinking-bowl, enamel, one of.&quot;
787
480,2875,0
472,2873,0
470,2881,0
472,2906,0
475,2944,0
485,2983,0
496,3010,0
509,3020,0
522,3023,1
533,2903,0
528,2906,0
526,2914,0
524,2929,0
529,2943,0
538,2953,0
548,2959,0
558,2973,1
716,2896,1
709,2895,0
707,2924,0
707,2972,0
711,3025,0
726,3087,0
740,3141,0
755,3175,0
768,3200,0
778,3210,0
781,3210,0
786,3202,0
792,3175,0
803,3127,0
817,3061,0
834,3006,0
847,2951,0
856,2924,0
860,2912,0
863,2912,0
865,2912,1
936,2949,0
945,3098,0
954,3130,0
963,3158,0
973,3179,0
979,3191,0
987,3203,0
995,3212,1
1120,2948,1
1082,2909,0
1064,2921,0
1044,2961,0
1023,3024,0
1013,3088,0
1028,3152,0
1060,3173,0
1096,3180,0
1128,3192,0
1153,3180,0
1172,3168,0
1186,3147,0
1192,3115,0
1196,3078,0
1192,3042,0
1184,3018,0
1174,2995,0
1157,2971,0
1142,2952,0
1129,2936,1
1346,2927,0
1320,2918,0
1297,2920,0
1274,2930,0
1253,2951,0
1235,2981,0
1230,3004,0
1246,3016,0
1271,3018,0
1301,3012,0
1329,3002,0
1356,2987,0
1372,2970,0
1377,2953,0
1375,2941,0
1368,2934,0
1363,2934,0
1361,2935,0
1363,2943,0
1372,2970,0
1385,3013,0
1399,3059,0
1411,3110,0
1416,3154,0
1409,3183,0
1397,3211,0
1377,3226,0
1359,3240,0
1334,3242,0
1306,3240,0
1278,3230,0
1259,3223,0
1248,3212,1
1444,2948,0
1438,2950,0
1440,2953,0
1452,2952,0
1475,2953,0
1503,2944,0
1533,2936,0
1556,2928,0
1569,2921,0
1572,2921,0
1568,2917,0
1568,2922,0
1562,2922,0
1548,2958,0
1534,3008,0
1522,3051,0
1520,3100,0
1520,3141,0
1521,3168,0
1522,3188,0
1524,3204,0
1524,3212,1
1488,3080,0
1487,3081,0
1492,3076,0
1510,3074,0
1531,3069,0
1553,3066,0
1576,3066,0
1597,3071,1
1750,3167,0
1736,3165,0
1730,3163,0
1728,3163,0
1730,3167,0
1734,3162,0
1749,3163,0
1768,3162,0
1788,3154,1
1957,2929,0
1952,2926,0
1949,2927,0
1953,2943,0
1949,2960,0
1952,3006,0
1956,3059,0
1961,3103,0
1968,3139,0
1972,3158,0
1973,3174,0
1971,3180,0
1971,3184,1
1845,2970,1
1914,2908,0
1963,2902,0
2012,2906,0
2060,2931,0
2093,2967,0
2111,3011,0
2115,3057,0
2108,3101,0
2092,3136,0
2063,3168,0
2027,3195,0
1990,3216,0
1959,3221,0
1938,3222,0
1918,3215,0
1908,3210,1
2161,3091,0
2163,3095,0
2167,3106,0
2174,3133,0
2183,3163,0
2191,3182,0
2193,3194,0
2193,3203,0
2193,3203,0
2191,3199,0
2188,3187,0
2178,3153,0
2179,3118,0
2190,3093,0
2200,3067,0
2215,3062,0
2229,3061,0
2251,3078,0
2268,3105,0
2280,3135,0
2285,3159,0
2292,3182,0
2291,3192,0
2290,3199,0
2289,3200,1
2261,3022,0
2256,3020,0
2257,3019,0
2264,3021,0
2274,3025,1
2369,3075,0
2371,3078,0
2370,3093,0
2371,3131,0
2378,3168,0
2382,3192,0
2381,3206,0
2382,3214,0
2380,3210,0
2381,3210,0
2381,3192,0
2386,3160,0
2389,3119,0
2397,3086,0
2409,3066,0
2422,3056,0
2441,3056,0
2453,3059,0
2466,3075,0
2475,3097,0
2480,3117,0
2484,3141,0
2486,3163,0
2488,3184,0
2492,3196,1
2591,3057,0
2587,3055,0
2591,3052,0
2608,3040,0
2630,3023,0
2647,2999,0
2663,2972,0
2670,2946,0
2673,2925,0
2666,2907,0
2651,2892,0
2632,2884,0
2601,2874,0
2579,2878,0
2557,2881,0
2548,2903,0
2545,2941,0
2548,2985,0
2559,3038,0
2569,3091,0
2574,3129,0
2575,3151,0
2577,3158,0
2577,3159,0
2579,3163,0
2577,3159,0
2570,3140,0
2571,3108,0
2584,3070,0
2606,3049,0
2626,3039,0
2644,3038,0
2660,3043,0
2672,3055,0
2680,3073,0
2674,3090,0
2665,3109,0
2649,3126,0
2641,3144,0
2640,3149,0
2648,3158,0
2662,3164,0
2680,3165,0
2702,3161,0
2723,3150,0
2738,3132,0
2752,3111,0
2758,3084,0
2758,3061,0
2754,3054,0
2752,3056,0
2748,3053,0
2745,3069,0
2748,3100,0
2752,3119,0
2759,3135,0
2767,3148,1
2772,2993,0
2765,2987,0
2765,2988,0
2765,2987,0
2778,2999,1
2861,3065,0
2859,3066,0
2860,3093,0
2861,3130,0
2868,3155,0
2875,3169,0
2879,3176,0
2878,3175,0
2882,3179,0
2877,3173,0
2873,3151,0
2870,3116,0
2878,3078,0
2885,3049,0
2895,3045,0
2907,3046,0
2924,3054,0
2938,3073,0
2955,3100,0
2962,3124,0
2969,3153,1
3110,3088,0
3112,3072,0
3115,3060,0
3110,3049,0
3104,3045,0
3084,3039,0
3059,3051,0
3025,3069,0
3003,3093,0
3005,3115,0
3023,3137,0
3042,3149,0
3069,3160,0
3093,3163,0
3108,3158,0
3124,3151,0
3133,3136,0
3138,3118,0
3133,3098,0
3127,3087,0
3126,3088,0
3124,3088,0
3122,3090,0
3129,3115,0
3133,3146,0
3141,3179,0
3142,3211,0
3141,3246,0
3136,3278,0
3129,3307,0
3113,3327,0
3095,3343,0
3080,3353,0
3063,3358,0
3048,3363,0
3030,3360,0
3018,3358,0
3007,3355,0
3001,3354,0
2998,3351,0
2997,3348,1
3246,3099,0
3243,3102,0
3245,3105,0
3249,3102,0
3264,3101,0
3287,3099,0
3312,3095,0
