He ticked the item, continued,
524
885,1853,0
883,1857,0
885,1862,0
885,1874,0
894,1903,0
903,1932,0
912,1973,0
918,2022,0
921,2075,0
918,2114,0
919,2142,0
919,2150,0
920,2150,1
991,1834,0
999,1811,0
1005,1804,0
1007,1803,0
1013,1816,0
1018,1843,0
1021,1888,0
1020,1940,0
1021,2000,0
1021,2048,0
1023,2072,0
1020,2075,1
952,1984,0
948,1992,0
957,2005,0
979,2026,0
1008,2036,0
1038,2036,0
1073,2033,0
1105,2017,0
1141,2000,0
1172,1971,0
1194,1941,0
1209,1920,0
1205,1896,0
1189,1885,0
1167,1887,0
1146,1903,0
1126,1936,0
1117,1993,0
1121,2048,0
1138,2084,0
1167,2094,0
1205,2093,0
1243,2077,0
1283,2062,0
1312,2043,1
1660,1708,0
1657,1717,0
1660,1742,0
1664,1778,0
1671,1822,0
1684,1877,0
1694,1925,0
1699,1961,0
1697,1983,1
1609,1869,0
1613,1859,0
1623,1847,0
1648,1835,0
1680,1814,0
1714,1793,0
1751,1783,0
1783,1783,0
1803,1792,0
1818,1815,0
1826,1842,0
1832,1874,0
1835,1908,0
1834,1930,0
1833,1940,0
1831,1936,1
1855,1736,0
1850,1730,0
1852,1729,0
1856,1726,0
1866,1726,1
2015,1763,0
2007,1759,0
1997,1751,0
1985,1753,0
1969,1761,0
1954,1784,0
1941,1818,0
1939,1864,0
1942,1903,0
1957,1922,0
1985,1925,0
2015,1915,0
2046,1893,1
2092,1653,0
2094,1657,0
2095,1665,0
2106,1693,0
2112,1722,0
2123,1762,0
2134,1807,0
2141,1845,0
2148,1874,0
2159,1891,0
2169,1899,0
2177,1894,0
2181,1878,1
2260,1759,0
2252,1756,0
2241,1754,0
2226,1759,0
2200,1768,0
2181,1791,0
2164,1817,0
2152,1843,0
2149,1864,0
2162,1876,0
2182,1877,0
2215,1874,0
2250,1860,0
2288,1843,0
2321,1819,0
2352,1800,0
2371,1780,0
2381,1767,0
2378,1759,0
2365,1753,0
2342,1752,0
2320,1764,0
2302,1788,0
2291,1816,0
2289,1837,0
2307,1849,0
2333,1850,0
2369,1842,0
2402,1826,0
2437,1814,0
2463,1802,0
2484,1790,1
2576,1788,0
2575,1783,0
2577,1775,0
2574,1767,0
2555,1752,0
2535,1739,0
2509,1725,0
2497,1725,0
2480,1730,0
2465,1742,0
2455,1762,0
2446,1785,0
2447,1811,0
2455,1824,0
2465,1827,0
2485,1826,0
2504,1814,0
2521,1795,0
2535,1771,0
2545,1739,0
2556,1702,0
2564,1661,0
2572,1631,0
2577,1626,0
2577,1626,0
2575,1628,0
2576,1644,0
2580,1674,0
2577,1709,0
2574,1751,0
2575,1789,0
2577,1814,0
2580,1828,0
2587,1838,0
2593,1843,0
2602,1845,1
2880,1544,0
2879,1544,0
2883,1553,0
2888,1573,0
2891,1600,0
2900,1640,0
2904,1686,0
2907,1731,0
2911,1764,1
2861,1689,0
2861,1675,0
2867,1661,0
2876,1638,0
2897,1613,0
2919,1590,0
2937,1574,0
2953,1573,0
2957,1581,0
2965,1603,0
2970,1631,0
2975,1662,0
2975,1687,0
2982,1704,0
2986,1706,0
2995,1701,0
3008,1691,0
3027,1674,0
3040,1656,0
3049,1657,0
3062,1674,0
3067,1700,0
3081,1728,0
3100,1749,0
3126,1761,0
3150,1756,0
3177,1739,0
3205,1716,0
3226,1687,0
3245,1660,0
3252,1628,0
3247,1599,0
3243,1592,0
3227,1594,0
3209,1607,0
3194,1635,0
3184,1669,0
3186,1696,0
3197,1707,0
3223,1712,0
3254,1710,0
3285,1701,0
3312,1690,0
3338,1679,0
3366,1667,1
3566,1558,0
3571,1560,0
3576,1567,0
3580,1582,0
3591,1606,0
3590,1631,0
3591,1652,0
3589,1663,0
3592,1667,1
3592,1462,0
3588,1460,0
3590,1457,0
3591,1455,0
3591,1453,1
3662,1391,0
3660,1395,0
3671,1420,0
3672,1452,0
3673,1487,0
3674,1530,0
3677,1575,0
3677,1616,0
3682,1648,1
3663,1583,0
3663,1583,0
3669,1582,0
3683,1580,0
3705,1573,0
3735,1560,0
3753,1541,0
3775,1524,0
3792,1510,0
3794,1495,0
3795,1486,0
3790,1476,0
3783,1474,0
3768,1476,0
3751,1491,0
3738,1518,0
3730,1551,0
3732,1580,0
3747,1596,0
3772,1600,0
3802,1596,0
3826,1583,0
3851,1570,0
3867,1555,0
3879,1540,1
3904,1468,0
3904,1470,0
3906,1483,0
3909,1506,0
3909,1534,0
3909,1559,0
3913,1579,0
3923,1588,0
3926,1589,0
3934,1582,0
3948,1571,0
3957,1552,0
3968,1530,0
3970,1507,0
3980,1494,0
3983,1496,0
3986,1501,0
3991,1518,0
4000,1537,0
4001,1555,0
4005,1563,0
4017,1566,0
4030,1558,0
4050,1544,0
4080,1525,0
4103,1504,0
4126,1493,0
4147,1494,0
4164,1505,0
4181,1524,0
4198,1548,0
4212,1565,1
4352,1604,0
4345,1609,0
4333,1627,0
4314,1659,0
4287,1699,1
4743,1486,0
4736,1481,0
4735,1474,0
4728,1469,0
4717,1466,0
4698,1471,0
4679,1486,0
4654,1510,0
4636,1544,0
4628,1577,0
4633,1596,0
4657,1602,0
4689,1595,1
4934,1498,0
4930,1497,0
4921,1486,0
4911,1479,0
4885,1470,0
4864,1470,0
4845,1476,0
4827,1490,0
4819,1512,0
4814,1538,0
4822,1551,0
4834,1553,0
4862,1546,0
4893,1532,0
4912,1514,0
4922,1497,0
4927,1483,1
4947,1435,0
4947,1435,0
4950,1440,0
4953,1456,0
4955,1474,0
4961,1494,0
4964,1511,0
4973,1522,0
4975,1527,0
4975,1527,0
4976,1524,0
4980,1512,0
4994,1497,0
5006,1474,0
5025,1453,0
5045,1445,0
5061,1447,0
5072,1455,0
5088,1469,0
5094,1486,0
5098,1502,0
5095,1510,0
5097,1515,0
5098,1512,1
5125,1319,0
5127,1312,0
5126,1312,0
5129,1319,0
5135,1341,0
5138,1372,0
5136,1409,0
5129,1443,0
5127,1466,1
5108,1430,0
5121,1416,0
5141,1405,0
5164,1397,0
5191,1392,0
5217,1388,0
5240,1392,0
5255,1404,0
5269,1426,0
5281,1451,0
5290,1479,0
5294,1505,0
5294,1519,0
5301,1523,0
5298,1519,0
5302,1507,1
5304,1345,0
5305,1344,0
5306,1342,0
5306,1342,0
5306,1342,1
5358,1363,0
5358,1377,0
5363,1404,0
5371,1433,0
5371,1459,0
5377,1483,0
5380,1500,0
5378,1508,0
5384,1514,0
5388,1515,0
5388,1515,0
5388,1513,0
5388,1512,0
5386,1506,0
5381,1494,0
5378,1481,0
5375,1462,0
5374,1436,0
5383,1408,0
5388,1385,0
5400,1373,0
5415,1365,0
5433,1360,0
5446,1362,0
5462,1375,0
5477,1397,0
5486,1422,0
5487,1448,0
5485,1469,1
5539,1368,0
5540,1367,0
5539,1368,0
5537,1374,0
5539,1396,0
5540,1423,0
5540,1452,0
5546,1474,0
5560,1483,0
5572,1486,0
5586,1480,0
5598,1467,0
5612,1449,0
5619,1423,0
5631,1392,0
5639,1362,0
5643,1348,0
5651,1349,0
5653,1356,0
5660,1375,0
5666,1400,0
5675,1430,0
5686,1465,0
5699,1493,0
5715,1511,0
5729,1520,0
5744,1523,0
5754,1520,0
5759,1513,1
5796,1488,0
5797,1486,0
5811,1477,0
5828,1462,0
5850,1441,0
5867,1424,0
5873,1401,0
5881,1387,0
5873,1370,0
5866,1365,0
5846,1360,0
5828,1367,0
5815,1385,0
5800,1414,0
5793,1439,0
5800,1457,0
5827,1466,0
5863,1469,0
5902,1466,0
5939,1465,1
6078,1458,0
6095,1455,0
6109,1451,0
6123,1444,0
6121,1430,0
6121,1414,0
6114,1395,0
6102,1379,0
6092,1368,0
6076,1365,0
6063,1365,0
6052,1377,0
6035,1394,0
6025,1421,0
6023,1446,0
6026,1466,0
6037,1471,0
6056,1477,0
6073,1472,0
6093,1462,0
6114,1446,0
6136,1423,0
6155,1392,0
6175,1360,0
6189,1336,0
6205,1321,0
6215,1312,0
6215,1315,0
6214,1319,0
6218,1339,0
6212,1363,0
6208,1396,0
6196,1428,0
6196,1464,0
6193,1490,0
6196,1509,1
6328,1493,0
6329,1493,0
6329,1493,0
6332,1496,0
6336,1495,0
6347,1501,0
6350,1505,0
6360,1515,0
6365,1527,0
6368,1546,0
6355,1567,0
6340,1590,0
6314,1609,1
