reed, one of.&quot; V1101. Cushion, foam
643
986,2879,0
986,2879,0
986,2879,0
990,2888,0
996,2904,0
1005,2932,0
1011,2964,0
1016,2996,0
1018,3028,0
1015,3048,0
1012,3064,0
1006,3059,0
1001,3056,0
994,3040,0
985,3011,0
981,2975,0
982,2935,0
991,2911,0
1002,2895,0
1016,2884,0
1035,2872,0
1059,2864,0
1083,2861,0
1103,2856,0
1116,2861,1
1093,2996,0
1095,2996,0
1108,3004,0
1129,3004,0
1153,2992,0
1175,2975,0
1198,2958,0
1208,2938,0
1210,2925,0
1185,2890,0
1167,2887,0
1146,2892,0
1128,2912,0
1116,2940,0
1112,2972,0
1119,3004,0
1136,3021,0
1160,3023,0
1192,3018,0
1227,3004,0
1263,2987,0
1296,2960,0
1324,2938,0
1340,2912,0
1348,2895,0
1349,2883,0
1342,2868,0
1331,2861,0
1313,2854,0
1293,2860,0
1272,2874,0
1254,2891,0
1242,2916,0
1239,2944,0
1247,2967,0
1264,2979,0
1290,2981,0
1320,2975,0
1353,2963,0
1378,2949,0
1399,2938,0
1416,2932,0
1433,2926,1
1537,2939,0
1538,2939,0
1537,2931,0
1534,2915,0
1522,2893,0
1507,2876,0
1484,2859,0
1462,2845,0
1445,2848,0
1430,2854,0
1418,2868,0
1409,2888,0
1406,2921,0
1406,2946,0
1414,2965,0
1426,2967,0
1442,2965,0
1461,2954,0
1479,2936,0
1495,2913,0
1506,2883,0
1515,2845,0
1522,2812,0
1528,2786,0
1529,2774,0
1527,2770,0
1527,2774,0
1529,2786,0
1529,2811,0
1532,2847,0
1530,2879,0
1534,2919,0
1539,2951,0
1544,2971,0
1547,2978,0
1551,2986,0
1551,2985,0
1553,2989,0
1551,2982,0
1551,2981,1
1643,2965,0
1640,2961,0
1641,2965,0
1640,2969,0
1634,2983,0
1626,3013,0
1603,3045,0
1579,3086,0
1560,3110,1
2041,2896,0
2037,2890,0
2036,2881,0
2034,2869,0
2029,2854,0
2019,2840,0
2004,2828,0
1983,2823,0
1954,2820,0
1930,2832,0
1911,2855,0
1897,2880,0
1894,2907,0
1901,2921,0
1915,2925,0
1939,2926,0
1963,2919,0
1984,2903,0
2002,2893,0
2012,2881,0
2018,2871,1
2071,2894,0
2068,2891,0
2065,2878,0
2065,2858,0
2067,2832,0
2076,2807,0
