rubber, to fit sleeping basket, one of.
688
1006,3276,0
998,3284,0
996,3291,0
998,3312,0
1004,3332,0
1011,3352,0
1018,3380,0
1020,3400,0
1020,3416,0
1019,3420,0
1019,3420,0
1020,3420,0
1015,3408,0
1012,3387,0
1011,3360,0
1016,3328,0
1027,3304,0
1042,3293,0
1056,3285,0
1071,3281,0
1083,3281,1
1122,3288,0
1121,3288,0
1122,3293,0
1122,3293,0
1124,3300,0
1129,3320,0
1136,3344,0
1140,3364,0
1148,3387,0
1155,3399,0
1164,3399,0
1171,3395,0
1181,3387,0
1188,3363,0
1195,3334,0
1203,3303,0
1212,3269,0
1218,3250,0
1218,3249,0
1221,3257,0
1225,3277,0
1228,3301,0
1232,3329,0
1236,3361,0
1239,3377,0
1243,3388,0
1246,3384,0
1248,3372,1
1276,3186,0
1280,3170,0
1283,3161,0
1283,3162,0
1283,3165,0
1286,3177,0
1288,3194,0
1290,3221,0
1292,3249,0
1295,3281,0
1298,3309,0
1303,3333,0
1305,3356,0
1305,3376,0
1303,3389,0
1302,3389,0
1303,3385,0
1303,3369,0
1305,3333,0
1316,3296,0
1333,3270,0
1351,3261,0
1365,3256,0
1377,3258,0
1387,3265,0
1393,3281,0
1391,3297,0
1380,3318,0
1363,3340,0
1346,3358,0
1324,3363,0
1306,3361,0
1295,3345,1
1423,3153,0
1426,3156,0
1430,3168,0
1433,3184,0
1437,3211,0
1439,3243,0
1442,3284,0
1445,3319,0
1447,3344,0
1451,3358,0
1452,3363,0
1452,3363,0
1453,3359,0
1455,3346,0
1456,3318,0
1466,3288,0
1479,3263,0
1496,3253,0
1511,3246,0
1525,3240,0
1541,3246,0
1555,3256,0
1563,3267,0
1565,3283,0
1557,3305,0
1541,3319,0
1522,3338,0
1499,3353,0
1478,3360,0
1467,3361,0
1464,3354,0
1470,3345,0
1483,3335,1
1600,3310,0
1600,3310,0
1605,3309,0
1614,3299,0
1628,3284,0
1645,3269,0
1655,3251,0
1657,3235,0
1657,3226,0
1654,3219,0
1650,3216,0
1644,3216,0
1637,3226,0
1631,3248,0
1629,3276,0
1634,3296,0
1648,3306,0
1664,3306,0
1684,3303,0
1704,3295,0
1723,3283,0
1740,3267,0
1749,3252,0
1752,3248,0
1747,3240,0
1733,3232,0
1713,3228,0
1689,3220,0
1672,3219,0
1663,3217,0
1667,3221,0
1671,3219,0
1686,3217,0
1706,3205,0
1734,3194,0
1757,3181,0
1778,3177,1
1836,3291,0
1831,3291,0
1829,3304,0
1820,3319,0
1807,3342,1
2050,3066,0
2050,3071,0
2053,3087,0
2057,3110,0
2061,3143,0
2064,3180,0
2060,3210,0
2056,3237,0
2052,3255,1
2048,3202,0
2053,3192,0
2067,3192,0
2087,3189,0
2113,3192,0
2136,3194,0
2154,3192,0
2171,3194,1
2260,3190,0
2257,3187,0
2250,3186,0
2229,3181,0
2200,3179,0
2174,3188,0
2153,3201,0
2137,3210,0
2139,3226,0
2147,3232,0
2165,3230,0
2187,3222,1
2424,3204,0
2439,3202,0
2456,3194,0
2470,3175,0
2482,3151,0
2487,3118,0
2488,3082,0
2482,3045,0
2477,3021,0
2473,3009,0
2464,3000,0
2458,3003,0
2449,3012,0
2440,3038,0
2429,3070,0
2427,3115,0
2425,3160,1
2442,3183,0
2449,3166,0
2466,3160,0
2486,3149,0
2515,3144,0
2548,3142,0
2581,3144,0
2610,3151,0
2627,3156,0
2643,3170,0
2647,3177,0
2648,3181,0
2645,3178,1
2622,3050,0
2622,3049,0
2622,3045,0
2626,3043,0
2630,3036,1
2712,2981,0
2714,2981,0
2720,2986,0
2726,2992,0
2732,3006,0
2733,3025,0
2732,3053,0
2730,3082,0
2726,3107,0
2727,3124,0
2730,3137,0
2726,3139,0
2724,3141,1
2676,3089,0
2676,3089,0
2678,3088,0
2686,3088,0
2702,3088,0
2723,3086,0
2745,3083,0
2762,3077,0
2776,3074,0
2789,3076,0
2794,3073,0
2804,3076,0
2812,3076,1
3159,3049,1
3121,3071,0
3131,3074,0
3145,3078,0
3162,3081,0
3180,3088,0
3191,3095,0
3194,3103,0
3192,3114,0
3180,3127,0
3160,3141,0
3136,3158,0
3111,3175,0
3086,3177,1
3214,2969,0
3215,2973,0
3217,2987,0
3219,3004,0
3230,3032,0
3235,3057,0
3240,3083,0
3246,3105,0
3262,3122,0
3275,3128,0
3293,3129,0
3317,3126,0
3339,3115,0
3356,3097,0
3373,3083,0
3382,3070,0
3381,3056,0
3381,3046,0
3374,3036,0
3363,3030,0
3346,3033,0
3323,3040,0
3313,3059,0
3304,3076,0
3307,3099,0
3316,3112,0
3329,3117,0
3353,3119,0
3380,3114,0
3407,3107,0
3431,3098,0
3446,3086,0
3457,3078,0
3465,3071,0
3475,3068,0
3478,3059,0
3488,3057,0
3491,3049,0
3492,3042,0
3498,3038,0
3496,3028,0
3491,3018,0
3491,3013,0
3477,3004,0
3466,3002,0
3456,3011,0
3445,3025,0
3445,3051,0
3448,3074,0
3458,3092,0
3473,3100,0
3496,3103,0
3513,3098,0
3534,3091,0
3547,3081,0
3559,3071,0
3569,3056,1
3588,3028,0
3590,3016,0
3593,3013,0
3592,3014,0
3595,3023,0
3603,3043,0
3609,3070,0
3613,3103,0
3619,3140,0
3629,3184,0
3638,3223,0
3647,3258,0
3648,3282,0
3644,3300,0
3634,3309,0
3624,3317,0
3604,3308,0
3580,3291,0
3566,3267,0
3552,3231,0
3547,3189,0
3554,3153,0
3571,3118,0
3590,3081,0
3614,3049,0
3639,3027,0
3658,3009,0
3677,3004,0
3682,3004,0
3684,3013,0
3674,3027,0
3662,3049,0
3641,3073,0
3625,3088,0
3620,3097,0
3622,3095,0
3631,3087,0
3650,3071,0
3678,3050,0
3711,3037,0
3741,3031,0
3762,3028,0
3776,3032,0
3784,3040,0
3792,3055,0
3795,3068,0
3788,3074,0
3784,3078,1
3766,2958,0
3768,2956,0
3769,2949,0
3775,2943,0
3780,2938,1
3825,2963,0
3835,2985,0
3841,3008,0
3848,3034,0
3850,3055,0
3856,3071,0
3861,3078,0
3862,3077,0
3862,3071,0
3865,3057,0
3872,3038,0
3885,3016,0
3899,3002,0
3911,2996,0
3923,2994,0
3940,3001,0
3950,3011,0
3962,3028,0
3969,3043,0
3974,3050,1
4073,2972,0
4073,2970,0
4071,2967,0
4070,2963,0
4061,2955,0
4047,2951,0
4031,2952,0
4013,2958,0
3998,2969,0
3983,2978,0
3978,2995,0
3974,3011,0
3980,3021,0
3994,3024,0
4013,3016,0
4032,3002,0
4048,2986,0
4059,2973,0
4070,2967,0
4075,2969,0
4076,2975,0
4076,2992,0
4074,3016,0
4077,3054,0
4079,3098,0
4086,3148,0
4089,3190,0
4090,3229,0
4085,3261,0
4075,3288,0
4061,3313,0
4041,3331,0
4022,3344,0
4006,3341,0
4009,3339,0
4010,3322,0
4020,3291,1
4373,2891,0
4370,2888,0
4372,2887,0
4374,2888,0
4380,2895,0
4391,2912,0
4400,2934,0
4410,2964,0
4415,2996,0
4419,3029,0
4420,3057,0
4418,3078,0
4410,3087,0
4407,3091,0
4404,3088,0
4394,3076,0
4388,3053,0
4387,3023,0
4394,2990,0
4413,2975,0
4432,2956,0
4455,2949,0
4480,2942,0
4505,2951,0
4517,2960,0
4524,2978,0
4511,3001,0
4491,3030,0
4461,3059,0
4430,3083,0
4403,3090,0
4391,3086,0
4387,3071,1
4526,2937,0
4531,2936,0
4536,2931,0
4553,2923,0
4574,2915,0
4596,2913,0
4612,2918,0
4621,2927,0
4623,2937,0
4623,2951,0
4612,2965,0
4597,2982,0
4577,3001,0
4557,3013,0
4543,3018,0
4544,3017,0
4548,3011,0
4560,3004,0
4574,3005,0
4585,3010,0
4596,3023,0
4602,3034,0
4605,3044,0
4611,3049,0
4608,3046,1
4693,2919,0
4692,2906,0
4696,2902,0
4695,2896,0
4684,2891,0
4672,2893,0
4658,2905,0
4642,2919,0
4632,2931,0
4637,2940,0
4645,2947,0
4664,2956,0
4688,2965,0
4709,2970,0
4726,2981,0
4735,2989,0
4736,3000,0
4729,3009,0
4717,3025,0
4697,3037,0
4676,3043,1
4766,2819,0
4768,2825,0
4769,2843,0
4775,2869,0
4786,2901,0
4787,2934,0
4789,2970,0
4784,3004,0
4782,3027,1
4888,2932,0
4882,2925,0
4878,2918,0
4873,2910,0
4861,2907,0
4838,2904,0
4818,2911,0
4804,2924,0
4792,2941,0
4789,2964,0
4790,2983,0
4801,2994,0
4814,2997,0
4840,2995,0
4866,2987,0
4887,2972,0
4907,2959,0
4920,2943,0
4930,2928,0
4930,2914,0
4924,2908,0
4916,2905,0
4904,2909,0
4894,2923,0
4882,2939,0
4872,2959,0
4872,2980,0
4881,2994,0
4896,3001,0
4917,3006,0
4941,3002,0
