added, &quot;Some may be born wrong, as
671
663,1797,0
661,1809,0
653,1798,0
641,1795,0
623,1790,0
600,1796,0
572,1808,0
547,1838,0
530,1879,0
523,1915,0
530,1938,0
547,1951,0
571,1954,0
596,1948,0
617,1930,0
632,1904,0
640,1873,0
641,1836,0
639,1807,0
633,1797,0
627,1795,0
621,1806,0
617,1834,0
614,1867,0
617,1905,0
629,1933,0
651,1951,0
675,1948,0
704,1945,1
853,1878,0
860,1867,0
862,1855,0
858,1850,0
847,1837,0
833,1827,0
816,1820,0
796,1816,0
774,1821,0
754,1837,0
740,1867,0
732,1899,0
734,1927,0
749,1938,0
776,1944,0
808,1936,0
840,1916,0
867,1892,0
885,1857,0
897,1819,0
901,1775,0
898,1742,0
892,1730,0
888,1730,0
883,1737,0
878,1764,0
874,1804,0
874,1848,0
883,1889,1
1095,1853,0
1094,1841,0
1096,1829,0
1090,1809,0
1081,1789,0
1064,1773,0
1042,1768,0
1014,1772,0
986,1790,0
961,1816,0
950,1852,0
953,1881,0
969,1894,0
994,1895,0
1025,1888,0
1057,1873,0
1087,1853,0
1110,1829,0
1124,1792,0
1132,1756,0
1131,1724,0
1123,1704,0
1119,1705,0
1115,1712,0
1107,1732,0
1104,1768,0
1103,1809,0
1107,1848,0
1123,1872,0
1151,1888,0
1185,1889,0
1223,1883,0
1252,1864,0
1271,1842,0
1281,1816,0
1276,1793,0
1262,1787,0
1237,1789,0
1216,1807,0
1204,1832,0
1201,1852,0
1216,1876,0
1239,1889,0
1268,1894,0
1305,1894,1
1498,1813,0
1500,1812,0
1496,1800,0
1489,1790,0
1472,1778,0
1446,1767,0
1420,1769,0
1394,1778,0
1370,1795,0
1363,1825,0
1368,1852,0
1382,1866,0
1407,1874,0
1433,1872,0
1461,1867,0
1479,1850,0
1493,1831,0
1502,1807,0
1505,1778,0
1504,1744,0
1499,1721,0
1494,1715,0
1494,1719,0
1496,1734,0
1494,1756,0
1503,1795,0
1507,1826,0
1513,1854,0
1526,1879,1
1650,1901,0
1631,1915,0
1633,1919,0
1657,1920,0
1645,1928,0
1633,1953,0
1614,1983,0
1597,2018,0
1592,2060,1
2031,1525,0
2034,1523,0
2033,1524,0
2029,1526,0
2025,1544,0
2017,1574,0
2012,1605,0
2010,1631,0
2007,1641,0
2015,1642,0
2026,1629,0
2043,1609,0
2054,1582,1
2069,1527,0
2067,1529,0
2058,1536,0
2051,1560,0
2048,1590,0
2046,1617,0
2046,1640,0
