of him, together with eight others,
746
1142,1996,0
1136,1996,0
1135,1996,0
1130,1993,0
1117,1984,0
1101,1985,0
1078,1989,0
1056,1997,0
1021,2019,0
1017,2039,0
1038,2060,0
1047,2077,0
1069,2093,0
1095,2097,0
1121,2092,0
1148,2080,0
1167,2063,0
1179,2050,0
1180,2030,0
1181,2014,0
1181,1998,1
1323,1900,0
1317,1889,0
1312,1882,0
1298,1871,0
1283,1868,0
1266,1871,0
1252,1881,0
1239,1889,0
1230,1911,0
1225,1939,0
1222,1976,0
1224,2019,0
1230,2063,0
1240,2110,0
1252,2149,0
1257,2174,0
1257,2181,0
1256,2181,0
1255,2177,0
1247,2158,0
1238,2135,1
1207,2048,0
1210,2048,0
1211,2044,0
1216,2040,0
1226,2039,0
1239,2034,0
1259,2032,0
1278,2026,0
1299,2020,0
1315,2018,0
1327,2021,0
1330,2020,1
1717,1844,1
1717,1857,0
1718,1878,0
1719,1903,0
1725,1935,0
1725,1960,0
1727,1977,0
1730,1988,0
1730,1992,0
1732,1992,0
1730,1988,0
1732,1983,0
1732,1971,0
1724,1939,0
1735,1922,0
1744,1901,0
1758,1888,0
1771,1879,0
1781,1874,0
1794,1877,0
1803,1882,0
1810,1892,0
1819,1911,0
1825,1930,0
1829,1945,0
1833,1956,0
1837,1964,0
1838,1964,0
1843,1966,1
1874,1877,0
1873,1877,0
1875,1885,0
1871,1896,0
1875,1916,0
1883,1935,0
1889,1950,0
1892,1957,0
1896,1964,1
1871,1817,0
1867,1814,0
1869,1814,0
1870,1814,0
1874,1815,1
1955,1860,0
1950,1877,0
1951,1899,0
1952,1916,0
1952,1924,0
1954,1924,0
1955,1923,0
1957,1918,0
1959,1908,0
1960,1894,0
1966,1877,0
1972,1856,0
1981,1842,0
1989,1838,0
1995,1838,0
2000,1845,0
2004,1857,0
2002,1871,0
2006,1887,0
2010,1899,0
2010,1899,0
2015,1901,0
2021,1898,0
2028,1889,0
2036,1875,0
2053,1862,0
2067,1845,0
2079,1832,0
2093,1829,0
2104,1831,0
2107,1834,0
2111,1845,0
2118,1865,0
2119,1883,0
2123,1899,0
2126,1907,0
2133,1911,1
2227,1934,0
2222,1931,0
2224,1935,0
2224,1940,0
2221,1947,0
2220,1961,0
2217,1977,0
2217,1992,0
2218,2005,1
2552,1739,0
2549,1737,0
2549,1737,0
2549,1742,0
2554,1759,0
2556,1784,0
2561,1817,0
2564,1852,0
2567,1876,0
2569,1891,0
2562,1891,0
2563,1896,0
2559,1894,1
2520,1833,0
2517,1830,0
2526,1827,0
2537,1823,0
2555,1823,0
2571,1820,0
2585,1817,0
2608,1819,0
2630,1821,1
2729,1808,0
2720,1800,0
2711,1792,0
2694,1786,0
2674,1789,0
2644,1795,0
2622,1811,0
2601,1825,0
2596,1841,0
2599,1854,0
2608,1862,0
2627,1866,0
2648,1863,0
2667,1857,0
2682,1848,0
2700,1841,0
2711,1831,1
2863,1818,0
2861,1814,0
2857,1807,0
2848,1799,0
2833,1791,0
2823,1790,0
2808,1790,0
2794,1792,0
2777,1792,0
2771,1798,0
2765,1799,0
2765,1804,0
2771,1809,0
2784,1819,0
2794,1826,0
2815,1839,0
2834,1854,0
2858,1875,0
2881,1897,0
2895,1917,0
2912,1940,0
2919,1956,0
2930,1974,0
2929,1986,0
2922,1994,0
2914,2001,0
2898,2000,0
2885,1997,0
2866,1982,0
2853,1966,0
2847,1950,0
2838,1930,0
2844,1913,0
2852,1892,0
2873,1872,0
2897,1852,0
2924,1833,0
2955,1818,0
2979,1802,0
2999,1791,0
3007,1781,0
3007,1775,0
3001,1770,0
2993,1767,0
2973,1766,0
2948,1771,0
2924,1785,0
2903,1803,0
2896,1823,0
2899,1837,0
2920,1850,0
2953,1855,0
2987,1853,0
3022,1844,0
3051,1835,0
3068,1821,0
3084,1807,1
3130,1710,0
3130,1710,0
3132,1714,0
3132,1727,0
3129,1751,0
3132,1779,0
3136,1807,0
3141,1832,0
3148,1850,1
3107,1786,0
3107,1785,0
3115,1783,0
3128,1778,0
3153,1772,0
3182,1767,0
3208,1759,0
3237,1754,0
3257,1746,1
3282,1704,0
3275,1694,0
3274,1689,0
3271,1686,0
3270,1686,0
3272,1691,0
3269,1703,0
3264,1723,0
3267,1746,0
3270,1770,0
3277,1787,0
3279,1797,0
3278,1799,0
3281,1801,0
3281,1801,0
3281,1795,0
3276,1781,0
3281,1768,0
3291,1754,0
3305,1742,0
3325,1733,0
3346,1725,0
3373,1721,0
3396,1723,0
3414,1732,0
3420,1744,0
3431,1763,0
3436,1778,1
3456,1748,0
3457,1745,0
3472,1739,0
3493,1735,0
3511,1730,1
3542,1710,0
3537,1704,0
3533,1702,0
3523,1702,0
3510,1708,0
3488,1720,0
3471,1740,0
3460,1764,0
3451,1784,0
3457,1803,0
3476,1819,0
3494,1826,0
3518,1827,0
3537,1821,0
3561,1814,0
3574,1801,0
3592,1788,0
3600,1768,0
3602,1750,0
3604,1740,0
3601,1737,0
3604,1740,0
3602,1742,0
3600,1754,0
3603,1778,0
3605,1798,0
3612,1816,0
3617,1830,0
3618,1836,0
3617,1837,0
3617,1837,0
3619,1834,0
3613,1821,0
3606,1803,0
3599,1785,0
3591,1767,0
3586,1754,0
3586,1745,0
3587,1737,0
3592,1728,0
3614,1722,0
3637,1715,0
3659,1710,0
3675,1707,0
3694,1706,0
3700,1703,0
3705,1704,0
3708,1707,1
3985,1720,0
3985,1737,0
3988,1755,0
3990,1770,0
3993,1779,0
3999,1785,0
4007,1786,0
4014,1783,0
4019,1775,0
4024,1764,0
4023,1749,0
4026,1735,0
4026,1720,0
4027,1708,0
4032,1708,0
4027,1708,0
4031,1719,0
4034,1737,0
4042,1756,0
4053,1771,0
4066,1780,0
4079,1781,0
4094,1779,0
4110,1774,0
4120,1764,0
4126,1751,0
4133,1737,0
4133,1720,0
4131,1706,0
4127,1698,0
4120,1693,0
4116,1693,0
4115,1694,1
4191,1686,0
4191,1694,0
4189,1706,0
4191,1720,0
4198,1734,0
4206,1746,0
4208,1751,0
4207,1752,0
4208,1751,1
4206,1634,0
4207,1633,0
4208,1633,0
4208,1633,0
4207,1633,1
4265,1614,0
4264,1614,0
4268,1626,0
4268,1644,0
4267,1665,0
4269,1689,0
4272,1710,0
4270,1724,0
4270,1732,1
4273,1736,0
4270,1734,0
4264,1727,0
4256,1716,1
4249,1694,0
4246,1691,0
4252,1689,0
4262,1684,0
4277,1681,0
4292,1677,0
4311,1674,0
4326,1671,1
4371,1621,0
4364,1618,0
4364,1618,0
4367,1621,0
4367,1631,0
4367,1650,0
4368,1674,0
4371,1698,0
4372,1716,0
4374,1729,0
4373,1732,0
4372,1732,0
4377,1732,0
4375,1727,0
4377,1714,0
4380,1696,0
4388,1680,0
4394,1667,0
4402,1659,0
4413,1653,0
4423,1650,0
4439,1652,0
4454,1661,0
4465,1675,0
4478,1694,0
4483,1712,0
4493,1729,0
4502,1739,0
4517,1743,1
4685,1700,0
4689,1701,0
4698,1703,0
4707,1701,0
4722,1695,0
4739,1687,0
4751,1677,0
4768,1669,0
4772,1658,0
4775,1649,0
4770,1640,0
4768,1636,0
4759,1637,0
4739,1641,0
4725,1655,0
4709,1676,0
4699,1698,0
4700,1718,0
4710,1734,0
4727,1745,0
4747,1749,0
4769,1747,0
4790,1739,0
4812,1730,0
4830,1718,0
4840,1703,0
4847,1686,0
4854,1668,0
4856,1652,0
4853,1648,0
4852,1650,0
4852,1653,0
4850,1668,0
4849,1693,0
4849,1714,0
4855,1729,0
4864,1738,1
4844,1616,0
4841,1613,0
4842,1611,0
4838,1610,0
4838,1610,1
4946,1665,0
4946,1665,0
4946,1664,0
4947,1662,0
4944,1657,0
4938,1652,0
4939,1650,0
4932,1645,0
4928,1643,0
4924,1643,0
4924,1643,0
4922,1648,0
4911,1653,0
4903,1662,0
4895,1672,0
4892,1681,0
4897,1691,0
4898,1699,0
4911,1710,0
4921,1717,0
4936,1722,0
4952,1725,0
4964,1726,0
4977,1725,0
4984,1722,0
4985,1718,0
4987,1713,0
4990,1706,0
4983,1700,0
4981,1695,0
4975,1689,0
4973,1684,0
4966,1679,0
4963,1675,0
4963,1674,0
4960,1674,0
4963,1675,0
4963,1675,0
4963,1675,0
4966,1677,0
4966,1679,0
4969,1681,0
4968,1684,0
4974,1691,0
4971,1698,0
4975,1710,0
4977,1727,0
4978,1746,0
4977,1768,0
4977,1790,0
4976,1813,0
4973,1832,0
4962,1845,0
4954,1855,0
4944,1860,0
4932,1864,0
4920,1864,0
4900,1858,0
4878,1849,0
4860,1838,0
4847,1827,0
4837,1812,0
4835,1797,0
4842,1780,0
4863,1763,1
5014,1596,0
5011,1594,0
5014,1597,0
5013,1611,0
5017,1633,0
5026,1656,0
5031,1676,0
5038,1692,0
5039,1702,0
5038,1705,0
5037,1705,0
5038,1703,0
5040,1696,0
5046,1681,0
5054,1662,0
5072,1646,0
5089,1633,0
5114,1626,0
5132,1621,0
5148,1626,0
5157,1636,0
5164,1652,0
5170,1669,0
5178,1684,0
5180,1690,1
5267,1578,0
5267,1574,0
5269,1571,0
5273,1570,0
5281,1573,0
5283,1580,0
5281,1595,0
5283,1616,0
5287,1639,0
5289,1659,0
5295,1677,0
5300,1689,0
5301,1694,1
5240,1652,0
5234,1647,0
5234,1645,0
5235,1645,0
5244,1643,0
5253,1639,0
5272,1636,0
5295,1631,0
5320,1628,0
5347,1628,0
5365,1623,0
5377,1624,1
5779,1657,0
5773,1651,0
5766,1645,0
5759,1641,0
5747,1637,0
5734,1639,0
5724,1646,0
5711,1657,0
5698,1674,0
5692,1691,0
5697,1703,0
5703,1708,0
5719,1712,0
5742,1708,0
5762,1698,0
5779,1685,0
5791,1671,0
5795,1658,0
5794,1650,0
5794,1650,0
5789,1650,1
5868,1572,0
5865,1568,0
5868,1570,0
5865,1569,0
5869,1580,0
5867,1601,0
5871,1629,0
5867,1656,0
5873,1677,0
5884,1696,0
5890,1705,0
5892,1708,0
5889,1706,1
5844,1652,0
5848,1651,0
5853,1649,0
5865,1648,0
5883,1644,0
5910,1640,0
5933,1632,0
5956,1625,1
6002,1568,0
5993,1568,0
5992,1575,0
5987,1590,0
5989,1611,0
5991,1632,0
5999,1648,0
6008,1662,0
6015,1666,0
6022,1669,0
6027,1667,0
6025,1659,0
6029,1648,0
6029,1635,0
6031,1626,0
6033,1619,0
6047,1614,0
6057,1609,0
6078,1606,0
6096,1605,0
6115,1610,0
6128,1619,0
6146,1633,0
6158,1646,0
6169,1654,1
6196,1643,0
6201,1641,0
6212,1635,0
6225,1628,0
6237,1620,0
6252,1612,0
6259,1601,0
6261,1591,0
6264,1581,0
6256,1578,0
6244,1579,0
6230,1586,0
6213,1598,0
6201,1614,0
6196,1631,0
6196,1645,0
6205,1659,0
6223,1667,0
6243,1670,0
6268,1669,0
6291,1663,0
6305,1656,0
6317,1645,0
6318,1628,0
6323,1609,0
6322,1597,0
6319,1593,0
6319,1594,0
6312,1601,0
6309,1614,0
6312,1631,0
6317,1645,0
6322,1655,0
6324,1662,0
6329,1662,0
6329,1662,0
6331,1656,0
6325,1646,0
6324,1633,0
6324,1617,0
6325,1601,0
6331,1593,0
6336,1588,0
6346,1582,0
6365,1576,0
6387,1571,0
6404,1567,0
6426,1565,0
6430,1562,1
6553,1566,0
6551,1562,0
6551,1558,0
6548,1554,0
6536,1552,0
6520,1551,0
6506,1557,0
6488,1564,0
6469,1571,0
6460,1576,0
6463,1582,0
6474,1586,0
6493,1592,0
6516,1598,0
6534,1609,0
6551,1621,0
6565,1634,0
6557,1646,0
6553,1662,0
6541,1674,0
6523,1680,0
6497,1684,0
6476,1683,0
6454,1676,0
6443,1668,0
6434,1659,0
6432,1648,0
6432,1634,0
6438,1626,1
6639,1696,0
6631,1693,0
6626,1699,0
6625,1717,0
6614,1739,0
6609,1756,0
6603,1778,0
6601,1799,0
6599,1808,1
