moved along in a line, heads down,
687
731,1591,0
731,1599,0
731,1599,0
733,1604,0
733,1616,0
736,1645,0
738,1687,0
738,1737,0
736,1773,0
733,1797,0
731,1796,0
732,1797,0
738,1785,0
748,1751,0
765,1721,0
777,1675,0
792,1653,0
795,1646,0
796,1645,0
798,1655,0
801,1679,0
804,1701,0
808,1718,0
813,1727,0
819,1735,0
823,1732,0
827,1717,0
833,1697,0
844,1679,0
854,1655,0
861,1661,0
867,1670,0
874,1683,0
886,1705,0
895,1705,0
913,1716,0
926,1713,1
994,1643,0
973,1653,0
955,1668,0
940,1686,0
932,1705,0
936,1727,0
950,1744,0
972,1754,0
994,1754,0
1008,1748,0
1017,1728,0
1023,1708,0
1024,1696,0
1011,1676,0
1000,1667,0
991,1658,0
991,1658,0
994,1658,0
1008,1651,0
1033,1644,0
1056,1628,0
1083,1625,0
1105,1621,0
1117,1620,0
1123,1628,0
1124,1648,0
1121,1677,0
1120,1708,0
1124,1736,0
1134,1760,0
1145,1771,0
1155,1775,0
1165,1771,0
1174,1754,0
1178,1730,0
1177,1706,0
1175,1693,0
1170,1686,0
1167,1682,0
1170,1686,0
1172,1690,0
1182,1697,0
1196,1704,0
1213,1711,0
1230,1718,0
1242,1720,0
1249,1723,0
1251,1723,0
1249,1720,0
1249,1720,0
1245,1716,0
1241,1712,0
1237,1709,0
1237,1709,0
1237,1709,0
1237,1708,0
1237,1708,0
1237,1708,0
1239,1713,0
1237,1709,0
1239,1713,0
1239,1713,0
1236,1708,0
1237,1709,0
1244,1712,0
1253,1703,0
1266,1693,0
1280,1680,0
1296,1669,0
1303,1652,0
1304,1636,0
1300,1628,0
1290,1626,0
1278,1631,0
1264,1649,0
1253,1674,0
1249,1704,0
1253,1731,0
1265,1750,0
1293,1766,0
1325,1771,0
1362,1763,0
1398,1753,0
1435,1745,0
1460,1732,1
1512,1668,0
1490,1669,0
1474,1682,0
1459,1703,0
1442,1719,0
1431,1734,0
1435,1754,0
1444,1763,0
1461,1772,0
1478,1768,0
1498,1754,0
1521,1727,0
1542,1692,0
1558,1650,0
1568,1612,0
1571,1587,0
1566,1570,0
1566,1571,0
1567,1575,0
1568,1599,0
1574,1645,0
1577,1690,0
1584,1730,0
1599,1766,0
1614,1795,1
2014,1652,0
1998,1652,0
1981,1657,0
1958,1667,0
1940,1686,0
1926,1713,0
1917,1740,0
1916,1763,0
1923,1778,0
1936,1785,0
1952,1780,0
1976,1768,0
1996,1737,0
2017,1701,0
2036,1666,0
2054,1635,0
2061,1611,0
2058,1599,0
2062,1601,0
2063,1605,0
2060,1617,0
2054,1650,0
2053,1689,0
2056,1724,0
2071,1753,0
2091,1768,0
2114,1773,0
2140,1761,0
2165,1734,0
2190,1696,0
2212,1650,0
2228,1613,0
2230,1595,0
2227,1587,0
2226,1584,0
2227,1583,0
2226,1584,0
2226,1584,0
2226,1584,0
2226,1584,0
2227,1583,0
2227,1578,0
2229,1571,0
2227,1562,0
2220,1551,0
2214,1546,0
2215,1551,0
2207,1558,0
2196,1571,0
2188,1597,0
2177,1627,0
2179,1664,0
2184,1696,0
2200,1724,0
2227,1744,0
2252,1746,0
2283,1737,1
2366,1664,0
2335,1664,0
2311,1668,0
2292,1679,0
2285,1690,0
2285,1701,0
2295,1713,0
2312,1720,0
2330,1720,0
2347,1717,0
2356,1704,0
2367,1691,0
2367,1669,0
2362,1648,0
2355,1637,0
2355,1632,0
2355,1631,0
2356,1631,0
2371,1633,0
2396,1643,0
2421,1659,0
2438,1676,0
2457,1696,0
2467,1715,0
2473,1730,0
2478,1742,0
2483,1748,0
2493,1749,0
2506,1744,0
2523,1733,0
2537,1715,0
2552,1694,0
2565,1677,0
2572,1676,0
2576,1678,0
2581,1690,0
2584,1703,0
2593,1717,0
2606,1727,0
2626,1735,0
2643,1735,0
2663,1732,0
2681,1724,0
2705,1717,0
2731,1706,1
2803,1669,0
2800,1666,0
2787,1663,0
2765,1664,0
2743,1670,0
2724,1680,0
2710,1693,0
2704,1712,0
2715,1741,0
2731,1771,0
2758,1807,0
2782,1840,0
2798,1869,0
2803,1891,0
2796,1910,0
2767,1921,0
2719,1927,0
2670,1930,0
2625,1927,0
2593,1918,1
3016,1642,0
3016,1642,0
3023,1646,0
3037,1661,0
3049,1679,0
3062,1701,0
3064,1717,0
3062,1727,0
3054,1730,1
3017,1559,0
3017,1559,0
3018,1558,0
3021,1568,0
3035,1584,1
3164,1671,0
3164,1671,0
3168,1679,0
3173,1692,0
3179,1711,0
3187,1727,0
3197,1742,0
3205,1750,0
3214,1751,0
3226,1749,0
3246,1734,0
3274,1717,0
3299,1694,0
3320,1678,0
3331,1675,0
3338,1679,0
3343,1693,0
3347,1708,0
3352,1723,0
3360,1732,0
3366,1738,1
3583,1690,0
3582,1684,0
3583,1675,0
3574,1665,0
3562,1662,0
3545,1667,0
3527,1681,0
3517,1698,0
3511,1707,0
3519,1716,0
3532,1719,0
3551,1718,0
3576,1710,0
3597,1704,0
3615,1698,0
3624,1698,0
3626,1704,0
3632,1718,0
3633,1729,0
3641,1740,0
3655,1749,1
3756,1710,0
3762,1709,0
3780,1703,0
3799,1684,0
3823,1658,0
3839,1626,0
3853,1591,0
3858,1555,0
3858,1530,0
3846,1517,0
3834,1514,0
3817,1520,0
3802,1544,0
3779,1578,0
