second party, the following week, he poured
946
929,2808,0
922,2813,0
921,2820,0
921,2832,0
926,2840,0
937,2849,0
950,2854,0
965,2859,0
982,2859,1
1013,2856,0
1024,2848,0
1030,2840,0
1032,2832,0
1026,2820,0
1015,2808,0
994,2791,0
974,2786,0
950,2777,0
932,2769,0
920,2755,0
916,2748,0
921,2740,0
934,2729,0
953,2725,0
975,2719,1
1082,2801,0
1081,2801,0
1087,2801,0
1097,2793,0
1106,2780,0
1114,2772,0
1119,2760,0
1122,2748,0
1122,2741,0
1119,2732,0
1115,2733,0
1108,2733,0
1098,2733,0
1085,2741,0
1071,2753,0
1064,2769,0
1059,2785,0
1059,2797,0
1068,2813,0
1085,2829,0
1102,2828,0
1121,2836,0
1141,2840,0
1160,2835,0
1178,2831,1
1269,2718,0
1261,2714,0
1252,2719,0
1240,2724,0
1225,2729,0
1211,2741,0
1201,2758,0
1196,2770,0
1198,2786,0
1204,2802,0
1216,2809,0
1236,2820,0
1259,2823,1
1354,2734,0
1353,2734,0
1351,2734,0
1348,2738,0
1341,2743,0
1332,2756,0
1324,2769,0
1322,2789,0
1324,2801,0
1335,2813,0
1350,2819,0
1369,2821,0
1389,2819,0
1407,2813,0
1420,2799,0
1430,2790,0
1430,2773,0
1424,2762,0
1412,2747,0
1397,2741,0
1380,2743,0
1364,2745,0
1353,2750,0
1348,2759,0
1349,2774,1
1457,2737,0
1459,2737,0
1460,2737,0
1463,2740,0
1470,2755,0
1476,2770,0
1482,2786,0
1487,2794,0
1493,2804,0
1497,2808,0
1502,2811,0
1503,2807,0
1506,2799,0
1512,2789,0
1521,2775,0
1528,2758,0
1537,2748,0
1541,2739,0
1546,2738,0
1551,2742,0
1553,2742,0
1558,2753,0
1564,2767,0
1571,2787,0
1581,2806,1
1716,2768,0
1713,2760,0
1711,2760,0
1705,2754,0
1698,2752,0
1687,2750,0
1675,2757,0
1662,2765,0
1648,2772,0
1641,2785,0
1642,2801,0
1645,2809,0
1657,2818,0
1674,2823,0
1690,2820,0
1707,2811,0
1721,2796,0
1734,2779,0
1741,2753,0
1746,2731,0
1746,2711,0
1742,2691,0
1739,2675,0
1739,2663,0
1737,2655,0
1737,2651,0
1739,2655,0
1737,2659,0
1742,2671,0
1746,2690,0
1753,2717,0
1765,2748,0
1773,2774,0
1784,2805,0
1793,2831,0
1801,2853,0
1809,2872,1
2101,2793,0
2099,2786,0
2100,2784,0
2097,2782,0
2096,2782,0
2097,2786,0
2101,2802,0
2101,2818,0
2102,2840,0
2104,2865,0
2106,2885,0
2111,2909,0
2113,2925,0
2118,2941,0
2120,2948,0
2120,2948,0
2119,2945,0
2117,2933,0
2113,2913,0
2112,2891,0
2110,2862,0
2112,2836,0
2113,2809,0
2118,2786,0
2123,2767,0
2133,2750,0
2147,2745,0
2162,2743,0
2176,2745,0
2188,2753,0
2197,2767,0
2199,2779,0
2195,2794,0
2186,2806,0
2174,2815,0
2157,2823,0
2142,2829,1
2277,2766,0
2275,2767,0
2269,2770,0
2263,2777,0
2253,2785,0
2245,2798,0
2239,2813,0
2239,2827,0
2245,2842,0
2250,2844,0
2258,2845,0
2268,2841,0
2277,2828,0
2287,2815,0
2293,2798,0
2296,2784,0
2294,2771,0
2294,2763,0
2293,2758,0
2290,2755,0
2292,2760,0
2292,2764,0
2296,2775,0
2300,2791,0
2303,2802,0
2309,2817,0
2318,2831,0
2328,2840,0
2337,2840,1
2347,2773,0
2347,2773,0
2347,2773,0
2350,2777,0
2356,2786,0
2362,2796,0
2369,2806,0
2374,2817,0
2379,2824,0
2379,2828,0
2381,2831,0
2382,2832,0
2381,2828,0
2376,2816,0
2376,2803,0
2376,2789,0
2377,2772,0
2378,2753,0
2388,2744,0
2399,2733,0
2415,2726,1
2502,2650,0
2502,2650,0
2504,2654,0
2503,2659,0
2506,2675,0
2506,2694,0
2511,2719,0
2512,2741,0
2516,2766,0
2521,2791,0
2526,2811,0
2533,2825,0
2538,2832,1
2480,2777,0
2484,2779,0
2491,2779,0
2503,2783,0
2518,2784,0
2533,2780,0
2548,2777,0
2560,2769,0
2569,2759,0
2575,2746,0
2582,2738,0
2586,2731,0
2588,2725,0
2585,2718,0
2587,2721,0
2585,2722,0
2586,2731,0
2587,2744,0
2589,2762,0
2593,2778,0
2604,2799,0
2610,2809,0
2618,2819,0
2624,2820,0
2631,2820,0
2637,2812,0
2647,2802,0
2655,2788,0
2663,2773,0
2673,2763,0
2681,2753,0
2687,2745,0
2697,2743,0
2707,2746,0
2717,2758,0
2724,2773,0
2729,2794,0
2736,2823,0
2737,2850,0
2736,2879,0
2731,2905,0
2724,2929,0
2711,2946,0
2692,2951,0
2674,2953,0
2652,2942,0
2634,2929,0
2624,2917,0
2617,2898,1
2784,2774,0
2784,2777,0
2787,2786,0
2793,2800,0
2797,2817,0
2801,2833,0
2807,2854,0
2811,2874,0
2818,2898,1
2955,2678,0
2955,2678,0
2955,2683,0
2959,2695,0
2962,2713,0
2965,2735,0
2969,2757,0
2972,2779,0
